nokta_no,x,y,count,sezon_dakikasi
1,42,91,2,2734
2,42,79,2,2734
3,42,7,4,2734
4,42,87,1,2734
5,42,93,3,2734
6,42,100,2,2734
7,42,76,2,2734
8,42,94,1,2734
9,42,85,1,2734
10,42,0,3,2734
11,42,8,2,2734
12,42,18,1,2734
13,42,10,2,2734
14,42,3,1,2734
15,42,13,1,2734
16,42,6,1,2734
17,42,17,1,2734
18,42,19,1,2734
19,42,68,1,2734
20,42,24,1,2734
21,42,80,1,2734
22,42,92,1,2734
23,42,16,1,2734
24,62,60,1,2734
25,62,82,1,2734
26,62,43,1,2734
27,62,9,1,2734
28,62,91,4,2734
29,62,92,1,2734
30,62,61,1,2734
31,62,71,1,2734
32,62,95,2,2734
33,62,98,1,2734
34,62,93,2,2734
35,62,96,1,2734
36,62,87,1,2734
37,62,69,2,2734
38,62,17,3,2734
39,62,5,2,2734
40,62,10,1,2734
41,62,39,1,2734
42,62,70,3,2734
43,62,6,2,2734
44,62,2,2,2734
45,62,3,1,2734
46,62,20,1,2734
47,62,15,2,2734
48,62,8,1,2734
49,62,26,1,2734
50,62,84,1,2734
51,62,11,1,2734
52,62,19,1,2734
53,62,62,1,2734
54,62,81,1,2734
55,62,86,1,2734
56,62,28,1,2734
57,64,63,1,2734
58,64,92,2,2734
59,64,32,1,2734
60,64,0,2,2734
61,64,23,1,2734
62,64,9,3,2734
63,64,5,3,2734
64,64,89,2,2734
65,64,93,1,2734
66,64,90,1,2734
67,64,87,1,2734
68,64,68,1,2734
69,64,8,2,2734
70,64,26,1,2734
71,64,10,2,2734
72,64,7,1,2734
73,64,3,3,2734
74,64,94,1,2734
75,64,83,1,2734
76,64,19,1,2734
77,64,100,2,2734
78,64,29,2,2734
79,64,18,1,2734
80,64,13,2,2734
81,64,2,1,2734
82,64,11,2,2734
83,64,66,1,2734
84,64,86,1,2734
85,64,95,1,2734
86,64,75,1,2734
87,64,33,1,2734
88,64,71,1,2734
89,64,81,1,2734
90,64,74,1,2734
91,64,84,1,2734
92,64,91,2,2734
93,64,41,1,2734
94,64,40,1,2734
95,64,96,1,2734
96,64,14,1,2734
97,64,12,1,2734
98,64,51,1,2734
99,64,6,1,2734
100,66,64,1,2734
101,66,86,1,2734
102,66,55,1,2734
103,66,12,3,2734
104,66,33,2,2734
105,66,46,1,2734
106,66,7,5,2734
107,66,62,1,2734
108,66,96,1,2734
109,66,75,1,2734
110,66,94,1,2734
111,66,90,1,2734
112,66,71,1,2734
113,66,14,1,2734
114,66,34,1,2734
115,66,26,1,2734
116,66,5,2,2734
117,66,100,2,2734
118,66,29,1,2734
119,66,23,1,2734
120,66,3,1,2734
121,66,9,1,2734
122,66,93,1,2734
123,66,95,1,2734
124,66,2,2,2734
125,66,63,1,2734
126,66,39,1,2734
127,66,4,1,2734
128,66,10,1,2734
129,66,50,1,2734
130,66,87,1,2734
131,66,97,2,2734
132,66,11,1,2734
133,66,0,1,2734
134,66,25,1,2734
135,40,85,1,2734
136,40,12,1,2734
137,40,16,2,2734
138,40,28,1,2734
139,40,83,1,2734
140,40,88,2,2734
141,40,90,2,2734
142,40,97,1,2734
143,40,86,2,2734
144,40,6,2,2734
145,40,33,1,2734
146,40,32,1,2734
147,40,43,1,2734
148,40,0,4,2734
149,40,46,1,2734
150,40,63,1,2734
151,40,39,2,2734
152,40,91,1,2734
153,40,37,2,2734
154,40,21,4,2734
155,40,93,2,2734
156,40,87,1,2734
157,40,100,1,2734
158,40,89,1,2734
159,40,5,1,2734
160,40,4,1,2734
161,40,3,1,2734
162,52,85,2,2734
163,52,92,1,2734
164,52,21,1,2734
165,52,94,1,2734
166,52,80,1,2734
167,52,67,1,2734
168,52,70,1,2734
169,52,33,1,2734
170,52,0,3,2734
171,52,6,2,2734
172,52,91,1,2734
173,52,100,3,2734
174,52,83,1,2734
175,52,3,1,2734
176,52,29,1,2734
177,52,75,1,2734
178,52,95,1,2734
179,52,10,1,2734
180,52,19,1,2734
181,52,1,1,2734
182,52,7,1,2734
183,63,85,2,2734
184,63,82,2,2734
185,63,3,5,2734
186,63,36,1,2734
187,63,7,3,2734
188,63,31,1,2734
189,63,95,3,2734
190,63,93,3,2734
191,63,91,3,2734
192,63,83,1,2734
193,63,5,2,2734
194,63,11,3,2734
195,63,0,2,2734
196,63,100,1,2734
197,63,21,1,2734
198,63,10,1,2734
199,63,65,1,2734
200,63,17,1,2734
201,63,37,1,2734
202,63,9,2,2734
203,63,75,1,2734
204,63,62,2,2734
205,63,2,1,2734
206,63,12,1,2734
207,63,72,1,2734
208,63,96,1,2734
209,63,45,1,2734
210,63,92,1,2734
211,63,94,1,2734
212,63,1,1,2734
213,63,8,1,2734
214,63,6,2,2734
215,63,76,1,2734
216,63,89,1,2734
217,79,94,1,2734
218,79,32,1,2734
219,79,24,1,2734
220,79,15,1,2734
221,79,89,1,2734
222,79,83,3,2734
223,79,19,1,2734
224,79,6,2,2734
225,79,4,2,2734
226,79,0,1,2734
227,79,68,1,2734
228,79,10,3,2734
229,79,8,2,2734
230,79,70,2,2734
231,79,76,1,2734
232,79,65,2,2734
233,79,87,1,2734
234,79,14,1,2734
235,79,16,1,2734
236,73,100,1,2734
237,73,83,1,2734
238,73,68,1,2734
239,73,46,1,2734
240,73,96,1,2734
241,73,92,1,2734
242,73,12,1,2734
243,73,4,1,2734
244,73,33,2,2734
245,73,14,1,2734
246,73,5,2,2734
247,73,82,2,2734
248,73,73,1,2734
249,73,9,2,2734
250,73,22,1,2734
251,73,29,1,2734
252,73,61,1,2734
253,73,87,1,2734
254,73,13,1,2734
255,73,8,1,2734
256,73,15,1,2734
257,73,63,1,2734
258,73,41,1,2734
259,73,17,1,2734
260,73,74,1,2734
261,73,95,1,2734
262,73,50,1,2734
263,73,25,1,2734
264,73,70,1,2734
265,73,7,1,2734
266,73,6,1,2734
267,73,37,1,2734
268,88,79,1,2734
269,88,92,1,2734
270,88,18,1,2734
271,88,25,2,2734
272,88,4,2,2734
273,88,14,1,2734
274,88,56,1,2734
275,88,84,1,2734
276,88,0,1,2734
