nokta_no,x,y,count,sezon_dakikasi
1,60,25,1,1394
2,60,6,1,1394
3,60,86,1,1394
4,60,10,1,1394
5,60,24,1,1394
6,60,29,1,1394
7,60,0,1,1394
8,60,31,1,1394
9,65,37,1,1394
10,65,38,1,1394
11,65,75,1,1394
12,65,64,1,1394
13,65,56,1,1394
14,65,33,1,1394
15,65,18,1,1394
16,65,92,1,1394
17,65,94,1,1394
18,65,23,1,1394
19,65,68,1,1394
20,58,34,1,1394
21,58,12,1,1394
22,58,81,1,1394
23,58,72,1,1394
24,58,46,1,1394
25,58,10,1,1394
26,58,91,2,1394
27,58,15,1,1394
28,58,71,1,1394
29,58,6,1,1394
30,58,63,1,1394
31,58,93,1,1394
32,58,28,1,1394
33,58,65,1,1394
34,58,77,1,1394
35,71,58,2,1394
36,71,37,1,1394
37,71,50,2,1394
38,71,75,1,1394
39,71,19,1,1394
40,71,95,1,1394
41,71,2,1,1394
42,71,22,1,1394
43,71,79,1,1394
44,71,13,1,1394
45,71,29,1,1394
46,71,33,1,1394
47,71,5,1,1394
48,71,39,1,1394
49,53,67,1,1394
50,53,59,1,1394
51,53,34,1,1394
52,53,6,1,1394
53,53,0,1,1394
54,53,21,1,1394
55,53,66,1,1394
56,53,70,1,1394
57,53,41,1,1394
58,53,76,1,1394
59,53,4,1,1394
60,53,5,1,1394
61,78,59,1,1394
62,78,45,1,1394
63,78,60,1,1394
64,78,80,1,1394
65,78,14,2,1394
66,78,8,1,1394
67,78,6,1,1394
68,78,9,1,1394
69,78,85,1,1394
70,78,19,1,1394
71,78,5,1,1394
72,78,26,1,1394
73,93,53,1,1394
74,93,19,1,1394
75,93,30,1,1394
76,93,5,1,1394
77,93,38,1,1394
78,93,42,1,1394
79,93,66,1,1394
80,93,62,1,1394
81,62,55,2,1394
82,62,47,1,1394
83,62,50,1,1394
84,62,21,1,1394
85,62,23,1,1394
86,62,10,1,1394
87,62,63,1,1394
88,62,35,1,1394
89,62,32,1,1394
90,62,16,1,1394
91,62,57,1,1394
92,62,91,2,1394
93,62,93,1,1394
94,62,38,1,1394
95,62,11,1,1394
96,62,13,1,1394
97,61,67,1,1394
98,61,12,2,1394
99,61,6,1,1394
100,61,30,1,1394
101,61,20,1,1394
102,61,73,1,1394
103,61,26,1,1394
104,61,81,1,1394
105,61,82,1,1394
106,61,8,1,1394
107,61,69,1,1394
108,61,17,1,1394
109,61,48,1,1394
110,61,35,1,1394
111,94,64,1,1394
112,94,27,1,1394
113,94,90,1,1394
114,94,33,1,1394
115,94,54,1,1394
116,94,29,1,1394
117,94,13,1,1394
118,94,24,1,1394
119,91,56,1,1394
120,91,70,1,1394
121,91,44,1,1394
122,91,10,1,1394
123,91,13,1,1394
124,91,88,1,1394
125,91,61,1,1394
126,91,50,1,1394
127,91,34,1,1394
128,91,29,1,1394
129,91,68,1,1394
130,91,42,1,1394
131,91,75,1,1394
132,39,33,1,1394
133,39,35,1,1394
134,39,93,1,1394
135,39,24,1,1394
136,39,14,1,1394
137,39,70,2,1394
138,39,3,1,1394
139,39,59,1,1394
140,69,75,1,1394
141,69,54,1,1394
142,69,46,1,1394
143,69,19,1,1394
144,69,7,4,1394
145,69,57,1,1394
146,69,51,1,1394
147,69,3,2,1394
148,69,27,1,1394
149,69,14,3,1394
150,69,6,1,1394
151,69,72,1,1394
152,69,93,1,1394
153,69,82,1,1394
154,50,50,3,1394
155,50,49,3,1394
156,29,39,1,1394
157,29,37,1,1394
158,29,83,1,1394
159,29,12,1,1394
160,29,21,1,1394
161,29,6,1,1394
162,29,24,1,1394
163,29,25,2,1394
164,66,34,1,1394
165,66,60,1,1394
166,66,51,1,1394
167,66,33,1,1394
168,66,81,1,1394
169,66,75,1,1394
170,66,24,1,1394
171,66,17,1,1394
172,66,97,2,1394
173,66,84,1,1394
174,66,8,1,1394
175,66,21,1,1394
176,66,38,1,1394
177,66,45,1,1394
178,66,3,1,1394
179,66,67,1,1394
180,66,19,1,1394
181,66,76,1,1394
182,57,52,1,1394
183,57,73,1,1394
184,57,20,1,1394
185,57,2,1,1394
186,57,26,1,1394
187,57,4,1,1394
188,57,91,1,1394
189,67,48,1,1394
190,67,28,1,1394
191,67,35,1,1394
192,67,62,2,1394
193,67,51,1,1394
194,67,97,1,1394
195,67,96,1,1394
196,67,23,1,1394
197,67,41,1,1394
198,67,31,1,1394
199,67,29,1,1394
200,67,9,1,1394
201,67,14,1,1394
202,67,36,1,1394
203,67,54,1,1394
204,67,5,1,1394
205,67,89,1,1394
206,73,54,1,1394
207,73,72,1,1394
208,73,19,2,1394
209,73,17,1,1394
210,73,27,1,1394
211,73,15,1,1394
212,73,47,1,1394
213,73,11,1,1394
214,73,30,1,1394
215,73,4,1,1394
216,73,35,1,1394
217,73,67,1,1394
218,72,54,1,1394
219,72,47,1,1394
220,72,32,1,1394
221,72,62,1,1394
222,72,15,1,1394
223,72,95,1,1394
224,72,61,1,1394
225,72,3,1,1394
226,72,51,1,1394
227,72,50,1,1394
228,72,6,1,1394
229,72,18,1,1394
230,72,16,1,1394
231,72,4,1,1394
232,72,29,1,1394
233,72,37,1,1394
234,49,50,6,1394
235,49,42,1,1394
236,49,60,1,1394
237,49,49,2,1394
238,49,25,1,1394
239,70,58,1,1394
240,70,51,1,1394
241,70,7,1,1394
242,70,95,1,1394
243,70,55,1,1394
244,70,100,1,1394
245,70,65,1,1394
246,70,29,1,1394
247,70,84,1,1394
248,70,23,1,1394
249,70,22,1,1394
250,70,67,1,1394
251,70,5,1,1394
252,81,48,1,1394
253,81,50,1,1394
254,81,32,1,1394
255,81,14,1,1394
256,81,12,1,1394
257,81,33,1,1394
258,81,40,1,1394
259,55,78,2,1394
260,55,14,1,1394
261,55,46,1,1394
262,55,28,1,1394
263,55,32,1,1394
264,55,20,1,1394
265,55,75,1,1394
266,55,6,1,1394
267,55,29,1,1394
268,55,56,1,1394
269,19,65,1,1394
270,19,63,1,1394
271,19,8,1,1394
272,19,30,1,1394
273,19,24,1,1394
274,19,48,1,1394
275,22,62,1,1394
276,56,73,1,1394
277,56,45,1,1394
278,56,6,1,1394
279,56,10,1,1394
280,56,42,1,1394
281,56,93,1,1394
282,56,87,2,1394
283,56,27,1,1394
284,56,7,1,1394
285,56,35,1,1394
286,56,26,1,1394
287,56,48,2,1394
288,56,4,1,1394
289,48,50,2,1394
290,48,80,1,1394
291,48,8,1,1394
292,48,95,1,1394
293,48,59,2,1394
294,87,45,1,1394
295,87,86,1,1394
296,87,95,1,1394
297,87,51,1,1394
298,87,14,2,1394
299,87,25,1,1394
300,87,30,1,1394
301,87,41,1,1394
302,89,45,1,1394
303,89,23,1,1394
304,89,83,1,1394
305,89,28,1,1394
306,89,85,1,1394
307,89,5,1,1394
308,89,26,1,1394
309,89,6,2,1394
310,89,2,1,1394
311,89,21,1,1394
312,89,16,1,1394
313,89,14,2,1394
314,89,12,1,1394
315,89,42,1,1394
316,64,33,1,1394
317,64,71,1,1394
318,64,82,1,1394
319,64,43,1,1394
320,64,25,1,1394
321,64,14,1,1394
322,64,53,1,1394
323,64,17,1,1394
324,64,8,1,1394
325,64,4,2,1394
326,64,12,1,1394
327,63,50,1,1394
328,63,15,1,1394
329,63,33,1,1394
330,63,48,1,1394
331,63,6,1,1394
332,63,30,2,1394
333,63,90,1,1394
334,63,14,1,1394
335,63,80,1,1394
336,63,5,1,1394
337,63,70,1,1394
338,63,47,1,1394
339,63,16,1,1394
340,8,34,1,1394
341,8,11,1,1394
342,8,40,1,1394
343,84,9,1,1394
344,84,28,1,1394
345,84,100,1,1394
346,84,26,1,1394
347,84,70,1,1394
348,84,12,1,1394
349,84,92,1,1394
350,84,65,1,1394
351,84,24,1,1394
352,84,10,1,1394
353,84,11,1,1394
354,84,3,2,1394
355,84,13,1,1394
356,90,16,1,1394
357,90,87,1,1394
358,90,86,1,1394
359,90,17,1,1394
360,90,51,1,1394
361,90,35,1,1394
362,90,14,1,1394
363,90,39,1,1394
364,90,21,1,1394
365,90,24,1,1394
366,90,5,1,1394
367,90,15,1,1394
368,90,20,1,1394
369,90,90,1,1394
370,51,8,1,1394
371,51,13,1,1394
372,51,75,1,1394
373,31,40,1,1394
374,31,41,1,1394
375,31,7,1,1394
376,31,48,1,1394
377,31,47,1,1394
378,31,37,1,1394
379,31,2,1,1394
380,31,10,1,1394
381,31,46,1,1394
382,31,44,1,1394
383,33,43,1,1394
384,33,28,1,1394
385,33,25,1,1394
386,33,64,1,1394
387,33,0,1,1394
388,33,10,1,1394
389,33,22,1,1394
390,33,3,1,1394
391,33,45,1,1394
392,10,40,1,1394
393,7,41,2,1394
394,7,35,1,1394
395,59,60,1,1394
396,59,10,2,1394
397,59,15,1,1394
398,59,40,1,1394
399,59,37,1,1394
400,59,23,1,1394
401,59,5,1,1394
402,59,26,1,1394
403,59,27,1,1394
404,59,77,1,1394
405,59,6,2,1394
406,14,26,1,1394
407,14,27,1,1394
408,12,36,1,1394
409,35,15,2,1394
410,35,19,1,1394
411,35,36,1,1394
412,35,66,1,1394
413,35,68,1,1394
414,35,80,1,1394
415,35,58,1,1394
416,35,92,1,1394
417,35,41,1,1394
418,35,42,1,1394
419,32,65,1,1394
420,32,73,1,1394
421,32,69,1,1394
422,32,79,1,1394
423,32,45,1,1394
424,32,5,1,1394
425,32,4,1,1394
426,32,46,1,1394
427,32,12,1,1394
428,45,41,1,1394
429,45,54,1,1394
430,45,5,1,1394
431,45,53,1,1394
432,45,21,1,1394
433,45,90,1,1394
434,45,70,1,1394
435,45,13,1,1394
436,41,14,1,1394
437,41,5,1,1394
438,41,8,1,1394
439,41,79,1,1394
440,41,72,1,1394
441,41,46,1,1394
442,41,90,1,1394
443,41,10,2,1394
444,41,7,1,1394
445,41,9,1,1394
446,41,3,1,1394
447,23,12,2,1394
448,23,38,1,1394
449,23,54,1,1394
450,23,42,1,1394
451,37,15,1,1394
452,37,51,1,1394
453,37,22,1,1394
454,37,24,1,1394
455,37,0,1,1394
456,37,37,1,1394
457,37,68,1,1394
458,37,69,1,1394
459,37,94,1,1394
460,37,89,1,1394
461,37,17,1,1394
462,37,10,1,1394
463,24,17,1,1394
464,24,25,1,1394
465,27,8,1,1394
466,27,44,1,1394
467,27,10,1,1394
468,27,3,1,1394
469,27,53,1,1394
470,75,40,1,1394
471,75,47,1,1394
472,75,23,1,1394
473,75,5,1,1394
474,75,32,1,1394
475,75,78,1,1394
476,75,7,3,1394
477,75,33,1,1394
478,75,25,1,1394
479,75,17,1,1394
480,75,9,1,1394
481,75,34,1,1394
482,38,19,1,1394
483,38,28,1,1394
484,38,67,1,1394
485,38,33,1,1394
486,38,17,1,1394
487,38,22,1,1394
488,38,80,1,1394
489,38,16,2,1394
490,38,82,1,1394
491,38,66,1,1394
492,38,52,1,1394
493,36,18,1,1394
494,36,72,1,1394
495,36,46,1,1394
496,36,40,1,1394
497,36,85,1,1394
498,36,7,1,1394
499,36,12,1,1394
500,34,26,2,1394
501,34,76,1,1394
502,34,13,1,1394
503,34,37,1,1394
504,34,12,1,1394
505,34,11,1,1394
506,34,4,2,1394
507,34,3,1,1394
508,34,10,1,1394
509,34,2,1,1394
510,34,21,1,1394
511,97,29,1,1394
512,97,23,1,1394
513,97,30,1,1394
514,97,53,1,1394
515,97,68,1,1394
516,97,24,1,1394
517,44,8,2,1394
518,44,67,1,1394
519,44,91,1,1394
520,44,83,1,1394
521,44,61,1,1394
522,44,24,1,1394
523,44,55,1,1394
524,74,48,2,1394
525,74,81,1,1394
526,74,27,1,1394
527,74,39,1,1394
528,74,46,1,1394
529,74,28,1,1394
530,74,5,1,1394
531,74,72,1,1394
532,80,91,1,1394
533,80,51,1,1394
534,80,29,1,1394
535,92,23,2,1394
536,92,19,1,1394
537,92,38,1,1394
538,92,26,1,1394
539,92,53,1,1394
540,92,45,1,1394
541,92,63,1,1394
542,92,59,1,1394
543,92,60,1,1394
544,92,65,1,1394
545,43,55,1,1394
546,43,5,1,1394
547,43,69,1,1394
548,43,59,1,1394
549,43,63,1,1394
550,43,94,1,1394
551,43,13,1,1394
552,43,92,1,1394
553,43,31,1,1394
554,43,4,1,1394
555,43,12,2,1394
556,43,61,1,1394
557,77,80,1,1394
558,77,34,2,1394
559,77,63,1,1394
560,77,24,1,1394
561,77,16,1,1394
562,77,17,1,1394
563,77,97,1,1394
564,77,26,1,1394
565,77,46,1,1394
566,68,100,1,1394
567,68,61,1,1394
568,68,20,2,1394
569,68,17,1,1394
570,68,70,1,1394
571,68,7,1,1394
572,68,25,2,1394
573,68,12,1,1394
574,68,99,1,1394
575,68,32,1,1394
576,68,54,2,1394
577,68,82,1,1394
578,85,65,1,1394
579,85,68,1,1394
580,85,22,1,1394
581,85,29,1,1394
582,85,52,1,1394
583,85,11,1,1394
584,85,8,2,1394
585,85,7,1,1394
586,85,10,1,1394
587,85,20,1,1394
588,85,12,1,1394
589,85,39,1,1394
590,85,34,1,1394
591,54,27,1,1394
592,54,80,1,1394
593,54,79,1,1394
594,54,96,1,1394
595,54,12,1,1394
596,54,30,1,1394
597,54,53,1,1394
598,54,25,1,1394
599,54,68,1,1394
600,79,8,1,1394
601,79,26,1,1394
602,79,51,1,1394
603,79,29,1,1394
604,79,11,1,1394
605,79,90,1,1394
606,79,5,1,1394
607,79,2,1,1394
608,42,92,1,1394
609,42,28,1,1394
610,42,34,1,1394
611,42,67,1,1394
612,42,9,1,1394
613,42,6,1,1394
614,47,4,1,1394
615,47,74,1,1394
616,47,54,2,1394
617,47,83,1,1394
618,47,71,1,1394
619,47,41,1,1394
620,47,64,1,1394
621,76,50,1,1394
622,76,3,4,1394
623,76,6,1,1394
624,76,52,1,1394
625,76,54,1,1394
626,76,91,1,1394
627,76,8,1,1394
628,76,78,1,1394
629,76,57,1,1394
630,46,46,1,1394
631,46,2,1,1394
632,46,44,1,1394
633,46,6,1,1394
634,46,4,1,1394
635,46,43,1,1394
636,46,25,1,1394
637,46,86,1,1394
638,11,43,1,1394
639,11,32,1,1394
640,82,68,1,1394
641,82,12,2,1394
642,82,5,1,1394
643,82,4,1,1394
644,82,85,2,1394
645,82,10,1,1394
646,82,17,1,1394
647,82,14,1,1394
648,82,27,1,1394
649,52,41,1,1394
650,52,12,2,1394
651,52,46,1,1394
652,52,42,1,1394
653,52,70,1,1394
654,96,4,1,1394
655,96,5,1,1394
656,96,95,1,1394
657,96,33,1,1394
658,96,42,1,1394
659,96,41,1,1394
660,96,23,1,1394
661,96,27,1,1394
662,95,74,1,1394
663,95,22,1,1394
664,95,26,1,1394
665,95,29,1,1394
666,95,81,1,1394
667,95,85,1,1394
668,98,73,1,1394
669,98,96,1,1394
670,88,28,2,1394
671,88,7,1,1394
672,88,68,1,1394
673,88,36,1,1394
674,88,11,1,1394
675,88,29,1,1394
676,88,75,2,1394
677,88,88,1,1394
678,18,92,1,1394
679,18,20,1,1394
680,30,44,1,1394
681,30,80,1,1394
682,30,16,2,1394
683,30,9,1,1394
684,30,42,1,1394
685,30,56,1,1394
686,86,28,1,1394
687,86,74,1,1394
688,86,39,1,1394
689,86,10,1,1394
690,86,15,1,1394
691,86,8,2,1394
692,86,62,1,1394
693,86,38,1,1394
694,40,11,1,1394
695,40,40,1,1394
696,40,37,1,1394
697,40,21,1,1394
698,40,8,2,1394
699,40,78,1,1394
700,40,5,1,1394
701,83,25,1,1394
702,83,69,1,1394
703,83,6,1,1394
704,83,33,1,1394
705,6,17,1,1394
706,5,20,1,1394
707,5,45,1,1394
708,3,19,1,1394
709,3,15,1,1394
710,9,61,1,1394
711,9,43,1,1394
712,9,26,1,1394
713,100,29,1,1394
714,100,19,1,1394
715,13,41,1,1394
716,13,48,1,1394
717,20,37,1,1394
718,20,40,1,1394
719,20,43,1,1394
720,20,38,1,1394
721,99,47,1,1394
722,99,0,1,1394
723,26,36,1,1394
724,26,3,2,1394
725,26,65,1,1394
726,28,1,1,1394
727,25,8,1,1394
