nokta_no,x,y,count,sezon_dakikasi
1,30,66,4,1958
2,30,76,1,1958
3,30,17,1,1958
4,30,20,1,1958
5,30,75,2,1958
6,30,67,1,1958
7,30,24,1,1958
8,30,31,1,1958
9,30,69,2,1958
10,30,77,1,1958
11,30,65,1,1958
12,30,45,2,1958
13,30,61,1,1958
14,30,29,2,1958
15,30,26,1,1958
16,30,16,2,1958
17,30,28,2,1958
18,30,25,2,1958
19,30,22,1,1958
20,30,39,1,1958
21,30,33,1,1958
22,34,56,2,1958
23,34,51,1,1958
24,34,4,1,1958
25,34,85,1,1958
26,34,79,1,1958
27,34,40,1,1958
28,34,53,2,1958
29,34,72,1,1958
30,34,20,1,1958
31,34,49,1,1958
32,34,6,2,1958
33,34,23,1,1958
34,34,11,1,1958
35,34,90,1,1958
36,34,55,1,1958
37,34,61,1,1958
38,34,92,1,1958
39,34,78,1,1958
40,34,24,1,1958
41,34,33,1,1958
42,34,32,1,1958
43,34,57,1,1958
44,34,58,2,1958
45,34,68,1,1958
46,34,37,1,1958
47,34,13,1,1958
48,52,53,1,1958
49,52,57,1,1958
50,52,46,1,1958
51,52,58,1,1958
52,52,86,1,1958
53,52,31,1,1958
54,52,8,1,1958
55,52,95,1,1958
56,52,34,1,1958
57,52,52,1,1958
58,52,12,1,1958
59,52,25,1,1958
60,52,56,1,1958
61,52,54,1,1958
62,52,60,1,1958
63,52,47,2,1958
64,52,49,1,1958
65,52,40,1,1958
66,52,33,1,1958
67,52,28,1,1958
68,52,83,1,1958
69,52,43,1,1958
70,52,84,1,1958
71,52,42,1,1958
72,52,59,1,1958
73,74,17,1,1958
74,74,61,1,1958
75,74,18,2,1958
76,74,35,1,1958
77,74,64,1,1958
78,74,59,1,1958
79,74,14,1,1958
80,74,43,1,1958
81,74,84,1,1958
82,74,20,1,1958
83,74,8,1,1958
84,74,60,1,1958
85,74,42,1,1958
86,74,6,1,1958
87,40,68,1,1958
88,40,45,1,1958
89,40,33,2,1958
90,40,77,1,1958
91,40,17,1,1958
92,40,41,1,1958
93,40,66,4,1958
94,40,61,2,1958
95,40,48,1,1958
96,40,5,1,1958
97,40,64,1,1958
98,40,58,2,1958
99,40,26,1,1958
100,40,46,1,1958
101,40,7,1,1958
102,40,59,1,1958
103,40,86,1,1958
104,40,70,1,1958
105,40,27,1,1958
106,40,79,1,1958
107,40,74,1,1958
108,40,10,2,1958
109,40,14,1,1958
110,40,62,1,1958
111,33,85,1,1958
112,33,88,1,1958
113,33,43,1,1958
114,33,38,1,1958
115,33,50,1,1958
116,33,53,1,1958
117,33,42,1,1958
118,33,55,1,1958
