nokta_no,x,y,count,sezon_dakikasi
1,37,77,2,2727
2,37,96,2,2727
3,37,89,3,2727
4,37,86,1,2727
5,37,64,2,2727
6,37,67,1,2727
7,37,69,1,2727
8,37,72,1,2727
9,37,60,1,2727
10,37,87,2,2727
11,37,82,1,2727
12,37,95,1,2727
13,37,70,1,2727
14,37,51,1,2727
15,37,68,1,2727
16,37,93,2,2727
17,37,76,1,2727
18,37,80,1,2727
19,37,94,1,2727
20,37,43,1,2727
21,37,27,1,2727
22,37,21,1,2727
23,60,84,2,2727
24,60,83,2,2727
25,60,24,1,2727
26,60,87,2,2727
27,60,67,1,2727
28,60,78,1,2727
29,60,77,2,2727
30,60,29,2,2727
31,60,90,3,2727
32,60,71,1,2727
33,60,74,1,2727
34,60,75,1,2727
35,60,94,1,2727
36,60,46,1,2727
37,60,91,1,2727
38,60,96,1,2727
39,60,62,1,2727
40,60,76,1,2727
41,60,92,1,2727
42,60,64,1,2727
43,60,81,1,2727
44,60,47,1,2727
45,60,82,1,2727
46,72,91,1,2727
47,72,68,1,2727
48,72,87,2,2727
49,72,43,1,2727
50,72,13,1,2727
51,72,34,1,2727
52,72,66,2,2727
53,72,81,1,2727
54,72,33,1,2727
55,72,44,2,2727
56,72,88,1,2727
57,72,97,1,2727
58,72,65,2,2727
59,72,96,1,2727
60,72,73,2,2727
61,72,55,1,2727
62,72,85,1,2727
63,72,90,1,2727
64,72,93,1,2727
65,72,62,1,2727
66,72,78,1,2727
67,72,89,1,2727
68,72,71,1,2727
69,72,32,1,2727
70,72,75,1,2727
71,72,82,1,2727
72,72,69,1,2727
73,72,17,1,2727
74,72,39,1,2727
75,72,63,1,2727
76,72,49,1,2727
77,67,72,1,2727
78,67,84,3,2727
79,67,93,4,2727
80,67,20,1,2727
81,67,40,2,2727
82,67,86,1,2727
83,67,83,2,2727
84,67,36,1,2727
85,67,80,1,2727
86,67,90,2,2727
87,67,58,1,2727
88,67,22,1,2727
89,67,79,1,2727
90,67,69,1,2727
91,67,73,2,2727
92,67,81,2,2727
93,67,88,2,2727
94,67,87,1,2727
95,67,15,1,2727
96,67,97,1,2727
97,67,95,1,2727
98,67,35,1,2727
99,67,75,1,2727
100,67,94,1,2727
101,67,96,1,2727
102,67,89,1,2727
103,67,70,2,2727
104,67,92,2,2727
105,67,78,1,2727
106,65,28,1,2727
107,65,93,1,2727
108,65,85,2,2727
109,65,12,1,2727
110,65,71,1,2727
111,65,15,2,2727
112,65,97,1,2727
113,65,83,2,2727
114,65,55,1,2727
115,65,69,1,2727
116,65,98,1,2727
117,65,90,2,2727
118,65,95,1,2727
119,65,91,2,2727
120,65,74,1,2727
121,65,68,1,2727
122,65,81,1,2727
123,65,86,1,2727
124,65,27,1,2727
125,65,75,1,2727
126,65,24,2,2727
127,65,67,1,2727
128,65,73,1,2727
129,65,80,1,2727
130,65,96,2,2727
131,65,94,1,2727
132,65,22,1,2727
133,65,70,1,2727
134,65,87,2,2727
135,65,92,1,2727
136,65,0,1,2727
137,65,49,1,2727
138,65,59,1,2727
139,80,87,2,2727
140,80,57,1,2727
141,80,32,1,2727
142,80,54,1,2727
143,80,83,2,2727
144,80,52,1,2727
145,80,73,2,2727
146,80,63,1,2727
147,80,69,1,2727
148,80,24,1,2727
149,80,51,1,2727
150,80,70,1,2727
151,80,66,2,2727
152,80,74,1,2727
153,80,19,1,2727
154,80,98,1,2727
155,80,11,1,2727
156,87,89,2,2727
157,87,86,1,2727
158,87,87,2,2727
159,87,68,1,2727
160,87,49,2,2727
161,87,67,1,2727
162,87,100,1,2727
163,87,21,1,2727
164,87,28,1,2727
165,87,60,1,2727
166,87,66,1,2727
167,87,76,1,2727
168,87,71,1,2727
169,87,85,1,2727
170,87,72,1,2727
171,87,78,1,2727
172,62,36,1,2727
173,62,62,1,2727
174,62,86,1,2727
175,62,75,2,2727
176,62,24,1,2727
177,62,78,1,2727
178,62,89,1,2727
179,62,69,1,2727
180,62,94,2,2727
181,62,95,1,2727
182,62,97,1,2727
183,62,64,1,2727
184,62,30,1,2727
185,62,20,1,2727
186,62,27,1,2727
187,62,87,1,2727
188,62,92,2,2727
189,62,96,2,2727
190,62,91,1,2727
191,62,76,1,2727
192,62,34,1,2727
193,62,90,1,2727
194,62,93,1,2727
195,62,23,1,2727
196,62,53,1,2727
197,62,15,1,2727
198,69,93,3,2727
199,69,37,1,2727
200,69,42,2,2727
201,69,50,1,2727
202,69,69,2,2727
203,69,45,1,2727
204,69,73,1,2727
205,69,72,1,2727
206,69,82,2,2727
207,69,67,1,2727
208,69,58,2,2727
209,69,44,1,2727
210,69,90,2,2727
211,69,16,1,2727
212,69,98,2,2727
213,69,96,1,2727
214,69,65,1,2727
215,69,74,3,2727
216,69,75,2,2727
217,69,97,1,2727
218,69,59,1,2727
219,69,76,1,2727
220,69,89,5,2727
221,69,84,1,2727
222,69,62,1,2727
223,69,95,3,2727
224,69,100,1,2727
225,69,36,1,2727
226,69,86,1,2727
227,69,83,2,2727
228,69,28,1,2727
229,69,70,1,2727
230,69,94,1,2727
231,69,6,1,2727
232,69,87,1,2727
233,69,91,1,2727
234,69,22,1,2727
235,91,84,1,2727
236,91,5,1,2727
237,91,74,1,2727
238,91,96,1,2727
239,91,50,1,2727
240,91,80,1,2727
241,91,90,1,2727
242,91,83,1,2727
243,91,71,2,2727
244,91,51,1,2727
245,91,81,1,2727
246,91,87,1,2727
247,91,7,1,2727
248,91,31,1,2727
249,91,23,2,2727
250,93,81,1,2727
251,93,74,2,2727
252,93,85,1,2727
253,93,90,1,2727
254,93,76,1,2727
255,93,31,1,2727
256,97,67,2,2727
257,97,29,1,2727
258,97,81,1,2727
259,97,56,1,2727
260,97,57,1,2727
261,97,90,1,2727
262,97,75,2,2727
263,66,55,1,2727
264,66,67,3,2727
265,66,28,1,2727
266,66,19,1,2727
267,66,45,1,2727
268,66,85,2,2727
269,66,83,3,2727
270,66,89,2,2727
271,66,64,2,2727
272,66,90,2,2727
273,66,93,1,2727
274,66,96,3,2727
275,66,92,2,2727
276,66,60,1,2727
277,66,73,1,2727
278,66,79,3,2727
279,66,94,3,2727
280,66,78,1,2727
281,66,68,1,2727
282,66,86,1,2727
283,66,61,1,2727
284,66,48,1,2727
285,66,54,1,2727
286,66,39,1,2727
287,68,44,1,2727
288,68,20,1,2727
289,68,89,3,2727
290,68,48,1,2727
291,68,31,1,2727
292,68,33,3,2727
293,68,65,1,2727
294,68,53,1,2727
295,68,82,1,2727
296,68,76,2,2727
297,68,72,2,2727
298,68,83,3,2727
299,68,71,2,2727
300,68,95,1,2727
301,68,97,1,2727
302,68,46,2,2727
303,68,91,2,2727
304,68,90,1,2727
305,68,94,1,2727
306,68,85,1,2727
