nokta_no,x,y,count,sezon_dakikasi
1,28,73,1,2451
2,28,46,1,2451
3,28,33,1,2451
4,28,27,1,2451
5,28,74,1,2451
6,28,90,1,2451
7,28,37,3,2451
8,28,12,1,2451
9,28,42,1,2451
10,28,92,1,2451
11,28,32,1,2451
12,28,75,2,2451
13,28,93,1,2451
14,28,40,1,2451
15,26,29,1,2451
16,26,60,1,2451
17,26,32,1,2451
18,26,27,1,2451
19,26,79,1,2451
20,26,69,1,2451
21,26,51,1,2451
22,26,46,2,2451
23,26,37,1,2451
24,26,30,1,2451
25,41,38,1,2451
26,41,27,2,2451
27,41,89,2,2451
28,41,81,1,2451
29,41,50,2,2451
30,41,31,1,2451
31,41,9,1,2451
32,41,47,2,2451
33,41,22,1,2451
34,41,28,1,2451
35,41,70,1,2451
36,41,66,4,2451
37,41,83,1,2451
38,41,84,1,2451
39,41,80,1,2451
40,41,90,1,2451
41,41,86,2,2451
42,41,63,1,2451
43,41,62,1,2451
44,41,85,1,2451
45,41,59,1,2451
46,41,44,1,2451
47,41,40,1,2451
48,41,15,1,2451
49,41,26,1,2451
50,41,72,1,2451
51,41,61,1,2451
52,41,76,1,2451
53,44,74,2,2451
54,44,83,2,2451
55,44,92,2,2451
56,44,81,3,2451
57,44,93,1,2451
58,44,71,2,2451
59,44,44,1,2451
60,44,72,2,2451
61,44,13,1,2451
62,44,46,3,2451
63,44,41,1,2451
64,44,43,1,2451
65,44,23,1,2451
66,44,26,1,2451
67,44,60,2,2451
68,44,14,1,2451
69,44,28,2,2451
70,44,95,1,2451
71,44,63,2,2451
72,44,76,1,2451
73,44,86,1,2451
74,44,4,2,2451
75,44,34,1,2451
76,44,24,1,2451
77,44,88,1,2451
78,44,67,1,2451
79,44,45,1,2451
80,44,69,1,2451
81,44,36,1,2451
82,44,61,1,2451
83,44,73,1,2451
84,44,66,1,2451
85,44,80,1,2451
86,44,56,1,2451
87,74,26,1,2451
88,74,82,1,2451
89,74,58,1,2451
90,74,18,1,2451
91,74,62,2,2451
92,74,23,2,2451
93,74,81,1,2451
94,74,77,1,2451
95,74,57,1,2451
96,74,79,1,2451
97,74,16,1,2451
98,62,87,1,2451
99,62,90,3,2451
100,62,26,1,2451
101,62,17,1,2451
102,62,77,1,2451
103,62,86,1,2451
104,62,27,1,2451
105,62,79,1,2451
106,62,31,1,2451
107,62,40,1,2451
108,62,92,1,2451
109,62,70,1,2451
110,62,4,1,2451
111,62,36,1,2451
112,62,82,1,2451
113,62,52,1,2451
114,62,57,1,2451
115,62,66,2,2451
116,62,80,1,2451
117,62,32,1,2451
118,62,54,1,2451
119,62,81,1,2451
120,62,6,1,2451
121,19,87,1,2451
122,19,85,1,2451
123,19,81,1,2451
124,19,54,1,2451
125,19,35,2,2451
126,19,48,1,2451
127,19,27,2,2451
128,19,78,1,2451
129,55,97,1,2451
130,55,53,2,2451
131,55,67,2,2451
132,55,46,1,2451
133,55,42,1,2451
134,55,31,1,2451
135,55,30,1,2451
136,55,90,1,2451
137,55,93,1,2451
138,55,84,1,2451
139,55,88,1,2451
140,55,70,1,2451
141,55,7,1,2451
142,55,55,1,2451
143,55,34,1,2451
144,55,89,1,2451
145,55,57,1,2451
146,55,56,1,2451
147,55,75,1,2451
148,55,76,1,2451
149,55,73,1,2451
150,55,18,1,2451
151,55,28,1,2451
152,55,62,1,2451
153,55,49,1,2451
154,55,19,1,2451
155,55,71,1,2451
156,55,82,1,2451
157,11,9,1,2451
158,11,32,1,2451
159,11,59,1,2451
160,11,92,1,2451
161,11,14,1,2451
162,11,35,1,2451
163,27,23,1,2451
164,27,10,1,2451
165,27,8,1,2451
166,27,71,1,2451
167,27,87,1,2451
168,27,51,1,2451
169,27,27,3,2451
170,27,67,2,2451
171,27,46,1,2451
172,27,70,1,2451
173,27,4,1,2451
174,27,13,1,2451
175,27,26,2,2451
176,27,29,2,2451
177,27,63,1,2451
178,27,38,2,2451
179,27,22,1,2451
180,27,41,1,2451
181,27,60,1,2451
182,27,17,2,2451
183,27,61,1,2451
184,27,39,1,2451
185,27,62,1,2451
186,27,64,1,2451
187,27,81,1,2451
188,27,53,1,2451
189,27,52,1,2451
190,27,16,1,2451
191,27,44,1,2451
192,27,45,1,2451
193,27,83,1,2451
194,70,57,1,2451
195,70,61,1,2451
196,70,71,1,2451
197,70,62,1,2451
198,70,16,1,2451
199,70,44,1,2451
200,70,100,1,2451
201,70,52,1,2451
202,70,59,1,2451
203,70,47,1,2451
204,70,77,2,2451
205,70,32,1,2451
206,70,85,1,2451
207,70,36,2,2451
208,70,79,1,2451
209,70,70,1,2451
210,70,82,1,2451
211,70,25,1,2451
212,70,58,1,2451
213,54,82,2,2451
214,54,75,2,2451
215,54,65,3,2451
216,54,68,2,2451
217,54,51,3,2451
218,54,89,2,2451
219,54,55,2,2451
220,54,94,1,2451
221,54,47,1,2451
222,54,23,1,2451
223,54,70,2,2451
224,54,61,1,2451
225,54,53,1,2451
226,54,71,1,2451
227,54,31,1,2451
228,54,91,1,2451
229,54,74,1,2451
230,54,64,3,2451
231,54,88,1,2451
232,54,36,1,2451
233,54,30,1,2451
234,54,33,1,2451
235,54,62,1,2451
236,54,54,1,2451
237,54,67,1,2451
238,73,49,1,2451
239,73,79,3,2451
240,73,76,2,2451
241,73,35,1,2451
242,73,65,1,2451
243,73,22,1,2451
244,73,50,1,2451
245,73,14,2,2451
246,73,89,2,2451
247,73,64,1,2451
248,73,17,1,2451
249,73,34,1,2451
250,73,20,1,2451
251,73,23,1,2451
252,73,100,1,2451
253,77,77,1,2451
254,77,67,1,2451
255,77,93,1,2451
256,77,95,1,2451
257,77,59,1,2451
258,77,73,1,2451
259,77,80,1,2451
260,77,29,1,2451
261,77,87,1,2451
262,77,42,1,2451
263,77,100,1,2451
264,77,57,1,2451
265,77,55,1,2451
266,77,37,1,2451
267,60,71,1,2451
268,60,56,1,2451
269,60,32,2,2451
270,60,13,1,2451
271,60,4,1,2451
272,60,62,1,2451
273,60,36,2,2451
274,60,10,1,2451
275,60,65,1,2451
276,60,25,1,2451
277,60,20,1,2451
278,60,81,1,2451
279,60,18,2,2451
280,60,85,1,2451
281,60,87,1,2451
282,60,11,1,2451
283,60,86,2,2451
284,60,82,1,2451
285,60,46,1,2451
286,60,91,1,2451
287,60,97,1,2451
288,60,29,1,2451
289,60,70,1,2451
290,60,43,1,2451
291,60,57,1,2451
292,72,78,1,2451
293,72,79,2,2451
294,72,48,2,2451
295,72,21,1,2451
296,72,70,2,2451
297,72,18,1,2451
298,72,23,1,2451
299,72,14,2,2451
300,72,59,1,2451
301,72,90,1,2451
302,72,82,1,2451
303,72,38,1,2451
304,72,58,1,2451
305,72,53,1,2451
306,72,45,1,2451
307,72,87,1,2451
308,72,69,1,2451
309,72,42,1,2451
310,72,97,1,2451
311,87,93,1,2451
312,87,4,1,2451
313,87,47,1,2451
314,87,57,1,2451
315,87,71,1,2451
316,87,8,1,2451
317,87,56,1,2451
318,84,93,1,2451
319,84,60,1,2451
320,84,53,1,2451
321,84,52,1,2451
322,84,58,1,2451
323,30,83,1,2451
324,30,58,1,2451
325,30,57,1,2451
326,30,40,1,2451
327,30,3,1,2451
328,30,68,1,2451
329,30,89,2,2451
330,30,85,1,2451
331,30,93,2,2451
332,30,64,1,2451
333,30,32,1,2451
334,30,50,1,2451
335,30,39,1,2451
336,30,29,1,2451
337,30,72,3,2451
338,30,49,1,2451
339,30,80,1,2451
340,30,48,1,2451
341,30,81,1,2451
342,30,97,1,2451
343,30,98,1,2451
344,30,52,1,2451
345,30,11,1,2451
346,40,37,2,2451
347,40,47,1,2451
348,40,14,2,2451
349,40,77,1,2451
350,40,42,1,2451
351,40,70,2,2451
352,40,9,1,2451
353,40,73,3,2451
354,40,67,1,2451
355,40,21,1,2451
356,40,11,1,2451
357,40,79,2,2451
358,40,26,1,2451
359,40,95,1,2451
360,40,89,1,2451
361,40,88,1,2451
362,40,55,1,2451
363,40,48,1,2451
364,40,7,1,2451
365,40,80,2,2451
366,40,91,1,2451
367,40,71,3,2451
368,40,82,1,2451
369,40,34,1,2451
370,40,29,2,2451
371,40,4,1,2451
372,40,38,1,2451
373,40,84,1,2451
374,40,25,1,2451
375,40,66,1,2451
376,40,62,1,2451
377,40,23,1,2451
378,32,69,2,2451
379,32,45,1,2451
380,32,66,2,2451
381,32,43,1,2451
382,32,6,1,2451
383,32,47,2,2451
384,32,46,1,2451
385,32,27,1,2451
386,32,10,1,2451
387,32,38,2,2451
388,32,40,1,2451
389,32,59,1,2451
390,32,89,2,2451
391,32,34,1,2451
392,32,76,1,2451
393,32,30,1,2451
394,32,26,1,2451
395,32,28,1,2451
396,32,41,3,2451
397,32,48,1,2451
398,32,55,1,2451
399,32,25,1,2451
400,32,20,1,2451
401,32,32,1,2451
402,32,23,1,2451
403,42,46,1,2451
404,42,81,1,2451
405,42,29,1,2451
406,42,73,1,2451
407,42,87,1,2451
408,42,93,2,2451
409,42,89,1,2451
410,42,28,2,2451
411,42,74,2,2451
412,42,49,2,2451
413,42,19,1,2451
414,42,71,1,2451
415,42,16,1,2451
416,42,92,1,2451
417,42,25,1,2451
418,42,80,1,2451
419,42,10,1,2451
420,42,66,1,2451
421,42,64,1,2451
422,42,38,1,2451
423,42,37,1,2451
424,42,61,2,2451
425,42,48,1,2451
426,42,86,1,2451
427,42,22,1,2451
428,42,90,1,2451
429,42,54,1,2451
430,53,76,2,2451
431,53,57,2,2451
432,53,77,1,2451
433,53,53,1,2451
434,53,92,1,2451
435,53,93,1,2451
436,53,44,1,2451
437,53,11,1,2451
438,53,15,1,2451
439,53,65,3,2451
440,53,72,1,2451
441,53,88,1,2451
442,53,48,1,2451
443,53,43,1,2451
444,53,60,3,2451
445,53,45,2,2451
446,53,69,1,2451
447,53,54,1,2451
448,53,91,1,2451
449,53,23,1,2451
450,53,56,3,2451
451,53,25,1,2451
452,53,61,1,2451
453,53,66,1,2451
454,53,63,1,2451
455,53,52,1,2451
456,53,64,1,2451
457,53,58,1,2451
458,53,49,1,2451
459,53,62,1,2451
460,53,55,1,2451
461,53,35,1,2451
462,53,96,1,2451
463,53,36,1,2451
464,53,22,1,2451
465,56,42,1,2451
466,56,49,1,2451
467,56,74,2,2451
468,56,65,2,2451
469,56,30,1,2451
470,56,33,1,2451
471,56,31,1,2451
472,56,35,1,2451
473,56,80,1,2451
474,56,92,1,2451
475,56,81,1,2451
476,56,51,1,2451
477,56,15,2,2451
478,56,29,1,2451
479,56,43,2,2451
480,56,53,1,2451
481,56,84,1,2451
482,56,67,1,2451
483,56,45,1,2451
484,56,37,2,2451
485,56,90,1,2451
486,56,50,1,2451
487,56,41,1,2451
488,56,16,1,2451
489,56,63,1,2451
490,56,36,1,2451
491,56,19,1,2451
492,56,98,1,2451
493,14,56,1,2451
494,14,11,1,2451
495,14,33,2,2451
496,14,16,2,2451
497,14,81,1,2451
498,14,32,1,2451
499,14,50,1,2451
500,14,29,1,2451
501,58,27,2,2451
502,58,89,1,2451
503,58,49,1,2451
504,58,26,1,2451
505,58,74,1,2451
506,58,22,1,2451
507,58,28,2,2451
508,58,80,1,2451
509,58,64,1,2451
510,58,88,2,2451
511,58,68,1,2451
512,58,69,3,2451
513,58,62,3,2451
514,58,77,1,2451
515,58,45,1,2451
516,58,93,1,2451
517,58,25,1,2451
518,58,41,1,2451
519,58,24,1,2451
520,58,29,1,2451
521,58,35,1,2451
522,58,96,1,2451
523,58,84,2,2451
524,58,91,1,2451
525,58,33,1,2451
526,58,71,1,2451
527,58,61,1,2451
528,34,94,2,2451
529,34,71,2,2451
530,34,54,2,2451
531,34,51,1,2451
532,34,80,1,2451
533,34,64,1,2451
534,34,56,1,2451
535,34,37,2,2451
536,34,29,1,2451
537,34,13,1,2451
538,34,65,2,2451
539,34,44,1,2451
540,34,46,1,2451
541,34,52,3,2451
542,34,78,1,2451
543,34,11,1,2451
544,34,60,2,2451
545,34,68,1,2451
546,34,34,1,2451
547,34,59,1,2451
548,34,24,1,2451
549,34,43,2,2451
550,34,61,1,2451
551,34,62,1,2451
552,34,32,1,2451
553,34,72,1,2451
554,34,86,1,2451
555,34,69,1,2451
556,34,92,1,2451
557,63,73,1,2451
558,63,17,1,2451
559,63,11,1,2451
560,63,5,1,2451
561,63,12,1,2451
562,63,34,2,2451
563,63,89,1,2451
564,63,29,1,2451
565,63,59,1,2451
566,63,94,1,2451
567,63,80,1,2451
568,63,93,1,2451
569,63,55,1,2451
570,63,52,1,2451
571,63,74,1,2451
572,63,36,3,2451
573,63,83,1,2451
574,63,24,1,2451
575,63,85,2,2451
576,63,86,1,2451
577,63,68,1,2451
578,63,67,2,2451
579,63,70,2,2451
580,63,38,1,2451
581,63,30,1,2451
582,63,81,1,2451
583,63,53,1,2451
584,63,37,1,2451
585,63,23,1,2451
586,63,65,2,2451
587,63,49,1,2451
588,63,13,1,2451
589,63,43,2,2451
590,63,57,1,2451
591,63,40,2,2451
592,63,33,1,2451
593,68,68,2,2451
594,68,61,1,2451
595,68,97,1,2451
596,68,27,1,2451
597,68,59,2,2451
