nokta_no,x,y,count,sezon_dakikasi
1,12,100,2,2067
2,12,57,1,2067
3,12,95,1,2067
4,12,87,1,2067
5,12,80,2,2067
6,12,83,1,2067
7,12,94,1,2067
8,12,86,1,2067
9,12,92,1,2067
10,12,76,1,2067
11,12,61,1,2067
12,12,54,2,2067
13,12,91,1,2067
14,12,90,1,2067
15,17,90,1,2067
16,17,95,1,2067
17,17,65,1,2067
18,17,84,1,2067
19,17,100,1,2067
20,17,81,1,2067
21,17,88,1,2067
22,17,86,1,2067
23,17,70,1,2067
24,17,82,1,2067
25,17,78,1,2067
26,5,87,2,2067
27,5,57,1,2067
28,5,60,1,2067
29,5,95,2,2067
30,9,91,2,2067
31,9,89,2,2067
32,9,95,2,2067
33,9,79,2,2067
34,9,93,1,2067
35,9,54,1,2067
36,9,88,1,2067
37,9,72,2,2067
38,9,81,1,2067
39,9,65,2,2067
40,9,62,1,2067
41,9,77,1,2067
42,58,75,1,2067
43,58,93,2,2067
44,58,90,4,2067
45,58,97,3,2067
46,58,95,1,2067
47,58,53,1,2067
48,58,98,1,2067
49,58,92,2,2067
50,58,91,2,2067
51,58,100,2,2067
52,58,70,1,2067
53,58,71,1,2067
54,58,96,2,2067
55,58,94,1,2067
56,29,93,2,2067
57,29,100,4,2067
58,29,94,2,2067
59,29,76,1,2067
60,29,71,1,2067
61,29,82,2,2067
62,29,92,3,2067
63,29,74,1,2067
64,29,88,2,2067
65,29,89,1,2067
66,29,87,1,2067
67,29,90,2,2067
68,29,91,1,2067
69,29,84,1,2067
70,29,96,1,2067
71,35,96,2,2067
72,35,73,1,2067
73,35,78,1,2067
74,35,93,3,2067
75,35,89,3,2067
76,35,86,1,2067
77,35,87,2,2067
78,35,63,1,2067
79,35,95,1,2067
80,35,88,1,2067
81,35,74,2,2067
82,35,94,2,2067
83,35,82,1,2067
84,35,72,1,2067
85,38,95,2,2067
86,38,97,1,2067
87,38,86,2,2067
88,38,88,1,2067
89,38,78,1,2067
90,38,85,1,2067
91,38,100,4,2067
92,38,93,3,2067
93,38,92,2,2067
94,38,80,1,2067
95,38,25,1,2067
96,38,82,1,2067
97,38,22,1,2067
98,38,76,1,2067
99,38,94,1,2067
100,38,87,1,2067
101,38,53,1,2067
102,38,70,1,2067
103,38,69,1,2067
104,38,96,1,2067
105,45,98,1,2067
106,45,85,4,2067
107,45,52,1,2067
108,45,96,2,2067
109,45,87,2,2067
110,45,94,1,2067
111,45,49,1,2067
112,45,97,2,2067
113,45,84,1,2067
114,45,63,1,2067
115,45,86,1,2067
116,45,61,1,2067
