nokta_no,x,y,count,sezon_dakikasi
1,30,86,1,3258
2,30,66,3,3258
3,30,69,3,3258
4,30,45,2,3258
5,30,44,1,3258
6,30,77,1,3258
7,30,75,2,3258
8,30,68,1,3258
9,30,67,3,3258
10,30,63,1,3258
11,30,31,2,3258
12,30,18,3,3258
13,30,58,1,3258
14,30,56,1,3258
15,30,52,2,3258
16,30,71,3,3258
17,30,72,1,3258
18,30,87,1,3258
19,30,30,2,3258
20,30,84,1,3258
21,30,89,1,3258
22,30,24,3,3258
23,30,40,2,3258
24,30,90,1,3258
25,30,19,1,3258
26,30,26,2,3258
27,30,79,1,3258
28,30,73,2,3258
29,30,25,1,3258
30,30,76,1,3258
31,30,28,1,3258
32,30,54,1,3258
33,30,20,1,3258
34,30,74,1,3258
35,30,65,1,3258
36,30,35,1,3258
37,30,3,1,3258
38,30,53,1,3258
39,30,11,2,3258
40,30,29,2,3258
41,30,32,1,3258
42,30,36,2,3258
43,30,13,1,3258
44,30,5,1,3258
45,30,15,1,3258
46,30,61,1,3258
47,30,0,1,3258
48,30,33,1,3258
49,30,37,1,3258
50,30,23,1,3258
51,30,14,2,3258
52,30,34,1,3258
53,9,74,1,3258
54,9,90,1,3258
55,9,28,2,3258
56,9,64,1,3258
57,9,71,1,3258
58,9,54,2,3258
59,9,89,2,3258
60,9,76,1,3258
61,9,92,1,3258
62,9,60,1,3258
63,9,52,1,3258
64,9,46,2,3258
65,9,39,2,3258
66,9,83,1,3258
67,9,27,2,3258
68,9,24,1,3258
69,9,23,1,3258
70,9,48,1,3258
71,9,8,1,3258
72,9,75,1,3258
73,9,86,1,3258
74,9,0,2,3258
75,9,73,2,3258
76,9,56,2,3258
77,9,10,1,3258
78,9,44,2,3258
79,9,30,1,3258
80,9,3,1,3258
81,9,13,1,3258
82,9,22,1,3258
83,7,72,2,3258
84,7,68,1,3258
85,7,57,2,3258
86,7,82,1,3258
87,7,8,1,3258
88,7,4,1,3258
89,7,31,1,3258
90,7,58,1,3258
91,7,41,1,3258
92,7,49,1,3258
93,7,21,1,3258
94,7,50,1,3258
95,7,87,1,3258
96,7,65,1,3258
97,7,53,1,3258
98,7,14,2,3258
99,7,76,1,3258
100,7,54,1,3258
101,7,17,1,3258
102,7,48,1,3258
103,7,37,1,3258
104,7,52,1,3258
105,7,62,2,3258
106,7,44,1,3258
107,7,6,2,3258
108,7,25,1,3258
109,7,23,1,3258
110,7,51,1,3258
111,5,65,1,3258
112,5,66,2,3258
113,5,56,1,3258
114,5,44,1,3258
115,5,61,4,3258
116,5,62,1,3258
117,5,60,3,3258
118,5,63,1,3258
119,5,73,1,3258
120,5,93,1,3258
121,5,76,1,3258
122,5,67,1,3258
123,5,75,1,3258
124,5,11,2,3258
125,5,27,1,3258
126,5,39,1,3258
127,5,7,1,3258
128,5,34,1,3258
129,5,25,1,3258
130,5,21,1,3258
131,5,46,1,3258
132,5,9,1,3258
133,5,30,1,3258
134,4,71,1,3258
135,4,77,1,3258
136,4,7,3,3258
137,4,55,1,3258
138,4,66,1,3258
139,4,59,1,3258
140,4,69,1,3258
141,4,83,1,3258
142,4,60,1,3258
143,4,34,1,3258
144,4,63,1,3258
145,4,80,1,3258
146,4,32,1,3258
147,4,49,2,3258
148,4,48,1,3258
149,4,73,1,3258
150,4,41,1,3258
151,29,72,2,3258
152,29,62,3,3258
153,29,91,1,3258
154,29,85,3,3258
155,29,80,1,3258
156,29,86,2,3258
157,29,28,1,3258
158,29,59,2,3258
159,29,42,1,3258
160,29,61,2,3258
161,29,55,3,3258
162,29,76,2,3258
