nokta_no,x,y,count,sezon_dakikasi
1,75,91,1,1551
2,75,78,3,1551
3,75,59,2,1551
4,75,25,3,1551
5,75,92,2,1551
6,75,15,1,1551
7,75,96,1,1551
8,75,58,1,1551
9,75,65,1,1551
10,75,33,4,1551
11,75,14,1,1551
12,75,22,1,1551
13,75,38,1,1551
14,75,71,1,1551
15,75,68,1,1551
16,75,82,1,1551
17,75,67,1,1551
18,75,4,2,1551
19,75,35,1,1551
20,75,76,1,1551
21,75,47,1,1551
22,75,8,1,1551
23,75,13,1,1551
24,75,87,1,1551
25,75,26,1,1551
26,75,61,1,1551
27,75,54,1,1551
28,75,41,1,1551
29,75,90,1,1551
30,75,31,1,1551
31,75,62,1,1551
32,75,6,1,1551
33,79,63,1,1551
34,79,9,1,1551
35,79,61,1,1551
36,79,90,1,1551
37,79,3,1,1551
38,79,83,1,1551
39,79,67,1,1551
40,79,82,1,1551
41,79,26,1,1551
42,79,80,1,1551
43,79,68,1,1551
44,79,44,1,1551
45,79,41,1,1551
46,79,28,1,1551
47,79,70,1,1551
48,79,65,1,1551
49,79,81,1,1551
50,79,71,1,1551
51,79,57,1,1551
52,44,47,1,1551
53,44,69,3,1551
54,44,10,1,1551
55,44,87,1,1551
56,44,64,2,1551
57,44,50,2,1551
58,44,3,1,1551
59,44,93,1,1551
60,44,96,1,1551
61,44,81,1,1551
62,44,65,1,1551
63,44,83,2,1551
64,44,16,1,1551
65,44,78,1,1551
66,44,66,2,1551
67,44,44,2,1551
68,44,19,1,1551
69,44,95,2,1551
70,44,82,1,1551
71,44,86,1,1551
72,63,88,1,1551
73,63,6,1,1551
74,63,18,1,1551
75,63,77,1,1551
76,63,95,1,1551
77,63,91,1,1551
78,63,98,1,1551
79,63,54,1,1551
80,63,87,1,1551
81,63,13,1,1551
82,63,63,1,1551
83,63,70,1,1551
84,63,72,1,1551
85,63,78,1,1551
86,63,96,1,1551
87,63,29,1,1551
88,63,65,1,1551
89,63,80,1,1551
90,63,93,1,1551
91,63,69,1,1551
92,63,82,3,1551
93,63,25,2,1551
94,63,15,1,1551
95,63,68,1,1551
96,63,19,1,1551
97,39,70,1,1551
98,39,71,2,1551
99,39,50,1,1551
100,39,80,1,1551
101,39,57,1,1551
102,39,26,1,1551
103,39,6,2,1551
104,39,84,2,1551
105,39,21,1,1551
106,39,93,2,1551
107,39,81,1,1551
108,39,4,1,1551
109,39,13,1,1551
110,39,25,1,1551
111,39,67,1,1551
112,39,92,1,1551
113,39,87,1,1551
114,39,75,1,1551
115,39,61,1,1551
116,39,74,1,1551
117,39,0,1,1551
118,39,59,1,1551
119,39,78,1,1551
120,39,66,1,1551
121,39,15,1,1551
122,39,12,1,1551
123,42,8,1,1551
124,42,94,1,1551
125,42,90,1,1551
126,42,70,2,1551
127,42,36,1,1551
128,42,79,1,1551
129,42,54,1,1551
130,42,92,1,1551
131,42,78,3,1551
132,42,43,1,1551
133,42,83,1,1551
134,42,87,1,1551
135,42,72,1,1551
136,42,45,1,1551
137,42,77,1,1551
138,42,62,1,1551
139,34,92,1,1551
140,34,81,2,1551
141,34,75,2,1551
142,34,27,1,1551
143,34,44,1,1551
144,34,8,1,1551
145,34,26,1,1551
146,34,37,1,1551
147,34,79,1,1551
148,34,93,1,1551
149,34,97,1,1551
150,34,77,2,1551
151,34,55,2,1551
152,34,54,1,1551
153,34,90,1,1551
154,34,94,1,1551
155,34,12,1,1551
156,34,63,2,1551
157,34,17,1,1551
158,34,4,1,1551
159,34,51,1,1551
160,34,78,2,1551
161,73,81,1,1551
162,73,22,1,1551
163,73,23,1,1551
164,73,27,1,1551
165,73,79,1,1551
166,73,83,1,1551
167,73,66,1,1551
168,73,53,1,1551
169,73,84,1,1551
170,73,71,1,1551
171,73,94,1,1551
172,73,40,1,1551
173,73,97,1,1551
174,73,5,1,1551
175,73,48,1,1551
176,73,10,1,1551
177,73,82,2,1551
178,73,16,1,1551
179,73,34,1,1551
180,73,15,1,1551
181,73,64,2,1551
182,73,12,1,1551
183,73,69,1,1551
184,73,17,1,1551
185,73,11,1,1551
186,73,62,2,1551
187,73,68,1,1551
188,73,19,1,1551
189,73,59,1,1551
190,73,32,1,1551
191,73,75,1,1551
192,73,73,1,1551
193,73,87,1,1551
194,73,33,1,1551
195,64,62,2,1551
196,64,40,2,1551
197,64,94,1,1551
198,64,67,1,1551
199,64,79,1,1551
200,64,75,1,1551
201,64,50,1,1551
202,64,84,1,1551
203,64,90,2,1551
204,64,9,1,1551
205,64,4,1,1551
206,64,76,1,1551
207,64,85,1,1551
208,64,23,1,1551
209,64,30,2,1551
210,64,33,1,1551
211,64,93,1,1551
212,64,83,1,1551
213,64,41,1,1551
214,64,78,1,1551
215,64,45,1,1551
216,64,6,1,1551
217,64,69,1,1551
218,64,92,1,1551
219,64,77,1,1551
220,64,63,2,1551
221,64,47,1,1551
222,64,89,1,1551
223,64,82,1,1551
224,64,64,1,1551
225,33,72,1,1551
226,33,96,1,1551
227,33,5,1,1551
228,33,46,1,1551
229,33,10,1,1551
230,33,94,1,1551
231,33,18,1,1551
232,33,38,1,1551
233,33,31,1,1551
234,33,0,1,1551
235,33,23,1,1551
236,33,19,1,1551
237,33,62,1,1551
238,33,17,1,1551
239,33,36,1,1551
240,4,59,1,1551
241,4,96,1,1551
242,2,64,1,1551
243,61,83,1,1551
244,61,10,2,1551
245,61,12,2,1551
246,61,67,1,1551
247,61,93,1,1551
248,61,63,1,1551
249,61,21,1,1551
250,61,78,1,1551
251,61,30,5,1551
252,61,22,2,1551
253,61,88,1,1551
254,61,80,1,1551
255,61,31,1,1551
256,61,19,1,1551
257,61,5,1,1551
258,61,75,1,1551
259,61,2,1,1551
260,61,38,1,1551
261,61,87,1,1551
262,61,53,1,1551
263,61,25,1,1551
264,61,66,1,1551
265,61,92,1,1551
266,61,57,1,1551
267,61,69,1,1551
268,49,46,3,1551
269,49,60,1,1551
270,49,49,1,1551
271,49,77,1,1551
272,49,47,1,1551
273,49,85,1,1551
274,49,48,2,1551
275,49,74,1,1551
276,68,13,1,1551
277,68,51,2,1551
278,68,17,2,1551
279,68,39,1,1551
280,68,27,2,1551
281,68,78,1,1551
282,68,92,1,1551
283,68,75,5,1551
284,68,96,1,1551
285,68,90,1,1551
286,68,94,2,1551
287,68,65,1,1551
288,68,3,1,1551
289,68,29,1,1551
290,68,88,1,1551
291,68,19,3,1551
292,68,60,1,1551
293,68,91,3,1551
294,68,9,1,1551
295,68,33,1,1551
296,68,16,1,1551
297,68,34,1,1551
298,68,25,1,1551
299,68,24,1,1551
300,68,56,1,1551
301,68,48,1,1551
302,68,38,1,1551
303,68,76,3,1551
304,68,12,1,1551
305,70,89,1,1551
306,70,90,1,1551
307,70,75,2,1551
308,70,77,2,1551
309,70,33,1,1551
310,70,16,2,1551
311,70,12,1,1551
312,70,92,1,1551
313,70,76,1,1551
314,70,88,2,1551
315,70,50,1,1551
316,70,73,1,1551
317,70,40,1,1551
318,70,27,1,1551
319,70,18,1,1551
320,70,72,2,1551
321,70,44,1,1551
322,70,53,1,1551
323,70,7,1,1551
324,70,35,2,1551
325,70,36,1,1551
326,70,55,1,1551
327,70,60,1,1551
328,70,86,1,1551
329,70,22,1,1551
330,70,17,1,1551
331,70,19,1,1551
332,40,4,1,1551
333,40,14,1,1551
334,40,80,1,1551
335,40,74,1,1551
336,40,84,1,1551
337,40,89,2,1551
338,40,10,1,1551
339,40,72,1,1551
340,40,96,1,1551
341,40,88,1,1551
342,40,92,1,1551
343,40,78,1,1551
344,40,83,1,1551
345,40,76,1,1551
346,40,23,1,1551
347,40,30,1,1551
348,40,61,1,1551
349,40,85,1,1551
350,40,12,2,1551
351,40,17,1,1551
352,40,67,1,1551
353,37,88,2,1551
354,37,84,4,1551
355,37,54,1,1551
356,37,5,2,1551
357,37,93,1,1551
358,37,90,1,1551
359,37,11,1,1551
360,37,2,1,1551
361,37,71,2,1551
362,37,80,1,1551
363,37,3,1,1551
364,37,75,1,1551
365,37,87,1,1551
366,37,78,1,1551
367,37,63,1,1551
368,45,78,1,1551
369,45,87,2,1551
370,45,29,2,1551
371,45,52,2,1551
372,45,85,1,1551
373,45,42,2,1551
374,45,86,1,1551
375,45,70,2,1551
376,45,32,1,1551
377,45,26,1,1551
