nokta_no,x,y,count,sezon_dakikasi
1,35,94,2,1119
2,35,8,1,1119
3,35,14,1,1119
4,35,85,1,1119
5,35,75,1,1119
6,35,22,1,1119
7,35,5,1,1119
8,35,13,1,1119
9,35,9,1,1119
10,35,42,1,1119
11,35,45,1,1119
12,35,71,1,1119
13,36,95,2,1119
14,36,69,1,1119
15,36,96,1,1119
16,36,89,1,1119
17,36,85,1,1119
18,36,6,1,1119
19,36,80,1,1119
20,65,89,1,1119
21,65,84,1,1119
22,65,5,1,1119
23,65,6,1,1119
24,65,91,1,1119
25,65,92,1,1119
26,65,80,1,1119
27,65,77,1,1119
28,65,22,1,1119
29,65,4,1,1119
30,65,10,1,1119
31,65,95,2,1119
32,65,94,1,1119
33,68,77,1,1119
34,68,95,1,1119
35,68,51,1,1119
36,68,94,2,1119
37,68,67,1,1119
38,68,73,1,1119
39,68,81,1,1119
40,68,93,1,1119
41,68,71,1,1119
42,68,49,1,1119
43,68,96,1,1119
44,53,67,1,1119
45,53,94,2,1119
46,53,26,2,1119
47,53,9,2,1119
48,53,72,2,1119
49,53,74,1,1119
50,53,6,1,1119
51,53,93,2,1119
52,53,96,1,1119
53,53,54,1,1119
54,53,97,1,1119
55,53,3,1,1119
56,53,85,1,1119
57,94,92,1,1119
58,94,66,1,1119
59,94,29,1,1119
60,94,27,1,1119
61,94,76,1,1119
62,94,65,1,1119
63,60,94,1,1119
64,60,89,1,1119
65,60,93,3,1119
66,60,18,1,1119
67,60,90,2,1119
68,60,68,1,1119
69,60,92,2,1119
70,60,13,1,1119
71,60,95,1,1119
72,60,47,1,1119
73,62,91,1,1119
74,62,31,1,1119
75,62,84,2,1119
76,62,23,1,1119
77,62,87,1,1119
78,62,2,1,1119
79,62,93,1,1119
80,62,75,1,1119
81,62,76,1,1119
82,62,92,1,1119
83,62,88,1,1119
84,32,72,1,1119
85,32,63,1,1119
86,32,75,1,1119
87,32,76,1,1119
88,32,12,1,1119
89,72,96,2,1119
90,72,81,2,1119
91,72,91,1,1119
92,72,67,1,1119
93,72,77,1,1119
94,72,18,1,1119
95,72,93,1,1119
96,72,72,1,1119
97,72,73,1,1119
98,72,11,1,1119
99,72,82,1,1119
100,72,95,1,1119
101,72,79,1,1119
102,46,91,2,1119
103,46,96,1,1119
104,46,90,1,1119
105,46,10,1,1119
106,46,6,1,1119
107,46,42,1,1119
108,66,39,1,1119
109,66,71,1,1119
110,66,93,3,1119
111,66,2,1,1119
112,66,82,1,1119
113,66,51,1,1119
114,66,89,1,1119
115,66,91,1,1119
116,66,94,1,1119
117,66,69,1,1119
118,66,96,1,1119
119,66,32,1,1119
120,66,90,1,1119
121,66,95,1,1119
122,87,75,2,1119
123,87,80,1,1119
124,87,88,1,1119
125,87,85,1,1119
126,87,92,1,1119
127,87,68,2,1119
128,87,51,1,1119
129,87,74,1,1119
130,87,72,1,1119
131,30,78,1,1119
132,30,67,1,1119
133,30,96,1,1119
134,30,48,1,1119
135,30,9,1,1119
136,40,75,1,1119
137,40,79,1,1119
138,40,31,1,1119
139,40,97,1,1119
140,69,89,2,1119
141,69,72,1,1119
142,69,75,1,1119
143,69,13,1,1119
144,69,2,2,1119
145,69,76,1,1119
146,69,93,1,1119
147,69,71,2,1119
148,69,86,1,1119
149,69,80,2,1119
150,69,96,1,1119
151,69,83,1,1119
152,69,85,1,1119
153,41,92,1,1119
154,41,94,1,1119
155,41,74,1,1119
156,41,84,1,1119
157,41,11,1,1119
158,41,3,1,1119
159,41,4,1,1119
160,41,93,1,1119
161,41,81,1,1119
162,41,49,1,1119
163,79,95,1,1119
164,79,68,1,1119
165,79,88,1,1119
166,79,14,1,1119
167,79,72,1,1119
168,79,93,1,1119
169,79,86,1,1119
170,79,87,1,1119
171,78,98,1,1119
172,78,28,1,1119
173,78,86,1,1119
174,78,55,1,1119
175,78,0,1,1119
176,78,8,1,1119
177,78,93,1,1119
178,78,70,1,1119
179,78,69,1,1119
180,73,71,2,1119
181,73,91,3,1119
182,73,73,2,1119
183,73,70,1,1119
184,73,24,1,1119
185,73,96,1,1119
186,73,23,1,1119
187,73,89,1,1119
188,73,79,1,1119
189,73,64,1,1119
190,54,54,1,1119
191,54,92,1,1119
192,54,77,1,1119
193,54,6,1,1119
194,54,10,1,1119
195,54,95,1,1119
196,54,93,2,1119
197,54,90,1,1119
198,54,57,1,1119
199,54,88,1,1119
200,54,89,1,1119
201,59,93,1,1119
202,59,94,1,1119
203,59,25,1,1119
204,59,6,2,1119
205,59,77,1,1119
206,59,86,1,1119
207,55,94,3,1119
208,55,93,3,1119
209,55,92,1,1119
210,55,96,1,1119
211,55,58,1,1119
212,55,79,1,1119
213,55,95,2,1119
214,55,54,1,1119
215,55,72,1,1119
216,64,63,1,1119
217,64,89,3,1119
218,64,10,1,1119
219,64,5,2,1119
220,64,34,2,1119
221,64,94,1,1119
222,64,96,1,1119
223,64,95,1,1119
224,64,97,1,1119
225,64,15,1,1119
226,39,81,1,1119
227,39,3,1,1119
228,39,31,1,1119
229,39,74,1,1119
230,39,91,1,1119
231,39,90,1,1119
232,39,86,1,1119
233,39,76,1,1119
234,39,94,1,1119
235,39,66,1,1119
236,43,81,1,1119
237,43,87,1,1119
238,43,67,1,1119
239,43,3,2,1119
240,43,7,1,1119
241,43,85,1,1119
242,43,94,1,1119
243,43,5,1,1119
244,43,10,1,1119
245,43,8,1,1119
246,43,6,1,1119
247,43,92,1,1119
248,43,90,1,1119
249,43,83,1,1119
250,43,73,1,1119
251,43,93,1,1119
252,75,94,1,1119
253,75,44,1,1119
254,75,84,1,1119
255,75,68,1,1119
256,75,79,1,1119
257,75,30,1,1119
258,75,9,1,1119
259,75,89,1,1119
260,75,80,1,1119
261,75,70,1,1119
262,75,67,1,1119
263,75,92,1,1119
264,75,4,1,1119
265,81,92,1,1119
266,81,69,1,1119
267,81,13,1,1119
268,81,87,1,1119
269,81,54,1,1119
270,81,52,1,1119
271,81,71,1,1119
272,81,4,1,1119
273,81,88,1,1119
274,81,9,1,1119
275,61,92,1,1119
276,61,95,2,1119
277,61,86,1,1119
278,61,90,1,1119
279,61,89,2,1119
280,61,6,1,1119
281,61,88,1,1119
282,61,63,1,1119
283,61,22,1,1119
284,61,98,1,1119
285,90,58,1,1119
286,90,54,1,1119
287,90,94,1,1119
288,90,67,1,1119
289,90,72,2,1119
290,90,74,1,1119
291,90,82,2,1119
292,90,81,1,1119
293,90,86,2,1119
294,90,73,1,1119
295,90,95,1,1119
