nokta_no,x,y,count,sezon_dakikasi
1,23,58,1,2291
2,23,86,3,2291
3,23,49,1,2291
4,23,83,2,2291
5,23,66,4,2291
6,23,65,2,2291
7,23,84,1,2291
8,23,67,2,2291
9,23,61,1,2291
10,23,94,1,2291
11,23,70,1,2291
12,23,85,1,2291
13,23,68,4,2291
14,23,95,1,2291
15,23,74,4,2291
16,23,62,1,2291
17,23,72,2,2291
18,23,63,1,2291
19,23,22,1,2291
20,23,23,1,2291
21,23,71,4,2291
22,23,87,1,2291
23,23,88,2,2291
24,23,10,1,2291
25,23,11,1,2291
26,23,19,2,2291
27,23,27,1,2291
28,23,77,1,2291
29,21,74,2,2291
30,21,75,2,2291
31,21,79,5,2291
32,21,63,1,2291
33,21,54,1,2291
34,21,68,2,2291
35,21,51,1,2291
36,21,66,1,2291
37,21,77,2,2291
38,21,61,1,2291
39,21,76,5,2291
40,21,37,1,2291
41,21,60,1,2291
42,21,83,2,2291
43,21,56,1,2291
44,21,72,2,2291
45,21,91,1,2291
46,21,78,1,2291
47,21,29,1,2291
48,21,50,1,2291
49,21,39,1,2291
50,21,73,2,2291
51,21,67,1,2291
52,21,10,1,2291
53,21,88,1,2291
54,21,69,1,2291
55,21,43,1,2291
56,28,76,1,2291
57,28,82,2,2291
58,28,73,1,2291
59,28,87,3,2291
60,28,65,2,2291
61,28,85,1,2291
62,28,89,2,2291
63,28,68,2,2291
64,28,70,2,2291
65,28,52,3,2291
66,28,54,1,2291
67,28,55,2,2291
68,28,62,1,2291
69,28,53,1,2291
70,28,75,2,2291
71,28,74,4,2291
72,28,61,2,2291
73,28,56,1,2291
74,28,59,1,2291
75,28,66,2,2291
76,28,50,1,2291
77,28,49,1,2291
78,28,77,1,2291
79,28,67,1,2291
80,28,90,1,2291
81,28,92,1,2291
82,28,72,2,2291
83,28,69,1,2291
84,28,58,1,2291
85,28,60,1,2291
86,28,23,1,2291
87,28,41,1,2291
88,28,35,2,2291
89,28,20,1,2291
90,28,79,1,2291
91,28,83,1,2291
92,28,84,1,2291
93,28,57,1,2291
94,28,71,1,2291
95,19,74,1,2291
96,19,81,1,2291
97,19,84,2,2291
98,19,67,2,2291
99,19,71,2,2291
100,19,91,1,2291
101,19,62,1,2291
102,19,48,1,2291
103,19,70,2,2291
104,19,79,1,2291
105,19,35,2,2291
106,19,82,2,2291
107,19,88,2,2291
108,19,59,1,2291
109,19,80,1,2291
110,19,92,2,2291
111,19,45,1,2291
112,19,15,1,2291
113,19,53,1,2291
114,19,69,1,2291
115,19,77,1,2291
116,19,98,1,2291
117,19,25,1,2291
118,44,51,1,2291
119,44,70,2,2291
120,44,89,2,2291
121,44,66,2,2291
122,44,74,2,2291
123,44,76,2,2291
124,44,26,1,2291
125,44,50,1,2291
126,44,57,3,2291
127,44,48,1,2291
128,44,73,1,2291
129,44,56,1,2291
130,44,78,1,2291
131,44,60,2,2291
132,44,61,1,2291
133,44,90,1,2291
134,44,54,1,2291
135,44,85,1,2291
136,44,68,1,2291
137,44,83,1,2291
138,44,44,1,2291
139,44,35,1,2291
140,44,30,1,2291
141,44,38,1,2291
142,44,77,1,2291
143,44,86,1,2291
144,44,65,1,2291
145,44,75,1,2291
146,44,71,1,2291
147,64,83,1,2291
148,64,68,2,2291
149,64,49,1,2291
150,64,97,1,2291
151,64,58,1,2291
152,64,66,1,2291
153,64,70,1,2291
154,64,73,1,2291
155,64,57,1,2291
156,64,69,1,2291
157,64,63,1,2291
158,64,93,1,2291
159,64,92,2,2291
160,64,30,1,2291
161,64,90,1,2291
162,64,94,1,2291
163,64,75,1,2291
164,64,88,1,2291
165,64,65,1,2291
166,64,55,1,2291
167,57,90,1,2291
168,57,79,2,2291
169,57,87,2,2291
170,57,65,2,2291
171,57,71,3,2291
172,57,68,1,2291
173,57,74,1,2291
174,57,85,1,2291
175,57,70,2,2291
176,57,69,2,2291
177,57,67,1,2291
178,57,73,1,2291
179,57,64,1,2291
180,57,83,1,2291
181,57,54,1,2291
182,57,31,1,2291
183,57,37,1,2291
184,57,89,1,2291
185,57,59,1,2291
186,57,6,1,2291
187,39,55,2,2291
188,39,75,1,2291
189,39,85,2,2291
190,39,63,1,2291
191,39,56,2,2291
192,39,86,1,2291
193,39,74,2,2291
194,39,69,2,2291
195,39,81,1,2291
196,39,67,5,2291
197,39,72,3,2291
198,39,100,1,2291
199,39,60,1,2291
200,39,73,4,2291
201,39,45,1,2291
202,39,59,2,2291
203,39,36,1,2291
204,39,37,1,2291
205,39,90,1,2291
206,39,66,2,2291
207,39,83,1,2291
208,39,62,1,2291
209,39,64,2,2291
210,39,29,1,2291
211,39,25,1,2291
212,39,65,1,2291
213,39,78,1,2291
214,39,80,1,2291
215,39,35,1,2291
216,39,71,1,2291
217,27,74,3,2291
218,27,14,1,2291
219,27,88,1,2291
220,27,62,1,2291
221,27,73,4,2291
222,27,76,2,2291
223,27,75,3,2291
224,27,92,3,2291
225,27,47,1,2291
226,27,52,1,2291
227,27,67,2,2291
228,27,84,2,2291
229,27,53,1,2291
230,27,69,3,2291
231,27,79,3,2291
232,27,93,1,2291
233,27,39,2,2291
234,27,24,1,2291
235,27,59,1,2291
236,27,30,1,2291
237,27,94,1,2291
238,27,63,1,2291
239,27,64,1,2291
240,27,89,1,2291
241,27,90,1,2291
242,27,45,1,2291
243,27,86,1,2291
244,27,77,1,2291
245,27,66,1,2291
246,27,78,1,2291
247,27,71,1,2291
248,27,32,1,2291
249,27,31,1,2291
250,27,17,1,2291
251,27,44,1,2291
252,27,70,1,2291
253,27,57,1,2291
254,36,81,3,2291
255,36,58,2,2291
256,36,72,3,2291
257,36,60,1,2291
258,36,66,2,2291
259,36,65,2,2291
260,36,73,3,2291
261,36,79,3,2291
262,36,75,2,2291
263,36,67,4,2291
264,36,62,5,2291
265,36,63,2,2291
266,36,55,2,2291
267,36,89,2,2291
268,36,57,3,2291
269,36,43,1,2291
270,36,83,1,2291
271,36,85,1,2291
272,36,26,1,2291
273,36,88,1,2291
274,36,52,1,2291
275,36,71,2,2291
276,36,35,1,2291
277,36,28,2,2291
278,36,49,1,2291
279,36,33,1,2291
280,36,42,1,2291
281,36,86,1,2291
282,36,64,1,2291
283,36,39,1,2291
284,36,76,1,2291
285,36,29,1,2291
286,36,11,1,2291
287,9,48,3,2291
288,9,20,1,2291
289,9,56,3,2291
290,9,41,1,2291
291,9,76,2,2291
292,9,63,2,2291
293,9,85,1,2291
294,9,37,1,2291
295,9,82,2,2291
296,9,65,3,2291
297,9,92,1,2291
298,9,67,1,2291
299,9,83,1,2291
300,9,58,2,2291
301,9,53,1,2291
302,9,52,1,2291
303,9,55,1,2291
304,9,91,1,2291
305,9,59,1,2291
306,9,50,1,2291
307,9,81,1,2291
308,9,79,1,2291
309,9,93,3,2291
310,9,75,1,2291
311,9,87,1,2291
312,9,68,1,2291
313,9,14,1,2291
314,9,89,1,2291
315,9,77,1,2291
316,9,74,1,2291
