nokta_no,x,y,count,sezon_dakikasi
1,19,88,1,1006
2,19,90,2,1006
3,19,85,2,1006
4,19,84,2,1006
5,19,60,1,1006
6,19,81,1,1006
7,19,93,1,1006
8,65,89,2,1006
9,65,79,1,1006
10,65,93,3,1006
11,65,90,3,1006
12,65,81,1,1006
13,65,95,2,1006
14,65,92,1,1006
15,69,91,1,1006
16,69,95,1,1006
17,69,18,1,1006
18,69,85,1,1006
19,69,94,1,1006
20,69,90,1,1006
21,69,74,1,1006
22,69,92,1,1006
23,35,86,1,1006
24,35,93,3,1006
25,35,83,1,1006
26,35,90,1,1006
27,35,91,1,1006
28,35,100,2,1006
29,35,81,2,1006
30,35,78,1,1006
31,35,85,1,1006
32,35,69,1,1006
33,35,87,1,1006
34,35,75,1,1006
35,35,84,1,1006
36,35,92,1,1006
37,25,87,2,1006
38,25,100,3,1006
39,25,77,1,1006
40,25,90,1,1006
41,25,66,1,1006
42,25,91,1,1006
43,25,56,1,1006
44,25,93,1,1006
45,57,96,1,1006
46,57,91,2,1006
47,57,88,1,1006
48,57,92,3,1006
49,57,84,1,1006
50,57,73,1,1006
51,57,85,2,1006
52,57,90,2,1006
53,57,100,3,1006
54,57,95,1,1006
55,57,94,1,1006
56,57,23,1,1006
57,57,79,1,1006
58,38,95,1,1006
59,38,94,1,1006
60,38,92,1,1006
61,38,100,2,1006
62,38,88,1,1006
63,38,76,1,1006
64,38,83,1,1006
65,38,85,1,1006
66,38,87,2,1006
67,38,82,1,1006
68,38,86,1,1006
69,38,89,2,1006
70,38,93,1,1006
71,55,93,2,1006
72,55,92,3,1006
73,55,91,1,1006
74,55,94,5,1006
75,55,100,2,1006
76,55,76,1,1006
77,55,90,2,1006
78,55,65,1,1006
79,55,58,1,1006
80,55,95,1,1006
81,55,89,3,1006
82,55,86,2,1006
83,55,52,1,1006
84,55,83,1,1006
85,55,67,1,1006
86,70,71,1,1006
87,70,91,2,1006
88,70,94,1,1006
89,70,96,1,1006
90,70,89,2,1006
91,70,80,1,1006
92,70,95,1,1006
93,70,93,1,1006
94,78,92,1,1006
95,78,96,1,1006
96,78,94,1,1006
97,78,71,1,1006
