nokta_no,x,y,count,sezon_dakikasi
1,50,49,15,2915
2,50,50,18,2915
3,50,24,1,2915
4,75,94,3,2915
5,75,81,1,2915
6,75,26,2,2915
7,75,56,3,2915
8,75,62,2,2915
9,75,93,1,2915
10,75,4,1,2915
11,75,69,2,2915
12,75,31,2,2915
13,75,100,1,2915
14,75,74,5,2915
15,75,59,1,2915
16,75,10,1,2915
17,75,36,1,2915
18,75,76,2,2915
19,75,92,2,2915
20,75,60,1,2915
21,75,32,2,2915
22,75,75,5,2915
23,75,89,1,2915
24,75,73,2,2915
25,75,90,1,2915
26,75,86,1,2915
27,75,80,1,2915
28,75,50,1,2915
29,75,19,1,2915
30,75,61,1,2915
31,75,85,1,2915
32,75,70,1,2915
33,75,91,1,2915
34,75,45,1,2915
35,75,40,1,2915
36,75,58,1,2915
37,75,23,1,2915
38,75,25,1,2915
39,75,65,1,2915
40,75,83,1,2915
41,75,77,1,2915
42,75,9,1,2915
43,74,100,1,2915
44,74,94,2,2915
45,74,33,2,2915
46,74,89,3,2915
47,74,69,1,2915
48,74,76,2,2915
49,74,80,2,2915
50,74,18,3,2915
51,74,96,1,2915
52,74,34,1,2915
53,74,36,1,2915
54,74,49,1,2915
55,74,27,1,2915
56,74,58,1,2915
57,74,61,1,2915
58,74,39,1,2915
59,74,59,2,2915
60,74,63,2,2915
61,74,30,1,2915
62,74,72,1,2915
63,74,68,1,2915
64,74,71,3,2915
65,74,65,2,2915
66,74,74,3,2915
67,74,10,1,2915
68,74,87,1,2915
69,74,32,3,2915
70,74,20,1,2915
71,74,86,3,2915
72,74,57,1,2915
73,74,70,1,2915
74,74,7,1,2915
75,74,50,1,2915
76,74,78,1,2915
77,74,92,2,2915
78,74,28,1,2915
79,74,25,1,2915
80,74,64,2,2915
81,74,75,1,2915
82,74,73,1,2915
83,74,66,1,2915
84,70,31,1,2915
85,70,82,1,2915
86,70,83,2,2915
87,70,89,1,2915
88,70,48,1,2915
89,70,72,4,2915
90,70,71,2,2915
91,70,39,1,2915
92,70,60,2,2915
93,70,73,1,2915
94,70,40,1,2915
95,70,91,1,2915
96,70,53,1,2915
97,70,65,1,2915
98,70,68,2,2915
99,70,64,1,2915
100,70,34,1,2915
101,70,93,3,2915
102,70,66,1,2915
103,70,49,1,2915
104,70,55,1,2915
105,70,69,2,2915
106,70,70,1,2915
107,70,85,1,2915
108,70,81,3,2915
109,70,77,2,2915
110,70,57,1,2915
111,70,26,1,2915
112,70,29,1,2915
113,70,75,1,2915
114,70,79,2,2915
115,70,87,1,2915
116,70,20,1,2915
117,70,76,2,2915
118,70,56,1,2915
119,70,45,1,2915
120,70,43,1,2915
121,70,84,1,2915
122,70,86,1,2915
123,70,90,1,2915
124,70,36,1,2915
125,70,44,2,2915
126,70,50,1,2915
127,70,59,1,2915
128,72,69,1,2915
129,72,25,2,2915
130,72,72,2,2915
131,72,23,1,2915
132,72,73,3,2915
133,72,37,2,2915
134,72,35,1,2915
135,72,18,1,2915
136,72,75,2,2915
137,72,85,1,2915
138,72,74,2,2915
139,72,63,2,2915
140,72,53,1,2915
141,72,71,3,2915
142,72,58,1,2915
143,72,79,2,2915
144,72,82,2,2915
145,72,89,1,2915
146,72,67,1,2915
147,72,19,1,2915
148,72,96,3,2915
149,72,22,1,2915
150,72,52,2,2915
151,72,62,2,2915
152,72,87,1,2915
153,72,91,2,2915
154,72,51,2,2915
155,72,76,1,2915
156,72,30,2,2915
157,72,39,1,2915
158,72,68,1,2915
159,72,95,1,2915
160,72,32,1,2915
161,72,40,1,2915
162,72,65,1,2915
163,72,36,1,2915
164,72,26,1,2915
165,72,66,1,2915
166,72,59,1,2915
167,72,14,1,2915
168,72,31,1,2915
169,72,84,1,2915
170,76,76,2,2915
171,76,5,1,2915
172,76,49,1,2915
173,76,70,4,2915
174,76,75,4,2915
175,76,42,1,2915
176,76,81,1,2915
177,76,25,1,2915
178,76,33,1,2915
179,76,64,3,2915
180,76,71,4,2915
181,76,43,1,2915
182,76,77,1,2915
183,76,69,1,2915
184,76,88,1,2915
185,76,21,1,2915
186,76,85,1,2915
187,76,34,1,2915
188,76,93,1,2915
189,76,68,2,2915
190,76,62,2,2915
191,76,16,1,2915
192,76,23,1,2915
193,76,65,1,2915
194,76,9,2,2915
195,76,80,1,2915
196,76,78,1,2915
197,76,50,1,2915
198,76,73,1,2915
199,76,51,2,2915
200,76,89,1,2915
201,76,91,1,2915
202,76,35,1,2915
203,76,59,1,2915
204,76,63,1,2915
205,85,9,1,2915
206,85,89,2,2915
207,85,36,1,2915
208,85,57,2,2915
209,85,62,2,2915
210,85,68,7,2915
211,85,54,1,2915
212,85,55,2,2915
213,85,35,1,2915
214,85,14,1,2915
215,85,69,3,2915
216,85,70,2,2915
217,85,18,1,2915
218,85,26,2,2915
219,85,44,1,2915
220,85,25,1,2915
221,85,63,2,2915
222,85,76,2,2915
223,85,60,1,2915
224,85,30,1,2915
225,85,73,3,2915
226,85,27,1,2915
227,85,56,1,2915
228,85,49,1,2915
229,85,72,1,2915
230,85,31,1,2915
231,85,32,1,2915
232,85,93,1,2915
233,85,83,1,2915
234,85,75,1,2915
235,85,41,1,2915
236,85,50,1,2915
237,85,47,1,2915
238,85,23,1,2915
239,85,43,1,2915
240,64,82,1,2915
241,64,73,1,2915
242,64,52,1,2915
243,64,92,1,2915
244,64,86,3,2915
245,64,8,1,2915
246,64,28,1,2915
247,64,76,3,2915
248,64,67,1,2915
249,64,54,1,2915
250,64,66,1,2915
251,64,91,2,2915
252,64,5,1,2915
253,64,83,1,2915
254,64,2,1,2915
255,64,3,2,2915
256,64,94,1,2915
257,64,64,1,2915
258,64,78,1,2915
259,64,25,1,2915
260,64,79,1,2915
261,64,75,2,2915
262,64,55,1,2915
263,64,77,1,2915
264,64,63,1,2915
265,64,62,2,2915
266,64,74,1,2915
267,64,18,1,2915
268,83,47,2,2915
269,83,15,3,2915
270,83,70,1,2915
271,83,8,1,2915
272,83,88,1,2915
273,83,93,2,2915
274,83,52,1,2915
275,83,90,1,2915
276,83,34,1,2915
277,83,73,1,2915
278,83,28,1,2915
279,83,98,1,2915
280,83,82,1,2915
281,83,53,2,2915
282,83,42,1,2915
283,83,48,1,2915
284,83,50,1,2915
285,83,62,1,2915
286,83,54,1,2915
287,83,84,1,2915
288,83,29,1,2915
289,44,6,2,2915
290,44,100,1,2915
291,44,51,1,2915
292,44,78,1,2915
293,44,70,1,2915
294,44,58,1,2915
295,44,39,1,2915
296,44,28,1,2915
297,44,64,1,2915
298,44,91,1,2915
299,44,87,1,2915
300,44,69,1,2915
301,44,68,1,2915
302,44,43,1,2915
303,44,23,1,2915
304,20,60,1,2915
305,56,57,1,2915
306,56,54,1,2915
307,56,45,1,2915
308,56,96,1,2915
309,56,74,1,2915
310,56,67,1,2915
311,56,71,2,2915
312,56,89,1,2915
313,56,4,1,2915
314,56,92,1,2915
315,56,87,1,2915
316,56,70,1,2915
317,56,65,1,2915
318,56,31,1,2915
319,56,78,1,2915
320,69,68,2,2915
321,69,65,2,2915
322,69,90,1,2915
323,69,15,1,2915
324,69,24,2,2915
325,69,37,1,2915
326,69,77,3,2915
327,69,78,1,2915
328,69,82,1,2915
329,69,74,4,2915
330,69,72,2,2915
331,69,31,1,2915
332,69,84,1,2915
333,69,73,3,2915
334,69,81,1,2915
335,69,11,1,2915
336,69,42,1,2915
337,69,87,1,2915
338,69,69,1,2915
339,69,66,2,2915
340,69,53,2,2915
341,69,95,1,2915
342,69,19,1,2915
343,69,36,1,2915
344,69,96,1,2915
345,69,7,1,2915
346,69,89,1,2915
347,69,38,1,2915
348,69,47,1,2915
349,69,55,1,2915
350,69,21,1,2915
351,69,93,1,2915
352,69,58,1,2915
353,69,64,1,2915
354,69,56,2,2915
355,69,85,1,2915
356,69,44,1,2915
357,69,75,2,2915
358,69,26,1,2915
359,69,86,1,2915
360,69,59,1,2915
361,78,9,1,2915
362,78,25,2,2915
363,78,14,1,2915
364,78,42,2,2915
365,78,39,2,2915
366,78,61,2,2915
367,78,41,1,2915
368,78,90,1,2915
369,78,57,1,2915
370,78,35,1,2915
371,78,4,1,2915
372,78,62,1,2915
373,78,69,3,2915
374,78,78,1,2915
375,78,80,2,2915
376,78,76,1,2915
377,78,28,3,2915
378,78,66,2,2915
379,78,98,1,2915
380,78,70,2,2915
381,78,56,1,2915
382,78,40,1,2915
383,78,64,2,2915
384,78,21,1,2915
385,78,48,1,2915
386,78,67,1,2915
387,78,44,1,2915
388,78,82,1,2915
389,78,43,1,2915
390,78,84,1,2915
391,78,34,1,2915
392,78,55,1,2915
393,77,27,1,2915
394,77,76,4,2915
395,77,68,3,2915
396,77,83,2,2915
397,77,84,2,2915
398,77,74,3,2915
399,77,66,3,2915
400,77,46,1,2915
401,77,12,1,2915
402,77,57,1,2915
403,77,73,1,2915
404,77,44,1,2915
405,77,37,2,2915
406,77,59,1,2915
407,77,87,1,2915
408,77,63,1,2915
409,77,31,1,2915
410,77,28,1,2915
411,77,40,1,2915
412,77,81,1,2915
413,77,22,1,2915
414,77,24,1,2915
415,77,45,1,2915
416,77,75,1,2915
417,77,41,1,2915
418,77,32,1,2915
419,77,78,1,2915
420,77,71,2,2915
421,77,11,1,2915
422,77,65,3,2915
423,77,48,1,2915
424,77,86,1,2915
425,77,64,1,2915
426,77,69,1,2915
