nokta_no,x,y,count,sezon_dakikasi
1,44,86,1,1581
2,44,62,1,1581
3,44,12,1,1581
4,44,59,1,1581
5,44,54,1,1581
6,44,76,1,1581
7,44,98,1,1581
8,44,46,1,1581
9,44,4,1,1581
10,44,3,1,1581
11,44,52,1,1581
12,62,86,1,1581
13,62,56,1,1581
14,62,77,1,1581
15,62,82,1,1581
16,62,64,1,1581
17,62,66,1,1581
18,62,59,1,1581
19,62,79,1,1581
20,62,90,1,1581
21,62,17,1,1581
22,62,60,1,1581
23,62,25,1,1581
24,62,23,1,1581
25,62,81,1,1581
26,41,88,1,1581
27,41,74,1,1581
28,41,79,1,1581
29,41,27,1,1581
30,41,63,1,1581
31,41,11,1,1581
32,41,15,1,1581
33,41,89,1,1581
34,41,9,2,1581
35,38,89,1,1581
36,38,13,2,1581
37,38,72,1,1581
38,38,63,1,1581
39,38,34,1,1581
40,38,92,1,1581
41,38,44,1,1581
42,38,73,1,1581
43,38,20,1,1581
44,38,29,1,1581
45,38,38,1,1581
46,38,67,1,1581
47,38,9,1,1581
48,45,81,1,1581
49,45,29,1,1581
50,45,30,1,1581
51,45,24,1,1581
52,45,90,2,1581
53,45,36,1,1581
54,45,13,1,1581
55,45,94,1,1581
56,45,27,1,1581
57,45,64,1,1581
58,37,70,1,1581
59,37,36,1,1581
60,37,20,2,1581
61,37,93,1,1581
62,89,89,1,1581
63,89,94,1,1581
64,89,31,1,1581
65,70,63,1,1581
66,70,89,1,1581
67,70,72,1,1581
68,70,26,1,1581
69,70,46,1,1581
70,70,45,1,1581
71,70,24,1,1581
72,70,30,1,1581
73,70,78,1,1581
74,70,50,1,1581
75,70,92,1,1581
76,70,100,1,1581
77,70,88,1,1581
78,70,80,1,1581
79,70,20,1,1581
80,70,25,1,1581
81,70,64,1,1581
82,79,87,1,1581
83,79,85,1,1581
84,79,20,1,1581
85,79,79,1,1581
86,79,95,1,1581
87,79,68,1,1581
88,81,87,1,1581
89,81,69,2,1581
90,81,70,1,1581
91,81,3,1,1581
92,81,38,1,1581
93,81,66,1,1581
94,81,52,1,1581
95,9,32,1,1581
96,55,64,1,1581
97,55,80,1,1581
98,55,51,1,1581
99,55,46,1,1581
100,55,24,1,1581
101,55,86,1,1581
102,55,93,1,1581
103,55,76,1,1581
104,55,8,1,1581
105,55,69,1,1581
106,55,84,1,1581
107,91,81,1,1581
108,91,54,1,1581
109,91,61,1,1581
110,91,67,1,1581
111,91,68,1,1581
112,91,32,1,1581
113,91,36,1,1581
114,91,49,1,1581
115,91,88,1,1581
116,91,50,1,1581
117,91,58,1,1581
118,91,13,1,1581
119,64,68,1,1581
120,64,59,2,1581
121,64,65,1,1581
122,64,70,2,1581
123,64,84,1,1581
124,64,86,1,1581
125,64,11,1,1581
126,64,25,2,1581
127,64,60,1,1581
128,64,71,2,1581
129,64,31,1,1581
130,64,9,1,1581
131,64,40,1,1581
132,64,53,1,1581
133,64,6,1,1581
134,92,64,1,1581
135,92,76,1,1581
136,92,72,1,1581
137,92,79,1,1581
138,92,84,1,1581
139,92,57,1,1581
140,88,61,1,1581
141,88,50,4,1581
142,88,63,1,1581
143,88,88,1,1581
144,88,20,1,1581
145,88,82,1,1581
146,74,60,1,1581
147,74,29,1,1581
148,74,31,2,1581
149,74,40,1,1581
150,74,7,1,1581
151,74,62,1,1581
152,74,90,2,1581
153,74,88,1,1581
154,74,48,1,1581
155,74,32,1,1581
156,86,65,1,1581
157,86,83,1,1581
158,86,45,1,1581
159,86,37,1,1581
160,86,17,1,1581
161,86,82,1,1581
162,86,72,1,1581
163,86,48,2,1581
164,86,53,1,1581
165,86,100,1,1581
166,56,87,1,1581
167,56,18,1,1581
168,56,72,2,1581
169,56,62,2,1581
170,56,22,1,1581
171,56,70,1,1581
172,56,64,1,1581
173,56,84,1,1581
174,56,76,1,1581
175,56,67,1,1581
176,56,90,1,1581
177,56,45,1,1581
178,56,29,1,1581
179,56,80,1,1581
180,56,12,1,1581
181,56,40,1,1581
182,68,53,2,1581
183,68,41,1,1581
184,68,15,1,1581
185,68,66,2,1581
186,68,43,1,1581
187,68,70,1,1581
188,68,38,1,1581
189,68,91,1,1581
190,68,8,1,1581
191,68,7,1,1581
