nokta_no,x,y,count,sezon_dakikasi
1,65,40,1,1732
2,65,83,1,1732
3,65,71,1,1732
4,65,34,1,1732
5,65,82,2,1732
6,65,26,3,1732
7,65,57,2,1732
8,65,47,2,1732
9,65,22,1,1732
10,65,8,1,1732
11,65,11,1,1732
12,65,77,2,1732
13,65,87,1,1732
14,65,69,1,1732
15,65,62,1,1732
16,65,37,1,1732
17,65,70,2,1732
18,65,81,1,1732
19,65,90,1,1732
20,65,17,1,1732
21,65,59,1,1732
22,65,67,1,1732
23,65,35,1,1732
24,65,74,1,1732
25,65,63,1,1732
26,65,29,1,1732
27,65,28,1,1732
28,65,27,1,1732
29,65,24,1,1732
30,65,53,1,1732
31,65,20,1,1732
32,26,14,1,1732
33,26,79,1,1732
34,26,54,1,1732
35,26,17,2,1732
36,26,5,2,1732
37,26,59,2,1732
38,26,47,2,1732
39,26,60,1,1732
40,26,64,2,1732
41,26,16,1,1732
42,26,49,1,1732
43,26,65,1,1732
44,26,67,1,1732
45,26,89,1,1732
46,26,78,1,1732
47,26,81,3,1732
48,26,70,1,1732
49,26,87,1,1732
50,26,52,1,1732
51,26,57,1,1732
52,26,45,1,1732
53,66,4,1,1732
54,66,85,1,1732
55,66,38,2,1732
56,66,58,2,1732
57,66,50,1,1732
58,66,77,1,1732
59,66,51,1,1732
60,66,20,1,1732
61,66,42,1,1732
62,66,61,1,1732
63,66,17,2,1732
64,66,32,1,1732
65,66,57,1,1732
66,66,48,1,1732
67,66,21,1,1732
68,66,66,1,1732
69,66,27,1,1732
70,66,7,1,1732
71,66,65,1,1732
72,66,25,1,1732
73,66,87,2,1732
74,66,73,1,1732
75,66,83,1,1732
76,66,70,1,1732
77,66,62,1,1732
78,66,33,1,1732
79,66,44,1,1732
80,66,2,1,1732
81,66,69,1,1732
82,74,3,1,1732
83,74,14,1,1732
84,74,8,1,1732
85,74,91,1,1732
86,74,62,1,1732
87,74,84,2,1732
88,74,52,1,1732
89,74,53,1,1732
90,74,27,1,1732
91,74,68,1,1732
92,74,79,1,1732
93,90,12,1,1732
94,90,54,1,1732
95,90,77,1,1732
96,90,16,1,1732
97,90,91,1,1732
98,78,91,2,1732
99,78,20,1,1732
100,78,93,1,1732
101,78,17,1,1732
102,78,16,1,1732
103,78,52,1,1732
104,78,90,1,1732
105,30,56,1,1732
106,30,74,1,1732
107,30,20,1,1732
108,30,31,1,1732
109,30,48,1,1732
110,30,34,2,1732
111,30,30,2,1732
112,30,52,1,1732
113,30,14,1,1732
114,30,10,1,1732
115,30,87,1,1732
116,30,11,1,1732
117,30,49,1,1732
118,30,68,2,1732
119,30,76,1,1732
120,30,32,1,1732
121,30,46,1,1732
122,30,55,1,1732
123,30,45,1,1732
124,30,72,1,1732
125,30,79,1,1732
126,99,0,38,1732
127,99,99,34,1732
128,99,39,1,1732
129,99,91,1,1732
130,99,30,1,1732
131,99,40,1,1732
132,77,23,1,1732
133,77,64,1,1732
134,77,83,1,1732
135,77,96,1,1732
136,77,14,1,1732
137,69,13,1,1732
138,69,19,1,1732
139,69,8,1,1732
140,69,62,2,1732
141,69,15,1,1732
142,69,66,1,1732
143,69,12,2,1732
144,69,6,1,1732
145,69,89,2,1732
146,69,37,1,1732
147,69,32,1,1732
148,69,36,1,1732
149,69,84,1,1732
150,69,9,2,1732
151,69,88,1,1732
152,69,30,1,1732
153,69,10,1,1732
154,69,75,2,1732
155,69,81,1,1732
156,69,77,1,1732
157,69,23,1,1732
158,69,21,1,1732
159,69,67,1,1732
160,73,18,1,1732
161,73,49,1,1732
162,73,42,1,1732
163,73,12,1,1732
164,73,43,1,1732
165,73,87,1,1732
166,73,52,1,1732
167,73,96,1,1732
168,73,38,1,1732
169,73,15,1,1732
170,85,7,1,1732
171,85,91,1,1732
172,85,17,1,1732
173,16,36,1,1732
174,16,32,1,1732
175,32,80,1,1732
176,32,58,1,1732
177,32,44,1,1732
178,32,18,2,1732
179,32,47,2,1732
180,32,69,1,1732
181,32,15,1,1732
182,32,28,1,1732
183,32,45,1,1732
184,32,34,1,1732
185,32,51,1,1732
186,32,52,2,1732
187,32,76,1,1732
188,32,65,1,1732
189,32,60,3,1732
190,32,79,1,1732
191,32,78,1,1732
192,32,66,1,1732
193,32,54,2,1732
194,32,26,2,1732
195,32,16,1,1732
196,32,86,1,1732
197,32,73,1,1732
198,32,70,1,1732
199,32,24,1,1732
200,32,33,1,1732
201,32,41,1,1732
202,29,79,1,1732
203,29,76,3,1732
204,29,47,1,1732
205,29,14,2,1732
206,29,17,1,1732
207,29,15,1,1732
208,29,61,1,1732
209,29,69,2,1732
210,29,48,1,1732
211,29,58,1,1732
212,29,43,1,1732
213,29,72,1,1732
214,29,24,1,1732
215,29,90,1,1732
216,29,68,1,1732
217,29,74,1,1732
218,29,25,1,1732
219,29,39,1,1732
220,29,38,1,1732
221,29,71,1,1732
222,35,41,3,1732
223,35,23,4,1732
224,35,33,1,1732
225,35,80,2,1732
226,35,65,3,1732
227,35,29,2,1732
228,35,43,2,1732
229,35,83,2,1732
230,35,34,1,1732
231,35,47,3,1732
232,35,21,1,1732
233,35,31,1,1732
234,35,91,1,1732
235,35,12,2,1732
236,35,15,2,1732
237,35,35,2,1732
238,35,71,1,1732
239,35,70,1,1732
240,35,66,1,1732
241,35,82,2,1732
242,35,77,1,1732
243,35,50,1,1732
244,35,49,1,1732
245,35,96,1,1732
246,35,45,2,1732
247,35,54,1,1732
248,35,48,1,1732
249,35,62,1,1732
250,35,85,1,1732
251,35,64,1,1732
252,55,86,1,1732
253,55,71,1,1732
254,55,87,1,1732
255,55,64,1,1732
256,55,3,1,1732
257,55,33,1,1732
258,55,79,2,1732
259,55,7,1,1732
260,55,52,1,1732
261,55,66,1,1732
262,55,69,1,1732
263,55,41,1,1732
264,55,31,1,1732
265,55,74,1,1732
266,55,62,1,1732
267,55,56,1,1732
268,55,28,2,1732
269,55,22,1,1732
270,55,38,1,1732
271,55,60,1,1732
272,55,26,1,1732
273,55,49,1,1732
274,55,65,1,1732
275,55,46,1,1732
276,55,57,1,1732
277,55,27,2,1732
278,55,9,1,1732
279,55,20,1,1732
280,55,72,1,1732
281,55,32,1,1732
282,55,58,1,1732
283,55,92,1,1732
284,55,67,1,1732
285,45,86,1,1732
286,45,78,2,1732
287,45,75,2,1732
288,45,60,1,1732
289,45,56,1,1732
290,45,53,1,1732
291,45,93,1,1732
292,45,45,1,1732
293,45,68,1,1732
294,45,46,1,1732
295,45,58,1,1732
296,45,34,1,1732
297,45,57,3,1732
298,45,42,1,1732
299,45,69,2,1732
300,45,72,1,1732
301,45,13,1,1732
302,45,55,1,1732
303,45,71,1,1732
304,45,67,4,1732
305,45,16,1,1732
306,45,87,1,1732
307,45,44,1,1732
308,59,24,1,1732
309,59,61,1,1732
310,59,85,1,1732
311,59,70,1,1732
312,59,26,2,1732
313,59,58,1,1732
314,59,68,1,1732
315,59,75,1,1732
316,59,67,2,1732
317,59,91,1,1732
318,59,66,1,1732
319,59,38,1,1732
320,59,34,1,1732
321,59,30,1,1732
322,59,59,1,1732
323,59,89,1,1732
324,59,81,1,1732
325,59,82,2,1732
326,59,36,1,1732
327,59,31,1,1732
328,41,55,2,1732
329,41,60,1,1732
330,41,64,1,1732
331,41,34,2,1732
332,41,2,1,1732
333,41,42,2,1732
334,41,82,1,1732
335,41,72,3,1732
336,41,15,1,1732
337,41,35,2,1732
338,41,66,1,1732
339,41,52,2,1732
340,41,23,1,1732
341,41,46,1,1732
342,41,58,1,1732
343,41,69,2,1732
344,41,87,1,1732
345,41,12,1,1732
346,41,68,1,1732
347,41,43,1,1732
348,41,77,2,1732
349,41,75,1,1732
350,41,26,1,1732
351,41,74,2,1732
352,41,5,1,1732
353,41,3,1,1732
354,48,43,1,1732
355,48,70,1,1732
356,48,41,1,1732
357,48,18,1,1732
358,48,72,1,1732
359,48,95,1,1732
360,48,84,1,1732
361,48,65,1,1732
362,48,66,1,1732
363,48,78,1,1732
364,48,73,1,1732
365,48,26,1,1732
366,48,44,1,1732
367,37,57,2,1732
368,37,58,1,1732
369,37,83,1,1732
370,37,39,1,1732
371,37,26,2,1732
372,37,48,1,1732
373,37,14,1,1732
374,37,30,1,1732
375,37,66,1,1732
376,37,77,2,1732
377,37,62,2,1732
378,37,80,1,1732
379,37,69,1,1732
380,37,45,1,1732
381,37,73,1,1732
382,37,91,1,1732
383,37,22,1,1732
384,37,54,1,1732
385,37,71,1,1732
386,37,85,1,1732
387,37,87,1,1732
388,37,65,1,1732
389,37,42,1,1732
390,37,27,1,1732
391,37,93,1,1732
392,37,81,1,1732
393,37,8,1,1732
394,39,30,1,1732
395,39,39,4,1732
396,39,65,2,1732
397,39,76,1,1732
398,39,37,1,1732
399,39,22,1,1732
400,39,48,1,1732
401,39,57,1,1732
402,39,27,1,1732
403,39,67,1,1732
404,39,7,1,1732
405,39,90,1,1732
406,39,18,1,1732
407,39,89,3,1732
408,39,66,1,1732
409,39,72,1,1732
410,39,62,1,1732
411,39,38,1,1732
412,39,73,1,1732
413,39,35,1,1732
414,39,36,1,1732
415,39,52,1,1732
416,39,68,1,1732
417,39,75,1,1732
418,39,78,2,1732
419,39,63,1,1732
420,39,83,1,1732
421,39,70,1,1732
422,38,44,1,1732
423,38,71,3,1732
424,38,25,1,1732
425,38,27,1,1732
426,38,43,1,1732
427,38,39,1,1732
428,38,32,1,1732
429,38,22,1,1732
430,38,23,1,1732
431,38,46,2,1732
432,38,12,1,1732
433,38,64,2,1732
434,38,75,1,1732
435,38,37,1,1732
436,38,83,1,1732
437,38,34,1,1732
438,38,67,2,1732
439,38,24,1,1732
440,38,13,1,1732
441,38,62,1,1732
442,38,87,1,1732
443,38,38,1,1732
444,53,22,1,1732
445,53,53,1,1732
446,53,91,1,1732
447,53,74,1,1732
448,53,40,2,1732
449,53,49,1,1732
450,53,65,1,1732
451,53,46,3,1732
452,53,59,1,1732
453,53,78,1,1732
454,53,43,2,1732
455,53,80,2,1732
456,53,37,2,1732
457,53,15,1,1732
458,53,56,1,1732
459,53,23,1,1732
460,53,66,1,1732
461,53,38,1,1732
462,53,50,1,1732
463,53,69,1,1732
464,47,4,1,1732
465,47,73,1,1732
466,47,19,1,1732
467,47,54,1,1732
468,47,72,1,1732
469,47,47,1,1732
470,47,32,1,1732
471,47,37,1,1732
472,47,11,1,1732
473,47,28,1,1732
474,47,55,1,1732
475,47,3,1,1732
476,47,51,1,1732
477,47,91,1,1732
478,47,50,1,1732
479,47,44,1,1732
480,47,70,1,1732
481,47,63,1,1732
482,47,40,1,1732
483,47,74,1,1732
484,61,36,1,1732
485,61,13,1,1732
486,61,34,1,1732
487,61,22,1,1732
488,61,28,2,1732
489,61,63,1,1732
490,61,50,1,1732
491,61,26,1,1732
492,61,88,1,1732
493,61,81,1,1732
494,61,10,1,1732
495,61,20,3,1732
496,61,39,1,1732
497,61,71,1,1732
498,61,60,2,1732
499,61,23,1,1732
500,61,70,3,1732
501,61,43,1,1732
502,61,29,1,1732
503,61,24,1,1732
504,61,32,1,1732
505,61,51,1,1732
506,61,68,1,1732
507,61,37,1,1732
508,61,69,1,1732
509,61,74,1,1732
510,61,27,1,1732
511,61,72,1,1732
512,61,80,1,1732
513,61,87,1,1732
514,61,86,1,1732
515,67,44,1,1732
516,67,35,1,1732
517,67,14,1,1732
518,67,53,1,1732
519,67,82,1,1732
520,67,80,1,1732
521,67,62,2,1732
522,67,87,1,1732
523,67,84,5,1732
524,67,81,2,1732
525,67,92,1,1732
526,67,74,2,1732
527,67,27,1,1732
528,67,66,1,1732
529,67,29,1,1732
530,67,8,1,1732
531,67,3,1,1732
532,67,4,1,1732
533,67,41,1,1732
534,67,24,1,1732
535,67,83,2,1732
536,67,69,1,1732
537,67,38,1,1732
538,67,45,1,1732
539,67,67,1,1732
540,67,77,1,1732
541,67,22,1,1732
542,67,59,1,1732
543,67,91,1,1732
544,67,39,1,1732
545,62,24,2,1732
546,62,18,2,1732
547,62,65,1,1732
548,62,79,1,1732
549,62,48,1,1732
550,62,11,3,1732
551,62,74,2,1732
552,62,28,1,1732
553,62,20,1,1732
554,62,7,1,1732
555,62,19,1,1732
556,62,31,1,1732
557,62,88,1,1732
558,62,40,1,1732
559,62,81,2,1732
560,62,67,2,1732
561,62,95,1,1732
562,62,43,1,1732
563,62,76,1,1732
564,62,82,1,1732
565,62,35,1,1732
566,64,5,2,1732
567,64,14,1,1732
568,64,49,2,1732
569,64,39,1,1732
570,64,75,1,1732
571,64,87,2,1732
572,64,56,1,1732
573,64,89,3,1732
574,64,71,1,1732
575,64,17,2,1732
576,64,32,1,1732
577,64,26,2,1732
578,64,74,1,1732
579,64,28,1,1732
580,64,18,1,1732
581,64,41,2,1732
582,64,45,1,1732
583,64,51,1,1732
584,64,72,1,1732
585,64,90,1,1732
586,64,15,1,1732
587,64,21,1,1732
588,64,64,1,1732
589,64,12,1,1732
590,64,24,1,1732
591,44,12,1,1732
592,44,45,1,1732
593,44,47,1,1732
594,44,55,2,1732
595,44,73,1,1732
596,44,54,1,1732
597,44,68,1,1732
598,44,31,1,1732
599,44,91,1,1732
600,44,43,1,1732
601,44,66,1,1732
602,44,51,1,1732
603,44,29,1,1732
604,44,41,1,1732
605,44,65,1,1732
606,44,78,1,1732
607,44,80,1,1732
608,44,25,2,1732
609,44,34,1,1732
610,31,39,1,1732
611,31,59,1,1732
612,31,28,2,1732
613,31,53,1,1732
614,31,55,2,1732
615,31,5,1,1732
616,31,35,1,1732
617,31,54,2,1732
618,31,64,1,1732
619,31,47,3,1732
620,31,11,1,1732
621,31,68,1,1732
622,31,86,1,1732
623,31,73,1,1732
624,31,89,1,1732
625,31,14,1,1732
626,31,69,1,1732
627,31,12,1,1732
628,31,29,1,1732
629,31,67,1,1732
630,31,21,2,1732
631,31,41,1,1732
632,31,42,1,1732
633,31,52,1,1732
634,31,72,1,1732
635,31,30,2,1732
636,31,74,1,1732
637,31,31,1,1732
638,54,4,1,1732
639,54,43,3,1732
640,54,15,1,1732
641,54,63,1,1732
642,54,38,1,1732
643,54,65,2,1732
644,54,53,2,1732
645,54,84,1,1732
646,54,92,1,1732
647,54,20,1,1732
648,54,25,1,1732
649,54,76,1,1732
650,54,29,1,1732
651,54,57,1,1732
652,54,23,1,1732
653,54,44,1,1732
654,54,55,1,1732
655,54,56,1,1732
656,54,19,1,1732
657,54,93,1,1732
658,54,41,1,1732
659,54,28,1,1732
660,54,54,2,1732
661,54,87,1,1732
662,54,47,1,1732
663,54,32,2,1732
664,54,81,1,1732
665,54,59,1,1732
666,54,50,2,1732
667,54,58,1,1732
668,54,52,1,1732
669,54,72,1,1732
670,54,69,1,1732
671,54,39,1,1732
672,54,36,1,1732
673,34,12,1,1732
674,34,75,1,1732
675,34,56,2,1732
676,34,66,1,1732
677,34,47,2,1732
678,34,9,1,1732
679,34,59,1,1732
680,34,70,1,1732
681,34,14,1,1732
682,34,45,1,1732
683,34,17,2,1732
684,34,60,2,1732
685,34,41,1,1732
686,34,74,1,1732
687,34,64,1,1732
688,34,54,2,1732
689,34,44,1,1732
690,34,83,2,1732
691,34,49,2,1732
692,34,84,1,1732
693,34,53,1,1732
694,34,57,1,1732
695,34,35,1,1732
696,34,77,1,1732
697,34,71,1,1732
698,34,8,1,1732
699,34,93,1,1732
700,34,78,1,1732
701,34,30,1,1732
702,34,81,1,1732
703,42,19,1,1732
704,42,71,2,1732
705,42,23,1,1732
706,42,50,2,1732
707,42,82,1,1732
708,42,74,2,1732
709,42,70,3,1732
710,42,66,1,1732
711,42,54,2,1732
712,42,6,1,1732
713,42,18,2,1732
714,42,49,1,1732
715,42,77,1,1732
716,42,73,1,1732
717,42,14,1,1732
718,42,75,1,1732
719,42,34,1,1732
720,42,44,1,1732
721,42,53,1,1732
722,42,76,2,1732
723,42,69,4,1732
724,42,84,1,1732
725,42,30,1,1732
726,42,33,1,1732
727,42,79,1,1732
728,60,78,1,1732
729,60,30,1,1732
730,60,10,1,1732
731,60,85,2,1732
732,60,75,4,1732
733,60,81,3,1732
734,60,58,1,1732
735,60,3,1,1732
736,60,86,1,1732
737,60,83,1,1732
738,60,37,1,1732
739,60,89,1,1732
740,60,64,1,1732
741,60,11,1,1732
742,60,88,1,1732
743,60,61,1,1732
744,60,65,2,1732
745,60,17,1,1732
746,60,34,1,1732
747,60,92,1,1732
748,60,15,1,1732
749,60,70,1,1732
750,60,33,1,1732
751,60,28,1,1732
752,60,74,1,1732
753,58,37,1,1732
754,58,39,1,1732
755,58,54,1,1732
756,58,69,4,1732
757,58,76,2,1732
758,58,35,1,1732
759,58,53,1,1732
760,58,24,1,1732
761,58,78,1,1732
762,58,16,2,1732
763,58,7,1,1732
764,58,95,1,1732
765,58,85,1,1732
766,58,87,1,1732
767,58,31,1,1732
768,58,67,1,1732
769,58,19,1,1732
770,58,81,1,1732
771,58,73,1,1732
772,58,64,1,1732
773,58,58,1,1732
774,58,72,2,1732
775,58,84,1,1732
776,58,83,1,1732
777,27,55,1,1732
778,27,79,1,1732
779,27,25,1,1732
780,27,7,1,1732
781,27,9,1,1732
782,27,38,1,1732
783,27,62,1,1732
784,27,52,1,1732
785,27,60,1,1732
786,27,66,2,1732
787,27,41,2,1732
788,27,74,2,1732
789,27,59,1,1732
790,27,54,1,1732
791,27,91,1,1732
792,27,73,2,1732
793,27,93,1,1732
794,27,68,1,1732
795,27,71,1,1732
796,27,82,1,1732
797,27,40,1,1732
798,27,51,1,1732
799,27,49,1,1732
800,40,33,2,1732
801,40,81,2,1732
802,40,76,1,1732
803,40,83,1,1732
804,40,8,1,1732
805,40,16,1,1732
806,40,42,1,1732
807,40,70,2,1732
808,40,66,2,1732
809,40,89,1,1732
810,40,21,1,1732
811,40,15,1,1732
812,40,32,1,1732
813,40,34,1,1732
814,40,53,1,1732
815,40,69,2,1732
816,40,60,1,1732
817,40,65,2,1732
818,40,72,2,1732
819,40,56,1,1732
820,40,47,1,1732
821,40,12,2,1732
822,40,7,1,1732
823,40,84,1,1732
824,40,6,1,1732
825,40,31,2,1732
826,40,73,1,1732
827,40,43,1,1732
828,40,29,1,1732
829,40,23,1,1732
830,40,59,1,1732
831,33,62,1,1732
832,33,67,3,1732
833,33,24,1,1732
834,33,48,2,1732
835,33,29,1,1732
836,33,38,2,1732
837,33,17,1,1732
838,33,53,1,1732
839,33,52,2,1732
840,33,16,1,1732
841,33,33,1,1732
842,33,65,1,1732
843,33,21,1,1732
844,33,12,1,1732
845,33,78,1,1732
846,33,49,1,1732
847,33,51,1,1732
848,33,54,1,1732
849,33,56,1,1732
850,33,32,1,1732
851,33,43,1,1732
852,56,74,1,1732
853,56,31,1,1732
854,56,35,2,1732
855,56,39,1,1732
856,56,87,1,1732
857,56,13,1,1732
858,56,38,2,1732
859,56,40,1,1732
860,56,46,1,1732
861,56,67,1,1732
862,56,29,2,1732
863,56,88,1,1732
864,56,17,1,1732
865,56,72,1,1732
866,56,76,1,1732
867,56,91,1,1732
868,56,77,2,1732
869,56,71,1,1732
870,56,21,1,1732
871,56,25,1,1732
872,56,73,1,1732
873,56,16,1,1732
874,56,79,1,1732
875,52,52,1,1732
876,52,53,1,1732
877,52,22,2,1732
