nokta_no,x,y,count,sezon_dakikasi
1,50,50,10,1977
2,50,49,6,1977
3,50,95,1,1977
4,50,60,1,1977
5,46,53,2,1977
6,46,35,2,1977
7,46,30,1,1977
8,46,43,1,1977
9,46,23,1,1977
10,46,68,1,1977
11,46,60,1,1977
12,46,73,1,1977
13,46,31,2,1977
14,46,75,1,1977
15,46,10,2,1977
16,46,64,1,1977
17,46,51,1,1977
18,46,82,1,1977
19,46,14,1,1977
20,59,31,1,1977
21,59,28,2,1977
22,59,27,1,1977
23,59,63,2,1977
24,59,73,2,1977
25,59,38,1,1977
26,59,32,1,1977
27,59,67,1,1977
28,59,44,1,1977
29,59,34,2,1977
30,59,19,1,1977
31,59,23,1,1977
32,59,37,1,1977
33,59,8,1,1977
34,59,72,1,1977
35,30,46,1,1977
36,30,57,1,1977
37,30,69,2,1977
38,30,7,1,1977
39,30,13,1,1977
40,30,68,1,1977
41,30,70,1,1977
42,96,43,1,1977
43,96,96,1,1977
44,96,58,1,1977
45,96,12,1,1977
46,96,50,1,1977
47,96,15,1,1977
48,96,76,1,1977
49,96,26,1,1977
50,96,24,1,1977
51,96,14,1,1977
52,96,49,2,1977
53,47,45,1,1977
54,47,61,1,1977
55,47,51,1,1977
56,47,59,1,1977
57,47,47,2,1977
58,47,56,1,1977
59,47,30,1,1977
60,47,46,1,1977
61,47,74,1,1977
62,63,74,1,1977
63,63,58,2,1977
64,63,44,1,1977
65,63,28,2,1977
66,63,13,1,1977
67,63,56,2,1977
68,63,9,1,1977
69,63,25,1,1977
70,63,83,1,1977
71,63,29,1,1977
72,63,7,1,1977
73,63,79,1,1977
74,63,85,1,1977
75,63,88,1,1977
76,63,37,1,1977
77,68,59,2,1977
78,68,71,1,1977
79,68,37,1,1977
80,68,57,1,1977
81,68,16,1,1977
82,68,34,3,1977
83,68,3,1,1977
84,68,6,1,1977
85,68,67,1,1977
86,68,63,1,1977
87,68,10,1,1977
88,68,53,1,1977
89,68,39,1,1977
90,68,88,1,1977
91,68,48,1,1977
92,68,78,1,1977
93,68,18,1,1977
94,68,47,1,1977
95,52,40,1,1977
96,52,42,2,1977
97,52,45,1,1977
98,52,13,1,1977
99,52,31,1,1977
100,52,43,1,1977
101,52,94,1,1977
102,52,27,1,1977
103,52,54,2,1977
104,57,40,2,1977
105,57,46,1,1977
106,57,96,1,1977
107,57,52,2,1977
108,57,32,1,1977
109,57,20,2,1977
110,57,58,1,1977
111,57,72,1,1977
112,57,15,1,1977
113,57,19,1,1977
114,57,26,1,1977
115,57,27,1,1977
116,57,29,1,1977
117,57,93,1,1977
118,57,34,1,1977
119,57,68,1,1977
120,57,44,1,1977
121,43,62,1,1977
122,43,42,1,1977
123,43,48,1,1977
124,43,96,1,1977
125,43,17,1,1977
126,43,16,1,1977
127,43,44,1,1977
128,43,83,1,1977
129,43,25,2,1977
130,43,5,1,1977
131,43,32,1,1977
132,43,63,1,1977
133,43,35,1,1977
134,43,89,1,1977
135,43,30,2,1977
136,43,70,1,1977
137,43,34,1,1977
138,48,62,1,1977
139,48,74,1,1977
140,48,57,2,1977
141,48,56,1,1977
142,48,41,1,1977
143,48,66,1,1977
144,48,69,1,1977
145,75,81,1,1977
146,75,60,1,1977
147,75,62,3,1977
148,75,83,1,1977
149,75,16,1,1977
150,75,40,1,1977
151,75,27,1,1977
152,75,9,1,1977
153,75,76,1,1977
154,75,55,1,1977
155,75,37,1,1977
156,75,50,2,1977
157,75,43,1,1977
158,75,78,1,1977
159,97,16,1,1977
160,97,10,1,1977
161,97,3,1,1977
162,97,41,1,1977
163,97,37,1,1977
164,97,96,1,1977
165,97,26,1,1977
