nokta_no,x,y,count,sezon_dakikasi
1,46,74,4,2277
2,46,27,1,2277
3,46,67,4,2277
4,46,64,1,2277
5,46,28,1,2277
6,46,81,1,2277
7,46,76,1,2277
8,46,51,2,2277
9,46,22,1,2277
10,46,89,3,2277
11,46,49,3,2277
12,46,47,1,2277
13,46,86,2,2277
14,46,88,1,2277
15,46,77,1,2277
16,46,55,1,2277
17,46,52,1,2277
18,46,93,1,2277
19,46,53,1,2277
20,46,31,1,2277
21,46,63,1,2277
22,46,40,1,2277
23,46,78,1,2277
24,46,71,1,2277
25,46,65,1,2277
26,46,43,1,2277
27,46,42,1,2277
28,31,71,2,2277
29,31,49,2,2277
30,31,54,1,2277
31,31,65,1,2277
32,31,32,1,2277
33,31,23,1,2277
34,31,27,1,2277
35,31,76,2,2277
36,31,70,1,2277
37,31,84,1,2277
38,31,35,2,2277
39,31,72,1,2277
40,31,58,2,2277
41,31,66,1,2277
42,31,63,1,2277
43,31,60,1,2277
44,31,57,1,2277
45,31,39,1,2277
46,31,40,1,2277
47,31,38,1,2277
48,31,92,1,2277
49,31,30,1,2277
50,31,51,1,2277
51,31,44,1,2277
52,31,26,1,2277
53,31,59,1,2277
54,31,33,1,2277
55,31,61,1,2277
56,31,36,1,2277
57,31,20,1,2277
58,31,47,1,2277
59,31,62,1,2277
60,27,21,1,2277
61,27,46,2,2277
62,27,54,3,2277
63,27,66,1,2277
64,27,36,1,2277
65,27,93,1,2277
66,27,90,1,2277
67,27,59,3,2277
68,27,56,1,2277
69,27,68,1,2277
70,27,28,1,2277
71,27,24,1,2277
72,27,58,1,2277
73,27,63,1,2277
74,27,35,1,2277
75,27,55,1,2277
76,27,49,1,2277
77,27,34,1,2277
78,27,57,2,2277
79,27,16,1,2277
80,27,52,1,2277
81,27,26,1,2277
82,27,38,1,2277
83,27,81,1,2277
84,27,30,1,2277
85,27,53,1,2277
86,25,8,2,2277
87,25,37,1,2277
88,25,62,2,2277
89,25,53,1,2277
90,25,51,1,2277
91,25,60,2,2277
92,25,57,1,2277
93,25,84,1,2277
94,25,54,1,2277
95,25,71,1,2277
96,25,17,1,2277
97,25,69,1,2277
98,25,72,2,2277
99,25,34,1,2277
100,25,23,1,2277
101,25,65,1,2277
102,25,50,1,2277
103,25,19,1,2277
104,25,31,3,2277
105,25,47,2,2277
106,25,73,1,2277
107,25,77,1,2277
108,25,24,1,2277
109,25,39,1,2277
110,39,29,2,2277
111,39,58,1,2277
112,39,85,2,2277
113,39,82,1,2277
114,39,20,2,2277
115,39,70,2,2277
116,39,39,2,2277
117,39,62,1,2277
118,39,61,1,2277
119,39,80,1,2277
120,39,76,1,2277
121,39,67,2,2277
122,39,66,3,2277
123,39,34,2,2277
124,39,69,1,2277
125,39,37,1,2277
126,39,30,1,2277
127,39,83,1,2277
128,39,53,2,2277
129,39,28,1,2277
130,39,57,1,2277
131,39,65,1,2277
132,39,48,1,2277
133,39,7,1,2277
134,38,62,4,2277
135,38,91,1,2277
136,38,33,2,2277
137,38,23,1,2277
138,38,46,2,2277
139,38,61,2,2277
140,38,69,2,2277
141,38,15,1,2277
142,38,58,2,2277
143,38,36,1,2277
144,38,73,1,2277
145,38,50,1,2277
146,38,59,2,2277
147,38,88,1,2277
148,38,30,2,2277
149,38,60,1,2277
150,38,34,2,2277
151,38,40,1,2277
152,38,47,1,2277
153,38,72,1,2277
154,38,55,1,2277
155,38,18,2,2277
156,38,37,1,2277
157,38,27,1,2277
158,38,56,1,2277
159,38,44,1,2277
160,38,63,1,2277
161,38,65,1,2277
162,38,86,1,2277
163,38,38,1,2277
164,38,31,1,2277
165,38,84,1,2277
166,38,52,1,2277
167,38,66,1,2277
168,38,64,1,2277
169,35,35,4,2277
170,35,25,1,2277
171,35,29,5,2277
172,35,65,3,2277
173,35,43,2,2277
174,35,23,1,2277
175,35,67,1,2277
176,35,50,2,2277
177,35,58,1,2277
178,35,36,1,2277
179,35,46,2,2277
180,35,37,1,2277
181,35,60,1,2277
182,35,53,1,2277
183,35,27,1,2277
184,35,22,1,2277
185,35,68,1,2277
186,35,80,1,2277
187,35,76,1,2277
188,35,39,1,2277
189,35,59,1,2277
190,35,30,2,2277
191,35,84,1,2277
192,35,32,2,2277
193,35,66,1,2277
194,35,87,1,2277
195,35,63,1,2277
196,35,44,1,2277
197,35,62,1,2277
198,35,42,1,2277
199,35,45,1,2277
200,34,10,1,2277
201,34,91,1,2277
202,34,74,1,2277
203,34,15,1,2277
204,34,54,1,2277
205,34,59,1,2277
206,34,64,2,2277
207,34,28,2,2277
208,34,41,3,2277
209,34,47,1,2277
210,34,24,1,2277
211,34,27,1,2277
212,34,56,2,2277
213,34,57,3,2277
214,34,49,2,2277
215,34,85,1,2277
216,34,29,1,2277
217,34,40,1,2277
218,34,80,3,2277
219,34,67,1,2277
220,34,65,1,2277
221,34,33,1,2277
222,34,71,1,2277
223,34,95,1,2277
224,34,76,1,2277
225,34,70,1,2277
226,34,45,2,2277
227,34,50,1,2277
228,34,66,1,2277
229,34,5,2,2277
