nokta_no,x,y,count,sezon_dakikasi
1,7,35,2,2848
2,42,88,1,2848
3,42,85,1,2848
4,42,92,5,2848
5,42,49,1,2848
6,42,66,2,2848
7,42,21,2,2848
8,42,75,1,2848
9,42,59,1,2848
10,42,89,3,2848
11,42,80,2,2848
12,42,81,1,2848
13,42,16,1,2848
14,42,91,1,2848
15,42,100,1,2848
16,42,63,1,2848
17,42,18,1,2848
18,42,78,1,2848
19,42,77,1,2848
20,42,79,1,2848
21,42,60,1,2848
22,42,96,2,2848
23,42,94,1,2848
24,42,65,1,2848
25,42,57,1,2848
26,42,9,1,2848
27,42,67,1,2848
28,42,20,1,2848
29,39,87,1,2848
30,39,9,1,2848
31,39,73,1,2848
32,39,92,4,2848
33,39,37,2,2848
34,39,52,1,2848
35,39,19,1,2848
36,39,32,1,2848
37,39,6,1,2848
38,39,45,2,2848
39,39,90,2,2848
40,39,81,2,2848
41,39,49,1,2848
42,39,29,1,2848
43,39,94,1,2848
44,39,24,2,2848
45,39,28,1,2848
46,39,54,1,2848
47,39,64,1,2848
48,39,83,2,2848
49,39,11,1,2848
50,39,95,1,2848
51,39,74,2,2848
52,39,25,1,2848
53,39,22,1,2848
54,39,63,1,2848
55,39,68,1,2848
56,39,21,2,2848
57,39,84,1,2848
58,39,8,1,2848
59,39,86,1,2848
60,39,30,1,2848
61,39,65,1,2848
62,35,80,1,2848
63,35,33,1,2848
64,35,83,2,2848
65,35,18,2,2848
66,35,35,1,2848
67,35,76,1,2848
68,35,69,1,2848
69,35,11,1,2848
70,35,34,1,2848
71,35,68,1,2848
72,35,24,2,2848
73,35,87,1,2848
74,35,93,3,2848
75,35,71,1,2848
76,35,38,1,2848
77,35,77,1,2848
78,35,64,2,2848
79,35,21,2,2848
80,35,6,1,2848
81,35,55,2,2848
82,35,94,1,2848
83,35,46,1,2848
84,35,85,1,2848
85,35,84,2,2848
86,35,63,1,2848
87,35,74,1,2848
88,35,78,1,2848
89,35,75,1,2848
90,35,23,1,2848
91,35,36,1,2848
92,35,37,1,2848
93,35,53,1,2848
94,28,46,1,2848
95,28,31,2,2848
96,28,86,2,2848
97,28,67,2,2848
98,28,81,1,2848
99,28,30,1,2848
100,28,33,1,2848
101,28,83,1,2848
102,28,14,1,2848
103,28,84,1,2848
104,28,94,2,2848
105,28,54,3,2848
106,28,45,2,2848
107,28,27,2,2848
108,28,58,2,2848
109,28,87,1,2848
110,28,49,1,2848
111,28,80,1,2848
112,28,5,1,2848
113,28,97,1,2848
114,28,73,1,2848
115,28,57,1,2848
116,28,39,1,2848
117,28,17,1,2848
118,27,44,3,2848
119,27,26,1,2848
120,27,76,1,2848
121,27,85,1,2848
122,27,40,1,2848
123,27,62,1,2848
124,27,81,2,2848
125,27,77,1,2848
126,27,51,1,2848
127,27,67,1,2848
128,27,60,2,2848
129,27,71,1,2848
130,27,11,1,2848
131,27,59,1,2848
132,27,87,1,2848
133,27,86,2,2848
134,27,97,1,2848
135,27,9,1,2848
136,27,92,1,2848
137,27,47,1,2848
138,71,65,1,2848
139,71,70,2,2848
140,71,16,1,2848
