nokta_no,x,y,count,sezon_dakikasi
1,28,14,1,1519
2,28,26,3,1519
3,28,66,1,1519
4,28,53,1,1519
5,28,44,1,1519
6,28,28,1,1519
7,28,8,1,1519
8,28,29,1,1519
9,28,6,1,1519
10,28,25,1,1519
11,28,27,2,1519
12,28,19,1,1519
13,28,7,1,1519
14,28,34,1,1519
15,32,45,1,1519
16,32,9,1,1519
17,32,70,1,1519
18,32,63,1,1519
19,32,43,1,1519
20,32,74,1,1519
21,32,19,1,1519
22,32,11,1,1519
23,32,79,1,1519
24,32,66,1,1519
25,32,71,1,1519
26,32,61,1,1519
27,32,86,1,1519
28,32,92,1,1519
29,32,25,1,1519
30,32,21,1,1519
31,32,80,1,1519
32,32,73,1,1519
33,32,5,1,1519
34,32,12,1,1519
35,32,52,1,1519
36,32,44,1,1519
37,32,34,1,1519
38,32,48,1,1519
39,32,14,1,1519
40,44,29,1,1519
41,44,64,1,1519
42,44,53,1,1519
43,44,24,1,1519
44,44,14,1,1519
45,44,67,1,1519
46,44,71,1,1519
47,44,21,1,1519
48,44,78,1,1519
49,44,65,1,1519
50,44,1,1,1519
51,44,25,1,1519
52,44,75,1,1519
53,2,59,1,1519
54,2,2,1,1519
55,2,42,2,1519
56,1,69,1,1519
57,1,32,1,1519
58,1,80,1,1519
59,27,45,1,1519
60,27,62,1,1519
61,27,6,1,1519
62,27,82,1,1519
63,27,54,1,1519
64,27,32,1,1519
65,27,49,1,1519
66,27,16,1,1519
67,27,22,1,1519
68,27,44,1,1519
69,27,70,1,1519
70,27,24,1,1519
71,27,12,2,1519
72,27,27,1,1519
73,51,26,1,1519
74,51,90,1,1519
75,51,56,1,1519
76,51,31,1,1519
77,51,44,1,1519
78,4,34,1,1519
79,4,56,1,1519
80,4,61,1,1519
81,10,4,1,1519
82,10,55,1,1519
83,10,89,1,1519
84,10,95,1,1519
85,10,26,1,1519
86,10,30,1,1519
87,10,40,1,1519
88,10,44,1,1519
89,9,3,1,1519
90,9,61,1,1519
91,9,51,1,1519
92,9,19,1,1519
93,9,16,1,1519
94,9,7,1,1519
95,9,47,1,1519
96,87,61,1,1519
97,87,55,1,1519
98,87,83,3,1519
99,87,81,1,1519
100,87,40,1,1519
101,63,48,1,1519
102,63,11,1,1519
103,63,16,1,1519
104,63,93,1,1519
105,63,89,1,1519
106,63,4,1,1519
107,63,9,1,1519
108,63,71,1,1519
109,63,78,2,1519
110,63,20,2,1519
111,63,7,1,1519
112,63,76,1,1519
113,63,19,1,1519
114,63,28,1,1519
115,69,81,1,1519
116,69,85,1,1519
117,69,6,3,1519
118,69,55,1,1519
119,69,18,2,1519
120,69,25,1,1519
121,69,12,1,1519
122,69,88,1,1519
123,54,75,1,1519
124,54,77,1,1519
125,54,62,1,1519
126,54,48,1,1519
127,54,60,1,1519
128,54,51,2,1519
129,54,74,1,1519
130,54,7,1,1519
131,54,27,1,1519
132,54,88,1,1519
133,54,71,1,1519
134,54,14,1,1519
135,54,8,1,1519
136,43,30,1,1519
137,43,87,1,1519
138,43,64,1,1519
139,43,66,1,1519
140,43,76,1,1519
141,43,16,1,1519
142,43,53,1,1519
143,43,65,1,1519
144,43,32,1,1519
145,43,20,1,1519
146,43,67,4,1519
147,43,72,1,1519
148,43,10,1,1519
149,43,21,1,1519
150,43,18,1,1519
151,43,9,2,1519
152,43,62,1,1519
153,50,26,1,1519
154,50,58,1,1519
155,50,87,1,1519
156,50,65,1,1519
157,50,84,1,1519
158,50,66,1,1519
159,50,45,1,1519
160,7,37,1,1519
161,7,95,2,1519
162,7,70,1,1519
163,7,69,1,1519
164,7,72,1,1519
165,7,62,1,1519
166,72,52,1,1519
167,72,62,1,1519
168,72,96,1,1519
169,72,37,1,1519
170,72,66,1,1519
171,72,4,1,1519
172,72,5,1,1519
173,74,49,1,1519
174,74,79,1,1519
175,74,72,1,1519
176,74,37,1,1519
177,74,11,1,1519
178,74,30,1,1519
179,74,22,1,1519
180,24,40,1,1519
181,24,96,1,1519
182,24,32,1,1519
183,24,95,1,1519
184,24,70,2,1519
185,24,72,1,1519
186,24,29,2,1519
187,24,75,2,1519
188,24,90,2,1519
189,24,58,1,1519
190,24,17,1,1519
191,24,30,1,1519
192,24,31,1,1519
193,24,8,1,1519
194,24,3,1,1519
195,31,28,1,1519
196,31,30,1,1519
197,31,62,2,1519
198,31,78,2,1519
199,31,17,1,1519
200,31,68,1,1519
201,31,31,1,1519
202,31,88,1,1519
203,31,91,1,1519
204,31,97,1,1519
205,31,81,1,1519
206,31,21,2,1519
207,31,59,1,1519
208,31,15,1,1519
209,31,50,1,1519
210,31,22,1,1519
211,31,32,1,1519
212,31,75,1,1519
213,31,38,1,1519
214,31,20,1,1519
215,31,2,1,1519
216,31,63,2,1519
217,31,54,2,1519
218,48,54,1,1519
219,48,66,1,1519
220,48,33,1,1519
221,48,22,1,1519
222,48,24,1,1519
223,48,30,1,1519
224,48,83,1,1519
225,48,5,1,1519
226,48,65,1,1519
227,48,10,1,1519
228,58,88,1,1519
229,58,35,1,1519
230,58,80,1,1519
231,58,15,1,1519
232,58,3,2,1519
233,58,23,1,1519
234,58,11,1,1519
235,58,4,1,1519
236,58,71,1,1519
237,58,75,1,1519
238,58,19,1,1519
239,58,32,1,1519
240,58,36,1,1519
241,58,10,1,1519
242,58,5,1,1519
243,58,26,1,1519
244,52,72,1,1519
245,52,64,1,1519
246,52,30,1,1519
247,52,70,1,1519
248,52,34,1,1519
249,52,68,1,1519
250,52,10,1,1519
251,52,66,1,1519
252,37,50,1,1519
253,37,72,2,1519
254,37,70,2,1519
255,37,42,1,1519
256,37,87,1,1519
257,37,31,2,1519
258,37,52,1,1519
259,37,75,1,1519
260,37,21,1,1519
261,37,20,1,1519
262,37,4,1,1519
263,37,10,1,1519
264,37,22,1,1519
265,37,19,1,1519
266,37,5,2,1519
267,42,19,1,1519
268,42,59,1,1519
269,42,30,1,1519
270,42,47,1,1519
271,42,48,1,1519
272,42,7,1,1519
273,42,29,1,1519
274,42,60,1,1519
275,42,77,1,1519
276,42,64,1,1519
277,42,8,1,1519
278,34,75,1,1519
279,34,84,1,1519
280,34,45,1,1519
281,34,40,1,1519
282,34,83,1,1519
283,34,65,1,1519
284,34,47,2,1519
285,34,54,1,1519
286,34,33,1,1519
287,34,25,1,1519
288,34,60,1,1519
289,34,48,1,1519
290,34,6,1,1519
291,34,86,1,1519
292,34,70,1,1519
293,34,31,1,1519
294,35,71,3,1519
295,35,57,1,1519
296,35,4,1,1519
297,35,39,1,1519
298,35,80,1,1519
299,35,9,1,1519
300,35,7,1,1519
301,35,86,1,1519
302,35,29,1,1519
303,35,28,1,1519
304,35,85,1,1519
305,35,84,1,1519
306,35,41,1,1519
307,35,10,1,1519
308,35,68,1,1519
309,35,37,1,1519
310,35,77,1,1519
311,35,26,1,1519
312,35,3,1,1519
313,33,74,2,1519
314,33,92,1,1519
315,33,26,1,1519
316,33,44,1,1519
317,33,59,1,1519
318,33,73,1,1519
319,33,7,1,1519
320,33,76,1,1519
321,33,97,1,1519
322,33,27,2,1519
323,33,25,1,1519
324,33,24,1,1519
