nokta_no,x,y,count,sezon_dakikasi
1,32,64,1,2329
2,32,29,2,2329
3,32,46,1,2329
4,32,50,1,2329
5,32,82,1,2329
6,32,31,2,2329
7,32,34,1,2329
8,32,60,1,2329
9,32,42,1,2329
10,32,78,1,2329
11,32,6,1,2329
12,32,32,1,2329
13,32,49,1,2329
14,32,14,1,2329
15,32,79,1,2329
16,32,71,1,2329
17,32,20,1,2329
18,32,77,1,2329
19,32,69,1,2329
20,32,28,1,2329
21,32,19,1,2329
22,32,85,1,2329
23,32,37,1,2329
24,32,38,1,2329
25,32,27,1,2329
26,32,25,1,2329
27,32,54,1,2329
28,32,23,1,2329
29,30,79,1,2329
30,30,88,4,2329
31,30,87,3,2329
32,30,31,1,2329
33,30,65,2,2329
34,30,50,1,2329
35,30,82,1,2329
36,30,47,1,2329
37,30,86,1,2329
38,30,16,1,2329
39,30,32,1,2329
40,30,66,2,2329
41,30,41,1,2329
42,30,91,2,2329
43,30,43,1,2329
44,30,70,1,2329
45,30,42,1,2329
46,30,68,1,2329
47,30,51,2,2329
48,30,53,1,2329
49,30,25,1,2329
50,30,49,1,2329
51,30,75,3,2329
52,30,80,1,2329
53,30,14,1,2329
54,30,94,1,2329
55,30,90,1,2329
56,30,93,1,2329
57,39,69,4,2329
58,39,27,2,2329
59,39,75,1,2329
60,39,83,1,2329
61,39,43,1,2329
62,39,58,1,2329
63,39,71,1,2329
64,39,60,1,2329
65,39,66,1,2329
66,39,20,1,2329
67,39,29,2,2329
68,39,56,1,2329
69,39,63,3,2329
70,39,22,1,2329
71,39,21,1,2329
72,39,9,1,2329
73,39,6,1,2329
74,39,84,1,2329
75,39,32,1,2329
76,39,25,1,2329
77,39,68,1,2329
78,39,33,1,2329
79,39,39,1,2329
80,39,28,2,2329
81,39,41,1,2329
82,39,87,1,2329
83,39,64,2,2329
84,39,38,1,2329
85,39,90,1,2329
86,39,40,1,2329
87,39,57,1,2329
88,39,37,1,2329
89,54,28,2,2329
90,54,70,1,2329
91,54,51,1,2329
92,54,45,2,2329
93,54,56,1,2329
94,54,21,1,2329
95,54,71,1,2329
96,54,55,1,2329
97,54,9,1,2329
98,54,67,2,2329
99,54,93,1,2329
100,54,39,1,2329
101,54,30,1,2329
