nokta_no,x,y,count,sezon_dakikasi
1,28,42,1,2769
2,28,69,2,2769
3,28,77,3,2769
4,28,86,3,2769
5,28,91,1,2769
6,28,75,4,2769
7,28,74,3,2769
8,28,78,2,2769
9,28,82,1,2769
10,28,65,3,2769
11,28,76,1,2769
12,28,70,1,2769
13,28,72,1,2769
14,28,61,1,2769
15,28,71,1,2769
16,28,84,2,2769
17,28,68,2,2769
18,28,67,1,2769
19,28,51,1,2769
20,28,64,2,2769
21,28,25,1,2769
22,28,80,1,2769
23,28,73,2,2769
24,28,60,1,2769
25,28,79,1,2769
26,28,49,1,2769
27,28,83,1,2769
28,28,50,1,2769
29,28,97,1,2769
30,28,90,1,2769
31,6,70,2,2769
32,6,82,1,2769
33,6,73,1,2769
34,6,85,3,2769
35,6,48,2,2769
36,6,91,1,2769
37,6,75,1,2769
38,6,94,1,2769
39,6,84,1,2769
40,6,88,1,2769
41,6,56,2,2769
42,6,46,1,2769
43,6,50,1,2769
44,6,61,1,2769
45,6,69,3,2769
46,6,87,1,2769
47,6,51,1,2769
48,6,58,1,2769
49,6,45,2,2769
50,6,89,2,2769
51,6,40,1,2769
52,6,41,1,2769
53,6,54,1,2769
54,6,72,2,2769
55,6,57,1,2769
56,7,69,1,2769
57,7,89,1,2769
58,7,67,2,2769
59,7,43,1,2769
60,7,63,1,2769
61,7,29,1,2769
62,7,72,1,2769
63,7,58,1,2769
64,7,94,1,2769
65,7,44,1,2769
66,7,75,1,2769
67,7,57,3,2769
68,7,70,1,2769
69,7,71,1,2769
70,7,91,1,2769
71,7,88,1,2769
72,7,93,1,2769
73,7,49,1,2769
74,7,56,1,2769
75,7,5,1,2769
76,7,47,1,2769
77,7,86,1,2769
78,7,26,1,2769
79,7,48,1,2769
80,7,52,1,2769
81,7,42,1,2769
82,7,60,1,2769
83,13,88,2,2769
84,13,71,1,2769
85,13,61,1,2769
86,13,64,2,2769
87,13,85,3,2769
88,13,75,1,2769
89,13,48,3,2769
90,13,49,1,2769
91,13,94,2,2769
92,13,73,1,2769
93,13,46,1,2769
94,13,63,1,2769
95,13,67,1,2769
96,13,77,2,2769
97,13,68,1,2769
98,13,42,1,2769
99,13,87,1,2769
100,13,31,1,2769
101,13,54,2,2769
102,13,53,1,2769
103,13,81,1,2769
104,13,62,1,2769
105,13,52,1,2769
106,13,17,1,2769
107,13,89,1,2769
108,13,76,1,2769
109,13,82,1,2769
110,13,57,1,2769
111,38,62,3,2769
112,38,73,7,2769
113,38,72,1,2769
114,38,64,3,2769
115,38,74,4,2769
116,38,76,3,2769
117,38,59,1,2769
118,38,85,3,2769
119,38,49,1,2769
120,38,80,3,2769
121,38,61,1,2769
122,38,37,1,2769
123,38,87,1,2769
124,38,71,2,2769
125,38,75,2,2769
126,38,69,3,2769
127,38,63,1,2769
128,38,66,1,2769
