nokta_no,x,y,count,sezon_dakikasi
1,75,75,1,2693
2,75,78,1,2693
3,75,29,1,2693
4,75,46,1,2693
5,75,15,1,2693
6,75,90,1,2693
7,75,79,1,2693
8,75,85,1,2693
9,75,70,1,2693
10,75,100,1,2693
11,75,81,1,2693
12,75,28,1,2693
13,75,23,1,2693
14,75,76,1,2693
15,75,18,1,2693
16,75,57,1,2693
17,75,51,1,2693
18,75,68,2,2693
19,75,11,2,2693
20,75,83,1,2693
21,75,80,1,2693
22,75,27,1,2693
23,75,89,2,2693
24,75,14,1,2693
25,76,78,2,2693
26,76,36,2,2693
27,76,82,1,2693
28,76,79,1,2693
29,76,28,1,2693
30,76,81,1,2693
31,76,76,2,2693
32,76,75,2,2693
33,76,73,1,2693
34,76,69,1,2693
35,76,66,1,2693
36,76,88,1,2693
37,76,72,1,2693
38,76,90,1,2693
39,76,57,1,2693
40,76,58,1,2693
41,76,84,1,2693
42,76,94,1,2693
43,76,85,1,2693
44,76,29,1,2693
45,32,19,1,2693
46,32,62,1,2693
47,32,90,1,2693
48,32,94,1,2693
49,32,39,1,2693
50,32,25,2,2693
51,32,48,1,2693
52,32,49,2,2693
53,32,50,3,2693
54,32,67,1,2693
55,32,85,6,2693
56,32,47,1,2693
57,32,66,1,2693
58,32,83,1,2693
59,32,44,1,2693
60,32,93,1,2693
61,32,15,1,2693
62,32,79,2,2693
63,32,74,1,2693
64,32,87,1,2693
65,32,71,1,2693
66,32,11,1,2693
67,32,33,1,2693
68,32,38,1,2693
69,32,28,1,2693
70,32,65,3,2693
71,32,12,1,2693
72,32,76,1,2693
73,32,70,1,2693
74,32,37,1,2693
75,32,32,2,2693
76,32,84,1,2693
77,32,63,1,2693
78,32,78,1,2693
79,32,60,1,2693
80,22,29,1,2693
81,22,80,2,2693
82,22,34,2,2693
83,22,90,1,2693
84,22,60,1,2693
85,22,47,4,2693
86,22,30,1,2693
87,22,70,1,2693
88,22,14,1,2693
89,22,40,1,2693
90,22,31,1,2693
91,22,57,1,2693
92,22,75,1,2693
93,22,82,3,2693
94,22,43,1,2693
95,22,50,1,2693
96,22,49,1,2693
97,22,42,1,2693
98,22,65,1,2693
99,22,58,1,2693
100,22,89,1,2693
101,22,11,1,2693
102,22,8,2,2693
103,22,72,1,2693
104,49,87,1,2693
105,49,60,1,2693
106,49,35,1,2693
107,49,24,1,2693
108,49,56,1,2693
109,49,36,1,2693
110,49,83,1,2693
111,49,13,1,2693
112,49,18,1,2693
113,49,82,1,2693
114,49,23,1,2693
115,49,27,1,2693
116,49,31,1,2693
117,61,75,1,2693
118,61,52,1,2693
119,61,73,3,2693
120,61,28,3,2693
121,61,20,3,2693
122,61,32,2,2693
123,61,54,2,2693
124,61,29,2,2693
125,61,18,2,2693
126,61,34,1,2693
127,61,11,1,2693
128,61,31,1,2693
129,61,9,1,2693
130,61,84,1,2693
131,61,69,4,2693
132,61,27,1,2693
133,61,33,2,2693
134,61,60,2,2693
135,61,25,1,2693
136,61,85,1,2693
137,61,67,1,2693
138,61,74,3,2693
139,61,36,1,2693
140,61,79,2,2693
141,61,87,1,2693
142,61,53,1,2693
143,61,24,1,2693
144,61,71,1,2693
145,61,38,1,2693
146,61,16,1,2693
147,61,12,2,2693
148,61,44,2,2693
149,61,21,1,2693
150,61,92,1,2693
151,61,88,1,2693
152,61,35,2,2693
153,61,76,2,2693
154,61,17,2,2693
155,61,56,1,2693
156,61,26,1,2693
157,61,90,1,2693
158,61,72,1,2693
159,61,62,1,2693
160,61,82,1,2693
161,61,19,1,2693
162,61,83,2,2693
163,61,41,1,2693
164,61,8,2,2693
165,61,70,1,2693
166,61,65,1,2693
167,68,21,1,2693
168,68,11,2,2693
169,68,78,2,2693
170,68,80,1,2693
171,68,83,2,2693
172,68,93,1,2693
173,68,24,1,2693
174,68,70,2,2693
175,68,16,1,2693
176,68,45,1,2693
177,68,39,1,2693
178,68,89,2,2693
179,68,25,1,2693
180,68,27,1,2693
181,68,19,1,2693
182,68,42,3,2693
183,68,17,1,2693
184,68,36,1,2693
185,68,30,1,2693
186,68,96,2,2693
187,68,85,1,2693
188,68,26,1,2693
189,68,13,2,2693
190,68,59,1,2693
191,68,35,1,2693
192,68,71,1,2693
193,68,53,1,2693
194,68,12,1,2693
195,68,31,1,2693
196,68,28,1,2693
197,68,34,1,2693
198,68,88,1,2693
199,68,54,1,2693
200,68,40,1,2693
201,68,15,1,2693
202,68,73,2,2693
203,68,56,1,2693
204,68,18,2,2693
205,68,10,1,2693
206,27,15,2,2693
207,27,64,1,2693
208,27,31,2,2693
209,27,94,1,2693
210,27,96,2,2693
211,27,77,1,2693
212,27,58,1,2693
213,27,13,3,2693
214,27,23,2,2693
215,27,54,2,2693
216,27,33,1,2693
217,27,50,2,2693
218,27,32,1,2693
219,27,26,1,2693
220,27,38,1,2693
221,27,3,1,2693
222,27,59,2,2693
223,27,22,1,2693
224,27,69,2,2693
225,27,20,1,2693
226,27,21,1,2693
227,27,11,1,2693
228,46,25,5,2693
229,46,83,2,2693
230,46,54,1,2693
231,46,68,1,2693
232,46,55,1,2693
233,46,65,2,2693
234,46,74,1,2693
235,46,30,2,2693
236,46,89,1,2693
237,46,81,1,2693
238,46,82,3,2693
239,46,15,1,2693
240,46,28,3,2693
241,46,59,2,2693
242,46,63,1,2693
243,46,50,3,2693
244,46,78,1,2693
245,46,91,1,2693
246,46,71,1,2693
247,46,48,1,2693
248,46,62,2,2693
249,46,76,3,2693
250,46,46,1,2693
251,46,61,1,2693
252,46,31,1,2693
253,46,24,3,2693
254,46,22,1,2693
255,46,70,2,2693
256,46,80,1,2693
257,46,57,1,2693
258,46,29,1,2693
259,46,92,1,2693
260,46,43,2,2693
261,46,32,1,2693
262,46,21,1,2693
263,46,85,1,2693
264,46,88,1,2693
265,46,77,1,2693
266,46,87,2,2693
267,46,58,1,2693
268,46,90,1,2693
269,30,79,1,2693
270,30,64,1,2693
271,30,85,2,2693
272,30,14,2,2693
273,30,48,1,2693
274,30,22,1,2693
275,30,82,1,2693
276,30,12,2,2693
277,30,35,1,2693
278,30,38,2,2693
279,30,73,1,2693
280,30,94,1,2693
281,30,84,1,2693
282,30,37,1,2693
283,30,21,1,2693
284,30,19,1,2693
285,30,43,1,2693
286,30,33,2,2693
287,30,65,1,2693
288,30,7,1,2693
289,30,8,1,2693
290,30,47,1,2693
291,30,20,1,2693
292,30,96,1,2693
293,30,61,1,2693
294,30,16,1,2693
295,58,72,3,2693
296,58,21,2,2693
297,58,17,1,2693
298,58,70,2,2693
299,58,69,1,2693
300,58,52,1,2693
301,58,60,1,2693
302,58,62,1,2693
303,58,76,1,2693
304,58,25,1,2693
305,58,68,1,2693
306,58,32,1,2693
307,58,20,1,2693
308,58,74,1,2693
309,58,26,1,2693
310,58,53,1,2693
311,58,5,1,2693
312,58,28,2,2693
313,58,46,1,2693
314,58,34,1,2693
315,58,54,1,2693
316,58,90,2,2693
317,58,94,1,2693
318,58,11,1,2693
319,58,55,2,2693
320,58,84,1,2693
321,58,49,2,2693
322,58,40,1,2693
323,58,24,1,2693
324,58,79,1,2693
325,58,85,2,2693
326,58,23,2,2693
327,58,31,2,2693
328,58,81,2,2693
329,58,92,3,2693
330,58,82,2,2693
331,58,18,2,2693
332,58,36,1,2693
333,58,33,1,2693
334,58,87,2,2693
335,58,16,1,2693
336,58,65,1,2693
337,58,86,1,2693
338,58,35,1,2693
339,58,67,1,2693
340,55,38,1,2693
341,55,91,1,2693
342,55,25,1,2693
343,55,30,2,2693
344,55,51,1,2693
345,55,44,1,2693
346,55,69,2,2693
347,55,17,1,2693
348,55,36,2,2693
