nokta_no,x,y,count,sezon_dakikasi
1,64,81,2,1586
2,64,80,2,1586
3,64,61,1,1586
4,64,94,3,1586
5,64,77,1,1586
6,64,96,1,1586
7,64,95,2,1586
8,64,45,1,1586
9,64,60,1,1586
10,64,84,1,1586
11,64,92,1,1586
12,64,88,1,1586
13,64,86,1,1586
14,78,54,1,1586
15,78,88,2,1586
16,78,77,1,1586
17,78,84,1,1586
18,78,78,1,1586
19,78,72,1,1586
20,78,89,2,1586
21,78,86,1,1586
22,78,59,1,1586
23,78,66,1,1586
24,78,97,1,1586
25,78,94,2,1586
26,78,34,1,1586
27,78,93,1,1586
28,78,75,1,1586
29,78,91,3,1586
30,78,64,2,1586
31,78,100,1,1586
32,78,80,1,1586
33,78,85,2,1586
34,78,57,1,1586
35,78,60,1,1586
36,78,92,1,1586
37,78,71,1,1586
38,79,94,2,1586
39,79,90,3,1586
40,79,86,1,1586
41,79,83,1,1586
42,79,77,1,1586
43,79,61,1,1586
44,79,27,1,1586
45,79,91,1,1586
46,79,45,1,1586
47,79,97,1,1586
48,79,93,1,1586
49,79,67,1,1586
50,12,48,1,1586
51,12,88,2,1586
52,32,85,1,1586
53,32,74,1,1586
54,32,97,1,1586
55,32,86,1,1586
56,32,94,2,1586
57,32,92,1,1586
58,32,93,1,1586
59,32,62,1,1586
60,32,83,1,1586
61,36,92,3,1586
62,36,80,1,1586
63,36,82,1,1586
64,36,94,1,1586
65,36,77,1,1586
66,36,8,1,1586
67,36,95,3,1586
68,36,91,1,1586
69,61,72,1,1586
70,61,84,1,1586
71,61,95,1,1586
72,61,89,1,1586
73,61,88,1,1586
74,61,96,1,1586
75,61,94,2,1586
76,61,92,1,1586
77,61,91,1,1586
78,61,80,1,1586
79,46,61,2,1586
80,46,68,1,1586
81,46,54,1,1586
82,46,95,1,1586
83,46,90,1,1586
84,46,82,2,1586
85,46,76,1,1586
86,46,72,1,1586
87,87,74,1,1586
88,87,76,1,1586
89,87,83,2,1586
90,87,17,1,1586
91,87,87,1,1586
92,87,93,1,1586
93,87,66,1,1586
94,87,90,1,1586
95,87,94,2,1586
96,87,84,2,1586
