nokta_no,x,y,count,sezon_dakikasi
1,25,10,1,2024
2,25,35,1,2024
3,25,79,2,2024
4,25,53,1,2024
5,25,89,1,2024
6,25,26,1,2024
7,25,44,1,2024
8,25,62,1,2024
9,25,27,1,2024
10,25,49,1,2024
11,25,64,1,2024
12,25,23,1,2024
13,25,59,1,2024
14,25,11,1,2024
15,29,32,2,2024
16,29,56,1,2024
17,29,53,3,2024
18,29,9,1,2024
19,29,65,1,2024
20,29,89,1,2024
21,29,4,1,2024
22,29,69,1,2024
23,29,64,2,2024
24,29,70,1,2024
25,29,31,1,2024
26,29,36,2,2024
27,29,38,1,2024
28,29,51,1,2024
29,29,81,1,2024
30,29,91,1,2024
31,29,17,1,2024
32,29,10,1,2024
33,29,66,3,2024
34,29,52,1,2024
35,29,28,2,2024
36,29,34,1,2024
37,29,19,1,2024
38,29,47,1,2024
39,29,62,1,2024
40,29,50,1,2024
41,29,68,1,2024
42,29,84,1,2024
43,29,8,2,2024
44,27,78,2,2024
45,27,72,1,2024
46,27,38,1,2024
47,27,70,1,2024
48,27,86,1,2024
49,27,3,1,2024
50,27,95,1,2024
51,27,36,1,2024
52,27,63,1,2024
53,27,76,1,2024
54,27,74,3,2024
55,27,23,1,2024
56,27,85,1,2024
57,27,60,1,2024
58,27,29,1,2024
59,27,65,2,2024
60,27,73,1,2024
61,27,18,1,2024
62,27,32,1,2024
63,27,62,1,2024
64,55,71,3,2024
65,55,23,1,2024
66,55,82,1,2024
67,55,75,1,2024
68,55,56,1,2024
69,55,74,2,2024
70,55,28,1,2024
71,55,84,1,2024
72,55,22,1,2024
73,55,57,1,2024
74,55,65,1,2024
75,55,44,1,2024
76,55,47,1,2024
77,55,90,1,2024
78,55,32,1,2024
79,55,63,1,2024
80,55,77,1,2024
81,55,48,1,2024
82,55,14,1,2024
83,55,46,1,2024
84,55,68,1,2024
85,55,87,2,2024
86,55,69,1,2024
87,55,66,1,2024
88,55,34,1,2024
89,55,55,1,2024
90,55,80,1,2024
91,55,81,1,2024
92,36,65,2,2024
93,36,46,1,2024
94,36,77,1,2024
95,36,89,1,2024
96,36,62,1,2024
97,36,43,1,2024
98,36,66,2,2024
99,36,82,1,2024
100,36,51,2,2024
101,36,25,1,2024
102,36,39,1,2024
103,36,29,1,2024
104,36,35,2,2024
105,36,71,2,2024
106,36,91,1,2024
107,36,28,1,2024
108,36,54,1,2024
109,36,53,2,2024
110,36,64,3,2024
111,36,60,1,2024
112,36,61,1,2024
113,36,26,1,2024
114,36,42,1,2024
115,36,18,1,2024
116,36,47,1,2024
117,36,50,1,2024
118,36,49,1,2024
119,36,38,1,2024
120,36,57,1,2024
121,36,40,1,2024
122,36,24,1,2024
123,36,56,1,2024
124,53,83,1,2024
125,53,70,1,2024
126,53,24,2,2024
127,53,18,1,2024
128,53,68,2,2024
129,53,75,1,2024
130,53,92,1,2024
131,53,41,2,2024
132,53,84,1,2024
133,53,91,2,2024
134,53,94,1,2024
135,53,17,1,2024
136,53,88,1,2024
137,53,90,1,2024
138,53,78,1,2024
139,53,23,2,2024
140,53,86,1,2024
141,53,27,1,2024
142,53,93,1,2024
143,53,16,2,2024
144,53,67,1,2024
145,53,40,1,2024
146,53,34,1,2024
147,53,43,1,2024
148,53,87,2,2024
149,53,31,1,2024
150,53,81,1,2024
151,53,7,1,2024
152,53,57,1,2024
153,53,45,1,2024
154,53,44,1,2024
155,53,51,1,2024
156,62,35,1,2024
157,62,40,1,2024
158,62,85,4,2024
159,62,16,3,2024
160,62,50,1,2024
161,62,27,1,2024
162,62,76,1,2024
163,62,69,1,2024
164,62,95,1,2024
165,62,8,4,2024
