nokta_no,x,y,count,sezon_dakikasi
1,62,4,4,1322
2,62,5,1,1322
3,62,0,1,1322
4,62,32,1,1322
5,62,24,1,1322
6,62,3,2,1322
7,62,35,1,1322
8,62,8,1,1322
9,62,2,1,1322
10,62,19,1,1322
11,62,13,1,1322
12,62,17,1,1322
13,62,9,1,1322
14,62,10,1,1322
15,3,3,1,1322
16,3,26,2,1322
17,16,6,1,1322
18,16,17,1,1322
19,16,3,1,1322
20,15,95,1,1322
21,15,36,1,1322
22,37,16,1,1322
23,37,5,2,1322
24,37,18,1,1322
25,37,6,3,1322
26,37,4,1,1322
27,37,7,1,1322
28,38,4,1,1322
29,38,9,1,1322
30,38,8,1,1322
31,38,6,1,1322
32,38,7,3,1322
33,38,25,2,1322
34,69,18,1,1322
35,69,6,2,1322
36,69,1,1,1322
37,69,9,1,1322
38,69,4,3,1322
39,69,20,1,1322
40,69,3,1,1322
41,69,7,1,1322
42,69,19,2,1322
43,69,24,1,1322
44,69,30,1,1322
45,89,13,1,1322
46,89,14,2,1322
47,89,19,1,1322
48,89,28,1,1322
49,89,39,1,1322
50,89,8,1,1322
51,89,3,1,1322
52,89,0,1,1322
53,89,5,1,1322
54,89,6,1,1322
55,20,22,1,1322
56,20,35,1,1322
57,20,21,1,1322
58,20,23,1,1322
59,20,11,1,1322
60,20,13,1,1322
61,34,10,4,1322
62,34,17,1,1322
63,34,6,1,1322
64,34,25,2,1322
65,34,19,1,1322
66,34,9,1,1322
67,44,4,1,1322
68,44,8,1,1322
69,44,71,1,1322
70,44,0,1,1322
71,44,34,1,1322
72,44,17,1,1322
73,44,16,1,1322
74,44,13,1,1322
75,44,3,1,1322
76,44,14,1,1322
77,60,13,1,1322
78,60,15,1,1322
79,60,6,2,1322
80,60,3,1,1322
81,60,2,1,1322
82,60,80,1,1322
83,60,11,1,1322
84,60,30,1,1322
85,60,8,2,1322
86,60,7,2,1322
87,60,72,1,1322
88,60,12,2,1322
89,60,88,1,1322
90,60,31,1,1322
91,60,4,1,1322
92,60,9,1,1322
93,23,11,1,1322
94,23,18,1,1322
95,23,7,1,1322
96,31,9,1,1322
97,31,5,2,1322
98,31,16,3,1322
99,31,32,1,1322
100,31,29,1,1322
101,31,2,1,1322
102,31,28,1,1322
103,48,5,1,1322
104,48,7,1,1322
105,48,30,1,1322
106,33,5,2,1322
107,33,3,1,1322
108,33,13,1,1322
109,33,8,1,1322
110,33,27,1,1322
111,33,25,1,1322
112,33,28,1,1322
113,33,6,1,1322
114,33,21,1,1322
115,33,56,1,1322
116,33,4,1,1322
117,33,7,2,1322
118,33,26,1,1322
119,6,36,1,1322
120,6,8,1,1322
121,6,28,1,1322
122,6,19,1,1322
123,6,18,1,1322
124,6,24,1,1322
125,6,82,1,1322
126,6,49,1,1322
127,6,26,1,1322
128,8,34,1,1322
129,8,40,1,1322
130,8,41,2,1322
131,8,21,1,1322
132,8,18,1,1322
133,8,6,1,1322
134,8,30,1,1322
135,8,10,1,1322
136,8,31,1,1322
137,14,49,1,1322
138,14,42,1,1322
139,14,17,1,1322
140,14,82,1,1322
141,99,99,26,1322
142,99,31,1,1322
143,99,0,27,1322
144,99,26,1,1322
145,63,5,2,1322
146,63,6,2,1322
147,63,7,1,1322
148,63,0,2,1322
149,63,4,1,1322
150,63,8,1,1322
151,63,74,1,1322
152,63,11,1,1322
153,39,0,1,1322
154,39,7,1,1322
155,39,1,1,1322
156,39,10,2,1322
157,39,11,2,1322
158,39,6,3,1322
159,39,16,1,1322
160,39,20,1,1322
161,39,18,1,1322
162,39,5,1,1322
163,29,2,2,1322
164,29,19,1,1322
165,26,9,1,1322
166,26,26,2,1322
167,26,11,1,1322
168,26,1,2,1322
169,26,21,1,1322
170,26,58,1,1322
171,26,8,1,1322
172,25,8,3,1322
173,25,31,1,1322
174,25,27,1,1322
175,25,30,1,1322
176,19,14,1,1322
177,19,11,1,1322
178,19,19,1,1322
179,19,17,1,1322
180,19,51,1,1322
181,19,10,1,1322
182,19,6,1,1322
183,54,12,1,1322
184,54,6,1,1322
185,54,10,1,1322
186,54,8,2,1322
187,54,3,2,1322
188,54,17,2,1322
189,54,27,1,1322
190,54,7,1,1322
191,9,7,3,1322
192,9,40,1,1322
193,9,34,1,1322
194,12,28,1,1322
195,12,8,1,1322
196,12,15,1,1322
197,12,7,1,1322
198,12,33,1,1322
199,12,34,1,1322
200,12,40,1,1322
201,12,23,1,1322
202,58,16,1,1322
203,58,7,3,1322
204,58,8,1,1322
205,58,9,2,1322
206,58,6,1,1322
207,58,5,2,1322
208,58,4,1,1322
209,58,3,1,1322
210,71,5,2,1322
211,71,78,1,1322
212,71,88,1,1322
213,71,59,1,1322
214,71,35,1,1322
215,71,37,1,1322
216,71,11,1,1322
217,71,22,1,1322
218,71,4,1,1322
219,18,0,1,1322
220,53,12,1,1322
221,53,15,1,1322
222,53,25,1,1322
223,53,5,1,1322
224,53,3,1,1322
225,53,10,1,1322
226,53,6,1,1322
227,53,4,1,1322
228,53,8,1,1322
229,57,0,3,1322
230,57,29,1,1322
231,57,79,1,1322
232,57,5,1,1322
233,57,24,1,1322
234,57,82,1,1322
235,57,4,2,1322
236,57,21,1,1322
237,57,10,1,1322
238,57,8,1,1322
239,57,12,1,1322
240,57,3,1,1322
241,57,15,1,1322
242,43,18,1,1322
243,43,19,1,1322
244,43,17,1,1322
245,43,7,1,1322
246,43,4,1,1322
247,43,23,1,1322
248,43,15,1,1322
249,43,11,1,1322
250,43,13,1,1322
251,43,6,1,1322
252,65,14,1,1322
253,65,9,2,1322
254,65,7,2,1322
255,65,2,2,1322
256,65,27,1,1322
257,65,4,1,1322
258,65,6,2,1322
259,65,17,1,1322
260,65,19,1,1322
261,65,31,1,1322
262,65,10,1,1322
263,65,29,1,1322
264,65,11,1,1322
265,65,16,2,1322
266,65,13,1,1322
267,79,37,1,1322
268,79,25,1,1322
269,79,1,1,1322
270,79,13,1,1322
271,79,16,2,1322
272,79,83,1,1322
273,79,12,1,1322
274,84,34,1,1322
275,84,14,1,1322
276,84,4,1,1322
277,84,25,1,1322
278,84,17,1,1322
279,84,77,1,1322
280,84,16,1,1322
281,84,30,1,1322
282,84,6,1,1322
283,87,39,1,1322
284,87,31,2,1322
285,87,3,3,1322
286,87,11,1,1322
287,87,7,1,1322
288,87,14,1,1322
289,87,9,2,1322
290,87,8,1,1322
291,87,12,1,1322
292,98,10,1,1322
293,98,72,1,1322
294,98,27,1,1322
295,55,68,1,1322
296,55,90,1,1322
297,55,36,1,1322
298,55,2,2,1322
299,55,23,1,1322
300,55,82,1,1322
301,55,12,1,1322
302,55,11,1,1322
303,55,8,1,1322
304,55,6,1,1322
305,55,35,1,1322
306,55,9,1,1322
307,55,0,1,1322
308,67,7,1,1322
309,67,9,1,1322
310,67,4,1,1322
311,67,48,1,1322
312,67,78,1,1322
313,67,3,1,1322
314,67,2,1,1322
315,67,5,3,1322
316,67,17,1,1322
317,67,8,1,1322
318,67,11,1,1322
319,67,12,1,1322
320,67,16,1,1322
321,88,94,1,1322
322,88,12,1,1322
323,88,2,1,1322
324,88,13,1,1322
325,88,10,1,1322
326,88,22,1,1322
327,88,4,1,1322
328,88,84,1,1322
329,88,83,1,1322
330,22,27,2,1322
331,22,21,1,1322
332,22,16,1,1322
333,22,74,1,1322
334,80,17,1,1322
335,80,5,1,1322
336,80,4,1,1322
337,80,25,1,1322
338,80,0,1,1322
339,75,4,2,1322
340,75,57,1,1322
341,75,80,1,1322
342,75,3,1,1322
343,75,16,1,1322
344,75,53,1,1322
345,75,55,1,1322
346,75,9,1,1322
347,75,6,1,1322
348,75,13,1,1322
349,83,10,1,1322
350,83,12,1,1322
351,83,6,2,1322
352,83,5,1,1322
353,24,24,2,1322
354,24,7,1,1322
355,24,76,1,1322
356,24,19,1,1322
357,96,22,1,1322
358,96,4,1,1322
359,96,6,1,1322
360,96,25,1,1322
361,96,15,1,1322
362,96,2,1,1322
363,96,95,1,1322
364,96,12,1,1322
365,96,0,1,1322
366,86,6,2,1322
367,86,87,1,1322
368,86,5,1,1322
369,86,11,2,1322
370,86,7,1,1322
371,86,37,1,1322
372,86,23,1,1322
373,86,9,1,1322
374,73,83,1,1322
375,73,25,1,1322
376,73,3,1,1322
377,73,12,1,1322
378,73,14,1,1322
379,73,6,2,1322
380,73,10,1,1322
381,73,8,1,1322
382,72,8,1,1322
383,72,0,1,1322
384,72,5,1,1322
385,72,16,1,1322
386,72,86,1,1322
387,72,1,2,1322
388,72,4,2,1322
389,72,14,1,1322
390,72,6,2,1322
391,72,9,1,1322
392,72,10,1,1322
393,72,33,1,1322
394,72,37,1,1322
395,72,28,1,1322
396,56,4,1,1322
397,56,89,1,1322
398,56,13,1,1322
399,56,12,1,1322
400,56,10,1,1322
401,56,3,1,1322
402,56,6,1,1322
403,56,7,1,1322
404,56,73,2,1322
405,56,72,1,1322
406,56,8,1,1322
407,61,7,2,1322
408,61,1,1,1322
409,61,4,2,1322
410,61,2,1,1322
411,61,19,1,1322
412,61,83,1,1322
413,61,24,1,1322
414,61,5,3,1322
415,61,8,1,1322
416,61,9,1,1322
417,85,8,1,1322
418,85,83,1,1322
419,85,29,1,1322
420,85,11,1,1322
421,85,5,1,1322
422,85,3,1,1322
423,85,7,1,1322
424,85,17,1,1322
425,10,73,1,1322
426,10,34,1,1322
427,10,13,1,1322
428,10,30,2,1322
429,10,56,1,1322
430,10,43,1,1322
431,2,13,1,1322
432,2,12,1,1322
433,0,13,1,1322
434,30,11,2,1322
435,30,15,1,1322
436,30,12,1,1322
437,30,5,3,1322
438,30,8,1,1322
439,30,3,1,1322
440,64,15,2,1322
441,64,4,3,1322
442,64,17,1,1322
443,64,25,1,1322
444,64,26,1,1322
445,64,10,1,1322
446,64,11,1,1322
447,64,31,1,1322
448,64,37,1,1322
449,59,5,1,1322
450,59,13,1,1322
451,59,10,1,1322
452,59,17,1,1322
453,59,6,1,1322
454,59,2,1,1322
455,59,0,1,1322
456,59,9,1,1322
457,91,14,1,1322
458,91,13,1,1322
459,91,5,1,1322
460,91,15,1,1322
461,91,17,1,1322
462,91,26,1,1322
463,91,0,1,1322
464,52,10,1,1322
465,52,33,1,1322
466,52,6,2,1322
467,52,4,3,1322
468,52,11,1,1322
469,52,7,2,1322
470,13,36,1,1322
471,13,3,1,1322
472,13,64,1,1322
473,32,5,1,1322
474,32,28,1,1322
475,32,29,1,1322
476,32,27,1,1322
477,32,11,1,1322
478,32,4,1,1322
479,32,10,1,1322
480,4,28,1,1322
481,35,20,1,1322
482,35,4,3,1322
483,35,70,1,1322
484,35,5,1,1322
485,35,26,1,1322
486,35,15,1,1322
487,35,78,2,1322
488,35,37,1,1322
489,35,38,1,1322
490,35,14,1,1322
491,35,12,1,1322
492,47,38,2,1322
493,47,21,2,1322
494,47,14,1,1322
495,47,9,1,1322
496,47,5,1,1322
497,7,8,1,1322
498,7,58,1,1322
499,7,3,1,1322
500,7,10,1,1322
501,7,82,1,1322
502,7,32,1,1322
503,7,28,1,1322
504,7,6,1,1322
505,7,47,1,1322
506,92,7,1,1322
507,92,0,1,1322
508,92,10,1,1322
509,92,93,1,1322
510,92,16,1,1322
511,92,6,1,1322
512,28,29,1,1322
513,28,2,1,1322
514,28,8,1,1322
515,28,22,1,1322
516,28,30,1,1322
517,28,9,1,1322
518,28,28,1,1322
519,70,19,1,1322
520,70,87,1,1322
521,70,1,2,1322
522,70,3,1,1322
523,70,10,1,1322
524,70,8,2,1322
525,70,9,1,1322
526,70,6,2,1322
527,70,27,1,1322
528,70,4,1,1322
529,70,45,1,1322
530,70,14,1,1322
531,70,7,2,1322
532,70,20,1,1322
533,70,2,1,1322
534,70,15,1,1322
535,70,0,1,1322
536,77,10,3,1322
537,77,24,1,1322
538,77,6,1,1322
539,77,17,1,1322
540,77,2,1,1322
541,77,0,2,1322
542,77,4,1,1322
543,77,7,1,1322
544,77,11,1,1322
545,77,20,1,1322
546,77,16,1,1322
547,77,100,1,1322
548,74,58,1,1322
549,74,88,1,1322
550,74,16,1,1322
551,74,26,1,1322
552,74,4,1,1322
553,74,5,2,1322
554,74,59,1,1322
555,93,49,1,1322
556,93,48,1,1322
557,93,8,1,1322
558,93,6,3,1322
559,93,55,1,1322
560,93,12,1,1322
561,93,5,1,1322
562,93,20,1,1322
563,93,91,1,1322
564,93,25,1,1322
565,93,10,1,1322
566,41,24,1,1322
567,41,13,1,1322
568,41,2,1,1322
569,41,9,1,1322
570,41,91,1,1322
571,41,4,2,1322
572,41,26,1,1322
573,41,6,1,1322
574,78,2,1,1322
575,78,18,1,1322
576,78,11,1,1322
577,78,6,1,1322
578,78,16,1,1322
579,78,3,1,1322
580,78,13,1,1322
581,78,29,1,1322
582,78,4,1,1322
583,94,31,1,1322
