nokta_no,x,y,count,sezon_dakikasi
1,32,44,1,2195
2,32,34,2,2195
3,32,38,3,2195
4,32,25,1,2195
5,32,18,1,2195
6,32,27,3,2195
7,32,72,2,2195
8,32,46,2,2195
9,32,22,1,2195
10,32,13,2,2195
11,32,71,1,2195
12,32,69,2,2195
13,32,32,1,2195
14,32,52,1,2195
15,32,17,1,2195
16,32,21,1,2195
17,32,12,2,2195
18,32,16,1,2195
19,32,30,1,2195
20,32,42,1,2195
21,32,43,1,2195
22,32,54,2,2195
23,32,40,7,2195
24,32,31,4,2195
25,32,87,1,2195
26,32,29,1,2195
27,32,36,1,2195
28,32,53,1,2195
29,32,47,2,2195
30,32,28,2,2195
31,32,50,2,2195
32,32,75,1,2195
33,32,5,1,2195
34,32,66,1,2195
35,32,57,1,2195
36,32,37,2,2195
37,32,56,1,2195
38,33,71,1,2195
39,33,35,1,2195
40,33,48,3,2195
41,33,50,2,2195
42,33,32,3,2195
43,33,19,2,2195
44,33,28,4,2195
45,33,25,4,2195
46,33,15,1,2195
47,33,53,2,2195
48,33,33,2,2195
49,33,43,3,2195
50,33,47,1,2195
51,33,37,1,2195
52,33,22,1,2195
53,33,30,2,2195
54,33,11,1,2195
55,33,26,1,2195
56,33,27,2,2195
57,33,23,1,2195
58,33,8,1,2195
59,33,64,1,2195
60,33,91,1,2195
61,33,87,1,2195
62,33,51,1,2195
63,33,72,1,2195
64,33,68,1,2195
65,33,57,1,2195
66,33,86,1,2195
67,33,40,1,2195
68,33,21,2,2195
69,33,42,2,2195
70,33,18,1,2195
71,33,49,3,2195
72,33,54,1,2195
73,33,56,1,2195
74,30,50,3,2195
75,30,42,3,2195
76,30,18,1,2195
77,30,40,3,2195
78,30,46,3,2195
79,30,35,1,2195
80,30,26,2,2195
81,30,19,1,2195
82,30,32,2,2195
83,30,56,2,2195
84,30,29,2,2195
85,30,20,1,2195
86,30,27,1,2195
87,30,90,1,2195
88,30,74,1,2195
89,30,72,1,2195
90,30,38,1,2195
91,30,48,1,2195
