nokta_no,x,y,count,sezon_dakikasi
1,28,30,1,1299
2,28,12,1,1299
3,28,14,2,1299
4,28,35,2,1299
5,28,36,1,1299
6,28,18,1,1299
7,28,82,2,1299
8,28,25,1,1299
9,28,74,2,1299
10,28,26,2,1299
11,28,81,1,1299
12,28,73,1,1299
13,28,83,1,1299
14,28,100,1,1299
15,28,37,1,1299
16,28,33,1,1299
17,28,39,1,1299
18,28,70,1,1299
19,31,16,2,1299
20,31,33,1,1299
21,31,54,2,1299
22,31,72,1,1299
23,31,59,1,1299
24,31,87,1,1299
25,31,74,1,1299
26,31,94,1,1299
27,31,43,2,1299
28,31,42,1,1299
29,31,12,1,1299
30,31,77,1,1299
31,31,45,1,1299
32,31,67,1,1299
33,31,70,1,1299
34,31,68,1,1299
35,31,39,1,1299
36,31,58,1,1299
37,31,40,1,1299
38,31,14,1,1299
39,31,52,2,1299
40,31,34,2,1299
41,31,56,1,1299
42,31,81,1,1299
43,31,21,1,1299
44,30,22,1,1299
45,30,5,1,1299
46,30,42,1,1299
47,30,31,1,1299
48,30,71,1,1299
49,30,76,1,1299
50,30,92,1,1299
51,30,72,1,1299
52,30,68,1,1299
53,30,78,2,1299
54,30,77,1,1299
55,30,65,1,1299
56,30,25,1,1299
57,30,23,1,1299
58,29,16,1,1299
59,29,41,1,1299
60,29,67,2,1299
61,29,33,1,1299
62,29,25,1,1299
63,29,85,1,1299
64,29,68,3,1299
65,29,59,3,1299
66,29,86,1,1299
67,29,84,2,1299
68,29,27,1,1299
69,29,93,1,1299
70,29,58,1,1299
71,29,38,1,1299
72,29,35,1,1299
73,29,56,1,1299
74,29,80,1,1299
75,29,51,1,1299
76,29,79,1,1299
77,29,65,1,1299
78,29,49,1,1299
79,29,45,1,1299
80,37,15,2,1299
81,37,20,1,1299
82,37,57,3,1299
83,37,64,1,1299
84,37,33,1,1299
85,37,29,1,1299
86,37,36,1,1299
87,37,10,1,1299
88,37,62,1,1299
89,37,77,1,1299
90,37,65,2,1299
91,37,69,2,1299
92,37,53,1,1299
93,37,44,1,1299
94,37,49,1,1299
95,37,47,1,1299
96,37,28,1,1299
97,37,23,1,1299
98,23,29,1,1299
99,23,7,2,1299
100,23,52,1,1299
101,23,38,1,1299
102,23,17,1,1299
103,23,51,1,1299
104,23,50,1,1299
105,23,37,1,1299
106,23,93,2,1299
107,23,63,1,1299
108,23,68,1,1299
109,23,86,1,1299
110,39,26,3,1299
111,39,23,2,1299
112,39,57,1,1299
113,39,54,1,1299
114,39,72,1,1299
115,39,56,1,1299
116,39,36,2,1299
117,39,52,1,1299
118,39,62,1,1299
119,39,78,1,1299
120,39,61,1,1299
121,39,30,1,1299
122,39,82,1,1299
123,44,22,1,1299
124,44,33,1,1299
125,44,29,1,1299
126,44,54,1,1299
127,44,65,1,1299
128,44,76,1,1299
129,44,32,1,1299
130,44,46,1,1299
131,44,43,1,1299
132,44,75,2,1299
133,44,57,1,1299
134,44,38,1,1299
135,44,87,1,1299
136,44,44,1,1299
137,44,88,1,1299
138,44,20,1,1299
139,44,66,1,1299
140,44,72,1,1299
141,44,14,1,1299
142,44,60,1,1299
143,58,85,1,1299
144,58,82,1,1299
145,58,31,1,1299
146,58,71,1,1299
147,58,95,1,1299
148,58,83,1,1299
149,58,51,2,1299
150,58,92,1,1299
151,58,67,1,1299
152,58,90,1,1299
153,58,94,1,1299
154,58,91,1,1299
155,58,73,1,1299
156,58,93,1,1299
157,58,19,1,1299
158,58,21,1,1299
159,25,44,1,1299
160,25,84,1,1299
161,25,57,1,1299
162,25,60,1,1299
163,25,31,1,1299
164,25,48,1,1299
165,25,8,1,1299
166,25,69,1,1299
167,25,9,1,1299
168,25,91,1,1299
169,25,43,1,1299
170,25,28,2,1299
171,25,61,1,1299
172,25,62,1,1299
173,25,65,1,1299
174,34,27,1,1299
175,34,74,1,1299
176,34,66,1,1299
177,34,18,1,1299
178,34,90,1,1299
179,34,88,1,1299
180,34,65,2,1299
181,34,26,1,1299
182,34,68,2,1299
183,34,43,1,1299
184,34,79,1,1299
185,34,8,1,1299
186,34,69,2,1299
187,34,48,2,1299
188,34,25,1,1299
189,34,22,1,1299
190,34,57,1,1299
191,34,9,2,1299
192,34,72,2,1299
193,34,70,1,1299
194,34,60,1,1299
195,34,67,1,1299
196,26,49,2,1299
197,26,75,1,1299
198,26,67,1,1299
199,26,51,1,1299
200,26,27,1,1299
201,26,44,1,1299
202,26,5,1,1299
203,26,33,1,1299
204,26,77,1,1299
205,26,63,1,1299
206,26,84,1,1299
207,26,14,1,1299
208,26,74,2,1299
209,26,65,1,1299
210,26,39,1,1299
211,26,24,2,1299
212,33,31,1,1299
213,33,91,1,1299
214,33,42,2,1299
215,33,46,1,1299
216,33,34,1,1299
217,33,77,1,1299
218,33,73,1,1299
219,33,2,1,1299
220,33,40,1,1299
221,33,81,1,1299
222,33,57,1,1299
223,33,61,3,1299
224,33,25,1,1299
225,33,64,1,1299
226,33,43,1,1299
227,33,65,1,1299
228,33,67,1,1299
229,33,52,1,1299
230,33,32,1,1299
231,33,76,1,1299
232,33,14,1,1299
233,46,14,1,1299
234,46,59,2,1299
235,46,63,1,1299
236,46,48,3,1299
237,46,60,1,1299
238,46,49,1,1299
239,46,54,1,1299
240,46,58,1,1299
241,46,20,1,1299
242,46,37,2,1299
243,46,71,2,1299
244,46,39,1,1299
245,46,55,1,1299
246,46,69,1,1299
247,46,64,1,1299
248,46,31,1,1299
249,27,28,1,1299
250,27,64,1,1299
251,27,83,1,1299
252,27,54,1,1299
253,27,77,3,1299
254,27,13,1,1299
255,27,69,1,1299
256,27,93,1,1299
257,27,60,1,1299
258,27,56,1,1299
259,27,81,1,1299
260,27,74,1,1299
261,27,76,1,1299
262,27,43,1,1299
263,27,72,1,1299
264,27,15,1,1299
265,27,36,2,1299
266,53,72,1,1299
267,53,22,2,1299
268,53,16,1,1299
269,53,54,1,1299
270,53,90,2,1299
271,53,17,1,1299
272,53,59,1,1299
273,53,15,1,1299
274,53,75,3,1299
275,53,73,1,1299
276,53,35,1,1299
277,47,53,1,1299
278,47,81,1,1299
