nokta_no,x,y,count,sezon_dakikasi
1,68,41,1,1181
2,68,57,1,1181
3,68,4,1,1181
4,68,63,1,1181
5,68,28,3,1181
6,68,48,1,1181
7,68,7,1,1181
8,68,9,1,1181
9,68,37,2,1181
10,68,26,1,1181
11,68,40,1,1181
12,68,2,1,1181
13,68,19,1,1181
14,68,18,1,1181
15,72,47,1,1181
16,72,21,1,1181
17,72,83,1,1181
18,72,8,1,1181
19,72,52,1,1181
20,72,32,1,1181
21,72,64,1,1181
22,72,11,1,1181
23,72,28,1,1181
24,72,39,1,1181
25,82,33,1,1181
26,82,4,1,1181
27,76,9,1,1181
28,76,48,1,1181
29,76,11,1,1181
30,76,26,1,1181
31,76,7,1,1181
32,76,15,1,1181
33,37,77,1,1181
34,37,9,1,1181
35,37,11,1,1181
36,37,8,2,1181
37,37,10,3,1181
38,37,54,1,1181
39,37,62,1,1181
40,37,39,1,1181
41,37,40,2,1181
42,37,36,1,1181
43,37,63,1,1181
44,37,20,1,1181
45,37,30,1,1181
46,37,15,1,1181
47,37,37,1,1181
48,37,23,1,1181
49,37,51,1,1181
50,37,14,1,1181
51,37,16,1,1181
52,37,64,1,1181
53,37,50,1,1181
54,37,43,1,1181
55,45,58,1,1181
56,45,24,2,1181
57,45,11,2,1181
58,45,32,1,1181
59,45,66,1,1181
60,45,44,1,1181
61,45,72,1,1181
62,45,83,1,1181
63,45,26,1,1181
64,45,29,1,1181
65,45,31,1,1181
66,45,74,1,1181
67,45,38,1,1181
68,77,21,1,1181
69,77,58,1,1181
70,77,26,1,1181
71,77,25,1,1181
72,77,20,1,1181
73,66,20,1,1181
74,66,51,1,1181
75,66,8,1,1181
76,66,15,1,1181
77,66,42,1,1181
78,66,45,2,1181
79,66,29,1,1181
80,66,34,2,1181
81,66,54,1,1181
82,66,25,1,1181
83,66,76,1,1181
84,66,23,2,1181
85,66,27,2,1181
86,66,11,1,1181
87,66,82,1,1181
88,60,24,1,1181
89,60,10,2,1181
90,60,83,1,1181
91,60,32,1,1181
92,60,13,1,1181
93,60,37,1,1181
94,60,15,2,1181
95,60,43,1,1181
96,60,70,1,1181
97,60,48,1,1181
98,60,66,1,1181
99,60,16,1,1181
100,21,40,1,1181
101,21,22,1,1181
102,21,44,1,1181
103,21,62,1,1181
104,22,41,1,1181
105,22,26,1,1181
106,22,9,1,1181
107,22,50,1,1181
108,22,35,1,1181
109,22,32,1,1181
110,22,37,1,1181
111,22,56,1,1181
112,63,59,1,1181
113,63,19,1,1181
114,63,20,3,1181
115,63,14,1,1181
116,63,34,1,1181
117,63,42,1,1181
118,63,79,1,1181
119,63,12,1,1181
120,63,26,1,1181
121,63,11,1,1181
122,63,89,1,1181
123,63,27,1,1181
124,63,3,1,1181
125,63,30,1,1181
126,63,23,1,1181
127,63,35,1,1181
128,63,61,1,1181
129,63,24,1,1181
130,62,58,1,1181
131,62,65,1,1181
132,62,2,2,1181
133,62,31,2,1181
134,62,18,1,1181
135,62,44,2,1181
136,62,34,1,1181
137,62,20,1,1181
138,62,27,1,1181
139,62,19,1,1181
140,56,88,1,1181
141,56,3,1,1181
142,56,11,1,1181
143,56,13,1,1181
144,56,31,1,1181
145,56,47,1,1181
146,56,23,2,1181
147,56,22,1,1181
148,56,12,1,1181
149,56,14,1,1181
150,56,94,1,1181
151,56,36,1,1181
152,56,29,1,1181
153,56,40,1,1181
154,56,28,1,1181
155,56,35,1,1181
156,56,26,1,1181
157,56,45,1,1181
158,56,83,1,1181
159,56,18,1,1181
160,40,46,1,1181
161,40,50,1,1181
162,40,32,1,1181
163,40,12,1,1181
164,40,15,1,1181
165,40,0,1,1181
166,40,41,1,1181
167,40,42,1,1181
168,40,85,1,1181
169,40,38,1,1181
170,40,37,1,1181
171,40,19,1,1181
172,39,47,1,1181
173,39,24,1,1181
174,39,23,1,1181
175,39,59,1,1181
176,39,11,2,1181
177,39,36,1,1181
178,39,21,1,1181
179,39,20,1,1181
180,39,39,1,1181
181,39,68,2,1181
182,39,55,1,1181
183,39,43,1,1181
184,39,4,2,1181
185,39,25,1,1181
186,39,41,1,1181
187,58,40,1,1181
188,58,7,1,1181
189,58,17,1,1181
190,58,43,1,1181
191,58,34,1,1181
192,58,25,2,1181
193,58,14,1,1181
194,58,3,1,1181
195,58,67,1,1181
196,58,31,2,1181
197,58,86,1,1181
198,58,4,1,1181
199,58,63,1,1181
200,58,6,1,1181
201,99,99,17,1181
202,99,0,12,1181
203,55,14,1,1181
204,55,98,1,1181
205,55,50,1,1181
206,55,8,1,1181
207,55,32,1,1181
208,55,79,1,1181
209,55,29,1,1181
210,55,43,1,1181
211,55,7,1,1181
212,55,27,1,1181
213,55,38,1,1181
214,55,21,1,1181
215,55,12,1,1181
216,55,47,1,1181
217,55,49,1,1181
218,55,19,1,1181
219,55,55,1,1181
220,55,58,1,1181
221,57,4,2,1181
222,57,29,2,1181
223,57,15,2,1181
224,57,27,2,1181
225,57,12,1,1181
226,57,62,1,1181
227,67,31,1,1181
228,67,13,1,1181
229,67,40,1,1181
230,67,70,1,1181
231,67,34,1,1181
232,67,25,1,1181
233,67,12,1,1181
234,67,38,1,1181
235,67,23,1,1181
236,73,20,1,1181
237,73,49,1,1181
238,73,21,1,1181
239,73,24,1,1181
240,73,5,1,1181
241,73,26,1,1181
242,73,30,2,1181
243,73,23,1,1181
244,73,22,1,1181
245,73,42,1,1181
246,92,7,1,1181
247,92,17,1,1181
248,92,19,1,1181
249,92,91,1,1181
250,92,31,1,1181
251,69,50,1,1181
252,69,12,1,1181
253,69,36,2,1181
254,69,48,1,1181
255,69,23,1,1181
256,69,16,1,1181
257,27,27,1,1181
258,27,69,3,1181
259,27,75,1,1181
260,27,65,1,1181
261,27,6,1,1181
262,27,49,1,1181
263,27,30,1,1181
264,27,72,1,1181
265,27,20,1,1181
266,27,38,1,1181
267,27,11,2,1181
268,27,37,1,1181
269,27,4,1,1181
270,27,26,1,1181
271,27,35,1,1181
272,48,7,1,1181
273,48,76,1,1181
274,48,8,1,1181
275,48,79,1,1181
276,48,84,1,1181
277,48,28,1,1181
278,65,41,1,1181
279,65,35,1,1181
280,65,23,2,1181
281,65,18,2,1181
282,65,5,1,1181
283,65,33,1,1181
284,65,12,1,1181
285,65,24,2,1181
286,65,10,1,1181
287,65,34,1,1181
288,65,30,1,1181
289,65,77,2,1181
290,65,25,2,1181
291,65,4,1,1181
292,65,71,1,1181
293,65,73,1,1181
294,65,14,1,1181
295,65,56,1,1181
296,79,71,1,1181
297,79,28,1,1181
298,79,40,1,1181
299,79,8,1,1181
300,79,46,1,1181
301,79,48,1,1181
302,26,8,1,1181
303,26,68,1,1181
304,26,23,1,1181
305,26,72,3,1181
306,26,28,1,1181
307,26,9,1,1181
308,26,30,1,1181
309,26,12,1,1181
310,26,37,2,1181
311,26,22,2,1181
312,24,71,1,1181
313,24,9,1,1181
314,24,11,1,1181
315,24,91,1,1181
316,24,17,1,1181
317,24,27,1,1181
318,61,54,2,1181
319,61,6,1,1181
320,61,23,1,1181
321,61,55,2,1181
322,61,67,1,1181
323,61,12,1,1181
324,61,56,1,1181
325,61,14,1,1181
326,61,30,1,1181
327,61,49,2,1181
328,61,19,1,1181
329,75,25,1,1181
330,75,32,1,1181
331,75,50,1,1181
332,75,57,1,1181
333,75,55,1,1181
334,75,17,1,1181
335,75,22,1,1181
336,75,23,1,1181
337,75,38,1,1181
338,75,14,1,1181
339,75,45,1,1181
340,75,15,1,1181
341,38,52,1,1181
342,38,56,1,1181
343,38,7,2,1181
344,38,39,1,1181
345,38,54,1,1181
346,38,57,1,1181
347,38,4,1,1181
348,38,28,1,1181
349,38,0,1,1181
350,38,41,2,1181
351,38,47,1,1181
352,38,22,1,1181
353,38,61,1,1181
354,38,40,1,1181
355,38,88,1,1181
356,38,68,1,1181
357,38,31,1,1181
358,38,59,1,1181
359,41,78,1,1181
360,41,12,1,1181
361,41,55,1,1181
362,41,23,1,1181
363,41,54,1,1181
364,41,35,1,1181
365,41,37,2,1181
366,41,13,1,1181
367,41,64,1,1181
368,41,5,1,1181
369,59,14,1,1181
370,59,69,1,1181
371,59,81,1,1181
372,59,66,1,1181
373,59,2,1,1181
374,59,32,1,1181
375,59,28,3,1181
376,59,47,1,1181
377,59,29,1,1181
378,59,13,1,1181
379,59,35,1,1181
380,59,22,1,1181
381,59,79,1,1181
382,59,31,1,1181
383,59,74,1,1181
384,14,13,1,1181
385,14,54,1,1181
386,14,10,1,1181
387,3,15,1,1181
388,3,12,1,1181
389,0,15,1,1181
390,0,29,1,1181
391,33,11,1,1181
392,33,12,2,1181
393,33,44,1,1181
394,33,30,1,1181
395,33,7,1,1181
396,33,70,1,1181
397,33,17,1,1181
398,33,8,1,1181
399,33,21,1,1181
400,33,52,1,1181
401,33,13,1,1181
402,34,10,2,1181
403,34,43,1,1181
404,34,23,1,1181
405,34,25,1,1181
406,34,22,1,1181
407,34,11,1,1181
408,34,31,1,1181
409,34,12,1,1181
410,34,46,1,1181
411,34,74,2,1181
412,34,8,1,1181
413,34,63,1,1181
414,78,84,1,1181
415,78,33,1,1181
416,78,56,1,1181
417,78,34,1,1181
418,78,85,1,1181
419,78,9,1,1181
420,25,62,1,1181
421,25,10,1,1181
422,25,22,2,1181
423,25,9,1,1181
424,25,67,1,1181
425,25,70,1,1181
426,25,68,1,1181
427,25,72,1,1181
428,25,64,1,1181
429,25,51,1,1181
430,19,50,1,1181
431,19,63,2,1181
432,19,44,1,1181
433,13,51,1,1181
434,13,17,1,1181
435,13,31,3,1181
436,13,53,1,1181
437,13,37,1,1181
438,71,7,2,1181
439,71,31,2,1181
440,71,45,1,1181
441,71,39,1,1181
442,71,37,1,1181
443,71,46,1,1181
444,71,41,1,1181
445,71,67,1,1181
446,71,62,1,1181
447,71,47,1,1181
448,71,32,1,1181
449,71,26,1,1181
450,71,29,1,1181
451,71,30,2,1181
452,43,53,1,1181
453,43,52,1,1181
454,43,24,1,1181
455,43,63,1,1181
456,43,84,1,1181
457,43,71,1,1181
458,43,26,2,1181
459,43,23,2,1181
460,43,40,1,1181
461,43,42,2,1181
462,43,35,1,1181
463,43,19,2,1181
464,43,17,1,1181
465,43,12,1,1181
466,43,83,2,1181
467,43,34,1,1181
468,43,14,1,1181
469,43,13,1,1181
470,53,80,1,1181
471,53,33,1,1181
472,53,28,1,1181
473,53,20,2,1181
474,53,43,1,1181
475,53,29,1,1181
476,53,50,1,1181
477,53,58,2,1181
478,53,77,1,1181
479,53,90,1,1181
480,53,6,1,1181
481,53,53,1,1181
482,53,42,1,1181
483,53,26,1,1181
484,53,54,1,1181
485,53,78,1,1181
486,53,70,1,1181
487,53,31,1,1181
488,53,9,2,1181
489,53,38,1,1181
490,53,19,1,1181
491,53,18,1,1181
492,10,62,1,1181
493,10,66,1,1181
494,10,29,1,1181
495,54,21,1,1181
496,54,57,1,1181
497,54,9,2,1181
498,54,41,1,1181
499,54,47,1,1181
500,54,46,1,1181
501,54,71,1,1181
502,54,89,1,1181
503,54,62,1,1181
504,54,7,2,1181
505,54,2,1,1181
506,54,16,1,1181
507,54,75,1,1181
508,12,66,1,1181
509,12,92,1,1181
510,12,32,1,1181
511,12,2,1,1181
512,18,32,1,1181
513,18,47,1,1181
514,28,26,1,1181
515,28,16,1,1181
516,28,35,1,1181
517,28,85,1,1181
518,28,60,1,1181
519,28,65,1,1181
520,28,23,1,1181
521,28,21,1,1181
522,28,62,1,1181
523,42,32,2,1181
524,42,28,1,1181
525,42,58,1,1181
526,42,35,1,1181
527,42,37,1,1181
528,42,59,1,1181
529,42,23,2,1181
530,42,40,1,1181
531,42,46,1,1181
532,42,16,1,1181
533,42,11,1,1181
534,42,75,1,1181
535,42,3,1,1181
536,42,53,1,1181
537,30,45,1,1181
538,30,20,1,1181
539,30,28,1,1181
540,30,25,1,1181
541,30,11,1,1181
542,30,36,2,1181
543,30,21,1,1181
544,30,12,1,1181
545,30,47,1,1181
546,30,18,1,1181
547,30,84,1,1181
548,47,55,1,1181
549,47,34,1,1181
550,47,40,1,1181
551,47,45,1,1181
552,47,42,1,1181
553,47,25,1,1181
554,47,95,1,1181
555,64,4,1,1181
556,64,27,1,1181
557,64,53,1,1181
558,64,42,2,1181
559,64,25,2,1181
560,64,10,1,1181
561,64,7,2,1181
562,64,16,1,1181
563,64,55,1,1181
564,64,21,1,1181
565,64,15,1,1181
566,64,31,1,1181
567,64,11,1,1181
568,64,33,1,1181
569,46,45,2,1181
570,46,64,1,1181
571,46,42,1,1181
572,46,37,1,1181
573,46,33,1,1181
574,46,5,1,1181
575,46,89,1,1181
576,46,8,1,1181
577,46,24,2,1181
578,46,13,1,1181
579,46,84,1,1181
580,46,23,1,1181
581,46,67,1,1181
582,70,21,1,1181
583,70,37,1,1181
584,70,40,2,1181
585,70,25,2,1181
586,70,22,1,1181
587,70,14,1,1181
588,70,56,1,1181
589,70,83,1,1181
590,70,43,1,1181
591,70,11,1,1181
592,70,23,1,1181
593,70,26,1,1181
594,31,3,1,1181
595,31,56,2,1181
596,31,63,1,1181
597,31,27,2,1181
598,31,48,1,1181
599,31,10,1,1181
600,31,47,1,1181
601,31,19,1,1181
602,31,30,1,1181
603,31,84,1,1181
604,31,32,1,1181
605,91,21,1,1181
606,91,62,1,1181
607,52,64,2,1181
608,52,30,1,1181
609,52,27,1,1181
610,52,35,1,1181
611,52,71,1,1181
612,52,17,1,1181
613,52,16,2,1181
614,52,39,1,1181
