nokta_no,x,y,count,sezon_dakikasi
1,60,14,1,2302
2,60,10,2,2302
3,60,11,1,2302
4,60,83,2,2302
5,60,16,1,2302
6,60,44,1,2302
7,60,18,3,2302
8,60,96,1,2302
9,60,17,1,2302
10,60,9,2,2302
11,60,5,1,2302
12,60,3,2,2302
13,60,22,1,2302
14,60,66,2,2302
15,60,97,1,2302
16,60,31,2,2302
17,60,29,2,2302
18,60,34,2,2302
19,60,8,3,2302
20,60,94,1,2302
21,60,81,1,2302
22,60,53,1,2302
23,60,52,1,2302
24,60,7,1,2302
25,60,74,1,2302
26,60,15,1,2302
27,60,67,1,2302
28,76,9,2,2302
29,76,84,1,2302
30,76,66,1,2302
31,76,94,1,2302
32,76,11,1,2302
33,76,25,1,2302
34,76,73,1,2302
35,76,14,3,2302
36,76,17,1,2302
37,76,20,2,2302
38,76,93,1,2302
39,76,22,2,2302
40,76,10,1,2302
41,76,4,1,2302
42,76,21,1,2302
43,76,23,1,2302
44,76,56,1,2302
45,76,28,2,2302
46,76,19,1,2302
47,76,38,1,2302
48,76,37,1,2302
49,76,30,1,2302
50,76,2,1,2302
51,76,53,1,2302
52,76,70,1,2302
53,76,16,1,2302
54,76,7,1,2302
55,76,92,1,2302
56,76,91,1,2302
57,76,76,1,2302
58,76,65,1,2302
59,65,29,2,2302
60,65,92,1,2302
61,65,14,1,2302
62,65,75,1,2302
63,65,11,2,2302
64,65,93,1,2302
65,65,94,1,2302
66,65,31,1,2302
67,65,4,2,2302
68,65,5,2,2302
69,65,73,1,2302
70,65,22,1,2302
71,65,54,1,2302
72,65,41,1,2302
73,65,8,1,2302
74,65,57,1,2302
75,65,9,1,2302
76,65,24,1,2302
77,65,59,1,2302
78,65,55,1,2302
79,65,84,1,2302
80,57,20,1,2302
81,57,31,1,2302
82,57,5,1,2302
83,57,35,1,2302
84,57,14,2,2302
85,57,7,1,2302
86,57,23,2,2302
87,57,21,1,2302
88,57,47,1,2302
89,57,67,1,2302
90,57,79,1,2302
91,57,6,1,2302
92,57,19,1,2302
93,57,32,1,2302
94,57,94,1,2302
95,57,26,1,2302
96,57,97,1,2302
97,57,13,1,2302
98,68,2,2,2302
99,68,10,2,2302
100,68,4,2,2302
101,68,19,1,2302
102,68,23,2,2302
103,68,13,2,2302
104,68,20,2,2302
105,68,34,1,2302
106,68,71,1,2302
107,68,14,1,2302
108,68,35,2,2302
109,68,12,2,2302
110,68,51,1,2302
111,68,22,1,2302
112,68,50,1,2302
113,68,5,1,2302
114,68,62,1,2302
115,68,6,2,2302
116,68,64,1,2302
117,68,96,1,2302
118,68,47,1,2302
119,68,32,1,2302
120,68,60,1,2302
121,68,37,1,2302
122,68,39,1,2302
123,68,7,1,2302
124,68,45,1,2302
125,68,1,1,2302
126,68,3,1,2302
127,68,87,1,2302
128,68,33,1,2302
129,64,17,1,2302
130,64,15,1,2302
131,64,19,2,2302
132,64,62,2,2302
133,64,66,1,2302
134,64,69,1,2302
135,64,6,1,2302
136,64,57,1,2302
137,64,43,2,2302
138,64,26,1,2302
139,64,10,1,2302
140,64,34,1,2302
141,64,5,1,2302
142,64,59,1,2302
143,64,21,2,2302
144,64,39,1,2302
145,64,72,1,2302
146,64,61,1,2302
147,64,52,1,2302
148,64,32,1,2302
149,64,67,1,2302
150,63,22,1,2302
151,63,79,1,2302
152,63,50,1,2302
153,63,14,2,2302
154,63,65,1,2302
155,63,95,1,2302
156,63,58,1,2302
157,63,57,2,2302
158,63,6,3,2302
159,63,62,1,2302
160,63,8,1,2302
161,63,91,1,2302
162,63,37,2,2302
163,63,36,1,2302
164,63,15,1,2302
165,63,10,1,2302
166,63,63,1,2302
167,63,25,2,2302
168,63,16,1,2302
169,63,30,1,2302
170,63,18,1,2302
171,63,5,1,2302
172,63,96,1,2302
173,63,11,2,2302
174,63,75,1,2302
175,70,27,2,2302
176,70,17,1,2302
177,70,31,4,2302
178,70,13,1,2302
179,70,64,1,2302
180,70,34,1,2302
181,70,28,1,2302
182,70,88,1,2302
183,70,21,1,2302
184,70,4,1,2302
185,70,80,1,2302
186,70,46,1,2302
187,70,33,1,2302
188,70,83,1,2302
189,70,5,1,2302
190,70,22,1,2302
191,70,50,1,2302
192,70,10,1,2302
193,70,38,1,2302
194,70,78,1,2302
195,70,6,1,2302
196,69,5,1,2302
197,69,15,2,2302
198,69,0,1,2302
199,69,37,1,2302
200,69,11,1,2302
201,69,6,2,2302
202,69,26,1,2302
203,69,62,1,2302
204,69,21,2,2302
205,69,18,1,2302
206,69,38,2,2302
207,69,49,1,2302
208,69,80,1,2302
209,69,89,1,2302
210,69,39,1,2302
211,69,4,1,2302
212,69,76,1,2302
213,69,12,1,2302
214,69,28,1,2302
215,69,36,1,2302
216,69,65,1,2302
217,80,46,2,2302
218,80,48,1,2302
219,80,40,1,2302
220,80,18,1,2302
221,80,55,1,2302
222,80,81,1,2302
223,80,16,1,2302
224,80,5,1,2302
225,80,49,1,2302
226,80,7,1,2302
227,80,38,1,2302
228,80,8,1,2302
229,80,70,1,2302
230,80,93,1,2302
231,80,69,1,2302
232,80,3,1,2302
233,58,43,1,2302
234,58,20,1,2302
235,58,13,1,2302
236,58,86,1,2302
237,58,25,2,2302
238,58,22,1,2302
239,58,18,1,2302
240,58,7,2,2302
241,58,30,1,2302
242,58,42,1,2302
243,58,2,1,2302
244,58,35,1,2302
245,58,37,1,2302
246,58,34,1,2302
247,58,92,1,2302
248,58,75,1,2302
249,58,47,1,2302
250,58,36,1,2302
251,58,6,2,2302
252,58,76,1,2302
253,58,82,1,2302
254,58,72,1,2302
255,88,21,1,2302
256,88,76,1,2302
257,88,35,1,2302
258,88,10,1,2302
259,88,7,1,2302
260,88,24,1,2302
261,88,16,1,2302
262,88,11,1,2302
263,88,6,1,2302
264,88,66,1,2302
265,88,34,2,2302
266,88,26,1,2302
267,88,43,1,2302
268,88,47,1,2302
269,88,8,1,2302
270,88,67,1,2302
271,88,92,1,2302
272,88,4,1,2302
273,88,55,1,2302
274,88,54,1,2302
275,88,15,1,2302
276,96,69,1,2302
277,96,61,1,2302
278,96,6,1,2302
279,96,92,2,2302
280,96,73,1,2302
281,96,60,1,2302
282,96,66,1,2302
283,96,13,1,2302
284,96,83,1,2302
285,96,26,1,2302
286,96,78,1,2302
287,96,31,1,2302
288,96,22,1,2302
289,96,70,1,2302
290,75,4,1,2302
291,75,68,1,2302
292,75,3,2,2302
293,75,12,3,2302
294,75,17,2,2302
295,75,40,1,2302
296,75,25,2,2302
297,75,30,1,2302
298,75,27,1,2302
299,75,90,1,2302
300,75,45,1,2302
301,75,50,1,2302
302,75,49,1,2302
303,75,23,1,2302
304,75,16,1,2302
305,75,24,1,2302
306,75,43,1,2302
307,75,9,1,2302
308,75,72,1,2302
309,39,37,1,2302
310,39,85,1,2302
311,39,4,1,2302
312,39,5,1,2302
313,39,12,1,2302
314,39,25,1,2302
315,39,44,1,2302
316,39,22,1,2302
317,39,33,1,2302
318,39,95,1,2302
319,39,90,1,2302
320,39,97,1,2302
321,39,11,1,2302
322,39,83,1,2302
323,39,15,1,2302
324,39,91,1,2302
325,45,7,1,2302
326,45,27,2,2302
327,45,42,1,2302
328,45,53,2,2302
329,45,22,1,2302
330,45,16,1,2302
331,45,13,1,2302
332,45,4,1,2302
333,45,14,1,2302
334,45,77,1,2302
335,45,10,2,2302
336,45,24,1,2302
337,45,28,1,2302
338,45,33,2,2302
339,45,86,1,2302
340,45,85,1,2302
341,45,69,1,2302
342,45,58,1,2302
343,45,30,1,2302
344,45,70,1,2302
345,45,2,1,2302
346,45,47,1,2302
347,99,0,49,2302
348,99,99,15,2302
349,99,69,1,2302
350,99,32,1,2302
351,99,29,1,2302
352,71,37,2,2302
353,71,29,2,2302
354,71,32,1,2302
355,71,14,2,2302
356,71,7,2,2302
357,71,6,1,2302
358,71,16,1,2302
359,71,59,2,2302
360,71,49,1,2302
361,71,43,1,2302
362,71,8,1,2302
363,71,94,1,2302
364,71,2,1,2302
365,71,81,1,2302
366,71,11,1,2302
367,71,22,1,2302
368,71,39,2,2302
369,71,25,1,2302
370,71,19,2,2302
371,71,36,1,2302
372,71,70,1,2302
373,71,35,1,2302
374,55,43,1,2302
375,55,27,1,2302
376,55,15,1,2302
377,55,80,1,2302
378,55,4,1,2302
379,55,21,1,2302
380,55,17,1,2302
381,55,66,1,2302
382,55,7,2,2302
383,55,32,1,2302
384,55,3,1,2302
385,55,33,1,2302
386,55,58,1,2302
387,55,38,2,2302
388,55,12,1,2302
389,55,70,1,2302
390,55,47,2,2302
391,55,20,1,2302
392,55,26,1,2302
393,55,74,1,2302
394,55,96,1,2302
395,55,29,1,2302
396,55,35,1,2302
397,55,37,1,2302
398,66,64,2,2302
399,66,21,1,2302
400,66,7,2,2302
401,66,50,1,2302
402,66,83,1,2302
403,66,53,1,2302
404,66,11,1,2302
405,66,19,2,2302
406,66,9,3,2302
407,66,16,1,2302
408,66,14,2,2302
409,66,4,1,2302
410,66,54,1,2302
411,66,36,1,2302
412,66,29,1,2302
413,66,33,1,2302
414,66,5,2,2302
415,66,1,1,2302
416,66,10,2,2302
417,66,18,1,2302
418,66,6,3,2302
419,66,30,1,2302
420,66,13,2,2302
421,66,20,1,2302
422,66,76,1,2302
423,66,57,2,2302
424,66,81,1,2302
425,66,17,1,2302
426,66,43,2,2302
427,66,86,1,2302
428,66,23,1,2302
429,66,93,1,2302
430,67,73,1,2302
431,67,89,1,2302
432,67,59,1,2302
433,67,5,3,2302
434,67,7,1,2302
435,67,20,1,2302
436,67,68,1,2302
437,67,16,1,2302
438,67,25,1,2302
439,67,35,1,2302
440,67,45,1,2302
441,67,94,1,2302
442,67,9,1,2302
443,67,19,1,2302
444,67,24,1,2302
445,67,21,1,2302
446,67,14,1,2302
447,67,31,1,2302
448,67,63,1,2302
449,67,97,1,2302
450,67,87,1,2302
451,67,18,1,2302
452,67,48,1,2302
453,67,28,1,2302
454,67,61,1,2302
455,81,94,1,2302
456,81,72,1,2302
457,81,54,2,2302
458,81,19,1,2302
459,81,93,2,2302
460,81,37,1,2302
461,81,38,1,2302
462,81,24,1,2302
463,81,31,1,2302
464,81,7,2,2302
465,81,1,1,2302
466,81,10,1,2302
467,81,15,1,2302
468,81,84,1,2302
469,81,28,1,2302
470,97,60,1,2302
471,97,4,3,2302
472,97,12,2,2302
473,97,25,1,2302
474,97,28,1,2302
475,97,26,1,2302
476,97,71,1,2302
