nokta_no,x,y,count,sezon_dakikasi
1,53,20,2,2124
2,53,14,1,2124
3,53,12,2,2124
4,53,23,1,2124
5,53,3,1,2124
6,53,0,5,2124
7,53,15,1,2124
8,53,5,1,2124
9,53,9,3,2124
10,53,7,3,2124
11,53,6,1,2124
12,53,47,1,2124
13,53,4,1,2124
14,18,13,1,2124
15,18,11,2,2124
16,18,34,2,2124
17,18,0,4,2124
18,18,22,1,2124
19,18,3,2,2124
20,18,6,1,2124
21,18,8,2,2124
22,18,21,1,2124
23,18,18,2,2124
24,18,36,1,2124
25,18,9,1,2124
26,18,4,1,2124
27,24,18,1,2124
28,24,16,2,2124
29,24,43,1,2124
30,24,9,2,2124
31,24,0,4,2124
32,24,12,6,2124
33,24,6,2,2124
34,24,14,1,2124
35,24,24,1,2124
36,24,26,1,2124
37,24,8,1,2124
38,24,2,2,2124
39,24,4,1,2124
40,24,31,2,2124
41,24,32,1,2124
42,24,10,1,2124
43,24,5,1,2124
44,24,22,1,2124
45,24,29,1,2124
46,24,34,1,2124
47,24,7,1,2124
48,10,21,1,2124
49,10,55,1,2124
50,10,13,3,2124
51,10,7,1,2124
52,10,5,1,2124
53,10,18,1,2124
54,10,49,1,2124
55,10,9,2,2124
56,10,0,1,2124
57,10,14,2,2124
58,10,37,1,2124
59,10,40,2,2124
60,10,10,1,2124
61,10,11,1,2124
62,10,8,2,2124
63,10,29,1,2124
64,10,47,1,2124
65,10,31,1,2124
66,10,81,1,2124
67,10,35,1,2124
68,10,44,1,2124
69,10,59,1,2124
70,56,4,4,2124
71,56,27,1,2124
72,56,5,3,2124
73,56,9,2,2124
74,56,21,1,2124
75,56,31,1,2124
76,56,8,2,2124
77,56,11,2,2124
78,56,18,1,2124
79,56,28,1,2124
80,56,13,1,2124
81,56,0,4,2124
82,56,7,2,2124
83,56,72,1,2124
84,56,6,2,2124
85,56,10,4,2124
86,56,34,1,2124
87,56,3,1,2124
88,11,12,2,2124
89,11,8,1,2124
90,11,37,3,2124
91,11,18,3,2124
92,11,16,2,2124
93,11,22,1,2124
94,11,7,2,2124
95,11,23,1,2124
96,11,32,1,2124
97,11,3,1,2124
98,11,15,1,2124
99,11,68,1,2124
100,11,49,1,2124
101,11,25,1,2124
102,11,51,1,2124
103,11,0,1,2124
104,58,7,3,2124
105,58,8,1,2124
106,58,11,1,2124
107,58,5,3,2124
108,58,3,2,2124
109,58,10,2,2124
110,58,6,2,2124
111,58,15,1,2124
112,58,0,2,2124
113,58,53,1,2124
114,58,4,3,2124
115,58,17,1,2124
116,92,18,2,2124
117,92,20,1,2124
118,92,0,3,2124
119,92,9,2,2124
120,92,25,1,2124
121,92,8,1,2124
122,92,19,1,2124
123,92,10,1,2124
124,92,21,1,2124
125,92,17,1,2124
126,92,29,1,2124
127,87,17,1,2124
128,87,0,5,2124
129,87,13,1,2124
130,87,11,1,2124
131,87,4,2,2124
132,87,23,1,2124
133,87,2,1,2124
134,87,22,1,2124
135,87,5,1,2124
136,87,8,1,2124
137,87,7,1,2124
138,25,15,1,2124
139,25,4,2,2124
140,25,23,2,2124
141,25,17,1,2124
142,25,24,1,2124
143,25,26,1,2124
144,25,36,2,2124
145,25,38,1,2124
146,25,19,1,2124
147,25,10,2,2124
148,25,0,2,2124
149,25,21,2,2124
150,25,11,1,2124
151,25,3,3,2124
152,25,16,1,2124
153,25,1,1,2124
154,43,7,7,2124
155,43,15,2,2124
156,43,0,1,2124
157,43,48,1,2124
158,43,14,2,2124
159,43,86,1,2124
160,43,13,1,2124
161,43,8,1,2124
162,43,2,1,2124
163,43,28,1,2124
164,43,4,2,2124
165,43,49,1,2124
166,43,12,1,2124
167,43,26,1,2124
168,43,5,1,2124
169,23,0,3,2124
170,23,8,1,2124
171,23,20,1,2124
172,23,11,1,2124
173,23,9,2,2124
174,23,23,2,2124
175,23,12,1,2124
176,23,7,2,2124
177,23,3,2,2124
178,23,68,1,2124
179,23,4,1,2124
180,23,14,1,2124
181,23,15,1,2124
182,44,4,2,2124
183,44,6,3,2124
184,44,0,4,2124
185,44,13,1,2124
186,44,11,2,2124
187,44,5,2,2124
188,44,8,2,2124
189,44,30,2,2124
190,44,14,1,2124
191,44,7,3,2124
192,44,3,5,2124
193,44,41,1,2124
194,44,23,1,2124
195,44,2,1,2124
196,44,16,1,2124
197,44,9,4,2124
198,44,12,1,2124
199,44,22,1,2124
200,44,27,1,2124
201,44,24,1,2124
202,44,10,1,2124
203,98,14,1,2124
204,98,31,1,2124
205,98,22,1,2124
206,98,16,1,2124
207,98,13,1,2124
208,98,21,1,2124
209,98,29,1,2124
210,98,32,1,2124
211,15,10,1,2124
212,15,7,2,2124
213,15,18,1,2124
214,15,39,1,2124
215,15,0,2,2124
216,15,13,3,2124
217,15,12,2,2124
218,15,9,1,2124
219,15,14,1,2124
220,15,3,1,2124
221,15,6,1,2124
222,32,16,4,2124
223,32,3,1,2124
224,32,6,4,2124
225,32,10,1,2124
226,32,8,1,2124
227,32,11,2,2124
228,32,13,1,2124
229,32,19,2,2124
230,32,29,1,2124
231,32,27,1,2124
232,32,7,3,2124
233,32,32,1,2124
234,32,28,1,2124
235,32,0,2,2124
236,32,2,1,2124
237,32,12,1,2124
238,32,17,1,2124
239,30,15,2,2124
240,30,0,2,2124
