nokta_no,x,y,count,sezon_dakikasi
1,36,83,2,1222
2,36,33,1,1222
3,36,49,3,1222
4,36,65,2,1222
5,36,44,1,1222
6,36,61,1,1222
7,36,60,2,1222
8,36,72,2,1222
9,36,67,2,1222
10,36,57,1,1222
11,36,55,1,1222
12,36,78,2,1222
13,36,80,1,1222
14,36,52,1,1222
15,36,62,1,1222
16,36,50,1,1222
17,36,58,1,1222
18,36,79,1,1222
19,36,47,1,1222
20,36,70,1,1222
21,27,71,1,1222
22,27,70,1,1222
23,27,69,1,1222
24,27,63,1,1222
25,27,76,1,1222
26,27,54,1,1222
27,27,23,1,1222
28,27,94,1,1222
29,27,85,1,1222
30,27,59,1,1222
31,27,89,1,1222
32,27,65,1,1222
33,27,60,1,1222
34,27,56,1,1222
35,27,53,1,1222
36,27,83,1,1222
37,99,0,8,1222
38,99,99,13,1222
39,89,55,1,1222
40,89,8,1,1222
41,89,63,1,1222
42,89,62,1,1222
43,89,20,1,1222
44,89,92,2,1222
45,89,57,1,1222
46,89,60,1,1222
47,89,47,1,1222
48,89,95,1,1222
49,64,78,1,1222
50,64,8,1,1222
51,64,28,2,1222
52,64,49,1,1222
53,64,51,1,1222
54,64,55,1,1222
55,64,82,2,1222
56,64,13,1,1222
57,64,11,1,1222
58,64,86,3,1222
59,64,84,1,1222
60,64,73,3,1222
61,64,17,1,1222
62,64,70,1,1222
63,64,65,1,1222
64,64,72,1,1222
65,64,67,2,1222
66,64,36,2,1222
67,64,0,1,1222
68,64,94,1,1222
69,64,87,1,1222
70,64,88,1,1222
71,64,61,1,1222
72,64,68,1,1222
73,64,74,1,1222
74,64,91,1,1222
75,64,47,1,1222
76,64,83,1,1222
77,64,24,1,1222
78,66,67,1,1222
79,66,15,1,1222
80,66,81,1,1222
81,66,46,1,1222
82,66,86,1,1222
83,66,69,2,1222
84,66,53,1,1222
85,66,73,1,1222
86,66,82,1,1222
87,66,89,1,1222
88,66,35,1,1222
89,66,84,1,1222
90,66,31,1,1222
91,66,22,1,1222
92,66,74,1,1222
93,66,5,1,1222
94,66,70,1,1222
95,66,93,2,1222
96,66,2,1,1222
97,66,4,1,1222
98,66,79,1,1222
99,66,75,1,1222
100,66,100,1,1222
101,66,92,1,1222
102,66,95,1,1222
103,53,95,1,1222
104,53,90,1,1222
105,53,35,1,1222
106,53,43,1,1222
107,53,32,1,1222
108,53,81,1,1222
109,53,33,2,1222
110,53,74,1,1222
111,53,51,1,1222
112,53,87,1,1222
113,53,30,1,1222
114,53,61,1,1222
115,53,92,2,1222
116,53,64,2,1222
117,53,53,1,1222
118,53,38,1,1222
119,53,44,1,1222
120,53,62,1,1222
121,53,54,1,1222
122,53,67,1,1222
123,53,78,1,1222
124,53,72,1,1222
125,53,66,1,1222
126,53,70,1,1222
127,53,41,1,1222
128,53,48,1,1222
129,53,22,1,1222
130,53,100,1,1222
131,53,71,1,1222
132,53,24,1,1222
133,87,75,1,1222
134,87,5,1,1222
135,87,88,1,1222
136,87,89,1,1222
137,87,60,1,1222
138,87,95,1,1222
139,87,96,1,1222
