nokta_no,x,y,count,sezon_dakikasi
1,22,26,1,1020
2,22,27,1,1020
3,22,14,1,1020
4,22,6,2,1020
5,22,5,1,1020
6,22,20,1,1020
7,22,3,1,1020
8,22,61,2,1020
9,91,28,1,1020
10,91,38,1,1020
11,91,24,1,1020
12,91,41,1,1020
13,91,8,1,1020
14,37,13,1,1020
15,37,4,1,1020
16,37,30,1,1020
17,37,31,1,1020
18,37,33,1,1020
19,37,7,1,1020
20,37,16,1,1020
21,37,50,1,1020
22,37,11,1,1020
23,37,94,2,1020
24,37,12,1,1020
25,37,24,1,1020
26,37,14,1,1020
27,37,19,1,1020
28,37,81,1,1020
29,37,66,1,1020
30,37,95,1,1020
31,68,6,1,1020
32,68,31,1,1020
33,68,0,1,1020
34,68,24,1,1020
35,68,8,1,1020
36,68,16,1,1020
37,68,17,1,1020
38,68,57,1,1020
39,68,15,1,1020
40,68,4,1,1020
41,68,7,1,1020
42,68,96,1,1020
43,68,22,1,1020
44,68,32,1,1020
45,68,100,2,1020
46,68,49,1,1020
47,68,69,1,1020
48,68,83,1,1020
49,32,6,2,1020
50,32,18,1,1020
51,32,22,1,1020
52,32,16,1,1020
53,32,7,2,1020
54,32,67,1,1020
55,32,9,1,1020
56,32,100,1,1020
57,32,76,1,1020
58,32,89,1,1020
59,58,4,2,1020
60,58,31,2,1020
61,58,12,1,1020
62,58,33,1,1020
63,58,36,1,1020
64,58,37,1,1020
65,58,0,1,1020
66,58,23,1,1020
67,58,16,1,1020
68,58,28,1,1020
69,58,25,1,1020
70,62,6,1,1020
71,62,12,1,1020
72,62,37,1,1020
73,62,16,1,1020
74,62,32,1,1020
75,62,100,2,1020
76,62,95,1,1020
77,62,24,1,1020
78,62,9,1,1020
79,62,41,1,1020
80,62,74,1,1020
81,62,93,1,1020
82,38,29,1,1020
83,38,0,1,1020
84,38,5,1,1020
85,38,26,1,1020
86,38,49,1,1020
87,38,10,2,1020
88,38,14,1,1020
89,38,17,1,1020
90,38,8,3,1020
91,38,12,1,1020
92,38,27,1,1020
93,38,4,1,1020
94,38,92,1,1020
95,23,12,1,1020
96,23,24,1,1020
97,23,20,1,1020
98,23,26,1,1020
99,23,65,1,1020
100,23,100,1,1020
101,41,6,2,1020
102,41,24,4,1020
103,41,4,2,1020
104,41,28,2,1020
105,41,16,1,1020
106,41,0,1,1020
107,41,8,1,1020
108,41,17,1,1020
109,41,95,1,1020
110,41,7,1,1020
111,41,23,1,1020
112,41,29,1,1020
113,41,31,1,1020
114,41,92,1,1020
115,41,76,1,1020
116,41,83,1,1020
117,41,89,1,1020
118,87,45,2,1020
119,87,8,1,1020
120,87,96,1,1020
121,87,16,1,1020
122,39,16,1,1020
123,39,90,1,1020
124,39,4,1,1020
125,39,15,2,1020
126,39,6,1,1020
127,39,2,2,1020
128,39,45,1,1020
129,39,69,1,1020
130,39,51,1,1020
131,39,9,2,1020
132,39,28,2,1020
133,39,82,1,1020
134,39,85,1,1020
135,65,6,2,1020
136,65,16,1,1020
137,65,11,1,1020
138,65,7,1,1020
139,65,18,1,1020
140,65,23,1,1020
141,65,10,1,1020
142,65,26,1,1020
143,65,40,1,1020
144,65,36,2,1020
145,65,93,1,1020
146,65,2,1,1020
147,65,82,1,1020
148,65,95,1,1020
149,59,3,1,1020
150,59,5,1,1020
151,59,26,1,1020
152,59,10,1,1020
153,59,33,1,1020
154,59,18,1,1020
155,59,87,1,1020
156,59,9,1,1020
157,59,92,1,1020
158,59,82,1,1020
159,59,78,1,1020
160,59,100,1,1020
161,59,96,1,1020
162,52,11,2,1020
163,52,0,3,1020
164,52,31,1,1020
165,75,15,1,1020
166,75,13,1,1020
167,75,17,1,1020
168,75,88,1,1020
169,71,5,1,1020
170,71,7,1,1020
171,71,25,1,1020
172,71,13,1,1020
173,71,10,1,1020
174,71,42,1,1020
175,71,84,1,1020
176,71,79,1,1020
177,71,88,2,1020
178,71,46,1,1020
179,71,26,1,1020
180,71,75,1,1020
181,71,37,1,1020
182,71,100,1,1020
183,71,69,1,1020
184,73,0,2,1020
185,73,26,1,1020
186,73,89,1,1020
187,73,36,1,1020
188,73,92,1,1020
189,93,17,1,1020
190,93,22,1,1020
191,93,100,1,1020
192,93,94,1,1020
193,13,11,1,1020
194,13,40,1,1020
195,13,37,1,1020
196,18,4,1,1020
197,18,9,1,1020
198,18,43,1,1020
199,18,3,1,1020
200,18,70,1,1020
201,72,31,1,1020
202,72,18,1,1020
203,72,10,1,1020
204,72,16,2,1020
205,72,6,1,1020
206,72,0,1,1020
207,72,81,1,1020
208,72,14,1,1020
209,72,27,1,1020
210,72,91,1,1020
211,72,100,2,1020
212,4,11,3,1020
213,4,8,2,1020
214,4,9,1,1020
215,4,66,1,1020
216,4,72,1,1020
217,25,23,1,1020
218,25,43,2,1020
219,25,40,1,1020
220,25,6,1,1020
221,25,25,1,1020
222,25,0,1,1020
223,25,67,1,1020
224,25,12,1,1020
225,25,32,1,1020
226,25,10,1,1020
227,25,17,1,1020
228,25,7,1,1020
229,24,22,1,1020
230,24,9,1,1020
231,24,41,1,1020
232,19,7,1,1020
233,19,25,1,1020
234,20,3,1,1020
235,20,82,1,1020
236,20,0,1,1020
237,35,27,1,1020
238,35,7,1,1020
239,35,15,1,1020
240,35,16,1,1020
241,35,9,1,1020
242,35,100,1,1020
243,35,84,1,1020
244,35,94,1,1020
245,88,41,1,1020
246,88,0,1,1020
247,88,17,1,1020
248,88,100,3,1020
249,88,46,1,1020
250,66,12,2,1020
251,66,15,1,1020
252,66,19,2,1020
253,66,10,2,1020
254,66,11,1,1020
255,66,59,1,1020
256,66,13,1,1020
257,66,5,1,1020
258,66,81,2,1020
259,66,79,1,1020
260,66,56,1,1020
261,66,20,1,1020
262,66,0,1,1020
263,66,82,1,1020
264,66,73,1,1020
265,66,67,1,1020
266,66,90,1,1020
267,11,32,1,1020
268,11,70,1,1020
269,11,66,1,1020
270,83,11,1,1020
271,83,41,1,1020
272,83,0,1,1020
273,83,22,1,1020
274,83,87,1,1020
275,76,23,1,1020
276,76,6,1,1020
277,76,85,1,1020
278,76,13,1,1020
279,76,11,1,1020
280,76,20,1,1020
281,76,0,1,1020
282,76,93,1,1020
283,76,72,1,1020
284,76,94,1,1020
285,70,15,1,1020
286,70,28,1,1020
287,70,79,1,1020
288,70,18,1,1020
289,70,5,1,1020
290,70,22,1,1020
291,70,13,1,1020
292,70,14,1,1020
293,70,25,1,1020
294,70,45,1,1020
295,70,46,1,1020
296,70,35,1,1020
297,70,77,1,1020
298,70,26,1,1020
299,70,94,2,1020
300,70,100,1,1020
301,70,61,1,1020
302,84,13,1,1020
303,84,12,1,1020
304,84,87,1,1020
305,84,21,1,1020
306,84,100,1,1020
307,84,44,1,1020
308,84,89,1,1020
309,95,0,1,1020
310,95,85,1,1020
311,95,7,1,1020
312,95,96,1,1020
313,95,75,1,1020
314,95,46,1,1020
315,95,74,1,1020
316,86,4,2,1020
317,86,0,3,1020
318,86,5,1,1020
319,86,9,1,1020
320,86,20,1,1020
321,86,89,1,1020
322,86,96,1,1020
323,86,37,1,1020
324,86,16,1,1020
325,86,82,1,1020
326,86,68,1,1020
327,96,18,2,1020
328,96,87,1,1020
329,96,16,1,1020
330,96,17,1,1020
331,96,71,1,1020
332,96,100,1,1020
333,96,47,1,1020
334,55,11,1,1020
335,55,47,1,1020
336,55,18,1,1020
337,55,0,1,1020
338,55,67,1,1020
339,61,24,1,1020
340,61,26,1,1020
341,61,7,1,1020
342,61,0,1,1020
343,61,9,1,1020
344,61,3,1,1020
345,61,17,1,1020
346,61,21,1,1020
347,61,20,1,1020
348,61,25,1,1020
349,61,34,1,1020
350,61,11,1,1020
351,61,32,1,1020
352,61,33,1,1020
353,92,5,1,1020
354,92,18,1,1020
355,92,80,1,1020
356,92,72,1,1020
357,92,92,1,1020
358,92,63,1,1020
359,92,74,1,1020
360,3,6,1,1020
361,3,25,1,1020
362,3,13,1,1020
363,3,38,1,1020
364,12,15,1,1020
365,12,36,1,1020
366,12,23,1,1020
367,12,45,1,1020
368,12,8,2,1020
369,12,20,1,1020
370,12,16,1,1020
371,12,14,1,1020
372,12,76,1,1020
373,63,7,2,1020
374,63,11,1,1020
375,63,66,1,1020
376,63,6,1,1020
377,63,29,1,1020
378,63,83,1,1020
379,63,80,1,1020
380,63,24,1,1020
381,63,96,1,1020
382,63,16,1,1020
383,63,91,1,1020
384,63,87,1,1020
385,63,90,1,1020
386,36,14,1,1020
387,36,22,1,1020
388,36,2,1,1020
389,36,6,1,1020
390,36,21,1,1020
391,36,13,1,1020
392,36,10,1,1020
393,36,36,1,1020
394,36,100,1,1020
395,36,73,1,1020
396,36,91,1,1020
397,46,94,1,1020
398,46,18,1,1020
399,46,77,1,1020
400,46,10,1,1020
401,46,85,1,1020
402,46,31,1,1020
403,46,35,1,1020
404,47,94,1,1020
405,47,100,1,1020
406,47,11,1,1020
407,45,55,1,1020
408,45,0,1,1020
409,45,42,2,1020
410,45,24,1,1020
411,45,11,1,1020
412,45,39,1,1020
413,45,12,1,1020
414,45,93,1,1020
415,64,6,1,1020
416,64,9,1,1020
417,64,7,1,1020
418,64,28,1,1020
419,64,36,1,1020
420,64,12,2,1020
421,64,15,1,1020
422,64,8,1,1020
423,64,4,1,1020
424,64,56,1,1020
425,64,78,1,1020
426,64,96,1,1020
427,64,89,1,1020
428,64,94,2,1020
429,64,93,1,1020
430,0,10,1,1020
431,34,10,1,1020
432,34,12,2,1020
433,34,16,1,1020
434,34,33,1,1020
435,34,7,1,1020
436,34,5,1,1020
437,34,84,1,1020
438,34,100,1,1020
439,34,92,2,1020
440,69,0,1,1020
441,69,9,1,1020
442,69,6,1,1020
443,69,7,1,1020
444,69,14,1,1020
445,69,3,1,1020
446,69,91,2,1020
447,69,24,1,1020
448,69,89,1,1020
449,69,64,1,1020
450,69,85,1,1020
451,69,94,1,1020
452,69,78,1,1020
453,31,2,1,1020
454,31,22,1,1020
455,31,4,1,1020
456,31,0,2,1020
457,31,13,1,1020
458,31,18,1,1020
459,31,84,1,1020
460,31,78,1,1020
461,33,2,1,1020
462,33,26,1,1020
463,33,20,1,1020
464,33,15,1,1020
465,33,0,1,1020
466,33,87,1,1020
467,33,40,1,1020
468,33,43,2,1020
469,33,7,1,1020
470,33,5,1,1020
471,33,4,1,1020
472,33,100,3,1020
473,33,76,1,1020
474,33,69,1,1020
475,33,90,1,1020
476,40,7,1,1020
477,40,23,1,1020
478,40,13,1,1020
479,40,12,3,1020
480,40,19,1,1020
481,40,36,1,1020
482,40,4,1,1020
483,40,20,1,1020
484,40,10,1,1020
485,40,70,1,1020
486,40,68,1,1020
487,40,84,1,1020
488,40,91,1,1020
489,40,100,1,1020
490,60,56,1,1020
491,60,26,1,1020
492,60,5,3,1020
493,60,11,1,1020
494,60,12,1,1020
495,60,7,1,1020
496,60,9,2,1020
497,60,14,1,1020
498,60,17,1,1020
499,60,91,1,1020
500,60,84,1,1020
501,50,0,2,1020
502,50,86,1,1020
503,50,100,1,1020
504,5,7,1,1020
505,5,9,1,1020
506,5,69,1,1020
507,30,20,1,1020
508,30,17,1,1020
509,30,23,1,1020
510,30,30,1,1020
511,30,88,1,1020
512,30,89,1,1020
513,56,8,1,1020
514,56,31,1,1020
515,56,27,1,1020
516,56,26,1,1020
517,56,70,1,1020
518,56,78,1,1020
519,56,7,1,1020
520,56,81,1,1020
521,56,74,1,1020
522,56,82,1,1020
523,43,10,1,1020
524,43,3,1,1020
525,43,11,2,1020
526,43,85,1,1020
527,43,83,1,1020
528,43,90,2,1020
529,51,0,1,1020
530,51,16,1,1020
531,51,79,1,1020
532,79,15,1,1020
533,79,22,1,1020
534,79,40,1,1020
535,79,6,1,1020
536,79,84,1,1020
537,79,100,2,1020
538,79,89,1,1020
539,82,47,1,1020
540,82,14,1,1020
541,82,10,2,1020
542,82,9,1,1020
543,82,61,1,1020
544,82,85,1,1020
545,82,92,1,1020
546,10,11,1,1020
547,10,36,1,1020
548,10,90,1,1020
549,10,4,1,1020
550,10,47,1,1020
551,10,66,1,1020
552,8,14,1,1020
553,8,10,1,1020
554,8,24,1,1020
555,8,76,1,1020
556,8,93,1,1020
557,74,74,1,1020
558,74,2,1,1020
559,74,7,1,1020
560,74,32,1,1020
561,74,82,1,1020
562,74,86,1,1020
563,74,12,1,1020
564,74,93,1,1020
565,74,100,1,1020
566,15,23,2,1020
567,15,87,1,1020
568,15,25,1,1020
569,15,12,1,1020
570,49,1,1,1020
571,49,3,1,1020
572,49,0,1,1020
573,49,6,1,1020
574,29,30,1,1020
575,29,11,2,1020
576,29,10,1,1020
577,29,5,1,1020
578,29,93,1,1020
579,28,95,1,1020
580,28,22,1,1020
581,28,9,1,1020
582,28,85,1,1020
583,28,91,1,1020
