nokta_no,x,y,count,sezon_dakikasi
1,41,66,1,1370
2,41,68,1,1370
3,41,88,1,1370
4,41,54,1,1370
5,41,96,1,1370
6,41,90,1,1370
7,41,53,1,1370
8,41,63,1,1370
9,41,83,1,1370
10,41,92,1,1370
11,41,86,1,1370
12,41,79,1,1370
13,41,91,1,1370
14,41,72,1,1370
15,41,59,1,1370
16,63,87,2,1370
17,63,73,1,1370
18,63,38,1,1370
19,63,58,1,1370
20,63,100,1,1370
21,63,77,1,1370
22,63,59,1,1370
23,63,78,2,1370
24,63,93,1,1370
25,63,89,1,1370
26,63,82,1,1370
27,63,80,1,1370
28,63,83,1,1370
29,63,95,1,1370
30,63,70,1,1370
31,69,87,1,1370
32,69,60,1,1370
33,69,27,1,1370
34,69,47,1,1370
35,69,84,1,1370
36,69,69,2,1370
37,69,74,3,1370
38,69,79,1,1370
39,69,76,1,1370
40,69,75,1,1370
41,69,100,3,1370
42,69,77,1,1370
43,69,81,1,1370
44,69,94,1,1370
45,69,68,1,1370
46,69,90,1,1370
47,71,68,2,1370
48,71,53,2,1370
49,71,33,1,1370
50,71,73,1,1370
51,71,84,3,1370
52,71,76,1,1370
53,71,87,1,1370
54,71,92,1,1370
55,71,78,1,1370
56,71,97,1,1370
57,71,95,1,1370
58,71,72,1,1370
59,71,74,2,1370
60,71,88,2,1370
61,71,90,1,1370
62,71,80,1,1370
63,35,77,2,1370
64,35,75,2,1370
65,35,91,1,1370
66,35,95,2,1370
67,35,76,1,1370
68,35,70,1,1370
69,35,72,1,1370
70,35,97,1,1370
71,35,96,1,1370
72,35,90,1,1370
73,35,100,2,1370
74,35,82,2,1370
75,35,55,1,1370
76,35,57,1,1370
77,35,87,1,1370
78,35,35,1,1370
79,35,78,1,1370
80,35,65,1,1370
81,35,46,1,1370
82,26,83,1,1370
83,26,93,1,1370
84,26,81,2,1370
85,26,87,2,1370
86,26,92,1,1370
87,26,37,1,1370
88,26,67,1,1370
89,26,77,1,1370
90,26,74,1,1370
91,26,47,1,1370
92,31,85,3,1370
93,31,63,2,1370
94,31,94,2,1370
95,31,67,1,1370
96,31,69,1,1370
97,31,90,1,1370
98,31,47,1,1370
99,31,73,1,1370
100,31,89,1,1370
101,31,97,1,1370
102,68,68,1,1370
103,68,57,1,1370
104,68,32,1,1370
105,68,100,2,1370
106,68,75,1,1370
107,68,63,1,1370
108,68,72,1,1370
109,68,89,1,1370
110,68,60,1,1370
111,68,85,1,1370
112,68,69,1,1370
113,68,80,1,1370
114,68,90,1,1370
115,68,94,1,1370
116,68,96,1,1370
117,68,58,1,1370
118,68,86,1,1370
119,68,66,1,1370
120,65,83,2,1370
121,65,82,1,1370
122,65,59,1,1370
123,65,68,2,1370
124,65,90,1,1370
125,65,91,1,1370
126,65,66,1,1370
127,65,100,4,1370
128,65,22,2,1370
129,65,93,2,1370
130,65,64,1,1370
131,65,84,1,1370
132,65,85,1,1370
133,65,58,1,1370
134,65,80,1,1370
135,65,87,1,1370
136,65,38,1,1370
137,65,97,2,1370
138,65,79,1,1370
139,65,74,1,1370
140,65,81,1,1370
141,65,72,1,1370
142,65,75,1,1370
143,11,66,2,1370
144,11,87,1,1370
145,11,61,1,1370
146,11,93,2,1370
147,11,60,1,1370
148,11,64,1,1370
149,11,51,1,1370
150,42,82,1,1370
151,42,93,1,1370
152,42,34,1,1370
153,42,86,1,1370
154,42,90,3,1370
155,42,72,1,1370
156,42,100,1,1370
157,42,76,2,1370
158,42,39,1,1370
159,42,91,1,1370
160,42,55,1,1370
161,42,50,1,1370
162,42,70,1,1370
163,42,35,1,1370
164,42,33,1,1370
165,79,66,1,1370
166,79,100,1,1370
167,79,88,1,1370
168,79,5,1,1370
169,79,22,1,1370
170,79,94,1,1370
171,79,57,1,1370
172,79,74,1,1370
173,79,81,1,1370
174,79,77,1,1370
175,28,85,2,1370
176,28,100,2,1370
177,28,67,1,1370
178,28,79,1,1370
179,28,87,1,1370
180,28,78,2,1370
181,28,39,1,1370
182,28,71,1,1370
183,28,53,1,1370
184,28,66,1,1370
185,28,91,1,1370
186,37,71,2,1370
187,37,52,1,1370
188,37,86,4,1370
189,37,89,1,1370
190,37,69,2,1370
191,37,45,2,1370
192,37,37,1,1370
193,37,76,1,1370
194,37,85,1,1370
195,37,63,1,1370
196,37,95,1,1370
197,37,50,1,1370
198,37,81,1,1370
199,37,90,1,1370
200,37,67,1,1370
201,45,64,1,1370
202,45,89,1,1370
203,45,88,1,1370
204,45,56,1,1370
205,45,92,1,1370
206,45,100,1,1370
207,45,54,2,1370
208,45,58,1,1370
209,45,75,1,1370
210,45,57,1,1370
211,45,93,1,1370
212,45,85,1,1370
213,45,90,1,1370
214,45,76,1,1370
215,45,71,2,1370
216,32,74,1,1370
217,32,51,1,1370
218,32,76,1,1370
219,32,54,1,1370
220,32,59,1,1370
221,32,89,2,1370
222,32,82,2,1370
223,32,91,2,1370
224,32,88,1,1370
225,32,71,1,1370
226,32,65,1,1370
227,32,53,1,1370
228,72,80,1,1370
229,72,53,1,1370
230,72,66,1,1370
231,72,41,1,1370
232,72,93,1,1370
233,72,100,1,1370
234,72,57,1,1370
235,72,70,1,1370
236,72,92,1,1370
237,72,74,1,1370
238,72,72,2,1370
239,72,68,2,1370
240,72,79,1,1370
241,72,29,1,1370
242,72,81,2,1370
243,72,95,2,1370
244,72,91,1,1370
245,72,76,1,1370
246,72,85,1,1370
247,72,90,1,1370
248,72,73,1,1370
249,77,67,1,1370
250,77,98,1,1370
251,77,94,2,1370
252,77,69,1,1370
253,77,91,1,1370
254,77,100,1,1370
255,77,82,1,1370
256,77,61,1,1370
257,77,84,1,1370
258,77,73,1,1370
259,66,66,2,1370
260,66,76,1,1370
261,66,75,1,1370
262,66,65,1,1370
263,66,85,1,1370
264,66,97,1,1370
265,66,100,1,1370
266,66,74,2,1370
267,66,71,2,1370
268,66,95,2,1370
269,66,77,1,1370
270,66,79,1,1370
271,66,80,1,1370
272,66,69,1,1370
273,66,13,1,1370
274,38,100,1,1370
275,38,96,1,1370
276,38,76,1,1370
277,38,40,1,1370
278,38,74,1,1370
279,38,94,1,1370
280,38,95,1,1370
281,38,89,1,1370
282,38,84,1,1370
283,38,22,1,1370
284,38,86,1,1370
285,56,95,1,1370
286,56,16,1,1370
287,56,78,1,1370
288,56,29,1,1370
289,56,50,1,1370
290,56,56,1,1370
291,56,69,1,1370
292,56,100,2,1370
293,56,76,1,1370
294,56,66,2,1370
295,56,93,1,1370
296,56,91,1,1370
297,56,65,1,1370
298,56,64,1,1370
299,56,86,1,1370
300,56,75,1,1370
301,19,74,1,1370
302,19,33,1,1370
303,19,32,1,1370
304,19,89,2,1370
305,19,61,1,1370
306,19,77,1,1370
307,19,71,1,1370
308,19,82,1,1370
309,20,76,1,1370
310,20,62,1,1370
311,20,59,1,1370
312,20,69,1,1370
313,20,82,1,1370
314,20,84,1,1370
315,20,39,1,1370
316,20,77,1,1370
317,20,70,1,1370
318,20,80,1,1370
319,59,94,1,1370
320,59,77,1,1370
321,59,73,2,1370
322,59,67,2,1370
323,59,83,1,1370
324,59,93,1,1370
325,59,92,1,1370
326,73,100,3,1370
327,73,86,1,1370
328,73,79,1,1370
329,73,63,1,1370
330,73,73,1,1370
331,73,87,1,1370
332,73,75,1,1370
333,73,81,1,1370
334,73,37,1,1370
335,73,83,2,1370
336,73,69,1,1370
337,73,85,2,1370
338,73,90,2,1370
339,73,74,1,1370
340,83,100,2,1370
341,83,80,1,1370
342,83,96,1,1370
343,83,66,1,1370
344,83,83,1,1370
345,91,100,2,1370
346,91,87,1,1370
347,88,96,2,1370
348,88,74,1,1370
349,88,64,1,1370
350,88,90,1,1370
351,88,46,1,1370
352,88,68,1,1370
353,14,76,1,1370
354,14,51,1,1370
355,14,50,1,1370
356,14,71,1,1370
357,14,92,1,1370
358,21,68,1,1370
359,21,77,2,1370
360,21,95,1,1370
361,21,28,1,1370
362,21,100,1,1370
363,21,59,1,1370
364,39,89,1,1370
365,39,100,2,1370
366,39,91,1,1370
367,39,88,1,1370
368,39,81,3,1370
369,39,34,1,1370
370,39,92,1,1370
371,39,97,1,1370
372,39,87,1,1370
373,39,67,1,1370
374,39,36,1,1370
375,39,40,1,1370
376,39,79,2,1370
377,39,66,1,1370
378,30,92,1,1370
379,30,84,1,1370
380,30,74,2,1370
381,30,59,1,1370
382,30,91,3,1370
383,30,68,2,1370
384,30,90,2,1370
385,30,57,1,1370
386,30,81,1,1370
387,30,78,1,1370
388,30,52,1,1370
389,30,45,1,1370
390,30,67,2,1370
391,30,73,1,1370
392,30,89,1,1370
393,30,83,1,1370
394,30,46,1,1370
395,30,100,1,1370
396,33,68,1,1370
397,33,93,1,1370
398,33,56,1,1370
399,33,74,1,1370
400,33,87,1,1370
401,33,54,1,1370
402,33,90,1,1370
403,33,78,1,1370
404,33,94,1,1370
405,33,82,1,1370
406,33,60,1,1370
407,33,57,1,1370
408,33,100,1,1370
409,33,70,1,1370
410,33,92,1,1370
411,33,86,1,1370
412,33,89,1,1370
413,46,57,1,1370
414,46,45,1,1370
415,46,64,2,1370
416,46,40,1,1370
417,46,76,2,1370
418,46,54,1,1370
419,46,89,1,1370
420,46,100,1,1370
421,46,53,1,1370
422,46,93,1,1370
423,46,43,2,1370
424,46,91,1,1370
425,46,98,1,1370
426,46,79,1,1370
427,46,18,1,1370
428,46,69,1,1370
429,46,81,1,1370
430,60,67,1,1370
431,60,81,1,1370
432,60,74,1,1370
433,60,96,1,1370
434,60,51,1,1370
435,60,69,1,1370
436,60,92,1,1370
437,60,85,1,1370
438,60,90,1,1370
439,60,93,1,1370
440,60,75,2,1370
441,60,77,1,1370
442,60,89,1,1370
443,61,64,1,1370
444,61,61,1,1370
445,61,81,1,1370
446,61,19,1,1370
447,61,75,1,1370
448,61,84,1,1370
449,61,71,2,1370
450,61,73,1,1370
451,61,82,2,1370
452,61,86,1,1370
453,61,92,1,1370
454,61,69,1,1370
455,61,83,1,1370
456,61,66,1,1370
457,62,70,1,1370
458,62,64,1,1370
459,62,44,1,1370
460,62,93,1,1370
461,62,83,1,1370
462,62,90,2,1370
463,62,75,1,1370
464,62,95,1,1370
465,62,69,1,1370
466,62,85,1,1370
467,62,11,1,1370
468,62,89,2,1370
469,62,81,1,1370
470,62,86,1,1370
471,62,100,1,1370
472,62,96,1,1370
473,62,74,1,1370
474,62,94,1,1370
475,62,57,1,1370
476,29,69,1,1370
477,29,84,1,1370
478,29,96,1,1370
479,29,95,1,1370
480,29,92,1,1370
481,29,100,3,1370
482,29,58,1,1370
483,29,87,1,1370
