nokta_no,x,y,count,sezon_dakikasi
1,29,71,1,1121
2,29,64,2,1121
3,29,73,2,1121
4,29,59,1,1121
5,29,80,1,1121
6,29,88,1,1121
7,29,58,2,1121
8,29,74,2,1121
9,29,69,2,1121
10,29,65,2,1121
11,29,95,1,1121
12,29,70,1,1121
13,29,63,1,1121
14,29,77,1,1121
15,29,72,1,1121
16,29,81,1,1121
17,27,21,1,1121
18,27,39,1,1121
19,27,40,2,1121
20,27,61,2,1121
21,27,60,1,1121
22,27,71,1,1121
23,27,90,1,1121
24,27,75,1,1121
25,27,65,1,1121
26,27,72,2,1121
27,27,73,1,1121
28,27,77,2,1121
29,27,76,1,1121
30,27,49,1,1121
31,27,62,1,1121
32,27,70,2,1121
33,27,82,1,1121
34,27,93,1,1121
35,26,30,1,1121
36,26,64,3,1121
37,26,74,1,1121
38,26,76,3,1121
39,26,90,2,1121
40,26,78,2,1121
41,26,75,1,1121
42,26,33,1,1121
43,26,55,1,1121
44,26,85,1,1121
45,26,67,1,1121
46,26,73,1,1121
47,26,84,1,1121
48,26,89,1,1121
49,26,68,1,1121
50,26,69,1,1121
51,26,50,2,1121
52,26,77,1,1121
53,26,72,1,1121
54,43,52,2,1121
55,43,68,1,1121
56,43,76,1,1121
57,43,80,1,1121
58,43,74,1,1121
59,43,54,1,1121
60,43,64,1,1121
61,43,71,1,1121
62,43,75,1,1121
63,64,78,1,1121
64,64,66,1,1121
65,64,62,1,1121
66,64,89,1,1121
67,64,87,1,1121
68,64,75,2,1121
69,64,86,1,1121
70,64,91,1,1121
71,60,80,1,1121
72,60,61,1,1121
73,60,63,1,1121
74,60,88,2,1121
75,60,92,1,1121
76,60,73,1,1121
77,60,70,1,1121
78,60,90,1,1121
79,11,44,1,1121
80,11,74,1,1121
81,11,83,1,1121
82,11,50,1,1121
83,11,71,1,1121
84,11,64,1,1121
85,11,58,1,1121
86,11,54,1,1121
87,11,63,1,1121
88,11,76,1,1121
89,11,62,1,1121
90,11,35,1,1121
91,11,55,1,1121
92,11,45,1,1121
93,11,66,1,1121
94,11,49,1,1121
95,6,67,1,1121
96,6,69,1,1121
97,6,76,3,1121
98,6,82,1,1121
99,6,85,1,1121
100,6,41,1,1121
101,6,44,1,1121
102,6,65,1,1121
103,6,66,1,1121
104,6,19,1,1121
105,6,96,1,1121
106,57,83,1,1121
107,57,46,1,1121
108,57,75,1,1121
109,57,65,1,1121
110,57,88,1,1121
111,57,82,1,1121
112,57,77,2,1121
113,57,64,1,1121
114,12,64,1,1121
115,12,66,2,1121
116,12,95,1,1121
117,12,82,1,1121
118,12,63,1,1121
119,12,75,1,1121
120,12,53,1,1121
121,12,69,1,1121
122,12,48,1,1121
123,12,80,1,1121
124,12,77,1,1121
125,12,58,1,1121
126,32,71,1,1121
127,32,66,1,1121
128,32,70,1,1121
129,32,73,1,1121
130,32,55,1,1121
131,32,86,1,1121
132,32,72,2,1121
133,32,67,1,1121
134,32,78,2,1121
135,32,61,2,1121
136,32,77,1,1121
137,32,79,1,1121
138,32,84,1,1121
139,32,60,1,1121
140,32,82,1,1121
141,32,85,1,1121
142,32,53,1,1121
143,42,55,1,1121
144,42,61,1,1121
145,42,66,1,1121
146,42,85,2,1121
147,42,36,1,1121
148,42,29,1,1121
149,42,57,1,1121
150,42,67,1,1121
151,42,27,1,1121
152,42,60,1,1121
153,42,64,1,1121
154,87,44,2,1121
155,87,52,1,1121
156,87,48,1,1121
157,87,41,1,1121
158,45,64,1,1121
159,45,55,1,1121
160,45,67,3,1121
161,45,69,1,1121
162,45,81,2,1121
163,45,58,1,1121
164,45,60,2,1121
165,45,72,1,1121
166,45,73,2,1121
167,45,52,1,1121
168,52,58,2,1121
169,52,79,1,1121
170,52,50,1,1121
171,52,74,2,1121
172,52,69,2,1121
173,52,57,1,1121
174,52,75,1,1121
175,52,77,1,1121
176,52,90,1,1121
177,52,73,1,1121
178,35,64,2,1121
179,35,78,2,1121
180,35,69,3,1121
181,35,70,2,1121
182,35,86,1,1121
183,35,80,1,1121
184,35,34,1,1121
185,35,75,1,1121
186,35,74,1,1121
187,35,58,1,1121
188,35,59,1,1121
189,35,45,1,1121
190,59,74,1,1121
191,59,85,1,1121
192,59,72,1,1121
193,59,68,1,1121
194,59,47,1,1121
195,59,71,1,1121
196,36,59,2,1121
197,36,63,2,1121
198,36,82,1,1121
199,36,84,1,1121
200,36,69,2,1121
201,36,68,1,1121
202,36,65,1,1121
203,36,53,1,1121
204,36,24,1,1121
205,36,25,1,1121
206,36,66,1,1121
207,36,64,2,1121
208,36,89,1,1121
209,36,81,1,1121
210,36,32,1,1121
211,65,57,1,1121
212,65,66,1,1121
213,65,78,1,1121
214,65,86,1,1121
215,65,77,1,1121
216,65,74,1,1121
217,65,79,1,1121
218,46,59,1,1121
219,46,78,2,1121
220,46,62,1,1121
221,46,82,1,1121
222,46,75,1,1121
223,46,56,2,1121
224,46,67,2,1121
225,46,74,1,1121
226,46,64,1,1121
227,46,50,1,1121
228,46,57,1,1121
229,46,70,1,1121
230,46,60,1,1121
231,51,64,1,1121
232,51,67,1,1121
233,51,95,1,1121
234,51,82,2,1121
235,51,32,1,1121
236,51,30,1,1121
237,51,57,1,1121
238,51,61,1,1121
239,51,60,1,1121
240,51,55,2,1121
241,51,70,1,1121
242,51,79,1,1121
243,51,75,1,1121
244,51,73,1,1121
245,51,76,1,1121
246,51,81,1,1121
247,23,61,1,1121
248,23,78,1,1121
249,23,97,1,1121
250,23,22,1,1121
251,23,60,2,1121
252,23,63,2,1121
253,23,69,1,1121
254,23,94,1,1121
255,23,66,1,1121
256,23,75,2,1121
257,23,76,1,1121
258,23,89,2,1121
259,23,82,2,1121
260,23,77,1,1121
261,86,89,1,1121
262,86,33,1,1121
263,62,71,4,1121
264,62,66,1,1121
