nokta_no,x,y,count,sezon_dakikasi
1,50,49,8,2356
2,50,14,1,2356
3,50,50,14,2356
4,50,48,1,2356
5,50,69,1,2356
6,58,13,1,2356
7,58,68,1,2356
8,58,91,1,2356
9,58,89,1,2356
10,58,74,1,2356
11,58,83,1,2356
12,58,12,1,2356
13,58,30,1,2356
14,58,75,1,2356
15,58,6,1,2356
16,58,36,1,2356
17,58,9,1,2356
18,58,80,1,2356
19,58,35,1,2356
20,58,57,1,2356
21,58,25,1,2356
22,58,17,1,2356
23,78,95,1,2356
24,78,80,2,2356
25,78,70,1,2356
26,78,93,2,2356
27,78,17,1,2356
28,78,61,1,2356
29,78,96,1,2356
30,78,91,1,2356
31,78,88,1,2356
32,78,92,1,2356
33,78,49,1,2356
34,78,23,1,2356
35,78,10,2,2356
36,78,66,2,2356
37,78,71,2,2356
38,78,56,1,2356
39,78,73,2,2356
40,78,75,1,2356
41,78,27,1,2356
42,78,39,1,2356
43,78,60,1,2356
44,78,51,1,2356
45,78,45,1,2356
46,78,9,1,2356
47,78,31,1,2356
48,31,84,2,2356
49,31,68,1,2356
50,31,48,1,2356
51,31,32,1,2356
52,31,70,1,2356
53,31,85,1,2356
54,31,5,1,2356
55,31,17,1,2356
56,31,45,1,2356
57,31,62,2,2356
58,35,85,2,2356
59,35,33,1,2356
60,35,67,1,2356
61,35,75,1,2356
62,35,78,1,2356
63,35,23,1,2356
64,35,47,1,2356
65,35,60,1,2356
66,35,10,1,2356
67,35,54,1,2356
68,35,11,1,2356
69,21,86,1,2356
70,21,57,1,2356
71,21,13,1,2356
72,21,72,1,2356
73,21,24,1,2356
74,21,80,1,2356
75,63,27,1,2356
76,63,14,1,2356
77,63,59,1,2356
78,63,94,1,2356
79,63,92,1,2356
80,63,76,1,2356
81,63,89,2,2356
82,63,12,2,2356
83,63,29,1,2356
84,63,44,1,2356
85,63,11,2,2356
86,63,32,1,2356
87,63,15,1,2356
88,63,87,1,2356
89,63,64,1,2356
90,63,47,1,2356
91,63,79,1,2356
