nokta_no,x,y,count,sezon_dakikasi
1,39,6,3,3415
2,39,5,2,3415
3,39,37,1,3415
4,39,34,1,3415
5,39,4,2,3415
6,39,13,2,3415
7,39,14,1,3415
8,39,11,1,3415
9,39,85,1,3415
10,39,12,1,3415
11,39,22,1,3415
12,39,2,1,3415
13,39,3,2,3415
14,39,20,1,3415
15,39,53,1,3415
16,39,36,1,3415
17,39,28,1,3415
18,39,15,1,3415
19,42,5,4,3415
20,42,22,1,3415
21,42,19,1,3415
22,42,25,1,3415
23,42,18,2,3415
24,42,13,2,3415
25,42,4,1,3415
26,42,14,3,3415
27,42,65,1,3415
28,42,16,1,3415
29,42,15,2,3415
30,42,11,1,3415
31,42,37,1,3415
32,42,28,1,3415
33,42,6,2,3415
34,42,21,1,3415
35,42,12,1,3415
36,42,17,1,3415
37,42,27,1,3415
38,42,20,1,3415
39,42,32,1,3415
40,68,20,2,3415
41,68,42,1,3415
42,68,13,3,3415
43,68,7,2,3415
44,68,4,3,3415
45,68,25,2,3415
46,68,6,1,3415
47,68,24,1,3415
48,68,34,1,3415
49,68,31,1,3415
50,68,76,1,3415
51,68,15,1,3415
52,68,48,2,3415
53,68,30,1,3415
54,68,9,3,3415
55,68,71,1,3415
56,68,82,2,3415
57,68,49,1,3415
58,68,59,1,3415
59,68,18,1,3415
60,68,17,3,3415
61,68,22,1,3415
62,68,21,1,3415
63,68,91,1,3415
64,68,89,1,3415
65,68,50,1,3415
66,68,53,1,3415
67,68,14,1,3415
68,68,10,1,3415
69,68,32,1,3415
70,68,3,1,3415
71,68,44,1,3415
72,68,75,1,3415
73,68,8,1,3415
74,68,27,1,3415
75,75,2,2,3415
76,75,14,2,3415
77,75,91,1,3415
78,75,5,1,3415
79,75,21,2,3415
80,75,16,2,3415
81,75,6,2,3415
82,75,4,6,3415
83,75,22,2,3415
84,75,23,2,3415
85,75,26,3,3415
86,75,13,3,3415
87,75,85,1,3415
88,75,29,2,3415
89,75,31,2,3415
90,75,32,1,3415
91,75,7,1,3415
92,75,10,2,3415
93,75,96,1,3415
94,75,20,3,3415
95,75,24,1,3415
96,75,18,1,3415
97,75,80,1,3415
98,75,39,1,3415
99,75,38,1,3415
100,75,9,1,3415
101,75,11,1,3415
102,75,28,1,3415
103,75,51,1,3415
104,75,36,1,3415
105,75,93,1,3415
106,75,27,1,3415
107,82,23,2,3415
108,82,22,1,3415
109,82,13,1,3415
110,82,16,1,3415
111,82,27,1,3415
112,82,12,5,3415
113,82,85,1,3415
114,82,2,2,3415
115,82,38,1,3415
116,82,8,1,3415
117,82,35,1,3415
118,82,3,2,3415
119,82,11,1,3415
120,82,19,1,3415
121,82,91,2,3415
122,82,10,3,3415
123,82,4,1,3415
124,82,14,1,3415
125,82,7,1,3415
126,82,5,1,3415
127,82,83,1,3415
128,82,21,1,3415
129,82,37,1,3415
130,82,48,1,3415
131,82,0,1,3415
132,76,20,1,3415
133,76,14,5,3415
134,76,23,1,3415
135,76,67,1,3415
136,76,8,4,3415
137,76,33,2,3415
138,76,25,1,3415
139,76,17,2,3415
140,76,24,2,3415
141,76,26,3,3415
142,76,30,1,3415
143,76,85,1,3415
144,76,12,4,3415
145,76,36,1,3415
146,76,11,2,3415
147,76,5,2,3415
148,76,53,1,3415
149,76,19,1,3415
150,76,16,1,3415
151,76,86,1,3415
152,76,34,1,3415
153,76,6,1,3415
154,76,27,1,3415
155,76,10,2,3415
156,76,21,1,3415
157,76,15,1,3415
158,76,60,1,3415
159,11,22,1,3415
160,11,12,2,3415
161,11,10,1,3415
162,11,72,1,3415
163,11,55,1,3415
164,11,4,1,3415
165,11,32,1,3415
166,11,38,1,3415
