nokta_no,x,y,count,sezon_dakikasi
1,19,50,1,2118
2,19,86,1,2118
3,19,29,2,2118
4,19,68,1,2118
5,19,38,1,2118
6,19,71,1,2118
7,19,28,1,2118
8,19,33,2,2118
9,19,13,1,2118
10,19,36,1,2118
11,19,72,1,2118
12,19,31,1,2118
13,19,67,1,2118
14,19,58,1,2118
15,19,59,1,2118
16,48,78,2,2118
17,48,32,2,2118
18,48,62,1,2118
19,48,69,1,2118
20,48,94,1,2118
21,48,74,1,2118
22,48,52,1,2118
23,48,50,1,2118
24,48,48,1,2118
25,48,44,1,2118
26,48,60,1,2118
27,48,9,1,2118
28,48,51,1,2118
29,62,62,1,2118
30,62,42,2,2118
31,62,31,2,2118
32,62,70,1,2118
33,62,65,1,2118
34,62,32,1,2118
35,62,43,1,2118
36,62,29,3,2118
37,62,27,2,2118
38,62,72,1,2118
39,62,22,2,2118
40,62,5,1,2118
41,62,34,1,2118
42,62,54,1,2118
43,62,36,2,2118
44,62,41,1,2118
45,62,48,1,2118
46,62,64,1,2118
47,62,20,1,2118
48,62,66,1,2118
49,62,26,1,2118
50,62,15,1,2118
51,62,61,1,2118
52,39,29,1,2118
53,39,26,3,2118
54,39,62,1,2118
55,39,93,1,2118
56,39,7,1,2118
57,39,8,1,2118
58,39,75,1,2118
59,39,40,1,2118
60,39,39,1,2118
61,39,37,1,2118
62,39,36,2,2118
63,39,20,2,2118
64,39,52,1,2118
65,39,44,2,2118
66,39,69,1,2118
67,39,46,1,2118
68,39,42,2,2118
69,39,32,1,2118
70,39,18,1,2118
71,39,59,1,2118
72,39,30,1,2118
73,39,11,1,2118
74,39,89,1,2118
75,39,49,1,2118
76,39,19,1,2118
77,20,81,1,2118
78,20,40,2,2118
79,20,19,1,2118
80,20,32,2,2118
81,20,34,1,2118
82,20,41,1,2118
83,20,22,1,2118
84,20,26,1,2118
85,20,33,1,2118
86,20,37,1,2118
87,20,27,1,2118
88,20,21,1,2118
89,36,14,1,2118
90,36,53,1,2118
91,36,80,1,2118
92,36,9,1,2118
93,36,61,2,2118
94,36,66,1,2118
95,36,62,1,2118
96,36,32,1,2118
97,36,31,1,2118
98,36,25,1,2118
99,36,47,1,2118
100,36,43,1,2118
101,36,33,1,2118
102,36,38,1,2118
103,36,70,1,2118
104,36,19,1,2118
105,28,27,3,2118
106,28,16,1,2118
107,28,88,2,2118
108,28,95,1,2118
109,28,94,1,2118
110,28,82,1,2118
111,28,8,1,2118
112,28,51,1,2118
113,28,31,1,2118
114,28,32,1,2118
115,28,86,1,2118
116,28,44,1,2118
117,28,68,1,2118
118,28,49,4,2118
119,28,24,1,2118
120,28,52,2,2118
121,28,83,1,2118
122,28,43,1,2118
123,28,12,1,2118
124,28,26,1,2118
125,28,53,1,2118
126,34,25,1,2118
127,34,71,1,2118
128,34,97,1,2118
129,34,37,1,2118
130,34,63,1,2118
131,34,33,1,2118
132,34,57,1,2118
133,34,76,1,2118
134,34,23,1,2118
135,34,38,1,2118
136,34,15,2,2118
137,34,62,1,2118
138,34,42,1,2118
139,34,68,2,2118
140,34,26,1,2118
141,34,22,1,2118
142,34,46,2,2118
143,34,11,1,2118
144,34,32,1,2118
145,34,51,1,2118
146,34,56,1,2118
147,34,67,1,2118
148,38,44,1,2118
149,38,29,3,2118
150,38,34,1,2118
151,38,2,1,2118
152,38,58,1,2118
153,38,88,2,2118
154,38,81,1,2118
155,38,59,1,2118
156,38,64,1,2118
157,38,68,1,2118
158,38,39,1,2118
159,38,60,2,2118
160,38,23,3,2118
161,38,21,1,2118
162,38,19,1,2118
163,38,75,1,2118
164,38,14,1,2118
165,38,70,1,2118
166,38,30,2,2118
167,38,66,1,2118
168,38,3,1,2118
169,37,33,1,2118
170,37,35,2,2118
171,37,65,2,2118
172,37,70,1,2118
173,37,69,1,2118
174,37,30,1,2118
