nokta_no,x,y,count,sezon_dakikasi
1,41,19,1,1371
2,41,84,2,1371
3,41,69,1,1371
4,41,91,1,1371
5,41,73,1,1371
6,41,12,2,1371
7,43,17,1,1371
8,43,4,1,1371
9,43,56,1,1371
10,43,27,1,1371
11,43,8,1,1371
12,43,9,1,1371
13,43,84,2,1371
14,43,86,1,1371
15,43,76,1,1371
16,43,11,1,1371
17,43,18,1,1371
18,67,27,1,1371
19,67,36,1,1371
20,67,11,2,1371
21,67,92,2,1371
22,67,16,2,1371
23,67,45,1,1371
24,67,94,1,1371
25,67,91,2,1371
26,67,95,1,1371
27,67,59,1,1371
28,67,3,2,1371
29,67,64,1,1371
30,67,28,1,1371
31,67,39,1,1371
32,67,52,1,1371
33,67,15,1,1371
34,67,75,1,1371
35,67,78,1,1371
36,67,0,1,1371
37,67,8,2,1371
38,67,17,1,1371
39,67,72,1,1371
40,49,49,1,1371
41,49,50,4,1371
42,49,58,1,1371
43,49,90,1,1371
44,49,43,1,1371
45,80,49,1,1371
46,80,12,1,1371
47,80,81,1,1371
48,80,9,1,1371
49,80,97,1,1371
50,80,62,1,1371
51,80,96,1,1371
52,80,100,1,1371
53,80,0,1,1371
54,80,48,2,1371
55,80,8,2,1371
56,80,56,1,1371
57,80,73,2,1371
58,80,67,1,1371
59,80,4,1,1371
60,80,46,1,1371
61,80,10,1,1371
62,80,29,1,1371
63,80,11,1,1371
64,86,55,1,1371
65,86,52,2,1371
66,86,96,1,1371
67,86,10,1,1371
68,86,93,2,1371
69,86,97,1,1371
70,86,21,1,1371
71,86,4,1,1371
72,57,91,1,1371
73,57,59,1,1371
74,57,65,1,1371
75,57,86,1,1371
76,57,96,1,1371
77,57,10,1,1371
78,57,49,1,1371
79,57,50,1,1371
80,57,67,1,1371
81,57,12,1,1371
82,57,37,1,1371
83,57,5,2,1371
84,57,6,1,1371
85,69,94,1,1371
86,69,29,1,1371
87,69,49,2,1371
88,69,7,1,1371
89,69,4,2,1371
90,69,22,1,1371
91,69,26,1,1371
92,69,73,1,1371
93,69,43,1,1371
94,69,64,1,1371
95,69,89,1,1371
96,69,70,1,1371
97,69,6,1,1371
98,69,13,1,1371
99,69,37,1,1371
100,69,20,1,1371
101,69,8,1,1371
102,69,60,1,1371
103,69,25,1,1371
104,69,9,1,1371
105,72,36,1,1371
106,72,41,1,1371
107,72,78,1,1371
108,72,13,1,1371
109,72,5,2,1371
110,72,15,1,1371
111,72,29,1,1371
112,72,82,1,1371
113,72,4,1,1371
114,72,57,1,1371
115,72,9,1,1371
116,72,20,1,1371
117,72,23,1,1371
118,72,38,1,1371
119,72,45,1,1371
120,72,76,1,1371
121,72,69,1,1371
122,72,85,1,1371
123,72,10,1,1371
124,70,24,1,1371
125,70,27,1,1371
126,70,40,1,1371
127,70,11,1,1371
128,70,71,1,1371
129,70,64,1,1371
130,70,62,1,1371
131,70,45,1,1371
132,70,74,1,1371
133,70,29,2,1371
134,70,93,1,1371
135,70,88,1,1371
136,70,35,1,1371
137,70,60,1,1371
138,70,86,2,1371
139,70,66,1,1371
140,70,90,2,1371
141,70,10,1,1371
142,70,59,1,1371
143,70,20,1,1371
144,73,13,1,1371
145,73,30,1,1371
146,73,18,1,1371
147,73,12,1,1371
148,73,21,1,1371
149,73,16,1,1371
150,73,74,1,1371
151,73,60,1,1371
152,73,24,1,1371
153,73,94,1,1371
154,73,44,1,1371
155,73,65,1,1371
156,73,87,1,1371
157,73,6,1,1371
158,73,68,1,1371
159,73,79,2,1371
160,73,56,1,1371
161,73,93,2,1371
162,73,57,1,1371
163,73,20,1,1371
164,45,38,1,1371
165,45,86,1,1371
166,45,16,1,1371
167,45,95,1,1371
168,45,74,1,1371
169,45,75,1,1371
170,45,94,1,1371
171,45,55,1,1371
172,45,79,1,1371
173,45,92,1,1371
174,45,19,1,1371
175,45,17,1,1371
176,45,93,1,1371
177,45,30,1,1371
178,45,21,1,1371
179,45,9,1,1371
180,99,0,34,1371
181,99,99,11,1371
182,99,30,1,1371
183,99,66,1,1371
184,11,14,1,1371
185,11,95,1,1371
186,11,93,1,1371
187,11,91,1,1371
188,32,5,1,1371
189,32,48,1,1371
190,32,25,1,1371
191,32,19,1,1371
192,32,32,1,1371
193,32,53,1,1371
194,32,95,1,1371
195,32,89,1,1371
196,55,92,1,1371
197,55,41,1,1371
198,55,59,1,1371
199,55,74,1,1371
200,55,9,1,1371
201,55,6,1,1371
202,55,55,1,1371
203,55,8,1,1371
204,55,7,1,1371
205,55,90,1,1371
206,55,2,1,1371
207,63,92,1,1371
208,63,94,2,1371
209,63,29,1,1371
210,63,55,1,1371
211,63,80,1,1371
212,63,17,1,1371
213,63,23,1,1371
214,63,62,1,1371
215,63,37,1,1371
216,63,33,1,1371
217,63,65,1,1371
218,63,15,1,1371
219,63,89,1,1371
220,63,85,1,1371
221,63,93,1,1371
222,63,5,1,1371
223,63,30,1,1371
224,63,6,1,1371
225,63,28,1,1371
226,93,96,1,1371
227,93,31,1,1371
228,93,48,1,1371
229,93,15,1,1371
230,71,92,1,1371
231,71,24,2,1371
232,71,84,1,1371
233,71,79,1,1371
234,71,63,1,1371
235,71,36,1,1371
236,71,93,2,1371
237,71,8,1,1371
238,71,73,1,1371
239,71,13,1,1371
240,71,23,1,1371
241,71,26,1,1371
242,71,40,1,1371
243,71,91,1,1371
244,71,80,1,1371
245,71,5,1,1371
246,71,19,1,1371
247,71,67,1,1371
248,71,69,1,1371
249,71,3,1,1371
250,71,25,1,1371
251,71,17,1,1371
252,71,38,1,1371
253,71,6,1,1371
254,71,10,1,1371
255,78,66,1,1371
256,78,96,2,1371
257,78,9,1,1371
258,78,38,1,1371
259,78,72,2,1371
260,78,54,1,1371
261,78,94,1,1371
262,78,23,1,1371
263,78,95,1,1371
264,78,21,1,1371
265,78,45,1,1371
266,78,92,1,1371
267,78,76,1,1371
268,78,8,1,1371
269,28,10,2,1371
270,28,95,1,1371
271,28,37,1,1371
272,28,91,1,1371
273,28,22,1,1371
274,28,3,2,1371
275,28,92,2,1371
276,28,18,1,1371
277,56,21,1,1371
278,56,58,1,1371
279,56,48,1,1371
280,56,29,1,1371
281,56,81,1,1371
282,56,3,1,1371
283,56,69,1,1371
284,56,25,1,1371
285,56,87,1,1371
286,56,82,2,1371
287,56,90,1,1371
288,56,49,1,1371
289,56,27,1,1371
290,65,7,1,1371
291,65,80,1,1371
292,65,32,1,1371
293,65,27,1,1371
294,65,12,2,1371
295,65,6,1,1371
296,65,73,1,1371
297,65,76,1,1371
298,65,30,1,1371
299,65,28,1,1371
300,65,58,1,1371
301,65,72,1,1371
302,65,77,1,1371
303,65,79,1,1371
304,65,60,1,1371
305,65,31,1,1371
306,65,22,1,1371
307,65,78,1,1371
308,65,18,1,1371
309,65,53,1,1371
310,65,64,1,1371
311,65,10,1,1371
312,65,3,1,1371
313,65,2,1,1371
314,65,48,1,1371
315,65,61,1,1371
316,65,9,1,1371
317,34,50,1,1371
318,34,98,1,1371
319,34,73,1,1371
320,34,34,1,1371
321,34,39,1,1371
322,34,56,1,1371
323,34,87,2,1371
324,34,8,2,1371
325,34,15,1,1371
326,34,40,1,1371
327,34,94,1,1371
328,34,7,1,1371
329,34,78,1,1371
330,34,31,1,1371
331,64,35,1,1371
332,64,19,1,1371
333,64,77,1,1371
334,64,71,1,1371
335,64,96,1,1371
336,64,52,1,1371
337,64,21,1,1371
338,64,67,1,1371
339,64,70,1,1371
340,64,84,1,1371
341,64,55,2,1371
342,64,3,1,1371
343,64,22,1,1371
344,64,16,1,1371
345,64,13,2,1371
346,64,29,1,1371
347,64,25,1,1371
348,64,8,1,1371
349,64,5,1,1371
350,64,24,1,1371
351,64,59,1,1371
352,87,70,1,1371
353,87,72,1,1371
354,87,34,1,1371
355,87,73,1,1371
356,87,33,2,1371
357,87,32,1,1371
358,87,37,1,1371
359,74,41,1,1371
360,74,89,1,1371
361,74,60,1,1371
362,74,57,1,1371
363,74,95,1,1371
364,74,40,1,1371
365,74,13,1,1371
366,74,93,1,1371
367,74,26,1,1371
368,74,79,1,1371
369,74,78,1,1371
370,74,87,1,1371
371,74,100,1,1371
372,74,94,1,1371
373,74,10,1,1371
374,74,1,1,1371
375,74,18,1,1371
376,74,14,1,1371
377,74,29,1,1371
378,61,67,1,1371
379,61,84,1,1371
380,61,13,1,1371
381,61,25,1,1371
382,61,2,1,1371
383,61,93,1,1371
384,61,43,1,1371
385,61,64,1,1371
386,61,81,1,1371
387,61,96,1,1371
388,61,14,1,1371
389,61,71,2,1371
390,61,15,1,1371
391,61,31,1,1371
392,61,28,1,1371
393,61,34,1,1371
394,61,16,1,1371
395,62,17,1,1371
396,62,35,1,1371
397,62,27,1,1371
398,62,29,2,1371
399,62,83,1,1371
400,62,78,1,1371
401,62,22,1,1371
402,62,89,1,1371
403,62,90,1,1371
404,62,30,1,1371
405,62,70,1,1371
406,62,91,1,1371
407,62,88,1,1371
408,62,65,1,1371
409,62,14,1,1371
410,62,11,1,1371
411,62,57,1,1371
412,62,6,1,1371
413,62,20,1,1371
414,62,26,1,1371
415,62,10,1,1371
416,62,12,1,1371
417,20,4,1,1371
418,20,48,1,1371
419,37,68,1,1371
420,37,84,1,1371
421,37,5,1,1371
422,37,34,1,1371
423,37,23,1,1371
424,37,11,1,1371
425,37,8,1,1371
426,37,3,1,1371
427,92,96,1,1371
428,92,94,2,1371
429,92,5,1,1371
430,92,80,1,1371
431,92,86,1,1371
432,92,53,1,1371
433,92,7,1,1371
434,54,27,1,1371
435,54,32,1,1371
436,54,7,1,1371
437,54,29,1,1371
438,54,90,1,1371
439,54,91,1,1371
440,54,94,1,1371
441,54,64,1,1371
442,54,4,1,1371
443,54,18,1,1371
444,54,24,1,1371
445,54,9,1,1371
