nokta_no,x,y,count,sezon_dakikasi
1,44,4,2,2083
2,44,92,1,2083
3,44,95,1,2083
4,44,84,1,2083
5,44,79,1,2083
6,44,9,1,2083
7,44,3,1,2083
8,44,33,1,2083
9,13,37,1,2083
10,13,52,1,2083
11,13,7,2,2083
12,13,23,1,2083
13,13,40,1,2083
14,13,85,1,2083
15,13,90,1,2083
16,13,42,1,2083
17,37,25,1,2083
18,37,5,1,2083
19,37,22,1,2083
20,37,97,1,2083
21,37,9,1,2083
22,37,82,1,2083
23,37,65,2,2083
24,37,47,1,2083
25,37,3,1,2083
26,37,8,1,2083
27,37,4,1,2083
28,70,6,2,2083
29,70,15,1,2083
30,70,4,2,2083
31,70,53,1,2083
32,70,59,1,2083
33,70,11,3,2083
34,70,41,1,2083
35,70,0,1,2083
36,70,8,1,2083
37,70,3,1,2083
38,70,5,1,2083
39,70,70,1,2083
40,70,91,1,2083
41,70,75,1,2083
42,70,88,1,2083
43,70,18,1,2083
44,70,24,1,2083
45,70,33,1,2083
46,70,43,1,2083
47,70,23,1,2083
48,36,4,3,2083
49,36,71,1,2083
50,36,90,1,2083
51,36,5,3,2083
52,36,13,1,2083
53,36,92,1,2083
54,36,96,1,2083
55,36,6,2,2083
56,36,8,1,2083
57,36,14,1,2083
58,36,11,1,2083
59,96,4,1,2083
60,96,51,1,2083
61,96,13,1,2083
62,96,3,1,2083
63,96,24,1,2083
64,96,17,1,2083
65,96,23,1,2083
66,96,52,1,2083
67,96,27,1,2083
68,96,11,2,2083
69,96,14,1,2083
70,96,12,1,2083
71,48,8,1,2083
72,48,17,2,2083
73,48,28,1,2083
74,48,20,1,2083
75,48,4,1,2083
76,73,5,2,2083
77,73,12,1,2083
78,73,3,2,2083
79,73,90,1,2083
80,73,52,1,2083
81,73,15,2,2083
82,73,80,1,2083
83,73,65,1,2083
84,73,97,2,2083
85,73,13,1,2083
86,73,17,1,2083
87,42,4,1,2083
88,42,94,1,2083
89,42,85,1,2083
90,42,6,1,2083
91,42,24,2,2083
92,42,11,1,2083
93,42,50,1,2083
94,42,38,1,2083
95,42,69,1,2083
96,42,14,1,2083
97,42,10,1,2083
98,42,9,1,2083
99,42,3,1,2083
100,51,28,1,2083
101,51,3,2,2083
102,51,25,1,2083
103,51,93,1,2083
104,51,22,1,2083
105,51,41,1,2083
106,77,8,1,2083
107,77,31,1,2083
108,77,90,1,2083
109,77,4,1,2083
110,77,12,1,2083
111,77,5,2,2083
112,77,89,1,2083
113,77,91,1,2083
114,77,85,1,2083
115,77,81,1,2083
116,77,34,1,2083
117,77,92,1,2083
118,77,18,1,2083
119,75,8,2,2083
120,75,18,1,2083
121,75,25,1,2083
122,75,64,1,2083
123,75,21,1,2083
124,75,29,1,2083
125,75,12,1,2083
126,75,31,2,2083
127,75,3,1,2083
128,75,28,1,2083
129,75,53,1,2083
130,75,93,1,2083
131,75,68,1,2083
132,75,97,1,2083
133,75,16,2,2083
134,97,24,1,2083
135,97,28,1,2083
136,97,13,1,2083
137,97,12,1,2083
138,97,15,1,2083
139,97,74,1,2083
140,97,3,1,2083
141,95,31,1,2083
142,95,11,1,2083
143,95,3,1,2083
144,95,6,1,2083
145,95,33,2,2083
146,95,12,2,2083
147,95,55,1,2083
148,95,9,1,2083
149,99,0,32,2083
150,99,72,1,2083
151,34,9,1,2083
152,34,60,1,2083
153,34,6,2,2083
154,34,78,1,2083
155,34,98,1,2083
156,34,99,1,2083
157,34,96,1,2083
158,34,23,1,2083
159,34,21,1,2083
160,34,2,1,2083
161,34,11,1,2083
162,34,5,1,2083
163,2,55,1,2083
164,2,44,1,2083
165,2,56,1,2083
166,2,62,1,2083
167,2,15,1,2083
168,2,13,1,2083
169,2,18,1,2083
170,11,16,1,2083
171,11,41,1,2083
172,11,3,1,2083
173,11,9,2,2083
174,11,24,1,2083
175,69,4,3,2083
176,69,7,1,2083
177,69,30,1,2083
178,69,12,1,2083
179,69,16,1,2083
180,69,5,2,2083
181,69,91,1,2083
182,69,48,1,2083
183,69,25,1,2083
184,69,72,1,2083
185,82,5,1,2083
186,82,23,1,2083
187,82,72,1,2083
188,82,15,1,2083
189,82,6,1,2083
190,82,94,1,2083
191,82,4,1,2083
192,82,96,1,2083
193,82,82,1,2083
194,82,11,1,2083
195,82,17,1,2083
196,81,4,1,2083
197,81,5,4,2083
198,81,28,1,2083
199,81,10,1,2083
200,81,7,1,2083
201,81,71,1,2083
202,81,15,2,2083
203,81,18,1,2083
204,85,6,3,2083
205,85,36,1,2083
206,85,7,1,2083
207,85,5,2,2083
208,85,49,1,2083
209,85,13,1,2083
210,85,95,2,2083
211,85,29,3,2083
212,85,22,1,2083
213,85,12,2,2083
214,85,18,1,2083
215,85,62,1,2083
216,85,91,1,2083
217,85,48,1,2083
218,85,32,1,2083
219,85,24,1,2083
220,85,28,1,2083
221,85,59,1,2083
222,85,25,1,2083
223,85,16,2,2083
224,85,77,1,2083
225,9,33,1,2083
226,9,44,1,2083
227,9,34,2,2083
228,9,27,1,2083
229,9,19,1,2083
230,9,24,2,2083
231,9,36,1,2083
232,9,23,1,2083
233,9,12,1,2083
234,19,13,1,2083
235,19,93,1,2083
236,19,3,1,2083
237,19,38,1,2083
238,19,45,2,2083
239,19,96,1,2083
240,19,29,1,2083
241,68,5,2,2083
242,68,21,1,2083
243,68,3,2,2083
244,68,72,1,2083
245,68,75,1,2083
246,68,74,1,2083
247,68,15,1,2083
248,68,90,1,2083
249,68,6,1,2083
250,68,98,1,2083
251,68,92,1,2083
252,68,11,1,2083
253,68,89,1,2083
254,68,95,1,2083
