nokta_no,x,y,count,sezon_dakikasi
1,29,65,1,1239
2,29,40,1,1239
3,29,83,1,1239
4,29,57,2,1239
5,29,66,1,1239
6,29,37,1,1239
7,29,79,1,1239
8,29,70,1,1239
9,29,46,1,1239
10,29,50,1,1239
11,29,74,1,1239
12,29,54,1,1239
13,29,44,1,1239
14,29,68,1,1239
15,29,27,1,1239
16,29,11,2,1239
17,29,20,1,1239
18,37,62,2,1239
19,37,58,1,1239
20,37,54,1,1239
21,37,37,1,1239
22,37,36,1,1239
23,37,65,1,1239
24,37,55,1,1239
25,37,46,1,1239
26,37,66,1,1239
27,37,60,2,1239
28,37,69,1,1239
29,37,14,1,1239
30,37,27,1,1239
31,37,34,1,1239
32,30,69,2,1239
33,30,87,1,1239
34,30,44,2,1239
35,30,71,1,1239
36,30,85,1,1239
37,30,57,1,1239
38,30,74,1,1239
39,30,89,1,1239
40,30,45,1,1239
41,30,77,1,1239
42,30,68,1,1239
43,30,54,1,1239
44,30,79,1,1239
45,30,70,1,1239
46,30,14,1,1239
47,18,56,1,1239
48,18,73,2,1239
49,18,75,1,1239
50,18,17,1,1239
51,18,54,1,1239
52,18,82,1,1239
53,18,25,1,1239
54,15,53,1,1239
55,15,39,1,1239
56,15,57,1,1239
57,15,8,1,1239
58,15,52,1,1239
59,15,77,1,1239
60,15,68,1,1239
61,15,49,1,1239
62,15,31,1,1239
63,67,13,2,1239
64,67,16,1,1239
65,67,15,1,1239
66,67,86,1,1239
67,67,49,1,1239
68,67,74,1,1239
69,67,14,1,1239
70,67,75,1,1239
71,67,27,1,1239
72,67,92,1,1239
73,67,91,1,1239
74,67,42,2,1239
75,67,61,1,1239
76,67,37,1,1239
77,67,85,1,1239
78,67,87,1,1239
79,67,11,2,1239
80,67,36,1,1239
81,44,45,3,1239
82,44,51,2,1239
83,44,77,1,1239
84,44,48,2,1239
85,44,55,2,1239
86,44,53,1,1239
87,44,95,1,1239
88,44,67,1,1239
89,44,56,1,1239
90,44,57,1,1239
91,44,92,1,1239
92,44,63,1,1239
93,44,27,1,1239
94,44,11,1,1239
95,44,54,1,1239
96,44,42,1,1239
97,43,49,1,1239
98,43,39,1,1239
99,43,29,1,1239
100,43,69,1,1239
101,43,54,1,1239
102,43,91,1,1239
103,43,70,1,1239
104,43,78,1,1239
105,43,61,1,1239
106,43,85,1,1239
107,43,26,1,1239
108,43,80,1,1239
109,43,65,1,1239
110,43,34,1,1239
111,43,47,1,1239
112,53,38,1,1239
113,53,17,2,1239
114,53,81,1,1239
115,53,87,2,1239
116,53,72,2,1239
117,53,42,1,1239
118,53,47,2,1239
119,53,31,1,1239
120,53,90,1,1239
121,53,27,1,1239
122,53,50,1,1239
123,53,54,1,1239
124,53,32,1,1239
125,53,24,1,1239
126,53,70,1,1239
127,53,53,1,1239
128,53,40,1,1239
129,53,28,1,1239
130,53,80,1,1239
131,53,63,1,1239
132,47,82,2,1239
133,47,40,1,1239
134,47,77,1,1239
135,47,30,1,1239
136,47,58,1,1239
137,47,50,1,1239
138,47,49,1,1239
139,47,45,1,1239
140,47,71,1,1239
141,69,67,2,1239
142,69,66,2,1239
143,69,69,1,1239
144,69,43,2,1239
145,69,70,1,1239
146,69,76,1,1239
