nokta_no,x,y,count,sezon_dakikasi
1,20,76,1,1613
2,20,100,1,1613
3,20,89,1,1613
4,20,61,1,1613
5,20,44,1,1613
6,20,94,1,1613
7,29,97,1,1613
8,29,64,1,1613
9,29,94,2,1613
10,29,93,2,1613
11,29,76,1,1613
12,29,73,1,1613
13,29,87,2,1613
14,29,92,1,1613
15,29,71,2,1613
16,29,67,1,1613
17,81,59,1,1613
18,81,47,1,1613
19,81,83,1,1613
20,81,90,1,1613
21,81,93,1,1613
22,81,87,3,1613
23,81,96,1,1613
24,81,91,3,1613
25,81,95,1,1613
26,81,66,1,1613
27,81,85,1,1613
28,81,84,1,1613
29,81,79,1,1613
30,81,86,1,1613
31,81,88,1,1613
32,62,91,2,1613
33,62,92,2,1613
34,62,62,1,1613
35,62,96,1,1613
36,62,83,1,1613
37,62,87,1,1613
38,62,71,1,1613
39,62,89,2,1613
40,62,59,2,1613
41,62,68,1,1613
42,62,67,1,1613
43,62,51,1,1613
44,62,73,1,1613
45,62,81,1,1613
46,62,88,1,1613
47,62,93,2,1613
48,62,97,1,1613
49,62,79,1,1613
50,44,67,1,1613
51,44,95,1,1613
52,44,84,2,1613
53,44,74,2,1613
54,44,66,1,1613
55,44,70,1,1613
56,44,91,1,1613
57,44,86,1,1613
58,44,82,1,1613
59,44,75,1,1613
60,44,93,2,1613
61,44,80,1,1613
62,44,65,1,1613
63,52,94,2,1613
64,52,96,1,1613
65,52,30,1,1613
66,52,49,1,1613
67,52,70,1,1613
68,38,96,1,1613
69,38,97,2,1613
70,38,95,1,1613
71,38,51,1,1613
72,38,93,1,1613
73,38,94,1,1613
74,38,80,1,1613
75,38,79,1,1613
76,38,86,1,1613
77,38,50,1,1613
78,38,81,1,1613
79,38,84,1,1613
80,38,69,1,1613
81,38,66,2,1613
82,43,91,2,1613
83,43,90,1,1613
84,43,87,1,1613
85,43,70,1,1613
86,43,88,2,1613
87,43,94,1,1613
88,43,93,1,1613
89,43,86,1,1613
90,43,60,1,1613
91,83,79,1,1613
92,83,91,2,1613
93,83,85,1,1613
94,83,80,1,1613
95,83,74,1,1613
96,83,95,1,1613
97,83,89,1,1613
98,83,55,1,1613
99,94,83,2,1613
100,94,86,1,1613
101,94,66,1,1613
102,94,87,1,1613
103,94,93,1,1613
104,94,74,1,1613
105,94,84,1,1613
106,94,90,1,1613
107,94,69,1,1613
108,94,97,1,1613
109,69,97,1,1613
110,69,30,1,1613
111,69,47,1,1613
112,69,80,1,1613
113,69,95,3,1613
114,69,100,1,1613
115,69,92,1,1613
116,69,96,1,1613
117,69,76,1,1613
118,69,94,2,1613
119,69,70,1,1613
120,69,25,1,1613
121,69,90,1,1613
122,69,82,1,1613
123,69,58,1,1613
124,95,88,1,1613
125,95,71,1,1613
126,95,82,2,1613
127,95,87,1,1613
128,95,57,3,1613
129,95,72,2,1613
130,85,55,1,1613
131,85,92,3,1613
132,85,86,2,1613
133,85,84,2,1613
134,85,89,2,1613
135,85,94,2,1613
136,85,88,2,1613
137,85,85,1,1613
138,85,87,1,1613
