nokta_no,x,y,count,sezon_dakikasi
1,37,34,3,2014
2,37,67,2,2014
3,37,29,4,2014
4,37,41,1,2014
5,37,26,1,2014
6,37,35,2,2014
7,37,6,1,2014
8,37,20,2,2014
9,37,25,2,2014
10,37,84,1,2014
11,37,89,1,2014
12,37,61,1,2014
13,37,95,3,2014
14,37,32,2,2014
15,37,28,3,2014
16,37,56,1,2014
17,37,13,1,2014
18,37,19,2,2014
19,37,31,2,2014
20,37,45,2,2014
21,37,79,2,2014
22,37,0,1,2014
23,37,8,1,2014
24,37,33,1,2014
25,37,36,2,2014
26,37,57,1,2014
27,37,64,1,2014
28,37,63,1,2014
29,37,69,1,2014
30,27,32,2,2014
31,27,28,1,2014
32,27,0,1,2014
33,27,13,1,2014
34,27,8,1,2014
35,27,33,1,2014
36,27,12,2,2014
37,27,58,1,2014
38,27,66,2,2014
39,27,5,1,2014
40,27,27,1,2014
41,27,10,2,2014
42,27,34,1,2014
43,27,29,1,2014
44,27,65,1,2014
45,27,30,1,2014
46,27,74,1,2014
47,27,59,2,2014
48,27,48,1,2014
49,27,51,1,2014
50,27,23,1,2014
51,27,55,1,2014
52,27,40,2,2014
53,27,73,1,2014
54,27,20,1,2014
55,27,24,1,2014
56,27,84,1,2014
57,27,44,1,2014
58,27,70,1,2014
59,27,14,1,2014
60,27,85,1,2014
61,27,78,1,2014
62,27,53,1,2014
63,44,19,1,2014
64,44,16,4,2014
65,44,29,1,2014
66,44,26,1,2014
67,44,12,1,2014
68,44,5,1,2014
69,44,14,2,2014
70,44,80,1,2014
71,44,53,2,2014
72,44,31,2,2014
73,44,71,1,2014
74,44,63,1,2014
75,44,22,1,2014
76,44,17,1,2014
77,44,24,1,2014
78,44,70,1,2014
79,44,84,1,2014
80,44,40,1,2014
81,44,21,1,2014
82,44,20,1,2014
83,44,52,1,2014
84,44,61,1,2014
85,44,58,1,2014
86,44,28,1,2014
87,44,25,1,2014
88,44,35,1,2014
89,44,30,1,2014
90,44,74,1,2014
91,44,79,1,2014
92,44,72,1,2014
93,44,77,1,2014
94,44,68,1,2014
95,44,62,1,2014
96,33,30,1,2014
97,33,31,1,2014
98,33,39,1,2014
99,33,44,2,2014
100,33,38,1,2014
101,33,49,1,2014
102,33,13,2,2014
103,33,18,1,2014
104,33,14,1,2014
105,33,25,1,2014
106,33,24,1,2014
107,33,65,1,2014
108,33,26,2,2014
109,33,48,2,2014
110,33,3,1,2014
111,33,63,1,2014
112,33,27,1,2014
113,33,33,1,2014
114,33,77,1,2014
115,33,68,1,2014
116,33,66,1,2014
117,33,97,1,2014
118,33,61,1,2014
119,22,95,1,2014
120,22,62,2,2014
121,22,21,1,2014
122,22,18,1,2014
123,22,27,1,2014
