nokta_no,x,y,count,sezon_dakikasi
1,67,32,1,2822
2,67,37,1,2822
3,67,78,3,2822
4,67,27,1,2822
5,67,45,1,2822
6,67,42,1,2822
7,67,48,1,2822
8,67,82,1,2822
9,67,34,1,2822
10,67,95,1,2822
11,67,66,1,2822
12,67,36,1,2822
13,67,92,1,2822
14,67,86,1,2822
15,67,88,1,2822
16,67,72,1,2822
17,67,89,1,2822
18,67,71,1,2822
19,67,24,1,2822
20,67,90,1,2822
21,67,74,1,2822
22,67,81,1,2822
23,67,30,2,2822
24,67,18,1,2822
25,67,15,1,2822
26,67,75,1,2822
27,67,60,3,2822
28,67,9,1,2822
29,67,40,1,2822
30,67,77,1,2822
31,67,62,1,2822
32,67,65,1,2822
33,67,10,1,2822
34,67,41,1,2822
35,67,59,1,2822
36,26,5,1,2822
37,26,36,1,2822
38,26,59,1,2822
39,26,80,1,2822
40,26,43,2,2822
41,26,64,1,2822
42,26,28,1,2822
43,26,41,1,2822
44,26,79,1,2822
45,26,91,1,2822
46,26,15,1,2822
47,26,27,1,2822
48,26,86,1,2822
49,26,34,1,2822
50,12,41,1,2822
51,12,56,1,2822
52,12,32,1,2822
53,12,44,1,2822
54,12,23,1,2822
55,33,28,1,2822
56,33,45,1,2822
57,33,29,2,2822
58,33,71,2,2822
59,33,7,1,2822
60,33,66,1,2822
61,33,67,1,2822
62,33,35,1,2822
63,33,8,1,2822
64,33,18,1,2822
65,33,53,2,2822
66,33,38,1,2822
67,33,32,1,2822
68,33,70,1,2822
69,33,76,1,2822
70,33,10,1,2822
71,33,64,1,2822
72,33,56,1,2822
73,33,69,1,2822
74,33,62,1,2822
75,33,39,1,2822
76,33,15,1,2822
77,45,56,1,2822
78,45,65,1,2822
79,45,80,1,2822
80,45,73,1,2822
81,45,76,1,2822
82,45,82,1,2822
83,45,74,2,2822
84,45,45,2,2822
85,45,21,1,2822
86,45,41,2,2822
87,45,29,1,2822
88,45,37,1,2822
89,45,23,1,2822
90,45,95,1,2822
91,45,52,1,2822
92,45,8,1,2822
93,45,84,1,2822
94,45,7,1,2822
95,45,69,2,2822
96,45,83,1,2822
97,45,42,1,2822
98,45,72,1,2822
99,45,86,1,2822
100,37,60,1,2822
101,37,47,1,2822
102,37,87,1,2822
103,37,50,1,2822
104,37,14,1,2822
105,37,85,1,2822
106,37,74,1,2822
107,37,71,1,2822
108,37,43,2,2822
109,37,8,2,2822
110,37,7,1,2822
111,37,36,1,2822
112,37,5,1,2822
113,37,10,2,2822
114,37,32,1,2822
115,37,67,1,2822
116,37,70,1,2822
117,37,61,1,2822
118,37,44,1,2822
119,37,52,1,2822
120,37,65,1,2822
121,37,41,1,2822
122,37,80,2,2822
123,37,37,1,2822
124,37,27,1,2822
125,76,8,1,2822
126,76,70,3,2822
127,76,49,1,2822
128,76,18,1,2822
129,76,74,1,2822
130,76,83,2,2822
131,76,80,2,2822
132,76,88,1,2822
133,76,30,1,2822
134,76,91,1,2822
135,76,59,1,2822
136,76,6,2,2822
137,76,63,1,2822
138,76,58,1,2822
139,76,75,1,2822
140,76,84,1,2822
141,76,48,1,2822
142,76,73,1,2822
143,76,52,1,2822
144,76,90,1,2822
145,76,7,1,2822
146,76,82,1,2822
147,76,9,1,2822
148,76,56,1,2822
149,76,27,1,2822
150,76,54,1,2822
151,76,11,1,2822
152,76,3,1,2822
153,64,25,1,2822
154,64,13,1,2822
155,64,7,2,2822
156,64,45,2,2822
157,64,33,1,2822
158,64,97,1,2822
159,64,54,1,2822
160,64,77,1,2822
161,64,52,1,2822
162,64,46,1,2822
163,64,66,1,2822
164,64,82,1,2822
165,64,65,1,2822
166,64,30,1,2822
167,64,87,1,2822
168,64,9,3,2822
169,64,15,1,2822
170,64,71,1,2822
171,64,90,2,2822
172,64,8,2,2822
173,64,74,1,2822
174,64,84,1,2822
175,64,24,1,2822
176,64,17,1,2822
177,64,60,1,2822
178,64,76,2,2822
179,64,67,1,2822
180,64,3,1,2822
181,64,94,1,2822
182,64,44,2,2822
183,64,41,1,2822
184,64,72,2,2822
185,58,79,1,2822
186,58,86,1,2822
187,58,98,1,2822
188,58,81,2,2822
189,58,51,1,2822
190,58,37,3,2822
191,58,60,1,2822
192,58,67,2,2822
193,58,35,1,2822
194,58,28,1,2822
195,58,85,1,2822
196,58,93,2,2822
197,58,21,1,2822
198,58,80,1,2822
199,58,41,1,2822
200,58,84,2,2822
201,58,76,1,2822
202,58,68,1,2822
203,58,87,1,2822
204,58,13,1,2822
205,58,92,2,2822
206,58,29,1,2822
207,58,9,1,2822
208,58,34,1,2822
209,58,18,1,2822
210,58,70,1,2822
211,58,56,1,2822
212,58,26,1,2822
213,58,32,1,2822
214,58,71,1,2822
215,58,95,1,2822
216,58,62,1,2822
217,66,56,1,2822
218,66,13,2,2822
219,66,40,1,2822
220,66,42,1,2822
221,66,94,1,2822
222,66,66,2,2822
223,66,74,1,2822
224,66,64,1,2822
225,66,46,2,2822
226,66,39,1,2822
227,66,73,1,2822
228,66,10,2,2822
229,66,71,2,2822
230,66,76,2,2822
231,66,60,1,2822
232,66,8,3,2822
233,66,7,2,2822
234,66,37,2,2822
235,66,82,1,2822
236,66,32,2,2822
237,66,69,1,2822
238,66,91,1,2822
239,66,77,1,2822
240,66,93,1,2822
241,66,5,1,2822
242,66,54,1,2822
243,66,31,1,2822
244,66,34,1,2822
245,66,89,1,2822
246,65,56,1,2822
247,65,40,1,2822
248,65,12,2,2822
249,65,83,1,2822
250,65,32,2,2822
