nokta_no,x,y,count,sezon_dakikasi
1,7,3,1,2590
2,7,38,1,2590
3,7,86,1,2590
4,7,49,1,2590
5,7,29,1,2590
6,7,70,2,2590
7,7,62,1,2590
8,7,76,1,2590
9,7,69,1,2590
10,7,43,1,2590
11,7,81,1,2590
12,7,83,1,2590
13,7,63,2,2590
14,7,58,1,2590
15,7,44,1,2590
16,7,34,1,2590
17,7,22,1,2590
18,7,37,1,2590
19,7,5,1,2590
20,7,96,1,2590
21,7,68,1,2590
22,7,59,1,2590
23,7,100,1,2590
24,8,43,1,2590
25,8,34,1,2590
26,8,88,2,2590
27,8,68,3,2590
28,8,36,1,2590
29,8,45,1,2590
30,8,70,1,2590
31,8,82,1,2590
32,8,8,1,2590
33,8,55,1,2590
34,8,100,1,2590
35,8,14,1,2590
36,8,90,1,2590
37,8,57,1,2590
38,8,46,1,2590
39,8,32,1,2590
40,8,50,1,2590
41,8,64,2,2590
42,8,84,1,2590
43,8,76,1,2590
44,8,61,1,2590
45,8,60,1,2590
46,8,59,1,2590
47,8,40,1,2590
48,8,23,1,2590
49,8,25,1,2590
50,8,42,1,2590
51,8,4,1,2590
52,8,86,1,2590
53,8,93,1,2590
54,8,67,1,2590
55,8,66,1,2590
56,8,53,1,2590
57,33,0,2,2590
58,33,100,5,2590
59,33,54,1,2590
60,33,89,2,2590
61,33,90,1,2590
62,33,23,1,2590
63,33,94,4,2590
64,33,87,2,2590
65,33,10,2,2590
66,33,88,1,2590
67,33,82,1,2590
68,33,27,1,2590
69,33,91,2,2590
70,33,16,1,2590
71,33,84,2,2590
72,33,93,2,2590
73,33,75,2,2590
74,33,92,1,2590
75,33,95,1,2590
76,33,60,1,2590
77,29,4,2,2590
78,29,87,2,2590
79,29,91,2,2590
80,29,73,1,2590
81,29,3,2,2590
82,29,21,2,2590
83,29,88,2,2590
84,29,93,1,2590
85,29,100,2,2590
86,29,9,1,2590
87,29,92,3,2590
88,29,97,1,2590
89,29,96,1,2590
90,29,17,1,2590
91,29,0,1,2590
92,29,94,1,2590
93,38,5,1,2590
94,38,84,2,2590
95,38,69,1,2590
96,38,88,2,2590
97,38,100,4,2590
98,38,89,2,2590
99,38,97,2,2590
100,38,93,2,2590
101,38,86,3,2590
102,38,15,1,2590
103,38,72,2,2590
104,38,92,2,2590
105,38,85,1,2590
106,38,95,2,2590
107,38,91,1,2590
108,38,94,1,2590
109,38,76,1,2590
110,67,5,1,2590
111,67,6,1,2590
112,67,91,2,2590
113,67,94,7,2590
114,67,100,2,2590
115,67,97,1,2590
116,67,79,1,2590
117,67,66,1,2590
118,67,96,2,2590
119,67,85,1,2590
120,67,93,2,2590
121,67,13,1,2590
122,67,76,1,2590
123,67,19,1,2590
124,67,84,1,2590
125,67,73,1,2590
126,67,89,2,2590
127,67,87,1,2590
128,67,82,1,2590
129,60,10,2,2590
130,60,90,2,2590
131,60,73,2,2590
132,60,85,1,2590
133,60,93,4,2590
134,60,81,1,2590
135,60,92,1,2590
136,60,100,1,2590
137,60,95,3,2590
138,60,67,1,2590
139,60,5,1,2590
140,60,89,2,2590
141,60,87,2,2590
142,60,76,1,2590
143,60,91,2,2590
144,60,94,1,2590
145,60,82,1,2590
146,60,97,1,2590
147,39,1,1,2590
148,39,3,1,2590
149,39,87,3,2590
150,39,90,2,2590
151,39,96,2,2590
152,39,9,1,2590
153,39,11,1,2590
154,39,7,1,2590
155,39,10,1,2590
156,39,19,1,2590
157,39,93,2,2590
158,39,91,1,2590
159,39,95,2,2590
160,39,79,1,2590
161,39,0,1,2590
162,39,92,1,2590
163,39,100,1,2590
164,39,85,1,2590
165,47,1,1,2590
166,47,4,3,2590
167,47,100,1,2590
168,47,95,4,2590
169,47,93,1,2590
170,47,90,1,2590
171,47,10,1,2590
172,47,77,1,2590
173,47,86,1,2590
174,47,96,1,2590
175,34,3,1,2590
176,34,37,1,2590
177,34,24,1,2590
178,34,85,1,2590
179,34,87,1,2590
180,34,95,2,2590
181,34,13,2,2590
182,34,10,1,2590
183,34,9,2,2590
184,34,23,1,2590
185,34,86,1,2590
186,34,0,1,2590
187,34,91,2,2590
188,34,100,1,2590
189,34,90,3,2590
190,34,89,1,2590
191,34,93,1,2590
192,59,5,1,2590
193,59,92,2,2590
194,59,91,6,2590
195,59,69,1,2590
196,59,94,2,2590
197,59,89,1,2590
198,59,95,1,2590
199,59,93,2,2590
200,59,25,1,2590
201,59,6,2,2590
202,59,84,2,2590
203,59,88,1,2590
204,59,14,1,2590
205,59,100,1,2590
206,59,86,1,2590
207,59,96,1,2590
208,44,24,1,2590
209,44,3,1,2590
210,44,16,1,2590
211,44,0,1,2590
212,44,85,2,2590
213,44,75,1,2590
214,44,46,1,2590
215,44,68,1,2590
216,44,94,3,2590
217,44,89,1,2590
218,44,92,5,2590
219,44,93,2,2590
220,44,67,1,2590
221,44,95,1,2590
222,44,15,1,2590
223,44,97,1,2590
224,44,81,1,2590
225,44,83,1,2590
226,44,10,1,2590
227,56,8,2,2590
228,56,93,2,2590
229,56,95,1,2590
230,56,84,1,2590
231,56,100,2,2590
232,56,96,1,2590
233,56,5,1,2590
234,56,77,1,2590
235,56,68,1,2590
236,56,0,1,2590
237,56,92,1,2590
238,56,75,1,2590
239,56,85,1,2590
240,56,73,1,2590
241,56,94,1,2590
242,52,17,1,2590
243,52,95,1,2590
244,52,90,1,2590
245,52,46,1,2590
246,52,3,1,2590
247,52,13,1,2590
248,52,93,2,2590
249,52,80,1,2590
250,52,86,1,2590
251,52,100,1,2590
252,52,88,1,2590
253,52,83,1,2590
254,52,82,1,2590
255,52,91,2,2590
256,52,97,1,2590
257,46,7,1,2590
258,46,85,2,2590
259,46,92,3,2590
260,46,9,1,2590
261,46,20,1,2590
262,46,10,1,2590
263,46,96,1,2590
264,46,72,1,2590
265,46,93,1,2590
266,46,79,2,2590
267,46,91,1,2590
268,46,78,1,2590
269,46,94,1,2590
