nokta_no,x,y,count,sezon_dakikasi
1,37,35,2,1251
2,37,39,1,1251
3,37,60,1,1251
4,37,38,1,1251
5,37,29,1,1251
6,37,45,1,1251
7,37,50,1,1251
8,37,91,2,1251
9,37,69,2,1251
10,37,18,1,1251
11,37,47,1,1251
12,46,66,2,1251
13,46,64,1,1251
14,46,88,1,1251
15,46,28,1,1251
16,46,26,3,1251
17,46,34,2,1251
18,46,30,1,1251
19,46,33,2,1251
20,46,65,1,1251
21,46,27,1,1251
22,46,69,1,1251
23,46,19,1,1251
24,46,25,1,1251
25,46,41,1,1251
26,13,70,1,1251
27,13,39,1,1251
28,13,44,3,1251
29,13,34,1,1251
30,13,17,1,1251
31,13,16,2,1251
32,13,7,1,1251
33,13,42,1,1251
34,13,60,1,1251
35,13,15,1,1251
36,13,33,1,1251
37,13,46,1,1251
38,13,24,1,1251
39,9,62,1,1251
40,9,47,2,1251
41,9,13,2,1251
42,9,32,2,1251
43,9,28,1,1251
44,9,58,1,1251
45,9,60,1,1251
46,9,30,1,1251
47,9,66,1,1251
48,9,36,1,1251
49,9,46,1,1251
50,9,83,1,1251
51,9,85,1,1251
52,9,50,1,1251
53,9,61,1,1251
54,9,53,1,1251
55,9,35,1,1251
56,23,79,1,1251
57,23,29,1,1251
58,23,26,2,1251
59,23,92,1,1251
60,23,85,1,1251
61,23,73,1,1251
62,23,17,1,1251
63,23,24,1,1251
64,23,28,4,1251
65,23,68,1,1251
66,23,34,1,1251
67,23,70,1,1251
68,23,59,1,1251
69,23,47,1,1251
70,23,74,1,1251
71,23,20,1,1251
72,4,84,1,1251
73,4,58,2,1251
74,4,60,2,1251
75,4,61,1,1251
76,4,13,1,1251
77,4,35,1,1251
78,4,43,1,1251
79,4,9,1,1251
80,4,50,1,1251
81,4,42,1,1251
82,4,49,1,1251
83,4,56,1,1251
84,4,37,1,1251
85,4,51,1,1251
86,4,3,1,1251
87,4,18,1,1251
88,25,77,1,1251
89,25,62,1,1251
90,25,52,1,1251
91,25,9,1,1251
92,25,34,2,1251
93,25,27,1,1251
94,25,67,1,1251
95,25,31,2,1251
96,25,24,1,1251
97,25,32,1,1251
98,25,17,1,1251
99,25,50,1,1251
100,25,13,1,1251
101,25,20,1,1251
102,25,66,2,1251
103,25,55,1,1251
104,14,69,1,1251
105,14,34,1,1251
106,14,25,1,1251
107,14,15,1,1251
108,14,50,2,1251
109,14,37,1,1251
110,14,13,1,1251
111,14,46,2,1251
112,14,36,1,1251
113,14,53,1,1251
114,14,44,1,1251
115,14,78,1,1251
116,14,43,1,1251
117,14,19,1,1251
118,14,49,1,1251
119,27,73,2,1251
120,27,23,1,1251
121,27,19,1,1251
122,27,28,1,1251
123,27,12,1,1251
124,27,27,1,1251
125,27,31,1,1251
126,27,56,3,1251
127,27,44,1,1251
128,27,26,2,1251
129,27,45,1,1251
130,27,88,1,1251
131,27,72,2,1251
132,27,41,1,1251
133,27,33,1,1251
134,27,49,1,1251
135,27,50,1,1251
136,27,18,1,1251
137,47,69,1,1251
138,47,45,2,1251
139,47,15,1,1251
140,47,38,1,1251
141,47,40,2,1251
142,47,32,1,1251
143,47,42,1,1251
144,47,29,1,1251
145,47,11,1,1251
146,47,31,2,1251
147,47,43,1,1251
148,47,72,1,1251
149,47,24,1,1251
150,59,63,1,1251
151,59,59,1,1251
152,59,28,1,1251
153,54,74,1,1251
154,54,33,1,1251
155,54,48,2,1251
156,54,50,1,1251
157,54,39,1,1251
