nokta_no,x,y,count,sezon_dakikasi
1,24,48,1,1405
2,24,29,2,1405
3,24,81,1,1405
4,24,11,1,1405
5,24,71,1,1405
6,24,47,2,1405
7,24,59,1,1405
8,24,96,1,1405
9,24,32,1,1405
10,24,17,1,1405
11,24,16,1,1405
12,24,57,1,1405
13,24,70,1,1405
14,24,55,2,1405
15,24,72,1,1405
16,24,94,1,1405
17,64,63,1,1405
18,64,73,1,1405
19,64,2,1,1405
20,64,91,3,1405
21,64,4,1,1405
22,64,79,1,1405
23,64,88,1,1405
24,64,77,1,1405
25,64,81,1,1405
26,64,82,1,1405
27,64,33,1,1405
28,64,22,1,1405
29,64,41,1,1405
30,64,72,1,1405
31,64,84,1,1405
32,64,12,1,1405
33,64,8,1,1405
34,64,48,1,1405
35,64,18,2,1405
36,64,24,1,1405
37,64,51,1,1405
38,22,35,1,1405
39,22,43,2,1405
40,22,33,1,1405
41,22,6,1,1405
42,22,8,1,1405
43,22,80,1,1405
44,22,94,1,1405
45,22,83,1,1405
46,22,71,1,1405
47,22,40,1,1405
48,22,75,1,1405
49,22,53,1,1405
50,22,38,1,1405
51,22,26,1,1405
52,22,72,1,1405
53,75,62,1,1405
54,75,77,1,1405
55,75,95,1,1405
56,75,37,1,1405
57,75,66,1,1405
58,75,97,1,1405
59,75,67,1,1405
60,75,52,1,1405
61,75,24,1,1405
62,77,69,1,1405
63,77,38,2,1405
64,77,66,1,1405
65,77,11,1,1405
66,77,12,1,1405
67,77,71,1,1405
68,26,75,1,1405
69,26,37,1,1405
70,26,20,1,1405
71,26,35,1,1405
72,26,15,1,1405
73,26,95,1,1405
74,26,77,1,1405
75,26,71,1,1405
76,26,83,3,1405
77,26,33,1,1405
78,26,66,1,1405
79,26,60,1,1405
80,26,45,1,1405
81,26,49,1,1405
82,26,25,2,1405
83,26,10,1,1405
84,26,58,1,1405
85,14,50,2,1405
86,14,38,1,1405
87,14,40,1,1405
88,14,35,1,1405
89,14,86,1,1405
90,14,42,2,1405
91,14,6,1,1405
92,14,93,1,1405
93,60,19,1,1405
94,60,81,2,1405
95,60,28,2,1405
96,60,74,1,1405
97,60,71,1,1405
98,60,72,1,1405
99,60,10,1,1405
100,60,96,1,1405
101,60,15,1,1405
102,60,27,1,1405
103,60,70,1,1405
104,60,94,1,1405
105,60,85,1,1405
106,60,39,1,1405
107,60,13,1,1405
108,60,20,1,1405
109,60,16,1,1405
110,60,93,1,1405
111,60,62,1,1405
112,60,35,1,1405
113,60,68,1,1405
114,60,26,1,1405
115,60,29,2,1405
116,60,30,1,1405
117,67,70,1,1405
118,67,56,1,1405
119,67,14,1,1405
120,67,12,1,1405
121,67,61,1,1405
122,67,46,1,1405
123,67,78,1,1405
124,67,73,2,1405
125,67,38,1,1405
126,67,88,1,1405
127,67,52,1,1405
128,67,81,1,1405
129,67,94,1,1405
130,67,62,1,1405
131,67,85,1,1405
132,67,80,1,1405
133,67,23,1,1405
134,67,13,1,1405
135,30,61,1,1405
136,30,92,2,1405
137,30,16,1,1405
138,30,81,1,1405
139,30,36,1,1405
140,30,7,1,1405
141,30,9,1,1405
142,30,6,1,1405
143,30,63,2,1405
144,30,90,2,1405
145,30,24,1,1405
146,30,91,1,1405
147,30,97,1,1405
148,30,87,1,1405
149,30,58,1,1405
150,30,54,1,1405
151,30,75,2,1405
152,30,28,1,1405
153,30,49,1,1405
154,30,85,2,1405
155,30,52,1,1405
156,30,25,2,1405
