nokta_no,x,y,count,sezon_dakikasi
1,32,97,4,2076
2,32,88,2,2076
3,32,4,2,2076
4,32,27,1,2076
5,32,5,1,2076
6,32,83,2,2076
7,32,96,3,2076
8,32,70,1,2076
9,32,53,1,2076
10,32,95,2,2076
11,32,87,1,2076
12,32,94,1,2076
13,32,9,1,2076
14,32,7,1,2076
15,32,91,1,2076
16,32,100,1,2076
17,41,96,2,2076
18,41,76,1,2076
19,41,48,1,2076
20,41,94,3,2076
21,41,10,1,2076
22,41,90,1,2076
23,41,82,1,2076
24,41,81,1,2076
25,41,97,1,2076
26,41,2,1,2076
27,41,79,1,2076
28,41,93,1,2076
29,41,92,1,2076
30,41,100,1,2076
31,41,95,1,2076
32,41,70,1,2076
33,41,91,1,2076
34,41,71,1,2076
35,41,3,1,2076
36,42,100,2,2076
37,42,80,1,2076
38,42,96,3,2076
39,42,72,1,2076
40,42,98,1,2076
41,42,92,1,2076
42,42,89,1,2076
43,42,85,1,2076
44,42,2,1,2076
45,42,93,1,2076
46,42,11,1,2076
47,42,88,1,2076
48,42,95,2,2076
49,33,90,1,2076
50,33,100,2,2076
51,33,73,1,2076
52,33,4,1,2076
53,33,72,1,2076
54,33,89,1,2076
55,33,95,4,2076
56,33,76,2,2076
57,33,91,2,2076
58,33,96,1,2076
59,33,83,1,2076
60,33,0,1,2076
61,33,14,1,2076
62,33,78,1,2076
63,25,100,1,2076
64,25,87,1,2076
65,25,90,1,2076
66,25,84,1,2076
67,25,95,1,2076
68,25,72,1,2076
69,25,93,1,2076
70,25,73,1,2076
71,25,16,1,2076
72,25,5,1,2076
73,25,83,1,2076
74,25,97,1,2076
75,25,96,1,2076
76,25,86,2,2076
77,15,88,2,2076
78,15,92,2,2076
79,15,58,1,2076
80,15,69,1,2076
81,15,72,1,2076
82,15,80,1,2076
83,15,14,1,2076
84,15,93,1,2076
85,12,67,2,2076
86,12,58,1,2076
87,12,52,1,2076
88,12,0,1,2076
89,12,17,1,2076
90,12,56,1,2076
91,12,62,1,2076
92,24,97,2,2076
93,24,91,2,2076
94,24,83,1,2076
95,24,85,2,2076
96,24,74,1,2076
97,24,62,1,2076
98,24,65,1,2076
99,24,12,1,2076
100,24,43,1,2076
101,24,54,1,2076
102,24,96,1,2076
103,24,14,1,2076
104,24,94,1,2076
105,24,87,1,2076
106,24,100,1,2076
107,46,100,2,2076
108,46,96,2,2076
109,46,91,4,2076
110,46,3,1,2076
111,46,95,1,2076
112,46,68,1,2076
113,46,76,3,2076
114,46,97,1,2076
