nokta_no,x,y,count,sezon_dakikasi
1,38,77,1,2710
2,38,67,1,2710
3,38,70,1,2710
4,38,23,1,2710
5,38,29,1,2710
6,38,42,1,2710
7,38,39,1,2710
8,38,14,1,2710
9,38,64,1,2710
10,38,33,1,2710
11,80,83,1,2710
12,80,69,2,2710
13,80,92,1,2710
14,80,45,1,2710
15,80,55,1,2710
16,80,59,1,2710
17,80,48,2,2710
18,80,73,1,2710
19,80,74,1,2710
20,80,38,1,2710
21,80,47,1,2710
22,80,25,1,2710
23,80,34,1,2710
24,80,31,1,2710
25,80,66,1,2710
26,80,42,1,2710
27,80,68,1,2710
28,76,67,3,2710
29,76,42,1,2710
30,76,60,1,2710
31,76,40,1,2710
32,76,54,1,2710
33,76,68,1,2710
34,76,62,1,2710
35,76,58,2,2710
36,76,74,1,2710
37,76,88,1,2710
38,76,95,1,2710
39,76,45,1,2710
40,76,44,1,2710
41,76,49,1,2710
42,76,48,1,2710
43,76,72,1,2710
44,97,76,1,2710
45,97,70,2,2710
46,97,38,1,2710
47,97,2,1,2710
48,97,22,1,2710
49,97,5,1,2710
50,97,96,1,2710
51,97,3,1,2710
52,97,68,1,2710
53,97,67,1,2710
54,94,58,1,2710
55,94,26,1,2710
56,94,31,1,2710
57,94,65,1,2710
58,94,34,1,2710
59,94,8,1,2710
60,94,7,1,2710
61,94,14,1,2710
62,94,85,1,2710
63,94,45,1,2710
64,94,46,1,2710
65,94,24,1,2710
66,94,73,1,2710
67,94,75,1,2710
68,94,74,1,2710
69,94,84,1,2710
70,89,44,2,2710
71,89,53,1,2710
72,89,66,1,2710
73,89,45,2,2710
74,89,88,1,2710
75,89,70,1,2710
76,89,55,1,2710
77,89,77,1,2710
78,89,33,1,2710
79,89,62,1,2710
80,89,48,1,2710
81,89,23,1,2710
82,89,9,1,2710
83,89,14,1,2710
84,89,20,1,2710
85,89,58,1,2710
86,89,57,1,2710
87,53,13,1,2710
88,53,64,2,2710
89,53,16,1,2710
90,53,52,2,2710
91,53,82,1,2710
92,53,57,1,2710
93,53,70,1,2710
94,53,53,1,2710
95,53,63,1,2710
96,53,43,1,2710
97,53,47,1,2710
98,53,56,1,2710
99,53,41,1,2710
100,53,93,1,2710
101,53,73,1,2710
102,71,52,1,2710
103,71,63,1,2710
104,71,49,1,2710
105,71,53,1,2710
106,71,9,1,2710
107,71,5,1,2710
108,71,83,1,2710
109,71,24,1,2710
110,71,66,1,2710
111,71,86,1,2710
112,71,88,2,2710
113,71,33,1,2710
114,71,58,1,2710
115,71,74,1,2710
116,71,73,1,2710
117,71,100,1,2710
118,71,18,1,2710
119,71,39,1,2710
120,71,77,1,2710
121,71,45,1,2710
122,71,50,1,2710
123,71,38,1,2710
124,81,51,1,2710
125,81,26,1,2710
126,81,92,1,2710
127,81,7,1,2710
128,81,66,1,2710
129,81,65,1,2710
130,81,37,1,2710
131,81,10,1,2710
132,81,8,1,2710
133,81,49,1,2710
134,81,52,1,2710
135,81,3,1,2710
136,81,79,1,2710
137,81,30,1,2710
138,81,43,1,2710
139,81,25,1,2710
140,81,53,1,2710
141,81,70,1,2710
142,81,67,1,2710
143,33,40,1,2710
144,33,76,1,2710
145,33,68,1,2710
146,33,73,1,2710
147,33,48,1,2710
148,33,74,1,2710
149,33,60,1,2710
150,33,21,1,2710
151,55,33,2,2710
152,55,52,1,2710
153,55,16,1,2710
154,55,73,1,2710
155,55,93,1,2710
156,55,74,1,2710
157,55,54,1,2710
158,55,45,1,2710
159,55,67,1,2710
160,55,49,1,2710
161,55,48,2,2710
162,55,50,1,2710
163,55,58,1,2710
164,55,90,2,2710
165,55,31,1,2710
166,55,4,1,2710
167,55,21,1,2710
168,55,69,1,2710
169,55,22,1,2710
170,90,46,1,2710
171,90,3,1,2710
172,90,86,1,2710
173,90,43,1,2710
174,90,34,1,2710
175,90,44,1,2710
176,90,9,1,2710
177,90,59,1,2710
178,90,49,1,2710
179,90,47,1,2710
180,90,72,1,2710
181,90,31,1,2710
182,90,37,1,2710
183,90,63,1,2710
184,90,54,1,2710
185,90,84,1,2710
186,90,57,1,2710
187,90,79,1,2710
188,90,40,1,2710
189,90,7,1,2710
190,90,11,1,2710
191,90,28,1,2710
192,90,50,1,2710
193,90,97,1,2710
194,90,39,1,2710
195,93,50,2,2710
196,93,51,2,2710
197,93,83,1,2710
198,93,48,1,2710
199,93,45,2,2710
200,93,47,1,2710
201,93,44,1,2710
202,93,69,1,2710
203,93,55,1,2710
204,93,56,1,2710
205,93,68,1,2710
206,93,74,1,2710
207,84,72,1,2710
208,84,67,1,2710
209,84,41,1,2710
210,84,73,1,2710
211,84,52,2,2710
212,84,35,1,2710
213,84,12,1,2710
214,84,55,1,2710
215,84,56,1,2710
216,84,84,1,2710
217,92,57,1,2710
218,92,50,1,2710
219,92,17,1,2710
220,92,48,1,2710
221,92,52,2,2710
222,92,22,1,2710
223,92,71,1,2710
224,92,59,1,2710
225,92,60,1,2710
226,92,40,1,2710
227,92,74,1,2710
228,92,46,1,2710
229,92,51,1,2710
230,41,58,1,2710
231,41,4,1,2710
232,41,71,1,2710
233,41,79,1,2710
234,41,33,1,2710
235,41,16,1,2710
236,41,32,1,2710
237,41,66,1,2710
238,41,62,1,2710
239,41,15,1,2710
240,41,31,1,2710
241,86,50,1,2710
242,86,8,1,2710
243,86,45,1,2710
244,86,71,1,2710
245,86,41,1,2710
246,86,61,1,2710
247,86,47,1,2710
248,86,58,2,2710
249,86,63,1,2710
250,86,85,1,2710
251,86,27,2,2710
252,86,3,1,2710
253,86,59,1,2710
254,86,56,1,2710
255,86,96,1,2710
256,88,44,1,2710
257,88,31,1,2710
258,88,48,1,2710
259,88,96,1,2710
260,88,66,1,2710
261,88,50,2,2710
262,88,67,1,2710
263,88,46,1,2710
264,88,51,2,2710
265,88,83,1,2710
266,88,0,1,2710
267,88,52,1,2710
268,56,26,1,2710
269,56,97,1,2710
270,56,2,1,2710
271,56,76,1,2710
272,56,27,1,2710
273,56,69,1,2710
274,56,8,1,2710
275,56,67,1,2710
276,56,39,1,2710
277,56,73,1,2710
278,56,35,1,2710
279,56,96,1,2710
280,56,80,1,2710
281,56,62,1,2710
282,56,56,1,2710
283,56,90,2,2710
284,56,50,1,2710
285,56,88,1,2710
286,56,49,1,2710
287,56,6,1,2710
288,56,47,1,2710
289,56,4,1,2710
290,67,49,2,2710
291,67,34,1,2710
292,67,22,2,2710
293,67,93,1,2710
294,67,43,2,2710
295,67,88,1,2710
296,67,73,2,2710
297,67,55,1,2710
298,67,44,1,2710
299,67,69,1,2710
300,67,32,1,2710
301,67,48,1,2710
302,67,59,1,2710
303,67,28,1,2710
304,57,48,1,2710
305,57,10,1,2710
306,57,52,2,2710
