nokta_no,x,y,count,sezon_dakikasi
1,73,5,1,2222
2,73,6,2,2222
3,73,92,1,2222
4,73,100,4,2222
5,73,89,1,2222
6,73,83,1,2222
7,73,63,2,2222
8,73,33,1,2222
9,73,72,1,2222
10,73,94,1,2222
11,73,91,1,2222
12,73,88,1,2222
13,73,95,2,2222
14,73,40,1,2222
15,73,50,1,2222
16,73,14,1,2222
17,73,86,1,2222
18,73,81,1,2222
19,73,49,1,2222
20,73,85,1,2222
21,73,60,1,2222
22,73,74,1,2222
23,73,77,1,2222
24,73,96,1,2222
25,78,8,1,2222
26,78,19,1,2222
27,78,100,5,2222
28,78,89,1,2222
29,78,67,1,2222
30,78,15,2,2222
31,78,20,1,2222
32,78,93,1,2222
33,78,90,1,2222
34,78,4,1,2222
35,78,37,1,2222
36,78,31,1,2222
37,78,58,2,2222
38,78,70,1,2222
39,78,73,1,2222
40,78,66,2,2222
41,78,85,1,2222
42,78,81,1,2222
43,78,76,1,2222
44,78,78,1,2222
45,33,20,3,2222
46,33,66,1,2222
47,33,62,2,2222
48,33,92,3,2222
49,33,96,1,2222
50,33,76,2,2222
51,33,59,1,2222
52,33,86,1,2222
53,33,64,1,2222
54,33,49,1,2222
55,33,15,1,2222
56,33,0,1,2222
57,33,38,1,2222
58,33,24,1,2222
59,33,100,1,2222
60,33,74,1,2222
61,33,84,2,2222
62,33,93,5,2222
63,33,82,1,2222
64,33,85,1,2222
65,33,69,1,2222
66,33,95,1,2222
67,33,67,1,2222
68,33,65,1,2222
69,34,28,1,2222
70,34,8,2,2222
71,34,83,2,2222
72,34,93,2,2222
73,34,5,1,2222
74,34,71,1,2222
75,34,77,1,2222
76,34,95,2,2222
77,34,78,1,2222
78,34,57,1,2222
79,34,0,2,2222
80,34,14,1,2222
81,34,22,1,2222
82,34,70,2,2222
83,34,92,2,2222
84,34,88,1,2222
85,34,79,2,2222
86,34,94,2,2222
87,34,85,2,2222
88,34,91,2,2222
89,34,60,1,2222
90,34,47,1,2222
91,34,96,1,2222
92,34,82,1,2222
93,34,67,1,2222
94,36,27,1,2222
95,36,90,1,2222
96,36,58,2,2222
97,36,100,2,2222
98,36,55,1,2222
99,36,36,1,2222
100,36,7,1,2222
101,36,8,1,2222
102,36,43,2,2222
103,36,52,1,2222
104,36,16,1,2222
105,36,65,1,2222
106,36,24,1,2222
107,36,71,1,2222
108,36,77,1,2222
109,36,41,1,2222
110,36,17,1,2222
111,36,74,1,2222
112,36,88,1,2222
