nokta_no,x,y,count,sezon_dakikasi
1,14,17,1,2197
2,14,69,1,2197
3,14,41,2,2197
4,14,48,1,2197
5,14,28,5,2197
6,14,10,1,2197
7,14,55,2,2197
8,14,23,2,2197
9,14,38,1,2197
10,14,32,1,2197
11,14,58,1,2197
12,14,30,1,2197
13,14,73,1,2197
14,14,29,1,2197
15,14,18,2,2197
16,14,27,1,2197
17,14,35,1,2197
18,14,25,1,2197
19,14,16,1,2197
20,14,46,1,2197
21,14,44,1,2197
22,14,45,1,2197
23,34,82,1,2197
24,34,52,2,2197
25,34,83,1,2197
26,34,36,2,2197
27,34,26,5,2197
28,34,44,5,2197
29,34,28,2,2197
30,34,29,2,2197
31,34,47,2,2197
32,34,3,1,2197
33,34,14,1,2197
34,34,43,1,2197
35,34,25,2,2197
36,34,34,1,2197
37,34,40,2,2197
38,34,39,1,2197
39,34,17,1,2197
40,34,30,2,2197
41,34,21,1,2197
42,34,65,2,2197
43,34,13,1,2197
44,34,31,3,2197
45,34,42,1,2197
46,34,59,2,2197
47,34,66,1,2197
48,34,38,2,2197
49,34,10,3,2197
50,34,46,1,2197
51,34,8,1,2197
52,34,2,1,2197
53,34,15,2,2197
54,34,69,1,2197
55,34,49,1,2197
56,34,54,3,2197
57,34,45,1,2197
58,34,27,1,2197
59,34,48,1,2197
60,34,63,2,2197
61,34,20,1,2197
62,34,67,1,2197
63,34,72,1,2197
64,34,60,1,2197
65,34,18,1,2197
66,31,45,2,2197
67,31,53,1,2197
68,31,30,4,2197
69,31,34,2,2197
70,31,25,2,2197
71,31,3,1,2197
72,31,4,1,2197
73,31,22,1,2197
74,31,15,1,2197
75,31,43,1,2197
76,31,24,2,2197
77,31,39,1,2197
78,31,37,3,2197
79,31,27,4,2197
80,31,48,3,2197
81,31,5,2,2197
82,31,52,2,2197
83,31,70,2,2197
84,31,40,2,2197
85,31,20,2,2197
86,31,74,2,2197
87,31,68,1,2197
88,31,47,1,2197
89,31,11,1,2197
90,31,31,2,2197
