nokta_no,x,y,count,sezon_dakikasi
1,69,21,1,1764
2,69,7,2,1764
3,69,5,2,1764
4,69,12,2,1764
5,69,90,1,1764
6,69,74,1,1764
7,69,86,2,1764
8,69,35,1,1764
9,69,43,2,1764
10,69,2,1,1764
11,69,59,1,1764
12,69,31,1,1764
13,69,97,1,1764
14,69,62,1,1764
15,69,91,1,1764
16,69,30,1,1764
17,69,72,2,1764
18,69,84,1,1764
19,69,51,1,1764
20,69,75,2,1764
21,69,100,1,1764
22,69,93,1,1764
23,69,77,1,1764
24,69,0,1,1764
25,69,40,1,1764
26,69,69,1,1764
27,69,27,1,1764
28,69,39,1,1764
29,69,15,1,1764
30,69,54,1,1764
31,69,45,1,1764
32,34,20,2,1764
33,34,18,2,1764
34,34,54,1,1764
35,34,16,1,1764
36,34,63,2,1764
37,34,87,1,1764
38,34,23,2,1764
39,34,5,1,1764
40,34,37,1,1764
41,34,7,1,1764
42,30,32,2,1764
43,30,29,2,1764
44,30,7,1,1764
45,30,17,1,1764
46,30,36,2,1764
47,30,25,1,1764
48,30,82,1,1764
49,30,42,1,1764
50,30,37,1,1764
51,30,0,1,1764
52,30,16,1,1764
53,20,46,1,1764
54,20,33,2,1764
55,20,40,1,1764
56,20,93,1,1764
57,20,6,1,1764
58,25,3,1,1764
59,25,2,1,1764
60,25,85,1,1764
61,25,62,1,1764
62,25,88,2,1764
63,25,54,1,1764
64,25,10,1,1764
65,25,70,1,1764
66,25,22,1,1764
67,25,0,1,1764
68,25,39,1,1764
69,9,3,1,1764
70,9,95,2,1764
71,9,61,1,1764
72,9,52,1,1764
73,9,91,1,1764
74,9,85,1,1764
75,37,4,1,1764
76,37,43,1,1764
77,37,18,1,1764
78,37,71,1,1764
79,37,3,1,1764
80,37,7,1,1764
81,37,92,1,1764
82,37,57,1,1764
83,37,12,2,1764
84,37,14,1,1764
85,37,20,1,1764
86,37,10,1,1764
87,37,0,1,1764
88,37,94,1,1764
89,77,67,1,1764
90,77,94,1,1764
91,77,93,2,1764
92,77,59,1,1764
93,77,47,1,1764
94,77,10,1,1764
95,77,30,2,1764
96,77,25,1,1764
97,77,24,1,1764
98,77,4,1,1764
99,77,17,1,1764
100,77,26,1,1764
101,77,3,1,1764
102,77,36,1,1764
103,77,57,1,1764
104,77,84,1,1764
105,77,18,3,1764
106,77,72,1,1764
107,77,68,1,1764
108,77,21,1,1764
109,77,9,1,1764
110,77,23,1,1764
111,77,7,1,1764
112,64,51,1,1764
113,64,23,1,1764
114,64,18,1,1764
115,64,21,1,1764
116,64,82,1,1764
117,64,88,1,1764
118,64,92,1,1764
119,64,9,1,1764
120,64,72,3,1764
121,64,65,2,1764
122,64,68,1,1764
123,64,56,1,1764
124,64,10,1,1764
125,64,45,1,1764
126,64,11,1,1764
127,64,29,1,1764
128,64,93,1,1764
129,64,20,2,1764
130,64,59,1,1764
131,64,22,1,1764
132,64,39,1,1764
133,64,64,1,1764
134,72,54,1,1764
135,72,14,3,1764
136,72,35,2,1764
137,72,4,2,1764
138,72,6,3,1764
139,72,39,1,1764
140,72,60,1,1764
141,72,7,1,1764
142,72,20,1,1764
143,72,95,2,1764
144,72,9,2,1764
145,72,3,1,1764
146,72,49,1,1764
147,80,61,1,1764
148,80,40,1,1764
149,80,2,1,1764
150,80,29,1,1764
151,80,7,1,1764
152,80,49,1,1764
153,80,67,1,1764
154,80,92,1,1764
155,80,25,1,1764
156,80,94,1,1764
157,80,27,1,1764
158,80,0,1,1764
159,80,34,1,1764
160,26,12,1,1764
161,26,16,1,1764
162,26,94,1,1764
163,26,89,1,1764
164,26,48,1,1764
165,26,76,1,1764
166,26,7,1,1764
167,26,0,1,1764
168,26,34,1,1764
169,26,3,1,1764
170,26,5,1,1764
171,23,20,1,1764
172,23,10,1,1764
173,23,6,2,1764
174,23,67,1,1764
175,23,85,1,1764
176,23,87,1,1764
177,23,69,2,1764
178,23,80,1,1764
179,23,0,1,1764
180,23,35,1,1764
181,23,22,1,1764
182,55,19,1,1764
183,55,0,1,1764
184,55,3,1,1764
185,55,26,1,1764
186,55,43,1,1764
187,55,95,2,1764
188,55,47,1,1764
189,55,91,1,1764
190,55,5,1,1764
191,55,88,1,1764
192,55,41,1,1764
193,55,51,1,1764
194,55,55,1,1764
195,55,93,1,1764
196,87,5,1,1764
197,87,10,1,1764
198,87,48,1,1764
199,87,7,1,1764
200,87,63,1,1764
201,87,91,1,1764
202,87,37,1,1764
203,87,18,1,1764
204,87,47,1,1764
205,54,0,1,1764
206,54,42,1,1764
207,54,36,1,1764
208,54,73,1,1764
209,54,65,1,1764
210,54,10,2,1764
211,54,37,1,1764
212,54,95,1,1764
213,54,38,1,1764
214,54,8,1,1764
215,54,5,1,1764
216,54,7,1,1764
217,57,6,1,1764
218,57,39,1,1764
219,57,11,1,1764
220,57,100,1,1764
221,57,71,1,1764
222,57,78,1,1764
223,57,14,2,1764
224,57,7,1,1764
225,57,72,1,1764
226,57,61,1,1764
227,57,81,1,1764
228,57,23,1,1764
229,57,24,1,1764
230,57,22,1,1764
231,57,4,1,1764
232,57,8,1,1764
233,57,20,1,1764
234,97,32,1,1764
235,97,24,1,1764
236,97,61,1,1764
237,97,28,1,1764
238,97,11,1,1764
239,38,7,2,1764
