nokta_no,x,y,count,sezon_dakikasi
1,48,31,1,1848
2,48,69,1,1848
3,48,46,2,1848
4,48,94,1,1848
5,48,39,1,1848
6,48,51,1,1848
7,48,26,1,1848
8,48,64,1,1848
9,48,57,1,1848
10,48,82,2,1848
11,27,93,1,1848
12,27,67,1,1848
13,27,56,1,1848
14,27,78,1,1848
15,27,65,1,1848
16,27,63,1,1848
17,27,34,1,1848
18,27,85,1,1848
19,27,89,1,1848
20,27,17,1,1848
21,27,70,1,1848
22,27,42,2,1848
23,27,31,1,1848
24,27,5,1,1848
25,27,73,1,1848
26,27,47,1,1848
27,27,20,1,1848
28,27,79,2,1848
29,27,46,1,1848
30,27,40,1,1848
31,27,13,1,1848
32,27,18,2,1848
33,27,75,1,1848
34,27,9,1,1848
35,37,46,4,1848
36,37,48,2,1848
37,37,37,1,1848
38,37,83,2,1848
39,37,47,1,1848
40,37,53,1,1848
41,37,31,1,1848
42,37,44,1,1848
43,37,21,1,1848
44,37,60,1,1848
45,37,69,1,1848
46,37,51,1,1848
47,37,25,2,1848
48,65,39,1,1848
49,65,46,1,1848
50,65,8,1,1848
51,65,13,2,1848
52,65,44,3,1848
53,65,96,2,1848
54,65,43,1,1848
55,65,35,1,1848
56,65,42,1,1848
57,65,69,1,1848
58,65,71,1,1848
59,65,25,1,1848
60,65,74,1,1848
61,65,62,1,1848
62,65,29,1,1848
63,65,60,1,1848
64,65,73,1,1848
65,65,22,1,1848
66,65,56,1,1848
67,65,70,1,1848
68,65,38,1,1848
69,68,50,1,1848
70,68,74,1,1848
71,68,37,1,1848
72,68,9,1,1848
73,68,91,2,1848
74,68,26,1,1848
75,68,66,1,1848
76,68,55,2,1848
77,68,88,1,1848
78,68,23,1,1848
79,68,33,1,1848
80,68,6,1,1848
81,68,56,1,1848
82,68,19,1,1848
83,68,93,1,1848
84,68,21,1,1848
85,68,90,1,1848
86,68,11,1,1848
87,68,5,1,1848
88,68,73,1,1848
89,68,70,1,1848
90,58,17,2,1848
91,58,39,2,1848
92,58,72,1,1848
93,58,69,1,1848
94,58,61,2,1848
95,58,53,1,1848
96,58,41,2,1848
97,58,90,2,1848
98,58,75,1,1848
99,58,46,1,1848
100,58,37,1,1848
101,58,82,2,1848
102,58,88,1,1848
103,58,23,1,1848
104,58,35,2,1848
105,58,25,1,1848
106,58,26,1,1848
107,58,66,1,1848
108,58,92,1,1848
109,58,18,1,1848
110,58,29,1,1848
111,58,32,1,1848
112,35,83,1,1848
113,35,46,2,1848
114,35,44,1,1848
115,35,30,1,1848
116,35,36,2,1848
117,35,19,1,1848
118,35,71,1,1848
119,35,29,1,1848
120,35,72,1,1848
121,35,74,2,1848
122,35,79,1,1848
123,35,95,1,1848
124,35,69,1,1848
125,35,5,1,1848
126,35,40,1,1848
127,35,82,1,1848
128,35,31,1,1848
129,35,37,1,1848
130,35,41,1,1848
131,35,39,1,1848
132,35,28,2,1848
133,35,62,1,1848
134,35,20,1,1848
135,35,9,1,1848
136,35,17,2,1848
137,35,81,1,1848
138,35,27,1,1848
139,33,25,1,1848
140,33,70,1,1848
141,33,6,1,1848
142,33,61,1,1848
143,33,23,1,1848
144,33,59,1,1848
145,33,76,2,1848
146,33,45,1,1848
147,33,48,1,1848
148,33,92,1,1848
149,33,24,1,1848
150,33,51,1,1848
151,33,17,1,1848
152,33,55,1,1848
153,33,2,1,1848
154,33,3,1,1848
155,33,79,2,1848
156,33,15,2,1848
157,33,10,1,1848
158,33,67,1,1848
159,33,13,1,1848
160,64,41,1,1848
161,64,5,1,1848
162,64,44,1,1848
163,64,50,1,1848
164,64,69,1,1848
165,64,68,1,1848
166,64,38,1,1848
167,64,75,1,1848
168,64,37,2,1848
169,64,30,1,1848
170,64,88,1,1848
171,64,16,1,1848
172,64,94,1,1848
173,64,92,1,1848
174,64,89,1,1848
175,64,6,1,1848
176,64,24,1,1848
177,64,43,1,1848
178,64,64,1,1848
179,64,27,1,1848
180,10,72,1,1848
181,10,6,1,1848
182,10,47,1,1848
183,10,27,1,1848
184,10,8,2,1848
185,10,9,1,1848
186,10,70,1,1848
187,10,91,1,1848
188,34,87,1,1848
189,34,20,1,1848
190,34,2,1,1848
191,34,67,1,1848
192,34,8,1,1848
193,34,82,1,1848
194,34,38,1,1848
195,34,52,1,1848
196,34,26,1,1848
197,34,83,1,1848
198,34,34,3,1848
199,34,80,1,1848
200,34,15,1,1848
201,34,13,1,1848
202,34,62,1,1848
203,34,10,1,1848
204,34,47,1,1848
205,34,54,1,1848
206,34,3,1,1848
207,34,68,1,1848
208,34,18,1,1848
209,34,58,1,1848
210,34,31,1,1848
211,34,12,1,1848
212,39,15,1,1848
213,39,76,2,1848
214,39,61,1,1848
215,39,34,1,1848
216,39,73,3,1848
217,39,67,2,1848
218,39,62,1,1848
219,39,88,1,1848
220,39,89,1,1848
221,39,8,1,1848
222,39,25,1,1848
223,39,41,1,1848
224,39,43,1,1848
225,39,23,1,1848
226,39,33,1,1848
227,39,63,2,1848
228,39,66,1,1848
229,39,48,1,1848
230,39,59,1,1848
231,32,6,1,1848
232,32,70,2,1848
233,32,23,1,1848
234,32,65,1,1848
235,32,46,1,1848
236,32,36,1,1848
237,32,72,1,1848
238,32,71,1,1848
239,32,67,1,1848
240,32,68,1,1848
241,32,48,1,1848
242,32,74,1,1848
243,32,57,2,1848
244,32,32,1,1848
245,32,55,1,1848
246,32,80,1,1848
247,32,49,1,1848
248,32,64,1,1848
249,32,7,1,1848
250,32,20,1,1848
251,32,34,2,1848
252,32,78,1,1848
253,32,79,1,1848
254,32,92,1,1848
255,45,51,2,1848
256,45,41,2,1848
257,45,78,1,1848
258,45,74,1,1848
259,45,44,1,1848
260,45,21,1,1848
261,45,88,1,1848
262,45,13,1,1848
263,45,46,1,1848
264,45,80,1,1848
265,45,68,1,1848
266,45,86,1,1848
267,45,33,1,1848
268,45,58,1,1848
269,45,32,1,1848
270,45,5,1,1848
271,45,64,1,1848
272,45,15,1,1848
273,45,50,1,1848
274,45,52,1,1848
275,45,96,1,1848
276,61,36,1,1848
277,61,37,1,1848
278,61,30,1,1848
279,61,60,1,1848
280,61,79,1,1848
281,61,75,1,1848
282,61,69,2,1848
283,61,47,1,1848
284,61,93,1,1848
285,61,84,1,1848
286,61,32,1,1848
287,61,17,1,1848
288,61,45,2,1848
289,61,13,1,1848
290,61,34,1,1848
291,61,28,2,1848
292,30,70,2,1848
293,30,4,1,1848
294,30,73,2,1848
295,30,17,1,1848
296,30,86,3,1848
297,30,79,1,1848
298,30,90,1,1848
299,30,58,1,1848
300,30,60,1,1848
301,30,35,1,1848
302,30,63,1,1848
303,30,74,1,1848
304,30,46,1,1848
305,30,42,1,1848
306,30,6,1,1848
307,30,39,1,1848
308,30,50,1,1848
309,30,34,1,1848
310,30,96,1,1848
311,30,68,1,1848
312,30,76,1,1848
313,30,18,1,1848
314,46,72,1,1848
315,46,53,1,1848
316,46,44,1,1848
317,46,68,1,1848
318,46,12,1,1848
319,46,24,1,1848
320,46,43,1,1848
321,46,36,2,1848
322,46,89,1,1848
323,46,39,1,1848
324,46,40,1,1848
325,46,38,1,1848
326,46,35,1,1848
327,46,45,1,1848
328,46,15,1,1848
329,46,5,1,1848
330,46,95,1,1848
331,46,81,1,1848
332,55,68,1,1848
333,55,67,1,1848
334,55,31,2,1848
335,55,16,1,1848
336,55,76,2,1848
337,55,39,1,1848
338,55,53,1,1848
339,55,40,1,1848
340,55,83,1,1848
341,55,66,1,1848
342,55,69,1,1848
343,55,70,1,1848
344,55,28,1,1848
345,55,48,1,1848
346,55,55,1,1848
347,55,21,1,1848
348,55,86,2,1848
349,55,25,2,1848
350,55,17,1,1848
351,55,74,1,1848
352,55,78,1,1848
353,55,24,1,1848
354,55,56,1,1848
355,55,23,2,1848
356,55,91,1,1848
357,63,58,2,1848
358,63,44,2,1848
359,63,84,1,1848
360,63,14,1,1848
361,63,31,1,1848
362,63,86,1,1848
363,63,56,1,1848
364,63,91,2,1848
365,63,90,1,1848
366,63,61,1,1848
367,63,59,1,1848
368,63,38,1,1848
369,63,26,1,1848
370,63,63,1,1848
371,63,89,2,1848
372,63,18,1,1848
373,63,36,1,1848
374,63,42,1,1848
375,63,97,1,1848
376,63,15,1,1848
377,63,69,1,1848
378,81,31,1,1848
379,81,4,1,1848
380,81,76,1,1848
381,81,24,2,1848
382,3,15,1,1848
383,3,30,1,1848
384,3,51,1,1848
385,3,41,1,1848
386,7,10,1,1848
387,7,91,1,1848
388,7,96,1,1848
389,7,94,1,1848
390,7,92,2,1848
391,7,18,1,1848
392,7,55,1,1848
393,7,31,1,1848
394,2,5,2,1848
395,2,75,1,1848
396,2,34,1,1848
397,2,67,1,1848
398,2,12,2,1848
399,2,13,1,1848
400,2,89,1,1848
401,2,84,1,1848
402,44,52,1,1848
403,44,79,1,1848
404,44,18,1,1848
405,44,19,2,1848
406,44,63,1,1848
407,44,31,1,1848
408,44,84,1,1848
409,44,81,1,1848
410,44,65,1,1848
411,44,40,1,1848
412,44,41,1,1848
413,44,92,1,1848
414,44,29,2,1848
