nokta_no,x,y,count,sezon_dakikasi
1,41,33,1,1725
2,41,88,2,1725
3,41,54,1,1725
4,41,70,1,1725
5,41,77,2,1725
6,41,29,1,1725
7,41,30,2,1725
8,41,69,1,1725
9,41,64,1,1725
10,41,73,2,1725
11,41,83,1,1725
12,41,67,2,1725
13,41,60,1,1725
14,41,80,1,1725
15,41,49,1,1725
16,41,68,1,1725
17,41,65,1,1725
18,41,36,1,1725
19,41,34,1,1725
20,41,91,1,1725
21,41,78,1,1725
22,41,74,1,1725
23,42,28,1,1725
24,42,26,1,1725
25,42,76,2,1725
26,42,66,1,1725
27,42,86,1,1725
28,42,5,1,1725
29,42,52,1,1725
30,42,29,1,1725
31,42,75,1,1725
32,42,89,1,1725
33,42,50,1,1725
34,42,70,3,1725
35,42,82,2,1725
36,42,69,2,1725
37,42,72,1,1725
38,42,53,1,1725
39,42,81,1,1725
40,42,59,1,1725
41,42,80,1,1725
42,42,90,1,1725
43,42,74,1,1725
44,42,83,1,1725
45,42,85,1,1725
46,42,23,1,1725
47,42,56,1,1725
48,66,59,2,1725
49,66,58,1,1725
50,66,78,1,1725
51,66,88,2,1725
52,66,70,1,1725
53,66,61,1,1725
54,66,60,1,1725
55,66,86,2,1725
56,66,63,1,1725
57,66,92,1,1725
58,66,57,1,1725
59,66,66,2,1725
60,66,40,1,1725
61,66,52,1,1725
62,66,93,1,1725
63,66,56,1,1725
64,66,96,1,1725
65,66,80,1,1725
66,66,71,1,1725
67,66,31,1,1725
68,66,34,1,1725
69,66,68,1,1725
70,66,74,1,1725
71,66,82,1,1725
72,66,49,1,1725
73,66,65,1,1725
74,38,92,2,1725
75,38,56,2,1725
76,38,59,1,1725
77,38,72,2,1725
78,38,23,1,1725
79,38,69,2,1725
80,38,77,3,1725
81,38,90,2,1725
82,38,15,1,1725
83,38,24,1,1725
84,38,85,4,1725
85,38,55,1,1725
86,38,73,3,1725
87,38,61,1,1725
88,38,67,1,1725
89,38,79,1,1725
90,38,66,1,1725
91,38,25,1,1725
92,38,46,1,1725
93,27,82,1,1725
94,27,86,1,1725
95,27,89,1,1725
96,27,95,1,1725
97,27,91,1,1725
98,27,29,1,1725
99,27,24,1,1725
100,27,30,1,1725
101,27,87,1,1725
102,27,58,1,1725
103,27,85,1,1725
104,27,55,1,1725
105,27,25,2,1725
106,27,59,2,1725
107,27,50,1,1725
108,27,23,1,1725
109,27,47,1,1725
110,27,45,1,1725
111,29,51,1,1725
112,29,49,1,1725
113,29,70,1,1725
114,29,62,1,1725
115,29,78,3,1725
116,29,95,1,1725
117,29,60,1,1725
118,29,61,2,1725
119,29,44,1,1725
120,29,50,1,1725
121,29,53,1,1725
122,29,43,1,1725
123,29,59,1,1725
124,29,96,1,1725
125,29,35,1,1725
126,29,26,1,1725
127,29,69,1,1725
128,29,52,1,1725
129,29,48,1,1725
130,33,46,1,1725
131,33,72,1,1725
132,33,64,1,1725
133,33,2,1,1725
134,33,49,3,1725
135,33,25,1,1725
136,33,87,1,1725
137,33,10,1,1725
138,33,19,1,1725
139,33,56,1,1725
140,33,37,1,1725
141,33,77,2,1725
142,33,84,2,1725
143,33,62,1,1725
144,33,75,1,1725
145,33,65,2,1725
146,33,93,1,1725
147,33,34,1,1725
148,33,53,1,1725
149,33,71,1,1725
150,33,61,1,1725
151,33,76,1,1725
152,33,31,1,1725
153,33,38,1,1725
154,33,79,1,1725
155,33,51,1,1725
156,33,22,1,1725
157,58,69,2,1725
158,58,30,1,1725
159,58,65,1,1725
160,58,78,1,1725
161,58,84,1,1725
162,58,62,1,1725
163,58,64,1,1725
164,58,36,2,1725
165,58,66,2,1725
166,58,71,1,1725
167,58,76,1,1725
168,58,37,1,1725
169,58,19,1,1725
170,58,73,1,1725
171,58,93,1,1725
172,58,67,1,1725
173,40,68,2,1725
174,40,72,2,1725
175,40,93,1,1725
176,40,48,1,1725
177,40,79,2,1725
178,40,92,1,1725
179,40,87,2,1725
180,40,31,1,1725
181,40,58,2,1725
182,40,50,1,1725
183,40,73,2,1725
184,40,19,1,1725
185,40,25,1,1725
186,40,32,1,1725
187,40,61,1,1725
188,40,85,2,1725
189,40,89,1,1725
190,40,59,2,1725
191,40,54,1,1725
192,40,34,1,1725
193,40,43,1,1725
194,40,45,1,1725
195,40,47,1,1725
196,40,22,1,1725
197,40,78,1,1725
198,40,51,2,1725
199,40,55,1,1725
200,40,39,1,1725
201,40,66,1,1725
202,62,59,1,1725
203,62,69,1,1725
204,62,4,1,1725
205,62,68,1,1725
206,62,21,3,1725
207,62,91,1,1725
208,62,83,1,1725
209,62,26,1,1725
210,62,75,1,1725
211,62,24,1,1725
212,62,71,1,1725
213,62,89,2,1725
214,62,54,1,1725
215,62,32,1,1725
216,62,87,1,1725
217,62,64,1,1725
218,62,45,1,1725
219,62,66,1,1725
220,62,73,1,1725
221,62,20,1,1725
222,62,72,1,1725
223,62,31,1,1725
224,62,78,1,1725
225,59,76,1,1725
226,59,88,1,1725
227,59,72,1,1725
228,59,82,2,1725
229,59,41,1,1725
230,59,80,3,1725
231,59,29,1,1725
232,59,15,1,1725
233,59,6,1,1725
234,59,14,1,1725
235,59,73,2,1725
236,59,62,1,1725
237,59,28,1,1725
238,59,48,1,1725
239,59,79,1,1725
240,59,64,1,1725
241,59,67,1,1725
242,59,89,1,1725
243,59,70,1,1725
