nokta_no,x,y,count,sezon_dakikasi
1,35,20,2,3420
2,35,67,1,3420
3,35,60,2,3420
4,35,53,1,3420
5,35,4,1,3420
6,35,30,1,3420
7,35,63,1,3420
8,35,33,1,3420
9,35,68,2,3420
10,35,48,2,3420
11,35,65,1,3420
12,35,25,3,3420
13,35,81,1,3420
14,35,87,1,3420
15,35,40,1,3420
16,35,23,1,3420
17,35,58,1,3420
18,35,12,1,3420
19,35,57,2,3420
20,35,36,2,3420
21,35,19,2,3420
22,35,66,1,3420
23,35,13,1,3420
24,35,38,1,3420
25,35,37,1,3420
26,35,27,1,3420
27,35,71,1,3420
28,35,90,1,3420
29,35,89,1,3420
30,35,55,1,3420
31,35,44,1,3420
32,35,78,2,3420
33,35,82,1,3420
34,9,8,2,3420
35,9,59,2,3420
36,9,77,1,3420
37,9,63,2,3420
38,9,65,1,3420
39,9,24,2,3420
40,9,66,1,3420
41,9,48,2,3420
42,9,74,1,3420
43,9,49,3,3420
44,9,36,2,3420
45,9,51,1,3420
46,9,33,1,3420
47,9,61,1,3420
48,9,52,3,3420
49,9,58,1,3420
50,9,55,1,3420
51,9,83,1,3420
52,9,82,1,3420
53,9,64,1,3420
54,9,56,3,3420
55,9,42,3,3420
56,9,16,1,3420
57,9,70,1,3420
58,9,35,1,3420
59,9,43,1,3420
60,9,29,1,3420
61,9,60,1,3420
62,9,25,1,3420
63,9,37,1,3420
64,9,34,1,3420
65,9,41,1,3420
66,9,44,1,3420
67,9,57,1,3420
68,9,53,3,3420
69,9,50,1,3420
70,9,75,1,3420
71,9,79,1,3420
72,9,54,1,3420
73,21,31,2,3420
74,21,29,1,3420
75,21,51,2,3420
76,21,71,1,3420
77,21,65,1,3420
78,21,91,1,3420
79,21,69,1,3420
80,21,80,1,3420
81,21,68,2,3420
82,21,66,2,3420
83,21,15,1,3420
84,21,25,1,3420
85,21,34,1,3420
86,21,4,1,3420
87,21,18,1,3420
88,21,52,1,3420
89,21,24,3,3420
90,21,21,1,3420
91,21,41,1,3420
92,21,14,1,3420
93,21,0,1,3420
94,21,30,1,3420
95,21,7,1,3420
96,21,82,1,3420
97,21,78,1,3420
98,21,77,1,3420
99,21,35,1,3420
100,21,59,1,3420
101,21,42,1,3420
102,21,43,1,3420
103,21,97,1,3420
104,21,86,1,3420
105,21,72,1,3420
106,28,35,1,3420
107,28,75,6,3420
108,28,39,2,3420
109,28,50,1,3420
110,28,66,4,3420
111,28,6,1,3420
112,28,18,1,3420
113,28,46,1,3420
114,28,53,2,3420
115,28,21,1,3420
116,28,72,2,3420
117,28,62,4,3420
118,28,85,1,3420
119,28,78,1,3420
120,28,91,1,3420
121,28,79,3,3420
122,28,60,1,3420
123,28,70,2,3420
124,28,65,1,3420
125,28,67,1,3420
126,28,88,1,3420
127,28,94,2,3420
128,28,73,1,3420
129,28,54,2,3420
130,28,55,1,3420
131,28,80,1,3420
132,28,56,2,3420
133,28,38,1,3420
134,28,15,1,3420
135,28,33,2,3420
136,28,45,2,3420
137,28,31,1,3420
138,28,48,1,3420
139,28,49,2,3420
140,28,9,1,3420
141,28,30,1,3420
142,28,59,1,3420
143,28,44,3,3420
144,28,10,1,3420
145,28,12,1,3420
146,28,68,1,3420
147,28,74,2,3420
148,28,51,1,3420
149,28,37,1,3420
150,28,69,1,3420
151,28,34,1,3420
152,28,57,2,3420
153,28,89,1,3420
154,59,7,1,3420
155,59,76,1,3420
156,59,74,1,3420
157,59,14,1,3420
158,59,26,1,3420
159,59,66,1,3420
160,59,18,1,3420
161,59,20,1,3420
162,32,24,1,3420
163,32,77,1,3420
164,32,67,2,3420
165,32,51,4,3420
166,32,39,2,3420
167,32,49,2,3420
168,32,65,2,3420
169,32,81,1,3420
170,32,89,1,3420
171,32,80,1,3420
172,32,55,1,3420
173,32,87,1,3420
174,32,70,2,3420
175,32,74,1,3420
176,32,79,2,3420
177,32,86,2,3420
178,32,34,2,3420
179,32,38,2,3420
180,32,72,1,3420
181,32,73,1,3420
182,32,63,1,3420
183,32,60,1,3420
184,32,71,1,3420
185,32,82,1,3420
186,32,28,3,3420
187,32,62,1,3420
188,32,36,2,3420
189,32,30,1,3420
190,32,57,1,3420
191,32,31,2,3420
192,32,15,1,3420
193,32,68,1,3420
194,32,69,1,3420
195,32,47,2,3420
196,32,37,2,3420
197,32,56,1,3420
198,32,50,1,3420
199,32,59,2,3420
200,32,58,1,3420
201,32,94,1,3420
202,32,75,2,3420
203,32,35,1,3420
204,32,76,1,3420
205,32,64,1,3420
206,32,78,2,3420
207,14,12,1,3420
208,14,57,1,3420
209,14,47,2,3420
210,14,37,1,3420
211,14,72,1,3420
212,14,67,1,3420
213,14,56,1,3420
214,14,27,1,3420
215,14,58,1,3420
216,14,66,1,3420
217,14,16,1,3420
218,14,32,1,3420
219,14,41,1,3420
220,14,7,2,3420
221,14,44,1,3420
222,14,11,1,3420
223,14,10,3,3420
224,14,26,1,3420
225,14,49,2,3420
226,14,51,1,3420
227,14,34,1,3420
228,14,48,1,3420
229,14,84,1,3420
230,14,87,1,3420
231,44,9,1,3420
232,44,80,2,3420
233,44,68,3,3420
234,44,54,1,3420
235,44,45,1,3420
236,44,66,2,3420
237,44,53,1,3420
238,44,76,1,3420
239,44,72,2,3420
240,44,32,1,3420
241,44,6,1,3420
242,44,23,1,3420
243,44,12,1,3420
244,44,37,1,3420
245,44,50,1,3420
246,44,13,1,3420
247,44,44,1,3420
248,44,88,1,3420
249,44,65,1,3420
250,44,78,2,3420
251,44,70,2,3420
252,44,51,1,3420
253,44,49,1,3420
254,44,83,2,3420
255,5,13,1,3420
256,5,60,4,3420
257,5,62,2,3420
258,5,61,2,3420
259,5,92,2,3420
260,5,15,1,3420
261,5,54,2,3420
262,5,33,1,3420
263,5,69,1,3420
264,5,59,6,3420
265,5,80,1,3420
266,5,58,1,3420
267,5,85,1,3420
268,5,52,1,3420
269,5,18,1,3420
270,5,28,1,3420
271,5,39,1,3420
272,5,67,1,3420
273,5,66,1,3420
274,5,63,1,3420
275,5,47,1,3420
276,5,57,1,3420
277,5,82,1,3420
278,0,8,1,3420
279,0,63,1,3420
