nokta_no,x,y,count,sezon_dakikasi
1,38,89,2,2330
2,38,85,1,2330
3,38,55,1,2330
4,38,84,1,2330
5,38,36,1,2330
6,38,78,1,2330
7,38,57,2,2330
8,38,88,1,2330
9,38,7,1,2330
10,38,76,1,2330
11,38,95,1,2330
12,38,87,1,2330
13,38,77,1,2330
14,38,42,1,2330
15,38,93,1,2330
16,74,50,1,2330
17,74,72,1,2330
18,74,100,1,2330
19,74,78,2,2330
20,74,97,1,2330
21,74,85,2,2330
22,74,90,1,2330
23,74,81,1,2330
24,74,71,1,2330
25,74,28,1,2330
26,74,75,2,2330
27,74,53,1,2330
28,74,58,1,2330
29,74,83,1,2330
30,74,67,1,2330
31,74,54,1,2330
32,74,73,1,2330
33,74,84,1,2330
34,74,8,1,2330
35,74,94,2,2330
36,74,55,1,2330
37,74,59,1,2330
38,74,69,1,2330
39,74,61,1,2330
40,74,76,1,2330
41,74,36,1,2330
42,74,82,1,2330
43,54,88,2,2330
44,54,76,1,2330
45,54,59,1,2330
46,54,53,1,2330
47,54,47,1,2330
48,54,78,1,2330
49,54,74,1,2330
50,54,95,1,2330
51,54,26,1,2330
52,54,28,1,2330
53,54,46,1,2330
54,54,92,1,2330
55,54,79,1,2330
56,54,70,1,2330
57,54,94,1,2330
58,54,86,1,2330
59,54,69,1,2330
60,54,83,1,2330
61,46,85,1,2330
62,46,83,2,2330
63,46,56,1,2330
64,46,58,1,2330
65,46,86,1,2330
66,46,92,1,2330
67,46,96,2,2330
68,46,94,1,2330
69,46,80,1,2330
70,46,93,2,2330
71,46,72,2,2330
72,46,75,1,2330
73,46,57,2,2330
74,46,89,1,2330
75,46,90,1,2330
76,46,95,1,2330
77,46,51,1,2330
78,44,65,1,2330
79,44,80,1,2330
80,44,87,1,2330
81,44,88,1,2330
82,44,95,3,2330
83,44,94,3,2330
84,44,78,1,2330
85,44,96,1,2330
86,44,76,1,2330
87,44,91,1,2330
88,44,92,1,2330
89,44,85,2,2330
90,44,75,1,2330
91,44,58,1,2330
92,44,63,1,2330
93,44,83,1,2330
94,44,81,1,2330
95,68,90,2,2330
96,68,89,1,2330
97,68,95,4,2330
98,68,62,2,2330
99,68,91,3,2330
100,68,83,2,2330
101,68,88,1,2330
102,68,60,1,2330
103,68,67,1,2330
104,68,94,3,2330
105,68,78,1,2330
106,68,74,1,2330
107,68,73,2,2330
108,68,100,2,2330
109,68,85,2,2330
110,68,92,2,2330
111,68,70,2,2330
112,68,69,3,2330
113,68,81,1,2330
114,68,66,1,2330
115,68,68,1,2330
116,68,36,1,2330
117,68,82,1,2330
118,86,66,1,2330
119,86,100,1,2330
120,86,85,3,2330
121,86,88,3,2330
122,86,71,1,2330
123,86,73,2,2330
124,86,75,3,2330
125,86,63,1,2330
126,86,65,2,2330
127,86,95,1,2330
128,86,92,3,2330
129,86,78,2,2330
130,86,58,1,2330
131,86,61,1,2330
132,86,70,1,2330
133,86,76,1,2330
134,86,24,1,2330
135,86,87,1,2330
136,86,81,1,2330
137,86,64,1,2330
138,86,72,1,2330
139,86,26,1,2330
140,51,78,2,2330
141,51,91,1,2330
142,51,72,1,2330
143,51,96,1,2330
144,51,55,1,2330
145,51,57,1,2330
146,51,37,1,2330
147,51,75,1,2330
148,51,86,1,2330
149,51,84,1,2330
150,51,98,1,2330
151,72,69,2,2330
152,72,29,1,2330
153,72,56,1,2330
154,72,79,2,2330
155,72,33,1,2330
156,72,31,1,2330
157,72,88,1,2330
158,72,91,2,2330
159,72,93,1,2330
160,72,68,1,2330
161,72,50,1,2330
162,72,100,1,2330
163,72,86,2,2330
164,72,46,2,2330
165,72,92,1,2330
166,72,82,1,2330
167,72,47,1,2330
168,72,48,1,2330
169,72,87,1,2330
170,72,90,1,2330
171,72,43,1,2330
172,72,97,1,2330
173,72,63,1,2330
174,72,21,1,2330
175,72,89,1,2330
176,72,85,2,2330
177,72,62,1,2330
178,72,95,1,2330
179,72,94,1,2330
180,33,82,1,2330
181,33,92,1,2330
182,33,89,1,2330
183,33,76,1,2330
184,33,75,1,2330
185,33,88,1,2330
186,33,84,3,2330
187,33,80,1,2330
188,33,71,1,2330
189,33,97,1,2330
190,33,94,1,2330
191,33,87,1,2330
192,33,66,1,2330
193,66,84,1,2330
194,66,63,3,2330
195,66,93,2,2330
196,66,86,3,2330
197,66,85,4,2330
198,66,73,3,2330
199,66,91,1,2330
200,66,64,2,2330
201,66,72,1,2330
202,66,97,3,2330
203,66,69,1,2330
204,66,94,1,2330
205,66,42,1,2330
206,66,90,1,2330
207,66,48,1,2330
208,66,83,1,2330
209,66,61,1,2330
210,66,6,1,2330
211,65,90,2,2330
212,65,94,2,2330
213,65,92,2,2330
214,65,74,1,2330
215,65,87,1,2330
216,65,12,1,2330
217,65,85,1,2330
218,65,93,2,2330
219,65,80,1,2330
220,65,65,1,2330
221,65,52,1,2330
222,65,73,2,2330
223,65,70,1,2330
224,65,91,3,2330
225,65,89,1,2330
226,65,96,1,2330
227,65,61,1,2330
228,65,72,1,2330
229,65,79,1,2330
230,65,47,1,2330
231,65,78,1,2330
232,61,91,2,2330
233,61,97,1,2330
234,61,60,2,2330
235,61,73,2,2330
236,61,65,1,2330
237,61,64,2,2330
238,61,88,1,2330
239,61,87,1,2330
240,61,95,2,2330
241,61,14,1,2330
242,61,81,1,2330
243,61,96,2,2330
244,61,82,1,2330
245,61,93,1,2330
246,61,70,1,2330
247,61,83,1,2330
248,61,100,1,2330
249,61,69,2,2330
250,61,2,1,2330
251,61,67,1,2330
252,61,92,1,2330
253,61,94,2,2330
254,91,77,2,2330
255,91,70,1,2330
256,91,73,1,2330
257,91,75,1,2330
258,91,53,2,2330
259,91,59,1,2330
260,91,11,1,2330
261,91,86,1,2330
262,91,12,1,2330
263,91,100,1,2330
264,91,64,1,2330
265,91,57,2,2330
266,91,54,1,2330
267,91,55,1,2330
268,91,58,1,2330
269,91,74,2,2330
270,91,91,1,2330
271,91,62,1,2330
272,91,65,1,2330
273,91,79,1,2330
274,91,37,1,2330
275,91,43,1,2330
276,91,81,1,2330
277,78,100,2,2330
278,78,64,1,2330
279,78,68,1,2330
280,78,82,1,2330
281,78,73,1,2330
282,78,70,1,2330
283,78,37,1,2330
284,78,61,1,2330
285,78,91,2,2330
286,78,75,1,2330
287,78,32,1,2330
288,78,23,1,2330
289,78,63,1,2330
290,78,84,1,2330
291,78,88,1,2330
292,78,77,1,2330
293,78,80,1,2330
294,78,43,1,2330
295,73,90,1,2330
296,73,98,2,2330
297,73,93,2,2330
298,73,57,1,2330
299,73,47,1,2330
300,73,81,1,2330
301,73,62,1,2330
302,73,68,3,2330
303,73,82,1,2330
304,73,96,1,2330
305,73,94,2,2330
306,73,71,1,2330
307,73,72,1,2330
308,73,69,1,2330
309,73,87,2,2330
310,73,92,2,2330
311,73,67,2,2330
312,73,54,1,2330
313,73,59,1,2330
314,73,83,1,2330
315,73,2,1,2330
316,73,14,1,2330
317,73,49,1,2330
318,73,66,1,2330
319,73,97,2,2330
320,73,74,2,2330
321,73,65,2,2330
322,73,76,1,2330
323,76,94,2,2330
324,76,89,1,2330
325,76,79,2,2330
326,76,90,2,2330
327,76,78,1,2330
328,76,75,1,2330
329,76,63,1,2330
330,76,60,1,2330
331,76,73,2,2330
332,76,97,1,2330
333,76,58,1,2330
334,76,44,1,2330
335,76,83,1,2330
336,76,93,1,2330
337,76,81,1,2330
338,76,65,1,2330
339,76,92,1,2330
340,76,47,1,2330
341,76,88,1,2330
342,83,48,1,2330
343,83,78,2,2330
344,83,47,1,2330
345,83,76,1,2330
346,83,68,1,2330
347,83,71,1,2330
348,83,31,1,2330
349,83,83,1,2330
350,83,96,1,2330
351,83,64,1,2330
352,83,46,1,2330
353,83,77,1,2330
354,83,90,1,2330
355,83,87,1,2330
356,83,65,1,2330
357,67,75,1,2330
358,67,98,2,2330
359,67,92,2,2330
360,67,62,1,2330
361,67,85,2,2330
362,67,76,2,2330
363,67,95,3,2330
364,67,29,1,2330
365,67,97,1,2330
366,67,81,1,2330
367,67,52,1,2330
368,67,96,1,2330
369,67,60,1,2330
370,67,72,2,2330
371,67,44,1,2330
372,67,55,1,2330
373,67,73,1,2330
374,67,51,1,2330
375,67,74,1,2330
376,67,59,1,2330
377,67,100,1,2330
378,57,59,1,2330
379,57,60,1,2330
380,57,90,1,2330
381,57,92,1,2330
382,57,73,1,2330
383,57,94,1,2330
384,57,96,1,2330
385,57,89,2,2330
386,57,85,1,2330
387,57,84,1,2330
388,57,77,1,2330
389,57,12,1,2330
390,57,88,1,2330
391,57,81,1,2330
392,57,71,1,2330
393,57,76,1,2330
394,57,80,1,2330
395,57,68,1,2330
396,53,55,1,2330
397,53,92,2,2330
398,53,76,1,2330
399,53,94,1,2330
400,53,90,1,2330
401,53,88,2,2330
402,53,65,2,2330
403,53,47,1,2330
404,53,59,1,2330
405,53,51,1,2330
406,53,86,1,2330
407,53,83,1,2330
408,53,49,1,2330
409,53,43,1,2330
410,53,52,2,2330
411,53,48,1,2330
412,53,56,1,2330
413,53,82,1,2330
414,53,95,1,2330
415,12,39,1,2330
416,12,90,2,2330
417,55,74,1,2330
418,55,89,2,2330
419,55,88,1,2330
420,55,97,1,2330
421,55,85,1,2330
422,55,82,1,2330
423,55,92,2,2330
424,55,94,1,2330
425,55,55,1,2330
426,55,95,2,2330
427,55,69,2,2330
428,55,79,1,2330
429,70,77,1,2330
430,70,91,1,2330
431,70,76,1,2330
432,70,89,2,2330
433,70,92,2,2330
434,70,50,1,2330
435,70,23,1,2330
436,70,43,1,2330
437,70,63,1,2330
438,70,94,3,2330
439,70,84,1,2330
440,70,56,2,2330
441,70,87,1,2330
442,70,93,4,2330
443,70,70,1,2330
444,70,41,1,2330
445,70,90,2,2330
446,70,96,2,2330
447,70,68,1,2330
448,70,37,1,2330
449,70,60,1,2330
450,70,61,2,2330
451,70,78,1,2330
452,70,67,1,2330
453,95,63,2,2330
454,95,53,1,2330
455,95,82,2,2330
456,95,79,1,2330
457,95,76,1,2330
458,95,70,1,2330
459,95,60,1,2330
460,95,67,1,2330
461,95,68,1,2330
462,95,90,1,2330
463,95,100,1,2330
464,95,81,2,2330
465,95,61,1,2330
466,95,74,1,2330
467,95,14,1,2330
468,95,75,2,2330
469,95,62,1,2330
470,95,89,1,2330
471,31,84,1,2330
472,31,59,1,2330
473,31,72,1,2330
474,31,91,1,2330
475,31,65,1,2330
476,71,92,3,2330
477,71,60,1,2330
478,71,72,3,2330
479,71,86,1,2330
480,71,91,3,2330
481,71,85,1,2330
482,71,28,1,2330
483,71,100,1,2330
484,71,44,1,2330
485,71,82,2,2330
486,71,97,1,2330
487,71,94,1,2330
488,71,95,1,2330
489,71,64,1,2330
490,71,14,1,2330
491,71,50,1,2330
492,71,70,1,2330
493,71,46,1,2330
494,71,84,1,2330
495,71,71,1,2330
496,71,66,1,2330
497,71,57,1,2330
498,71,90,1,2330
499,82,78,1,2330
500,82,92,2,2330
501,82,88,1,2330
502,82,100,1,2330
503,82,86,1,2330
504,82,89,2,2330
505,82,97,1,2330
506,82,82,1,2330
507,82,53,1,2330
508,82,49,1,2330
509,82,83,2,2330
510,82,37,1,2330
511,82,73,1,2330
512,84,92,2,2330
513,84,67,1,2330
514,84,68,2,2330
515,84,71,1,2330
516,84,85,1,2330
517,84,77,1,2330
518,84,80,1,2330
519,84,91,2,2330
520,84,46,1,2330
521,84,51,1,2330
522,84,2,1,2330
523,84,41,1,2330
524,84,74,2,2330
525,84,78,1,2330
526,84,45,1,2330
527,84,84,1,2330
528,84,86,1,2330
529,84,90,1,2330
530,42,66,1,2330
531,42,65,1,2330
532,42,93,3,2330
533,42,89,2,2330
534,42,91,3,2330
535,42,76,1,2330
536,42,72,1,2330
537,42,95,1,2330
538,42,90,2,2330
539,42,88,1,2330
540,42,67,1,2330
541,42,75,1,2330
542,42,85,1,2330
543,42,94,1,2330
544,80,93,1,2330
545,80,40,1,2330
546,80,49,1,2330
547,80,63,1,2330
548,80,83,3,2330
549,80,80,1,2330
550,80,92,1,2330
551,80,86,1,2330
552,80,66,1,2330
553,80,50,1,2330
554,80,43,1,2330
555,80,17,1,2330
556,80,87,2,2330
557,80,62,1,2330
558,80,82,1,2330
559,80,88,1,2330
560,45,95,1,2330
561,45,80,1,2330
562,45,89,2,2330
563,45,77,2,2330
564,45,94,1,2330
565,45,68,1,2330
566,45,70,1,2330
567,45,91,1,2330
568,45,69,1,2330
569,45,74,1,2330
570,45,67,2,2330
571,45,65,2,2330
572,45,76,1,2330
573,45,87,2,2330
574,59,32,1,2330
575,59,67,2,2330
576,59,79,1,2330
577,59,85,1,2330
578,59,69,2,2330
579,59,90,1,2330
580,59,100,1,2330
581,59,96,3,2330
582,59,92,1,2330
583,59,94,2,2330
584,59,29,1,2330
585,59,86,1,2330
586,59,73,1,2330
587,59,93,1,2330
588,89,63,1,2330
589,89,58,1,2330
590,89,69,2,2330
591,89,57,1,2330
592,89,95,1,2330
593,89,92,1,2330
594,89,74,1,2330
595,89,43,1,2330
596,89,85,2,2330
597,89,77,1,2330
598,89,83,1,2330
599,89,81,1,2330
600,89,64,1,2330
601,89,73,1,2330
602,89,5,2,2330
603,89,80,3,2330
604,89,48,1,2330
605,89,32,1,2330
606,89,40,1,2330
607,89,82,2,2330
608,89,91,1,2330
609,89,86,1,2330
610,89,51,1,2330
611,60,59,1,2330
612,60,92,4,2330
613,60,31,1,2330
614,60,79,2,2330
615,60,96,1,2330
616,60,91,1,2330
617,60,72,2,2330
618,60,77,1,2330
619,60,74,1,2330
620,60,67,1,2330
621,60,16,1,2330
622,60,65,1,2330
623,60,94,1,2330
624,60,76,1,2330
625,36,60,1,2330
626,36,89,2,2330
627,36,77,1,2330
628,36,92,2,2330
629,36,94,1,2330
630,36,95,1,2330
631,36,33,1,2330
632,36,91,2,2330
633,36,83,1,2330
634,36,85,1,2330
635,36,66,1,2330
636,28,65,1,2330
637,28,30,1,2330
638,28,88,1,2330
639,28,93,2,2330
640,28,69,1,2330
641,28,74,1,2330
642,28,77,2,2330
643,28,44,1,2330
644,28,48,1,2330
645,75,80,3,2330
646,75,73,1,2330
647,75,72,2,2330
648,75,71,2,2330
649,75,90,1,2330
650,75,91,2,2330
651,75,43,1,2330
652,75,59,1,2330
653,75,83,2,2330
654,75,44,1,2330
655,75,14,1,2330
656,75,4,1,2330
657,75,88,1,2330
658,75,66,1,2330
659,75,96,1,2330
660,75,55,1,2330
661,75,79,1,2330
662,75,70,1,2330
663,75,85,1,2330
664,75,100,1,2330
665,75,93,2,2330
666,75,75,1,2330
667,75,74,1,2330
668,75,89,1,2330
669,75,61,1,2330
670,69,63,2,2330
671,69,92,2,2330
672,69,96,1,2330
673,69,95,1,2330
674,69,80,1,2330
675,69,94,1,2330
676,69,87,1,2330
677,69,71,1,2330
678,69,47,1,2330
679,69,49,1,2330
680,69,91,1,2330
681,69,5,1,2330
682,69,31,2,2330
683,69,90,1,2330
684,69,97,1,2330
685,69,93,1,2330
686,69,59,1,2330
687,69,86,1,2330
688,69,69,2,2330
689,69,54,2,2330
690,69,83,1,2330
691,69,62,1,2330
692,40,89,1,2330
693,40,83,1,2330
694,40,94,2,2330
695,40,80,1,2330
696,40,92,2,2330
697,40,75,1,2330
698,40,95,1,2330
699,40,18,1,2330
700,40,68,1,2330
701,40,71,1,2330
