nokta_no,x,y,count,sezon_dakikasi
1,99,0,70,2695
2,99,64,2,2695
3,99,81,1,2695
4,99,40,1,2695
5,99,71,1,2695
6,99,99,5,2695
7,80,26,1,2695
8,80,83,1,2695
9,80,73,4,2695
10,80,45,1,2695
11,80,100,1,2695
12,80,4,1,2695
13,80,95,1,2695
14,80,47,1,2695
15,80,71,1,2695
16,80,67,1,2695
17,80,69,1,2695
18,80,91,1,2695
19,80,14,1,2695
20,80,16,1,2695
21,80,75,1,2695
22,80,80,1,2695
23,80,23,1,2695
24,80,89,1,2695
25,19,94,1,2695
26,19,89,1,2695
27,19,81,2,2695
28,19,82,3,2695
29,19,95,2,2695
30,19,100,3,2695
31,19,71,1,2695
32,19,67,1,2695
33,19,77,1,2695
34,19,76,1,2695
35,19,90,1,2695
36,19,78,1,2695
37,19,87,1,2695
38,19,96,1,2695
39,19,85,1,2695
40,19,73,1,2695
41,19,57,1,2695
42,28,94,1,2695
43,28,92,3,2695
44,28,89,3,2695
45,28,100,6,2695
46,28,83,1,2695
47,28,73,1,2695
48,28,91,1,2695
49,28,87,2,2695
50,28,64,2,2695
51,28,63,1,2695
52,28,90,2,2695
53,28,66,3,2695
54,28,70,1,2695
55,28,96,2,2695
56,28,95,1,2695
57,28,52,1,2695
58,28,97,1,2695
59,28,85,2,2695
60,28,88,1,2695
61,37,94,2,2695
62,37,84,1,2695
63,37,92,4,2695
64,37,97,2,2695
65,37,100,6,2695
66,37,93,3,2695
67,37,87,1,2695
68,37,54,2,2695
69,37,88,3,2695
70,37,85,1,2695
71,37,90,3,2695
72,37,96,1,2695
73,37,95,2,2695
74,37,72,2,2695
75,37,81,1,2695
76,37,80,1,2695
77,37,86,1,2695
78,34,100,1,2695
79,34,87,1,2695
80,34,96,3,2695
81,34,95,2,2695
82,34,82,1,2695
83,34,91,3,2695
84,34,89,2,2695
85,34,90,6,2695
86,34,64,1,2695
87,34,83,1,2695
88,34,88,2,2695
89,34,81,1,2695
90,34,92,3,2695
91,34,71,1,2695
92,34,75,3,2695
