nokta_no,x,y,count,sezon_dakikasi
1,37,30,2,1785
2,37,39,2,1785
3,37,37,1,1785
4,37,35,1,1785
5,37,65,1,1785
6,37,76,1,1785
7,37,88,1,1785
8,37,66,1,1785
9,37,42,1,1785
10,37,46,1,1785
11,37,69,1,1785
12,37,77,2,1785
13,37,73,1,1785
14,37,49,2,1785
15,37,14,1,1785
16,37,21,2,1785
17,11,14,1,1785
18,11,94,1,1785
19,11,48,1,1785
20,11,56,1,1785
21,11,15,1,1785
22,11,36,1,1785
23,11,67,1,1785
24,11,45,1,1785
25,11,19,1,1785
26,10,17,2,1785
27,10,44,1,1785
28,10,54,1,1785
29,10,48,1,1785
30,10,96,2,1785
31,10,13,1,1785
32,10,62,1,1785
33,24,37,2,1785
34,24,63,1,1785
35,24,12,1,1785
36,24,31,2,1785
37,24,32,1,1785
38,24,18,1,1785
39,24,40,2,1785
40,24,36,2,1785
41,24,58,1,1785
42,24,41,1,1785
43,24,75,1,1785
44,24,52,1,1785
45,24,25,1,1785
46,60,28,2,1785
47,60,26,1,1785
48,60,96,1,1785
49,60,81,1,1785
50,60,94,1,1785
51,60,25,1,1785
52,60,88,1,1785
53,60,65,1,1785
54,60,40,1,1785
55,60,57,1,1785
56,60,14,1,1785
57,60,39,1,1785
58,60,23,1,1785
59,60,52,1,1785
60,60,34,1,1785
61,60,30,1,1785
62,36,36,3,1785
63,36,41,1,1785
64,36,63,1,1785
65,36,65,1,1785
66,36,57,1,1785
67,36,68,1,1785
68,36,43,1,1785
69,36,67,1,1785
70,36,29,1,1785
71,36,40,1,1785
72,36,55,2,1785
73,36,74,1,1785
74,36,70,1,1785
75,36,46,1,1785
76,36,30,1,1785
77,36,8,1,1785
78,36,81,1,1785
79,36,61,1,1785
80,36,75,1,1785
81,36,5,1,1785
82,36,58,1,1785
83,36,31,1,1785
84,32,43,1,1785
85,32,26,3,1785
86,32,64,1,1785
87,32,34,1,1785
88,32,63,1,1785
89,32,62,2,1785
90,32,76,3,1785
91,32,42,1,1785
92,32,5,1,1785
93,32,71,1,1785
94,32,44,1,1785
95,32,17,1,1785
96,32,15,1,1785
97,32,57,1,1785
98,32,59,1,1785
99,32,47,1,1785
100,45,45,1,1785
101,45,40,1,1785
102,45,83,2,1785
103,45,30,1,1785
104,45,85,1,1785
105,45,54,1,1785
106,45,75,2,1785
107,45,15,1,1785
108,45,44,1,1785
109,45,12,1,1785
110,45,67,1,1785
111,45,37,1,1785
112,45,41,1,1785
113,45,46,1,1785
114,45,73,1,1785
115,45,21,1,1785
116,45,55,1,1785
117,55,56,1,1785
118,55,95,1,1785
119,55,66,1,1785
120,55,40,1,1785
121,55,54,1,1785
122,55,92,1,1785
123,55,65,1,1785
124,55,67,1,1785
125,55,68,1,1785
126,55,50,1,1785
127,55,9,1,1785
128,55,36,1,1785
129,55,75,1,1785
130,55,12,1,1785
131,55,44,1,1785
132,55,33,1,1785
133,55,38,1,1785
134,55,23,1,1785
135,55,15,1,1785
136,55,82,1,1785
137,55,26,1,1785
138,51,72,2,1785
139,51,85,1,1785
140,51,44,1,1785
141,51,28,1,1785
142,51,30,1,1785
143,51,35,1,1785
144,51,3,1,1785
145,51,58,1,1785
146,51,47,1,1785
147,51,23,1,1785
148,51,26,1,1785
149,54,23,1,1785
150,54,35,2,1785
151,54,56,1,1785
152,54,62,1,1785
153,54,73,1,1785
154,54,71,1,1785
155,54,79,1,1785
156,54,46,1,1785
157,54,8,1,1785
158,54,63,1,1785
159,54,21,1,1785
160,54,83,2,1785
161,54,78,1,1785
162,54,29,1,1785
163,54,14,1,1785
164,54,25,1,1785
165,54,33,1,1785
166,54,53,1,1785
167,63,47,1,1785
168,63,19,1,1785
169,63,96,2,1785
170,63,77,1,1785
171,63,48,1,1785
172,63,30,1,1785
173,63,62,3,1785
174,63,66,1,1785
175,63,71,1,1785
176,63,91,1,1785
177,63,42,1,1785
178,63,51,1,1785
179,63,39,1,1785
180,63,82,1,1785
181,63,60,2,1785
182,63,44,1,1785
183,63,40,1,1785
184,63,12,1,1785
185,63,73,1,1785
186,63,52,1,1785
187,63,50,1,1785
188,63,61,1,1785
189,63,17,1,1785
190,63,23,1,1785
191,43,63,2,1785
192,43,34,2,1785
193,43,33,1,1785
194,43,48,1,1785
195,43,30,1,1785
196,43,90,1,1785
197,43,38,1,1785
198,43,80,1,1785
199,43,92,1,1785
200,43,57,1,1785
201,43,55,1,1785
202,43,26,1,1785
203,43,20,1,1785
204,43,59,1,1785
205,43,24,1,1785
206,43,86,1,1785
207,43,46,1,1785
208,25,49,1,1785
209,25,81,1,1785
210,25,27,1,1785
211,25,86,1,1785
212,25,17,1,1785
213,25,56,2,1785
214,25,71,1,1785
215,25,93,1,1785
216,25,65,1,1785
217,25,52,1,1785
218,25,53,1,1785
219,25,30,1,1785
220,25,55,1,1785
221,25,50,1,1785
222,25,31,1,1785
223,33,78,1,1785
224,33,79,1,1785
225,33,63,1,1785
226,33,75,1,1785
227,33,58,1,1785
228,33,37,1,1785
229,33,83,2,1785
230,33,56,1,1785
231,33,51,1,1785
232,33,71,1,1785
233,33,15,1,1785
234,33,44,1,1785
235,33,72,1,1785
236,33,48,1,1785
237,33,30,1,1785
238,33,86,1,1785
239,39,93,2,1785
240,39,84,1,1785
241,39,39,1,1785
