nokta_no,x,y,count,sezon_dakikasi
1,41,24,1,1172
2,41,69,1,1172
3,41,57,1,1172
4,41,63,1,1172
5,41,64,1,1172
6,41,23,2,1172
7,41,47,1,1172
8,41,89,1,1172
9,41,68,1,1172
10,41,61,2,1172
11,41,50,1,1172
12,41,21,1,1172
13,41,30,1,1172
14,41,73,1,1172
15,41,34,1,1172
16,41,43,1,1172
17,41,51,1,1172
18,41,41,1,1172
19,41,40,1,1172
20,39,25,1,1172
21,39,33,1,1172
22,39,69,1,1172
23,39,30,1,1172
24,39,22,1,1172
25,39,55,1,1172
26,39,63,1,1172
27,39,12,1,1172
28,39,68,1,1172
29,39,20,1,1172
30,39,28,1,1172
31,39,64,1,1172
32,39,6,1,1172
33,39,66,1,1172
34,39,26,1,1172
35,39,65,1,1172
36,39,47,2,1172
37,39,34,2,1172
38,39,57,1,1172
39,39,74,1,1172
40,39,77,1,1172
41,39,79,1,1172
42,39,39,1,1172
43,54,20,1,1172
44,54,14,1,1172
45,54,67,1,1172
46,54,50,1,1172
47,54,69,1,1172
48,54,24,2,1172
49,54,83,1,1172
50,54,70,1,1172
51,54,13,1,1172
52,54,15,1,1172
53,54,17,1,1172
54,54,26,1,1172
55,54,21,2,1172
56,54,63,1,1172
57,54,42,1,1172
58,54,57,1,1172
59,54,88,1,1172
60,54,53,1,1172
61,54,32,1,1172
62,54,27,1,1172
63,54,28,1,1172
64,54,75,1,1172
65,54,6,1,1172
66,53,54,1,1172
67,53,64,1,1172
68,53,63,1,1172
69,53,50,1,1172
70,53,67,1,1172
71,53,86,1,1172
72,53,53,2,1172
73,53,41,1,1172
74,53,17,1,1172
75,53,22,4,1172
76,53,60,1,1172
77,53,42,3,1172
78,53,78,1,1172
79,53,79,1,1172
80,53,62,1,1172
81,53,33,2,1172
82,53,52,1,1172
83,53,66,2,1172
84,53,43,1,1172
85,53,84,1,1172
86,53,80,1,1172
87,51,60,1,1172
88,51,8,1,1172
89,51,64,2,1172
90,51,32,1,1172
91,51,61,1,1172
92,51,19,2,1172
93,51,38,2,1172
94,51,47,1,1172
95,44,69,1,1172
96,44,42,1,1172
97,44,68,3,1172
98,44,58,1,1172
99,44,48,2,1172
100,44,75,1,1172
101,44,25,1,1172
102,44,26,1,1172
103,44,8,2,1172
104,44,10,1,1172
105,44,11,1,1172
106,44,24,1,1172
107,44,33,2,1172
108,44,46,1,1172
109,44,19,1,1172
110,44,52,1,1172
111,44,64,1,1172
112,44,54,1,1172
113,44,61,1,1172
114,44,45,1,1172
115,44,73,1,1172
116,44,14,2,1172
117,44,30,1,1172
118,44,32,1,1172
119,44,60,1,1172
120,44,40,1,1172
121,21,66,1,1172
122,21,58,1,1172
123,21,13,1,1172
124,21,42,1,1172
125,21,46,1,1172
126,21,36,2,1172
127,32,40,3,1172
128,32,66,1,1172
129,32,43,1,1172
130,32,68,1,1172
131,32,36,1,1172
132,32,12,2,1172
133,32,49,1,1172
134,32,72,3,1172
135,32,57,1,1172
136,32,59,1,1172
137,32,17,1,1172
138,32,46,1,1172
139,32,6,1,1172
140,32,50,2,1172
141,32,34,1,1172
142,32,51,1,1172
143,32,53,1,1172
144,45,35,1,1172
145,45,28,1,1172
146,45,44,2,1172
147,45,60,2,1172
148,45,53,1,1172
149,45,55,1,1172
150,45,45,1,1172
