nokta_no,x,y,count,sezon_dakikasi
1,44,59,1,2578
2,44,76,2,2578
3,44,11,1,2578
4,44,18,1,2578
5,44,67,1,2578
6,44,66,2,2578
7,44,47,1,2578
8,44,58,1,2578
9,44,44,1,2578
10,44,85,1,2578
11,44,52,1,2578
12,44,54,2,2578
13,44,49,1,2578
14,44,20,2,2578
15,44,55,1,2578
16,44,35,3,2578
17,44,70,1,2578
18,44,96,1,2578
19,44,33,1,2578
20,44,71,1,2578
21,44,32,1,2578
22,44,46,1,2578
23,44,68,1,2578
24,44,84,1,2578
25,44,27,1,2578
26,44,75,1,2578
27,44,78,1,2578
28,61,65,1,2578
29,61,48,1,2578
30,61,32,1,2578
31,61,16,1,2578
32,61,91,2,2578
33,61,9,1,2578
34,61,26,4,2578
35,61,17,1,2578
36,61,8,1,2578
37,61,84,4,2578
38,61,72,2,2578
39,61,24,2,2578
40,61,66,1,2578
41,61,64,1,2578
42,61,62,1,2578
43,61,22,1,2578
44,61,27,1,2578
45,61,37,2,2578
46,61,40,1,2578
47,61,78,2,2578
48,61,25,1,2578
49,61,83,1,2578
50,61,50,1,2578
51,61,35,2,2578
52,61,80,1,2578
53,61,76,1,2578
54,61,85,2,2578
55,61,23,1,2578
56,61,28,1,2578
57,61,33,2,2578
58,61,90,1,2578
59,61,21,1,2578
60,61,63,1,2578
61,61,43,1,2578
62,61,86,1,2578
63,61,69,1,2578
64,61,73,1,2578
65,62,79,2,2578
66,62,25,2,2578
67,62,84,2,2578
68,62,58,1,2578
69,62,42,1,2578
70,62,91,1,2578
71,62,70,2,2578
72,62,54,2,2578
73,62,26,2,2578
74,62,57,1,2578
75,62,66,2,2578
76,62,85,2,2578
77,62,34,1,2578
78,62,64,2,2578
79,62,82,1,2578
80,62,88,1,2578
81,62,27,1,2578
82,62,72,1,2578
83,62,37,1,2578
84,62,68,1,2578
85,62,6,1,2578
86,62,76,3,2578
87,62,20,1,2578
88,62,69,1,2578
89,62,16,4,2578
