nokta_no,x,y,count,sezon_dakikasi
1,93,74,1,1025
2,93,72,1,1025
3,93,73,1,1025
4,41,94,1,1025
5,41,84,1,1025
6,41,34,1,1025
7,41,54,1,1025
8,52,93,1,1025
9,52,100,1,1025
10,52,67,1,1025
11,52,62,1,1025
12,52,36,1,1025
13,39,83,1,1025
14,39,69,1,1025
15,39,92,1,1025
16,39,96,1,1025
17,39,78,1,1025
18,39,95,1,1025
19,39,94,1,1025
20,70,52,1,1025
21,70,82,2,1025
22,70,59,1,1025
23,70,48,1,1025
24,70,89,2,1025
25,70,83,2,1025
26,70,62,1,1025
27,70,88,1,1025
28,70,65,1,1025
29,70,67,1,1025
30,70,85,1,1025
31,71,26,1,1025
32,71,91,1,1025
33,71,63,1,1025
34,71,62,1,1025
35,71,83,2,1025
36,71,56,2,1025
37,71,71,1,1025
38,71,52,2,1025
39,71,80,1,1025
40,71,88,1,1025
41,71,100,2,1025
42,71,69,1,1025
43,71,92,1,1025
44,71,33,1,1025
45,71,73,1,1025
46,71,67,1,1025
47,71,70,1,1025
48,54,89,1,1025
49,54,96,1,1025
50,54,95,1,1025
51,54,97,1,1025
52,54,54,1,1025
53,54,62,1,1025
54,54,12,2,1025
55,54,53,1,1025
56,54,86,1,1025
57,68,70,1,1025
58,68,77,1,1025
59,68,90,1,1025
60,68,55,1,1025
61,68,89,1,1025
62,68,47,1,1025
63,68,66,1,1025
64,68,91,1,1025
65,68,81,1,1025
66,68,85,1,1025
67,68,63,1,1025
68,68,84,1,1025
69,86,86,1,1025
70,86,41,1,1025
71,86,92,1,1025
72,86,75,1,1025
73,86,89,1,1025
74,86,81,1,1025
75,86,88,1,1025
76,73,69,1,1025
77,73,70,1,1025
78,73,95,1,1025
79,73,72,1,1025
80,73,90,1,1025
81,73,88,1,1025
82,73,97,1,1025
83,73,87,1,1025
84,73,71,1,1025
85,73,42,1,1025
86,53,94,1,1025
87,53,88,1,1025
88,53,90,1,1025
89,53,95,1,1025
90,53,74,1,1025
91,53,87,2,1025
92,53,86,1,1025
93,53,93,1,1025
94,53,68,1,1025
95,53,56,1,1025
96,53,80,1,1025
97,53,45,1,1025
98,56,92,1,1025
99,56,48,1,1025
100,56,91,2,1025
101,56,93,2,1025
102,56,96,2,1025
103,56,72,2,1025
104,56,8,1,1025
105,56,62,1,1025
106,56,82,1,1025
107,78,88,1,1025
108,78,92,1,1025
109,78,91,1,1025
110,78,35,1,1025
111,78,65,1,1025
112,78,62,1,1025
113,74,88,2,1025
114,74,87,1,1025
115,74,93,1,1025
116,74,72,2,1025
117,74,45,1,1025
118,74,84,1,1025
119,74,79,1,1025
120,74,90,1,1025
121,74,73,1,1025
122,74,92,2,1025
123,74,59,1,1025
124,74,8,1,1025
125,74,74,1,1025
126,74,24,1,1025
127,61,100,1,1025
128,61,64,2,1025
129,61,70,1,1025
130,61,78,1,1025
131,61,94,1,1025
132,61,87,1,1025
133,61,83,1,1025
134,61,93,1,1025
135,62,100,1,1025
136,62,67,1,1025
137,62,69,1,1025
138,62,90,1,1025
139,47,89,1,1025
140,47,62,2,1025
141,47,41,1,1025
142,47,29,1,1025
143,47,67,1,1025
144,66,66,2,1025
145,66,77,1,1025
146,66,78,1,1025
147,66,90,1,1025
148,66,92,1,1025
149,66,94,1,1025
150,66,95,2,1025
151,66,71,1,1025
152,66,87,1,1025
153,66,80,1,1025
154,66,97,1,1025
155,66,51,1,1025
156,66,20,1,1025
157,64,17,1,1025
158,64,92,1,1025
159,64,86,3,1025
160,64,96,1,1025
161,64,83,2,1025
162,64,95,2,1025
163,64,98,1,1025
164,64,60,1,1025
165,64,76,1,1025
166,64,90,1,1025
167,85,90,1,1025
168,85,71,1,1025
169,85,67,1,1025
170,85,41,1,1025
171,85,93,1,1025
172,85,57,1,1025
173,85,68,2,1025
174,85,89,1,1025
175,85,91,1,1025
176,85,49,1,1025
177,65,84,2,1025
178,65,62,1,1025
179,65,80,2,1025
180,65,91,1,1025
181,65,78,1,1025
182,65,8,1,1025
183,65,93,1,1025
184,65,61,1,1025
185,65,63,1,1025
186,65,79,1,1025
187,65,76,1,1025
188,65,21,1,1025
189,76,77,1,1025
190,76,48,1,1025
191,76,82,1,1025
192,76,36,1,1025
193,76,90,1,1025
194,76,72,2,1025
195,76,93,1,1025
196,76,75,1,1025
197,76,78,1,1025
198,58,89,1,1025
199,58,21,1,1025
200,28,85,1,1025
201,28,89,1,1025
202,28,81,1,1025
203,28,96,1,1025
204,75,47,1,1025
205,75,94,2,1025
206,75,74,1,1025
207,75,89,1,1025
208,75,75,1,1025
209,75,91,1,1025
210,75,62,1,1025
211,75,92,1,1025
212,87,89,1,1025
213,87,69,2,1025
214,87,64,1,1025
215,87,57,1,1025
216,87,42,1,1025
217,87,74,1,1025
218,87,38,1,1025
219,87,83,1,1025
220,87,70,1,1025
221,87,88,1,1025
222,87,90,1,1025
223,87,67,1,1025
224,83,12,1,1025
225,83,44,1,1025
226,83,87,1,1025
227,83,89,1,1025
228,83,100,1,1025
229,72,8,1,1025
230,72,94,2,1025
231,72,76,1,1025
232,72,57,1,1025
233,72,66,1,1025
234,72,89,1,1025
235,72,85,1,1025
236,72,75,1,1025
237,72,30,1,1025
238,72,58,1,1025
239,72,98,1,1025
240,72,15,1,1025
241,72,83,1,1025
242,72,0,1,1025
243,69,28,1,1025
244,69,61,1,1025
245,69,65,1,1025
246,69,79,1,1025
247,69,92,1,1025
248,69,82,1,1025
249,69,100,1,1025
250,69,42,1,1025
251,59,72,2,1025
252,59,83,2,1025
253,59,88,2,1025
254,59,97,1,1025
255,59,92,1,1025
256,59,94,1,1025
257,59,69,1,1025
258,59,5,1,1025
259,59,95,1,1025
260,59,90,1,1025
261,59,91,1,1025
262,91,59,1,1025
263,91,63,1,1025
264,91,86,1,1025
265,91,65,1,1025
266,91,97,1,1025
267,91,66,1,1025
268,91,71,1,1025
269,90,58,1,1025
270,90,42,1,1025
271,90,37,1,1025
272,90,74,1,1025
273,90,96,1,1025
274,92,56,1,1025
275,23,56,1,1025
276,23,91,1,1025
277,34,53,1,1025
278,34,68,1,1025
279,34,95,1,1025
280,34,74,1,1025
281,34,78,1,1025
282,34,97,1,1025
283,80,66,2,1025
284,80,93,1,1025
285,80,91,1,1025
286,80,96,1,1025
287,80,86,1,1025
288,80,88,1,1025
289,42,91,2,1025
290,42,97,1,1025
291,42,98,1,1025
292,42,52,1,1025
293,42,93,1,1025
294,42,95,2,1025
295,42,65,1,1025
296,42,80,1,1025
297,42,75,1,1025
298,26,70,2,1025
299,26,45,1,1025
300,26,97,1,1025
301,79,62,1,1025
302,79,48,1,1025
303,79,68,1,1025
304,79,75,2,1025
305,79,97,1,1025
306,79,85,1,1025
307,79,86,1,1025
308,79,63,1,1025
309,79,73,1,1025
310,79,80,1,1025
311,79,54,1,1025
312,22,47,1,1025
313,22,84,1,1025
314,48,71,1,1025
315,48,5,1,1025
316,48,65,1,1025
317,48,9,1,1025
318,48,90,1,1025
319,45,69,1,1025
320,45,78,1,1025
321,45,98,1,1025
322,45,59,1,1025
323,45,89,1,1025
324,45,56,1,1025
325,43,64,1,1025
326,43,76,2,1025
327,43,98,1,1025
328,43,86,1,1025
329,43,62,1,1025
330,44,71,1,1025
331,44,7,1,1025
332,44,2,1,1025
333,21,83,1,1025
334,21,59,1,1025
335,21,84,1,1025
336,21,65,1,1025
337,21,26,1,1025
338,84,21,1,1025
339,84,77,2,1025
340,84,75,1,1025
341,84,91,1,1025
342,84,83,1,1025
343,84,84,1,1025
344,84,65,1,1025
345,84,74,1,1025
346,32,94,1,1025
347,32,50,1,1025
348,32,97,1,1025
349,19,47,1,1025
350,19,58,1,1025
351,30,97,1,1025
352,30,55,1,1025
353,30,93,2,1025
354,67,97,1,1025
355,67,69,1,1025
356,67,81,1,1025
357,67,96,1,1025
358,67,68,1,1025
359,67,95,1,1025
360,67,88,1,1025
361,67,10,1,1025
362,67,80,1,1025
363,67,73,1,1025
364,67,82,1,1025
365,67,93,1,1025
366,67,90,1,1025
367,67,17,1,1025
368,40,94,1,1025
