nokta_no,x,y,count,sezon_dakikasi
1,39,87,1,1383
2,39,97,2,1383
3,39,35,1,1383
4,39,36,1,1383
5,39,81,1,1383
6,39,34,1,1383
7,39,92,1,1383
8,39,83,1,1383
9,39,89,1,1383
10,39,13,1,1383
11,39,66,1,1383
12,39,93,1,1383
13,39,79,1,1383
14,39,94,1,1383
15,39,71,2,1383
16,61,17,1,1383
17,61,69,1,1383
18,61,67,1,1383
19,61,80,1,1383
20,61,34,1,1383
21,61,12,1,1383
22,61,78,1,1383
23,61,90,1,1383
24,61,37,1,1383
25,61,76,1,1383
26,61,82,1,1383
27,61,94,1,1383
28,61,41,1,1383
29,61,95,1,1383
30,61,53,2,1383
31,61,87,2,1383
32,61,7,1,1383
33,61,85,1,1383
34,61,6,1,1383
35,75,30,1,1383
36,75,90,1,1383
37,75,67,1,1383
38,75,80,1,1383
39,75,26,1,1383
40,75,74,2,1383
41,75,69,1,1383
42,75,40,1,1383
43,75,3,1,1383
44,75,65,1,1383
45,75,20,1,1383
46,75,11,1,1383
47,75,42,1,1383
48,66,51,1,1383
49,66,35,2,1383
50,66,15,1,1383
51,66,44,1,1383
52,66,82,1,1383
53,66,21,1,1383
54,66,26,1,1383
55,66,31,1,1383
56,66,32,1,1383
57,66,94,1,1383
58,66,100,1,1383
59,66,54,1,1383
60,66,68,1,1383
61,66,29,1,1383
62,66,52,1,1383
63,70,54,1,1383
64,70,93,1,1383
65,70,94,1,1383
66,70,77,1,1383
67,70,69,1,1383
68,70,5,1,1383
69,70,11,2,1383
70,70,92,1,1383
71,70,42,1,1383
72,70,85,1,1383
73,70,30,1,1383
74,70,65,1,1383
75,70,87,1,1383
76,70,95,1,1383
77,70,64,1,1383
78,70,75,1,1383
79,70,80,1,1383
80,70,56,1,1383
81,70,50,1,1383
82,70,90,1,1383
83,69,55,1,1383
84,69,69,2,1383
85,69,57,2,1383
86,69,64,1,1383
87,69,94,1,1383
88,69,65,1,1383
89,69,34,1,1383
90,69,84,1,1383
91,69,60,1,1383
92,69,56,1,1383
93,69,9,1,1383
94,69,92,1,1383
95,69,41,1,1383
96,69,7,1,1383
97,69,51,1,1383
98,69,33,1,1383
99,69,91,1,1383
100,60,14,1,1383
101,60,15,2,1383
102,60,78,1,1383
103,60,89,2,1383
104,60,7,2,1383
105,60,95,1,1383
106,60,72,2,1383
107,60,59,1,1383
108,60,75,1,1383
109,60,28,1,1383
110,60,17,1,1383
111,60,81,1,1383
112,60,85,1,1383
113,60,92,1,1383
114,60,68,1,1383
115,60,26,1,1383
116,60,10,1,1383
117,99,0,3,1383
118,99,99,14,1383
119,99,69,1,1383
120,99,38,1,1383
121,99,32,1,1383
122,84,28,1,1383
123,84,73,1,1383
124,84,63,1,1383
125,84,68,1,1383
126,84,6,1,1383
127,35,28,1,1383
128,35,60,1,1383
129,35,96,1,1383
130,35,82,1,1383
131,35,40,1,1383
132,35,88,1,1383
133,35,58,1,1383
134,58,80,2,1383
135,58,85,1,1383
136,58,75,1,1383
137,58,4,1,1383
138,58,76,2,1383
139,58,64,1,1383
140,58,7,1,1383
141,58,94,1,1383
142,58,92,1,1383
143,58,83,1,1383
144,58,67,2,1383
145,58,71,1,1383
146,58,15,1,1383
147,58,89,2,1383
148,58,36,1,1383
149,58,69,1,1383
150,58,19,1,1383
151,58,30,1,1383
152,58,68,1,1383
153,58,54,1,1383
154,51,92,1,1383
155,51,91,1,1383
156,51,52,1,1383
157,51,70,1,1383
158,51,60,1,1383
159,51,58,1,1383
160,56,89,2,1383
161,56,85,1,1383
162,56,69,1,1383
163,56,90,1,1383
164,56,74,1,1383
165,56,95,1,1383
166,56,76,1,1383
167,56,44,1,1383
168,56,59,1,1383
169,56,9,1,1383
170,56,51,2,1383
171,56,26,1,1383
172,56,49,1,1383
173,56,42,1,1383
174,56,43,1,1383
175,56,58,1,1383
176,56,19,1,1383
177,56,37,1,1383
178,65,47,1,1383
179,65,86,1,1383
180,65,62,2,1383
181,65,41,1,1383
182,65,59,1,1383
183,65,91,1,1383
184,65,93,1,1383
185,65,79,1,1383
186,65,28,3,1383
187,65,73,1,1383
188,65,61,1,1383
189,65,44,1,1383
190,65,89,2,1383
191,65,68,1,1383
192,65,38,1,1383
193,65,74,1,1383
194,93,77,1,1383
195,93,20,1,1383
196,68,80,1,1383
197,68,82,1,1383
198,68,77,1,1383
199,68,93,3,1383
200,68,48,1,1383
201,68,35,1,1383
202,68,92,2,1383
203,68,34,1,1383
204,68,51,1,1383
205,68,59,1,1383
206,68,67,1,1383
207,68,62,1,1383
208,68,70,1,1383
209,68,17,1,1383
210,68,15,1,1383
211,68,68,1,1383
212,68,73,1,1383
213,68,89,1,1383
214,68,45,2,1383
215,68,96,1,1383
216,68,28,1,1383
217,73,89,1,1383
218,73,64,1,1383
219,73,67,1,1383
220,73,62,1,1383
221,73,24,1,1383
222,73,13,2,1383
223,73,14,1,1383
224,73,87,1,1383
225,73,51,1,1383
226,73,11,1,1383
227,73,41,1,1383
228,73,57,1,1383
229,73,97,1,1383
230,73,68,1,1383
231,72,90,1,1383
232,72,67,1,1383
233,72,34,1,1383
234,72,65,2,1383
235,72,48,1,1383
236,72,39,1,1383
237,72,28,1,1383
238,72,17,1,1383
239,72,10,2,1383
240,72,64,2,1383
241,72,57,2,1383
242,72,85,1,1383
243,72,4,1,1383
244,72,59,1,1383
245,72,79,1,1383
246,72,13,1,1383
247,72,50,1,1383
248,55,77,1,1383
249,55,69,1,1383
250,55,91,2,1383
251,55,90,2,1383
252,55,45,1,1383
253,55,71,1,1383
254,55,14,1,1383
255,55,31,1,1383
256,55,65,2,1383
257,55,82,1,1383
258,55,76,2,1383
259,55,6,1,1383
260,55,92,1,1383
261,55,66,1,1383
262,55,88,1,1383
263,55,47,1,1383
264,76,90,3,1383
265,76,70,1,1383
266,76,36,1,1383
267,76,79,1,1383
268,76,10,1,1383
269,76,93,1,1383
270,76,65,1,1383
271,76,75,1,1383
272,76,62,1,1383
273,76,8,1,1383
274,87,90,2,1383
275,87,67,1,1383
276,87,13,1,1383
277,87,95,1,1383
278,87,75,1,1383
279,62,91,3,1383
280,62,67,1,1383
281,62,27,2,1383
282,62,86,1,1383
283,62,65,1,1383
284,62,79,1,1383
285,62,80,2,1383
286,62,64,1,1383
287,62,60,1,1383
288,62,89,1,1383
289,62,94,1,1383
290,62,29,1,1383
291,62,73,1,1383
292,62,83,1,1383
293,62,59,1,1383
294,62,84,1,1383
295,62,93,1,1383
296,62,19,2,1383
297,62,25,1,1383
298,62,52,1,1383
299,62,7,1,1383
300,62,20,3,1383
301,62,41,1,1383
302,62,87,1,1383
303,62,76,1,1383
304,62,88,1,1383
305,63,88,1,1383
306,63,75,3,1383
307,63,64,1,1383
308,63,41,1,1383
309,63,29,1,1383
310,63,24,1,1383
311,63,80,1,1383
312,63,81,3,1383
313,63,90,2,1383
314,63,42,1,1383
315,63,76,1,1383
316,63,87,2,1383
317,63,20,1,1383
318,63,67,1,1383
319,63,94,1,1383
320,63,82,1,1383
321,63,66,2,1383
322,63,25,1,1383
323,63,93,1,1383
324,63,63,1,1383
325,63,85,2,1383
326,63,69,1,1383
327,63,27,1,1383
328,63,51,1,1383
329,63,6,1,1383
330,43,93,1,1383
331,43,92,1,1383
332,43,74,1,1383
333,43,77,2,1383
334,43,90,3,1383
335,43,52,1,1383
336,43,76,1,1383
337,43,72,1,1383
338,43,85,1,1383
339,43,65,1,1383
340,43,37,1,1383
341,43,91,1,1383
342,43,12,1,1383
343,57,93,1,1383
344,57,61,1,1383
345,57,68,1,1383
346,57,9,1,1383
347,57,76,2,1383
348,57,67,1,1383
349,57,13,1,1383
350,57,71,1,1383
351,57,87,1,1383
352,57,72,1,1383
353,57,78,1,1383
354,57,52,1,1383
355,57,75,1,1383
356,57,90,1,1383
357,57,23,1,1383
358,57,11,1,1383
359,57,56,1,1383
360,57,54,2,1383
361,50,58,1,1383
362,50,47,1,1383
363,50,50,2,1383
364,50,93,1,1383
365,14,16,1,1383
366,14,19,1,1383
367,14,51,1,1383
368,30,76,1,1383
369,30,14,1,1383
370,30,50,1,1383
371,30,35,1,1383
372,30,87,1,1383
373,30,43,1,1383
374,30,86,1,1383
375,30,4,1,1383
376,30,70,1,1383
377,30,36,1,1383
378,30,72,1,1383
379,30,80,1,1383
380,33,58,2,1383
381,33,77,1,1383
382,33,26,1,1383
383,33,60,1,1383
384,33,94,1,1383
385,33,61,1,1383
386,33,49,1,1383
387,33,21,1,1383
388,33,85,1,1383
389,41,66,1,1383
390,41,78,1,1383
391,41,85,1,1383
392,41,54,1,1383
393,41,33,1,1383
394,41,88,3,1383
395,41,44,1,1383
396,41,5,1,1383
397,41,37,1,1383
398,32,89,1,1383
399,32,88,1,1383
400,32,93,2,1383
401,32,94,1,1383
402,32,44,1,1383
403,32,61,1,1383
404,32,78,1,1383
405,32,86,1,1383
406,32,80,1,1383
407,32,83,1,1383
408,32,55,1,1383
409,32,16,1,1383
410,32,63,1,1383
411,32,48,2,1383
412,32,23,1,1383
413,32,87,1,1383
414,32,56,1,1383
415,32,36,1,1383
416,32,79,1,1383
417,37,84,2,1383
418,37,37,1,1383
419,37,48,1,1383
420,37,38,1,1383
421,37,56,1,1383
422,37,25,1,1383
423,37,44,1,1383
424,37,36,1,1383
425,37,62,1,1383
426,37,63,1,1383
427,37,78,1,1383
428,80,82,1,1383
429,80,37,1,1383
430,80,26,1,1383
431,80,49,2,1383
432,80,52,1,1383
433,80,87,1,1383
434,80,95,1,1383
435,80,94,1,1383
436,80,7,1,1383
437,74,96,3,1383
438,74,19,1,1383
439,74,76,1,1383
440,74,37,2,1383
441,74,82,1,1383
442,74,47,1,1383
443,74,92,1,1383
444,74,69,2,1383
445,74,70,1,1383
446,74,41,1,1383
447,64,4,1,1383
448,64,57,1,1383
449,64,30,1,1383
450,64,37,2,1383
451,64,38,1,1383
452,64,71,1,1383
453,64,69,1,1383
454,64,83,2,1383
455,64,76,1,1383
456,64,16,1,1383
457,64,60,1,1383
458,64,48,1,1383
459,64,79,1,1383
460,64,65,1,1383
461,64,46,1,1383
462,78,39,1,1383
463,78,81,1,1383
464,78,86,2,1383
465,78,88,1,1383
466,78,2,1,1383
467,78,91,1,1383
468,78,13,1,1383
469,78,80,1,1383
470,44,17,1,1383
471,44,12,1,1383
472,44,64,1,1383
473,44,68,1,1383
474,44,57,1,1383
475,44,52,1,1383
476,44,69,1,1383
477,44,74,1,1383
478,44,48,1,1383
479,44,25,1,1383
480,44,82,2,1383
481,44,93,1,1383
482,44,92,1,1383
483,44,81,1,1383
484,44,41,1,1383
485,44,79,1,1383
486,44,84,1,1383
487,44,83,1,1383
488,44,34,1,1383
489,44,35,1,1383
490,25,48,1,1383
491,25,75,2,1383
492,25,96,1,1383
493,25,27,1,1383
494,25,66,1,1383
495,25,85,1,1383
496,25,56,1,1383
497,67,80,1,1383
498,67,57,2,1383
499,67,37,2,1383
500,67,84,1,1383
501,67,67,1,1383
502,67,40,1,1383
503,67,61,1,1383
504,67,94,1,1383
505,67,41,1,1383
506,67,49,1,1383
507,67,81,1,1383
508,67,16,1,1383
509,67,17,1,1383
510,67,4,1,1383
511,67,76,1,1383
512,67,74,2,1383
513,45,54,1,1383
514,45,42,1,1383
515,45,93,1,1383
516,45,43,1,1383
517,45,51,1,1383
518,45,46,2,1383
519,45,94,1,1383
520,45,50,1,1383
521,45,90,1,1383
522,45,89,1,1383
523,45,57,1,1383
524,45,41,1,1383
525,45,79,1,1383
526,45,64,1,1383
527,46,53,1,1383
528,46,35,1,1383
529,46,42,1,1383
530,46,61,1,1383
531,46,91,1,1383
532,46,85,1,1383
533,46,68,1,1383
534,46,18,1,1383
535,46,49,1,1383
536,46,87,1,1383
537,46,50,1,1383
538,46,52,1,1383
539,46,78,1,1383
540,54,7,1,1383
541,54,69,2,1383
542,54,89,1,1383
543,54,36,1,1383
544,54,84,1,1383
545,54,90,2,1383
546,54,47,1,1383
547,54,16,1,1383
548,54,43,2,1383
549,54,46,1,1383
550,54,71,1,1383
551,54,74,1,1383
552,54,34,1,1383
553,54,94,1,1383
554,54,23,1,1383
555,54,80,1,1383
556,31,22,2,1383
557,31,65,1,1383
558,31,9,1,1383
559,31,6,1,1383
560,31,16,1,1383
561,31,41,2,1383
562,31,69,1,1383
563,31,37,1,1383
564,31,74,1,1383
565,31,72,1,1383
566,59,91,1,1383
567,59,31,2,1383
568,59,74,1,1383
569,59,100,1,1383
570,59,68,1,1383
571,59,94,1,1383
572,59,82,1,1383
573,59,28,1,1383
574,59,19,1,1383
575,59,88,2,1383
576,59,83,1,1383
577,59,12,1,1383
578,59,27,1,1383
579,59,53,1,1383
580,59,25,1,1383
581,59,73,1,1383
582,59,71,1,1383
583,59,63,2,1383
584,53,57,1,1383
585,53,79,1,1383
586,53,60,1,1383
587,53,93,1,1383
588,53,29,1,1383
589,53,92,1,1383
590,53,96,1,1383
591,53,50,1,1383
592,53,55,1,1383
593,53,46,1,1383
594,52,94,1,1383
595,52,66,1,1383
596,52,47,1,1383
597,52,58,1,1383
598,52,92,1,1383
599,52,40,1,1383
600,52,56,1,1383
601,52,90,1,1383
602,52,68,1,1383
603,52,44,1,1383
604,40,78,1,1383
605,40,28,1,1383
606,40,69,1,1383
607,40,85,1,1383
608,40,65,1,1383
609,40,15,1,1383
