nokta_no,x,y,count,sezon_dakikasi
1,73,15,1,1753
2,73,10,2,1753
3,73,1,1,1753
4,73,24,1,1753
5,70,11,2,1753
6,70,17,1,1753
7,70,3,2,1753
8,70,0,1,1753
9,70,10,1,1753
10,70,14,1,1753
11,57,6,2,1753
12,57,31,2,1753
13,57,89,1,1753
14,57,93,1,1753
15,57,8,1,1753
16,57,25,2,1753
17,57,49,1,1753
18,57,65,1,1753
19,57,36,1,1753
20,57,5,1,1753
21,57,17,2,1753
22,57,4,1,1753
23,57,0,1,1753
24,57,19,1,1753
25,57,11,1,1753
26,57,3,1,1753
27,57,9,1,1753
28,57,15,1,1753
29,57,23,3,1753
30,57,13,1,1753
31,64,5,2,1753
32,64,18,3,1753
33,64,20,1,1753
34,64,11,1,1753
35,64,89,1,1753
36,64,27,1,1753
37,64,0,1,1753
38,64,21,1,1753
39,64,6,1,1753
40,64,15,1,1753
41,64,17,1,1753
42,64,38,1,1753
43,64,12,1,1753
44,64,13,1,1753
45,64,7,1,1753
46,4,57,1,1753
47,4,39,1,1753
48,4,87,1,1753
49,4,78,2,1753
50,4,32,1,1753
51,4,47,1,1753
52,8,2,1,1753
53,8,46,3,1753
54,8,76,1,1753
55,8,69,1,1753
56,8,17,1,1753
57,8,26,1,1753
58,8,15,1,1753
59,8,38,1,1753
60,8,53,2,1753
61,8,48,1,1753
62,8,52,1,1753
63,8,33,1,1753
64,8,40,1,1753
65,8,13,1,1753
66,8,23,1,1753
67,8,12,1,1753
68,8,24,1,1753
69,8,56,1,1753
70,8,7,1,1753
71,8,10,1,1753
72,8,5,1,1753
73,36,34,2,1753
74,36,19,1,1753
75,36,5,2,1753
76,36,87,1,1753
77,36,65,2,1753
78,36,67,1,1753
79,36,25,3,1753
80,36,7,1,1753
81,36,23,2,1753
82,36,17,1,1753
83,36,26,1,1753
84,36,31,3,1753
85,36,32,1,1753
86,36,28,1,1753
87,36,22,1,1753
88,36,60,1,1753
89,36,0,2,1753
90,36,20,1,1753
91,36,89,1,1753
92,36,18,1,1753
93,36,6,2,1753
94,36,13,1,1753
95,36,14,1,1753
96,36,4,2,1753
97,36,29,1,1753
98,35,37,2,1753
99,35,13,1,1753
100,35,7,2,1753
101,35,77,1,1753
102,35,48,1,1753
103,35,20,2,1753
104,35,60,1,1753
105,35,15,1,1753
106,35,92,1,1753
107,35,93,1,1753
108,35,84,1,1753
109,35,22,2,1753
110,35,27,2,1753
111,35,36,1,1753
112,35,25,1,1753
113,35,17,1,1753
114,35,23,1,1753
115,35,9,1,1753
116,35,30,1,1753
117,35,8,1,1753
118,35,16,1,1753
119,35,21,1,1753
120,35,18,1,1753
121,35,46,1,1753
122,35,69,1,1753
123,35,33,1,1753
124,34,24,1,1753
125,34,14,1,1753
126,34,17,2,1753
127,34,72,2,1753
128,34,35,2,1753
129,34,93,1,1753
130,34,20,1,1753
131,34,53,1,1753
