nokta_no,x,y,count,sezon_dakikasi
1,70,0,2,1011
2,70,17,1,1011
3,70,4,1,1011
4,70,11,1,1011
5,70,32,1,1011
6,70,12,1,1011
7,70,48,1,1011
8,49,8,1,1011
9,49,0,1,1011
10,19,7,1,1011
11,19,31,2,1011
12,19,23,1,1011
13,19,14,1,1011
14,19,37,1,1011
15,19,8,1,1011
16,14,18,2,1011
17,14,45,1,1011
18,14,8,1,1011
19,14,11,1,1011
20,14,12,1,1011
21,14,16,1,1011
22,21,17,1,1011
23,21,27,1,1011
24,21,5,2,1011
25,21,12,1,1011
26,21,6,1,1011
27,21,0,1,1011
28,21,10,1,1011
29,21,15,1,1011
30,2,35,1,1011
31,2,85,1,1011
32,2,13,2,1011
33,2,14,1,1011
34,3,35,3,1011
35,3,32,1,1011
36,3,22,1,1011
37,3,5,1,1011
38,3,40,1,1011
39,18,12,1,1011
40,18,14,1,1011
41,18,61,1,1011
42,18,15,1,1011
43,18,9,1,1011
44,18,53,1,1011
45,18,10,1,1011
46,18,11,1,1011
47,88,28,1,1011
48,88,7,1,1011
49,88,24,1,1011
50,88,8,1,1011
51,88,0,2,1011
52,88,6,1,1011
53,25,24,1,1011
54,25,19,1,1011
55,25,5,1,1011
56,25,0,1,1011
57,25,12,2,1011
58,25,16,1,1011
59,25,3,1,1011
60,1,33,1,1011
61,1,44,1,1011
62,22,28,1,1011
63,22,7,1,1011
64,22,13,1,1011
65,22,18,1,1011
66,22,6,1,1011
67,22,4,1,1011
68,24,15,1,1011
69,24,0,1,1011
70,24,9,1,1011
71,24,8,1,1011
72,24,7,1,1011
73,24,34,1,1011
74,24,72,1,1011
75,24,17,1,1011
76,24,6,1,1011
77,24,49,1,1011
78,24,13,1,1011
79,24,43,1,1011
80,26,26,1,1011
81,26,52,1,1011
82,26,0,1,1011
83,26,6,1,1011
84,26,19,1,1011
85,26,25,1,1011
86,26,7,2,1011
87,26,8,1,1011
88,90,0,2,1011
89,12,9,1,1011
90,12,13,1,1011
91,12,37,1,1011
92,12,15,1,1011
93,12,30,1,1011
94,12,10,1,1011
95,12,29,1,1011
96,12,35,1,1011
97,12,4,1,1011
98,34,16,1,1011
99,34,0,1,1011
100,34,7,1,1011
101,34,15,1,1011
102,34,31,1,1011
103,35,13,2,1011
104,35,28,1,1011
105,35,6,2,1011
106,35,20,1,1011
107,35,7,1,1011
108,35,11,1,1011
109,35,34,1,1011
110,35,18,1,1011
111,35,0,1,1011
112,42,5,1,1011
113,42,4,1,1011
114,42,13,1,1011
115,42,34,1,1011
116,42,22,1,1011
117,63,9,1,1011
118,63,13,1,1011
119,63,35,1,1011
120,63,25,1,1011
121,63,15,1,1011
122,63,18,1,1011
123,63,32,1,1011
124,80,29,1,1011
125,80,3,1,1011
126,80,8,1,1011
127,81,7,1,1011
128,81,0,2,1011
129,81,3,1,1011
130,81,27,1,1011
131,81,13,1,1011
132,81,33,1,1011
133,65,17,1,1011
134,65,7,2,1011
135,65,6,1,1011
136,65,13,1,1011
137,65,11,1,1011
138,64,16,1,1011
139,64,8,1,1011
140,64,3,2,1011
141,64,19,1,1011
142,64,4,2,1011
143,64,21,1,1011
144,64,38,1,1011
145,64,71,1,1011
146,64,7,1,1011
147,64,36,1,1011
148,27,15,1,1011
149,27,33,1,1011
150,27,12,2,1011
151,27,6,1,1011
152,27,28,1,1011
153,27,9,1,1011
154,27,11,1,1011
155,27,34,1,1011
156,61,8,1,1011
157,61,13,2,1011
158,61,24,1,1011
159,61,18,2,1011
160,61,29,1,1011
161,61,7,1,1011
162,61,0,1,1011
163,61,10,1,1011
164,61,12,1,1011
165,61,11,1,1011
166,61,6,1,1011
167,61,3,1,1011
168,61,14,1,1011
169,29,29,1,1011
170,29,0,1,1011
171,29,9,1,1011
172,29,8,1,1011
173,29,28,1,1011
174,29,20,1,1011
175,29,17,1,1011
176,30,18,1,1011
177,30,10,1,1011
178,30,12,2,1011
179,30,11,1,1011
180,30,9,1,1011
181,30,36,1,1011
182,30,27,1,1011
183,30,23,1,1011
184,30,15,1,1011
185,30,17,1,1011
186,30,13,1,1011
187,32,0,3,1011
188,32,30,1,1011
189,32,7,2,1011
190,32,6,2,1011
191,32,9,1,1011
192,32,24,1,1011
193,32,4,1,1011
194,32,16,1,1011
195,32,29,1,1011
196,32,17,1,1011
197,32,13,1,1011
198,96,28,1,1011
199,96,19,1,1011
200,96,12,1,1011
201,76,21,1,1011
202,76,20,1,1011
203,76,17,1,1011
204,15,15,2,1011
205,15,14,2,1011
206,15,21,1,1011
207,15,10,2,1011
208,15,45,1,1011
209,15,9,1,1011
210,15,12,1,1011
211,56,32,1,1011
212,56,14,1,1011
213,56,13,3,1011
214,56,23,1,1011
215,56,4,1,1011
216,56,7,1,1011
217,56,10,1,1011
218,56,52,1,1011
219,55,28,2,1011
220,55,12,2,1011
221,55,0,1,1011
222,55,24,1,1011
223,55,18,1,1011
224,55,1,1,1011
225,53,15,1,1011
226,53,25,1,1011
227,53,7,1,1011
228,53,5,1,1011
229,53,21,1,1011
230,53,14,1,1011
231,53,12,1,1011
232,53,19,1,1011
233,20,25,1,1011
234,20,90,1,1011
235,20,20,1,1011
236,20,43,1,1011
237,20,8,1,1011
238,20,9,1,1011
239,20,37,1,1011
240,20,6,1,1011
241,46,40,1,1011
242,46,45,1,1011
243,46,49,1,1011
244,46,44,1,1011
245,46,3,2,1011
246,46,36,1,1011
247,46,10,1,1011
248,46,0,1,1011
249,46,11,1,1011
250,46,9,1,1011
251,44,50,1,1011
252,44,14,1,1011
253,41,23,2,1011
254,41,15,1,1011
255,41,18,1,1011
256,41,3,1,1011
257,41,10,1,1011
258,41,0,1,1011
259,41,6,1,1011
260,41,14,1,1011
261,41,20,1,1011
262,41,8,1,1011
263,37,6,2,1011
264,37,7,1,1011
265,37,11,1,1011
266,37,0,1,1011
267,37,16,1,1011
268,37,10,1,1011
269,37,30,1,1011
270,37,4,1,1011
271,66,12,1,1011
272,66,28,1,1011
273,66,22,1,1011
274,66,9,1,1011
275,47,23,1,1011
276,47,0,1,1011
277,47,13,1,1011
278,47,59,1,1011
279,47,3,1,1011
280,47,5,1,1011
281,83,8,1,1011
282,83,5,1,1011
283,62,7,1,1011
284,62,25,1,1011
285,62,4,1,1011
286,62,3,1,1011
287,62,5,1,1011
288,62,14,3,1011
289,62,18,1,1011
290,62,32,1,1011
291,51,14,2,1011
292,51,34,1,1011
293,51,4,1,1011
294,51,10,2,1011
295,6,24,1,1011
296,6,17,1,1011
297,6,19,1,1011
298,6,22,1,1011
299,6,39,2,1011
300,6,12,1,1011
301,43,20,1,1011
302,43,13,1,1011
303,43,15,1,1011
304,43,45,1,1011
305,43,8,1,1011
306,43,0,1,1011
307,43,34,1,1011
308,43,17,1,1011
309,43,11,2,1011
310,43,5,1,1011
311,43,3,1,1011
312,72,28,1,1011
313,72,0,1,1011
314,45,14,1,1011
315,45,18,1,1011
316,45,44,1,1011
317,45,47,2,1011
318,45,42,1,1011
319,45,6,1,1011
320,45,29,1,1011
321,45,32,1,1011
322,45,20,1,1011
323,45,12,1,1011
324,31,30,1,1011
325,31,11,1,1011
326,31,12,1,1011
327,31,0,2,1011
328,31,19,1,1011
329,31,9,2,1011
330,31,39,1,1011
331,31,8,1,1011
332,31,3,1,1011
333,23,13,1,1011
334,23,93,1,1011
335,23,42,1,1011
336,23,6,1,1011
337,23,4,1,1011
338,23,15,1,1011
339,23,10,1,1011
340,36,0,1,1011
341,36,5,3,1011
342,36,20,1,1011
343,36,44,1,1011
344,36,25,1,1011
345,36,34,1,1011
346,52,25,1,1011
347,52,0,2,1011
348,52,9,1,1011
349,52,7,1,1011
350,52,16,1,1011
351,52,5,1,1011
352,57,23,1,1011
353,57,17,1,1011
354,57,0,3,1011
355,57,6,3,1011
356,57,10,1,1011
357,57,9,1,1011
358,57,25,1,1011
359,71,3,1,1011
360,71,8,1,1011
361,71,10,1,1011
362,71,33,1,1011
363,71,4,1,1011
364,71,39,1,1011
365,71,40,1,1011
366,40,6,2,1011
367,40,2,1,1011
368,40,9,2,1011
369,40,11,1,1011
370,40,3,1,1011
371,40,23,1,1011
372,67,9,1,1011
373,67,10,1,1011
374,67,68,1,1011
375,67,41,1,1011
376,67,0,1,1011
377,67,36,1,1011
378,86,2,1,1011
379,60,24,1,1011
380,60,19,2,1011
381,60,23,1,1011
382,60,13,1,1011
383,60,17,1,1011
384,60,4,1,1011
385,68,2,1,1011
386,68,11,1,1011
387,68,40,1,1011
388,68,5,1,1011
389,68,19,1,1011
390,68,6,1,1011
391,69,6,1,1011
392,69,3,3,1011
393,69,28,1,1011
394,69,45,1,1011
395,69,12,1,1011
396,69,15,1,1011
397,69,7,1,1011
398,69,17,1,1011
399,39,7,2,1011
400,39,3,1,1011
401,39,6,1,1011
402,39,9,1,1011
403,98,2,1,1011
404,98,75,1,1011
405,4,17,1,1011
406,4,39,1,1011
407,4,50,1,1011
408,4,14,1,1011
409,4,4,1,1011
410,4,9,1,1011
411,4,34,1,1011
412,4,5,2,1011
413,4,27,1,1011
414,4,46,1,1011
415,4,6,1,1011
416,9,4,1,1011
417,9,31,1,1011
418,9,43,1,1011
419,9,34,1,1011
420,9,12,1,1011
421,9,16,1,1011
422,9,33,1,1011
423,9,30,1,1011
424,9,9,1,1011
425,9,32,1,1011
426,75,5,1,1011
427,75,13,1,1011
428,75,0,1,1011
429,75,28,1,1011
430,75,14,1,1011
431,94,12,1,1011
432,94,4,1,1011
433,94,23,1,1011
434,94,13,1,1011
435,94,6,1,1011
436,77,9,1,1011
437,77,24,1,1011
438,77,20,1,1011
439,77,2,1,1011
440,77,3,1,1011
441,33,3,1,1011
442,33,30,1,1011
443,33,9,1,1011
444,33,20,1,1011
445,33,15,1,1011
446,33,4,1,1011
447,33,7,1,1011
448,33,8,2,1011
449,92,11,1,1011
450,92,10,1,1011
451,92,12,1,1011
452,8,47,3,1011
453,8,65,1,1011
454,8,41,1,1011
455,8,5,1,1011
456,8,8,1,1011
457,8,11,1,1011
458,8,25,1,1011
459,8,9,1,1011
460,8,66,1,1011
461,91,11,1,1011
462,91,34,1,1011
463,91,24,1,1011
464,17,16,1,1011
465,17,40,1,1011
466,17,4,1,1011
467,7,16,1,1011
468,7,34,1,1011
469,7,5,3,1011
470,7,50,1,1011
471,7,14,1,1011
472,7,36,1,1011
473,7,7,1,1011
474,7,45,1,1011
475,7,43,1,1011
476,7,42,1,1011
477,7,47,1,1011
478,7,20,1,1011
479,7,32,1,1011
480,11,4,1,1011
481,11,39,1,1011
482,11,48,1,1011
483,11,18,1,1011
484,11,10,1,1011
485,11,13,1,1011
486,10,42,2,1011
487,10,37,2,1011
488,10,6,1,1011
489,10,49,1,1011
490,10,12,1,1011
491,10,47,1,1011
492,10,23,2,1011
493,38,16,2,1011
494,38,32,1,1011
495,38,14,1,1011
496,38,13,1,1011
497,38,15,1,1011
498,38,0,1,1011
499,38,22,1,1011
500,93,3,1,1011
501,93,0,1,1011
502,93,15,1,1011
503,28,28,1,1011
504,28,2,1,1011
505,28,46,2,1011
506,28,51,1,1011
507,28,17,1,1011
508,28,52,1,1011
509,28,8,1,1011
510,28,34,1,1011
511,54,6,1,1011
512,54,21,1,1011
513,54,14,1,1011
514,54,11,1,1011
515,54,10,1,1011
516,54,8,1,1011
517,87,25,1,1011
518,87,9,1,1011
519,87,0,1,1011
520,87,32,1,1011
521,5,11,1,1011
522,5,56,1,1011
523,5,12,1,1011
524,5,15,1,1011
525,73,49,1,1011
526,73,41,1,1011
527,73,8,2,1011
528,73,12,1,1011
529,58,8,1,1011
530,58,7,1,1011
531,58,19,1,1011
532,58,20,1,1011
533,58,10,1,1011
534,58,6,1,1011
535,58,4,1,1011
536,58,0,2,1011
537,16,12,1,1011
538,16,38,2,1011
539,16,2,1,1011
540,59,13,1,1011
541,59,8,1,1011
542,59,15,1,1011
543,59,14,1,1011
544,59,12,1,1011
545,89,37,1,1011
546,89,0,2,1011
547,89,34,1,1011
548,97,30,1,1011
549,97,37,1,1011
550,97,18,1,1011
551,97,0,1,1011
552,13,13,1,1011
553,13,5,2,1011
554,13,10,2,1011
555,13,7,1,1011
556,13,12,1,1011
557,13,24,1,1011
558,13,31,1,1011
559,84,4,1,1011
560,48,21,1,1011
561,48,8,1,1011
562,48,7,1,1011
563,74,2,1,1011
564,74,16,1,1011
565,74,24,1,1011
566,74,15,1,1011
567,85,2,1,1011
568,85,46,1,1011
569,85,11,1,1011
570,79,8,1,1011
571,82,0,1,1011
572,78,0,2,1011
573,95,5,1,1011
574,95,37,1,1011
