nokta_no,x,y,count,sezon_dakikasi
1,28,38,3,2556
2,28,32,2,2556
3,28,27,2,2556
4,28,35,5,2556
5,28,30,1,2556
6,28,3,1,2556
7,28,41,2,2556
8,28,4,1,2556
9,28,24,2,2556
10,28,23,2,2556
11,28,17,2,2556
12,28,28,2,2556
13,28,9,1,2556
14,28,36,1,2556
15,28,58,1,2556
16,28,5,1,2556
17,28,64,2,2556
18,28,49,3,2556
19,28,34,7,2556
20,28,40,1,2556
21,28,56,1,2556
22,28,31,2,2556
23,28,42,1,2556
24,28,48,2,2556
25,28,39,1,2556
26,28,44,1,2556
27,28,43,2,2556
28,28,33,1,2556
29,28,62,1,2556
30,28,52,1,2556
31,28,63,1,2556
32,28,51,1,2556
33,28,65,1,2556
34,28,53,1,2556
35,28,54,1,2556
36,28,73,1,2556
37,27,60,2,2556
38,27,32,2,2556
39,27,35,2,2556
40,27,50,2,2556
41,27,41,1,2556
42,27,36,3,2556
43,27,19,2,2556
44,27,28,1,2556
45,27,26,1,2556
46,27,34,3,2556
47,27,27,2,2556
48,27,38,2,2556
49,27,20,1,2556
50,27,24,1,2556
51,27,49,1,2556
52,27,18,1,2556
53,27,79,2,2556
54,27,10,1,2556
55,27,59,1,2556
56,27,30,2,2556
57,27,37,2,2556
58,27,17,2,2556
59,27,25,2,2556
60,27,8,1,2556
61,27,47,1,2556
62,27,33,1,2556
63,27,6,1,2556
64,27,53,2,2556
65,27,43,1,2556
66,27,52,1,2556
67,27,78,2,2556
68,27,54,1,2556
69,27,12,1,2556
70,25,44,1,2556
71,25,37,4,2556
72,25,26,2,2556
73,25,28,1,2556
74,25,9,1,2556
75,25,10,2,2556
76,25,59,2,2556
77,25,24,1,2556
78,25,47,2,2556
79,25,71,1,2556
80,25,32,1,2556
81,25,49,1,2556
82,25,25,2,2556
83,25,33,2,2556
84,25,39,1,2556
85,25,46,1,2556
86,25,62,2,2556
87,25,22,1,2556
88,25,30,2,2556
89,25,7,1,2556
90,25,18,2,2556
91,25,27,1,2556
92,25,29,2,2556
93,25,89,1,2556
94,25,51,2,2556
95,25,41,1,2556
96,25,16,2,2556
97,25,40,1,2556
98,25,43,1,2556
99,25,67,1,2556
100,25,57,2,2556
101,25,64,1,2556
102,25,35,1,2556
103,19,29,2,2556
104,19,40,1,2556
105,19,33,3,2556
106,19,59,1,2556
107,19,51,2,2556
108,19,23,1,2556
109,19,58,1,2556
110,19,15,1,2556
111,19,28,1,2556
112,19,9,1,2556
113,19,25,3,2556
114,19,8,2,2556
115,19,46,1,2556
116,19,37,1,2556
117,19,38,1,2556
118,19,7,1,2556
119,19,43,2,2556
120,19,17,1,2556
121,19,11,1,2556
122,19,22,1,2556
123,19,54,1,2556
124,19,12,1,2556
125,19,44,1,2556
126,19,78,1,2556
127,19,18,1,2556
128,19,3,1,2556
129,26,31,1,2556
130,26,24,3,2556
131,26,19,2,2556
132,26,61,1,2556
133,26,35,1,2556
134,26,40,1,2556
135,26,45,3,2556
136,26,36,1,2556
137,26,37,2,2556
138,26,65,2,2556
139,26,39,3,2556
140,26,29,1,2556
141,26,30,1,2556
142,26,59,1,2556
143,26,11,2,2556
144,26,22,1,2556
145,26,54,2,2556
146,26,6,1,2556
147,26,32,1,2556
148,26,20,1,2556
149,26,33,1,2556
150,26,17,1,2556
151,26,27,3,2556
152,26,48,1,2556
153,26,21,1,2556
154,26,67,2,2556
155,26,51,1,2556
156,26,49,2,2556
157,26,57,1,2556
158,26,23,1,2556
159,26,10,1,2556
160,26,18,1,2556
161,26,66,1,2556
162,26,44,1,2556
163,26,38,1,2556
164,26,60,1,2556
165,26,78,2,2556
166,26,62,1,2556
167,26,69,2,2556
168,26,43,1,2556
169,32,24,3,2556
170,32,28,3,2556
171,32,11,2,2556
172,32,37,3,2556
173,32,64,1,2556
174,32,33,5,2556
175,32,35,4,2556
176,32,38,2,2556
177,32,27,1,2556
178,32,50,3,2556
179,32,10,4,2556
180,32,8,2,2556
181,32,7,4,2556
182,32,30,2,2556
183,32,68,1,2556
184,32,40,4,2556
185,32,25,1,2556
186,32,63,1,2556
187,32,36,2,2556
188,32,6,1,2556
189,32,59,2,2556
190,32,16,1,2556
191,32,26,2,2556
192,32,43,1,2556
193,32,60,1,2556
194,32,48,1,2556
195,32,31,1,2556
196,32,14,1,2556
197,32,9,1,2556
198,32,21,1,2556
199,32,15,1,2556
200,32,32,1,2556
201,32,53,1,2556
202,32,67,1,2556
203,32,52,1,2556
204,33,29,1,2556
205,33,27,2,2556
206,33,45,3,2556
207,33,53,3,2556
208,33,4,1,2556
209,33,26,2,2556
210,33,5,1,2556
211,33,32,2,2556
212,33,38,2,2556
213,33,2,1,2556
214,33,47,1,2556
215,33,19,1,2556
216,33,18,2,2556
217,33,70,1,2556
218,33,20,2,2556
219,33,52,1,2556
220,33,13,1,2556
221,33,14,1,2556
222,33,41,1,2556
223,33,23,2,2556
224,33,66,1,2556
225,33,37,2,2556
226,33,54,1,2556
227,33,61,2,2556
228,33,57,1,2556
229,33,33,2,2556
230,33,30,1,2556
231,33,36,1,2556
232,33,7,1,2556
233,33,35,2,2556
234,33,17,1,2556
235,33,65,1,2556
236,33,49,2,2556
237,33,50,1,2556
238,33,67,1,2556
239,33,21,2,2556
240,33,64,1,2556
241,59,25,1,2556
242,59,10,2,2556
243,59,6,1,2556
244,59,4,1,2556
245,59,23,1,2556
246,59,19,1,2556
247,59,29,2,2556
248,59,17,2,2556
249,59,31,1,2556
250,59,68,1,2556
251,59,3,1,2556
252,59,11,1,2556
253,59,16,1,2556
254,59,30,1,2556
255,59,60,1,2556
256,59,8,1,2556
257,58,17,1,2556
258,58,20,1,2556
259,58,8,2,2556
260,58,4,1,2556
261,58,38,2,2556
262,58,14,1,2556
263,58,15,3,2556
264,58,53,1,2556
265,58,28,2,2556
266,58,24,1,2556
267,58,22,1,2556
268,58,9,1,2556
269,58,34,1,2556
270,58,87,1,2556
271,58,27,2,2556
272,58,23,1,2556
273,58,16,1,2556
274,58,18,1,2556
275,68,2,1,2556
276,68,8,1,2556
277,68,7,1,2556
278,68,13,1,2556
279,68,16,1,2556
280,38,23,3,2556
281,38,7,1,2556
282,38,35,3,2556
283,38,5,1,2556
284,38,24,2,2556
285,38,26,1,2556
286,38,25,1,2556
287,38,14,1,2556
288,38,18,1,2556
289,38,15,1,2556
290,38,36,1,2556
291,38,62,1,2556
292,38,64,1,2556
293,38,21,1,2556
294,38,55,2,2556
295,38,56,1,2556
296,38,31,1,2556
297,38,10,1,2556
298,38,27,2,2556
299,38,28,1,2556
300,38,30,1,2556
301,38,32,1,2556
302,38,44,1,2556
303,38,16,1,2556
304,38,57,1,2556
305,38,39,1,2556
306,23,28,4,2556
307,23,74,1,2556
308,23,59,1,2556
309,23,40,1,2556
310,23,14,3,2556
311,23,22,2,2556
312,23,6,1,2556
313,23,19,1,2556
314,23,47,1,2556
315,23,44,2,2556
316,23,35,3,2556
317,23,58,2,2556
318,23,25,1,2556
319,23,27,1,2556
320,23,11,1,2556
321,23,26,1,2556
322,23,32,1,2556
323,23,52,1,2556
324,23,18,3,2556
325,23,57,2,2556
326,23,46,1,2556
327,23,61,1,2556
328,23,16,1,2556
329,23,20,1,2556
330,23,10,1,2556
331,23,56,3,2556
332,23,86,1,2556
333,23,71,1,2556
334,23,41,2,2556
335,23,31,1,2556
336,23,9,2,2556
337,23,66,1,2556
338,39,56,1,2556
339,39,10,3,2556
340,39,33,1,2556
341,39,31,2,2556
342,39,52,2,2556
343,39,37,2,2556
344,39,14,1,2556
345,39,27,1,2556
346,39,43,1,2556
347,39,26,3,2556
348,39,61,1,2556
349,39,19,1,2556
350,39,32,2,2556
351,39,28,1,2556
352,39,3,1,2556
353,39,66,3,2556
354,39,29,1,2556
355,39,0,1,2556
356,39,68,1,2556
357,39,63,1,2556
358,39,21,1,2556
359,39,64,1,2556
360,39,44,2,2556
361,39,20,1,2556
362,39,53,1,2556
363,39,41,1,2556
364,39,24,1,2556
365,39,8,3,2556
366,39,17,1,2556
367,39,50,1,2556
368,39,62,1,2556
369,39,40,1,2556
370,39,67,1,2556
371,55,13,2,2556
372,55,8,1,2556
373,55,20,1,2556
374,55,10,3,2556
375,55,24,1,2556
376,55,44,1,2556
377,55,9,1,2556
378,55,26,1,2556
379,55,50,1,2556
380,55,32,1,2556
381,55,33,1,2556
382,55,71,1,2556
383,55,51,2,2556
384,55,31,1,2556
385,55,29,1,2556
386,55,12,1,2556
387,55,11,1,2556
388,55,67,1,2556
389,54,78,1,2556
390,54,12,3,2556
391,54,53,1,2556
392,54,6,1,2556
393,54,39,2,2556
394,54,15,1,2556
395,54,2,1,2556
396,54,31,3,2556
397,54,40,1,2556
398,54,33,1,2556
399,54,45,1,2556
400,54,5,1,2556
