nokta_no,x,y,count,sezon_dakikasi
1,28,67,1,2687
2,28,66,2,2687
3,28,70,2,2687
4,28,69,1,2687
5,28,35,1,2687
6,28,27,1,2687
7,28,77,2,2687
8,28,65,2,2687
9,28,72,2,2687
10,28,51,2,2687
11,28,60,2,2687
12,28,46,1,2687
13,28,73,1,2687
14,28,68,2,2687
15,28,64,3,2687
16,28,62,1,2687
17,28,87,2,2687
18,28,49,2,2687
19,28,32,1,2687
20,28,71,3,2687
21,28,96,2,2687
22,28,76,3,2687
23,28,53,1,2687
24,28,61,1,2687
25,28,44,1,2687
26,28,37,1,2687
27,28,20,2,2687
28,28,47,1,2687
29,28,82,1,2687
30,28,52,1,2687
31,28,84,1,2687
32,28,74,1,2687
33,28,45,1,2687
34,28,8,1,2687
35,28,80,1,2687
36,43,84,1,2687
37,43,6,1,2687
38,43,26,1,2687
39,43,81,1,2687
40,43,68,5,2687
41,43,58,2,2687
42,43,73,2,2687
43,43,37,1,2687
44,43,61,1,2687
45,43,52,1,2687
46,43,55,1,2687
47,43,59,1,2687
48,43,66,2,2687
49,43,69,1,2687
50,43,90,1,2687
51,43,56,1,2687
52,43,70,1,2687
53,43,19,1,2687
54,43,63,1,2687
55,43,53,1,2687
56,43,54,2,2687
57,43,85,1,2687
58,43,51,1,2687
59,43,82,2,2687
60,43,50,1,2687
61,43,67,1,2687
62,43,7,1,2687
63,43,88,1,2687
64,21,41,1,2687
65,21,79,1,2687
66,21,68,4,2687
67,21,87,1,2687
68,21,23,1,2687
69,21,46,2,2687
70,21,60,1,2687
71,21,69,2,2687
72,21,49,1,2687
73,21,63,2,2687
74,21,25,2,2687
75,21,85,1,2687
76,21,65,1,2687
77,21,55,2,2687
78,21,70,1,2687
79,21,72,1,2687
80,21,47,1,2687
81,21,66,3,2687
82,21,51,1,2687
83,21,30,1,2687
84,21,91,2,2687
85,21,61,1,2687
86,21,50,1,2687
87,21,83,2,2687
88,21,94,1,2687
89,21,84,1,2687
90,21,18,1,2687
91,7,29,1,2687
92,7,54,1,2687
93,7,49,1,2687
94,7,48,1,2687
95,7,47,2,2687
96,7,42,2,2687
97,7,12,1,2687
98,7,45,3,2687
99,7,71,1,2687
100,7,26,1,2687
101,7,33,1,2687
102,7,36,1,2687
103,7,66,1,2687
104,7,67,1,2687
105,7,58,1,2687
106,7,43,1,2687
107,7,56,1,2687
108,7,55,1,2687
109,7,53,1,2687
110,7,69,1,2687
111,7,68,1,2687
112,7,25,1,2687
113,7,61,1,2687
114,7,40,1,2687
115,7,51,1,2687
116,7,39,1,2687
117,45,67,3,2687
118,45,24,1,2687
119,45,29,1,2687
120,45,17,1,2687
121,45,83,1,2687
122,45,50,1,2687
123,45,75,2,2687
124,45,79,1,2687
125,45,54,1,2687
126,45,11,1,2687
127,45,9,1,2687
128,45,16,1,2687
129,45,56,1,2687
130,45,69,1,2687
131,45,51,1,2687
132,45,48,1,2687
133,45,82,2,2687
134,45,68,1,2687
135,45,72,1,2687
136,45,41,1,2687
137,45,59,1,2687
138,45,10,1,2687
139,45,71,1,2687
140,45,55,1,2687
141,45,47,1,2687
142,45,77,1,2687
143,45,46,1,2687
144,45,4,1,2687
145,45,6,1,2687
146,45,73,1,2687
147,45,81,1,2687
148,53,73,2,2687
149,53,30,1,2687
150,53,57,2,2687
151,53,38,1,2687
152,53,66,3,2687
153,53,52,1,2687
154,53,69,1,2687
155,53,93,1,2687
156,53,8,1,2687
157,53,58,1,2687
158,53,72,2,2687
159,53,84,1,2687
160,53,67,1,2687
161,53,97,1,2687
162,53,49,1,2687
163,53,75,1,2687
164,53,88,2,2687
165,53,81,1,2687
166,53,76,1,2687
167,53,51,1,2687
168,53,96,1,2687
169,53,42,1,2687
170,53,19,1,2687
171,53,77,1,2687
172,23,76,3,2687
173,23,29,1,2687
174,23,36,1,2687
175,23,5,1,2687
176,23,52,1,2687
177,23,41,2,2687
178,23,53,1,2687
179,23,77,2,2687
180,23,50,2,2687
181,23,10,1,2687
182,23,69,4,2687
183,23,61,1,2687
184,23,40,1,2687
185,23,60,1,2687
186,23,70,2,2687
187,23,57,2,2687
188,23,63,1,2687
189,23,67,1,2687
190,23,75,1,2687
191,23,91,1,2687
192,23,51,1,2687
193,23,81,1,2687
194,23,68,3,2687
195,23,83,1,2687
196,23,80,1,2687
197,23,79,1,2687
198,10,82,2,2687
199,10,27,1,2687
200,10,23,2,2687
201,10,76,3,2687
202,10,55,2,2687
203,10,43,1,2687
204,10,54,1,2687
205,10,47,1,2687
206,10,84,2,2687
207,10,25,1,2687
208,10,59,1,2687
209,10,65,1,2687
210,10,66,3,2687
211,10,70,1,2687
212,10,90,1,2687
213,10,51,2,2687
214,10,72,2,2687
215,10,33,1,2687
216,10,69,1,2687
217,10,68,1,2687
218,10,74,1,2687
219,10,71,2,2687
220,10,56,1,2687
221,10,60,1,2687
222,10,50,1,2687
223,10,86,1,2687
224,10,45,2,2687
225,31,82,1,2687
226,31,68,3,2687
227,31,70,3,2687
228,31,20,1,2687
229,31,61,1,2687
230,31,29,2,2687
231,31,13,1,2687
232,31,47,1,2687
233,31,35,1,2687
234,31,43,2,2687
235,31,64,3,2687
236,31,55,2,2687
237,31,39,1,2687
238,31,51,2,2687
239,31,73,2,2687
240,31,21,1,2687
241,31,69,2,2687
242,31,79,2,2687
243,31,95,1,2687
244,31,10,1,2687
245,31,80,1,2687
246,31,34,1,2687
247,31,93,1,2687
248,31,66,2,2687
249,31,49,1,2687
250,31,74,2,2687
251,31,44,1,2687
252,31,85,1,2687
253,31,46,1,2687
254,31,60,1,2687
255,31,28,1,2687
256,31,78,1,2687
257,31,54,1,2687
258,31,53,1,2687
259,31,75,1,2687
260,31,58,1,2687
261,31,87,1,2687
262,29,78,3,2687
263,29,22,3,2687
264,29,60,1,2687
265,29,41,2,2687
266,29,36,1,2687
267,29,85,2,2687
268,29,79,2,2687
269,29,68,3,2687
270,29,75,3,2687
271,29,58,1,2687
272,29,72,1,2687
273,29,92,2,2687
274,29,74,1,2687
275,29,48,2,2687
276,29,67,3,2687
277,29,63,3,2687
278,29,38,1,2687
279,29,50,2,2687
280,29,13,1,2687
281,29,53,1,2687
282,29,59,1,2687
283,29,64,4,2687
284,29,54,2,2687
285,29,62,2,2687
286,29,70,2,2687
287,29,76,2,2687
288,29,83,1,2687
289,29,88,1,2687
290,29,81,2,2687
291,29,82,1,2687
292,29,80,1,2687
293,29,65,2,2687
294,29,30,1,2687
295,29,7,1,2687
296,29,14,1,2687
297,29,4,1,2687
298,9,78,1,2687
299,9,69,2,2687
300,9,49,1,2687
301,9,27,1,2687
302,9,57,4,2687
303,9,53,2,2687
304,9,43,1,2687
305,9,51,3,2687
306,9,94,2,2687
307,9,50,3,2687
308,9,76,1,2687
309,9,63,1,2687
310,9,65,1,2687
311,9,72,1,2687
312,9,64,1,2687
313,9,86,1,2687
314,9,13,1,2687
315,9,52,1,2687
316,9,80,1,2687
317,9,60,1,2687
318,9,88,1,2687
319,9,41,1,2687
320,9,68,1,2687
321,9,75,1,2687
322,9,77,1,2687
323,9,87,1,2687
324,9,47,1,2687
325,9,42,1,2687
326,9,48,1,2687
327,9,56,1,2687
328,9,0,1,2687
329,39,95,2,2687
330,39,26,1,2687
331,39,29,2,2687
332,39,5,3,2687
333,39,16,1,2687
334,39,73,2,2687
335,39,87,1,2687
336,39,94,1,2687
337,39,75,2,2687
338,39,64,1,2687
339,39,7,2,2687
340,39,42,1,2687
341,39,37,1,2687
342,39,100,1,2687
343,39,82,1,2687
344,39,80,2,2687
345,39,66,2,2687
346,39,74,1,2687
347,39,68,3,2687
348,39,32,1,2687
349,39,86,1,2687
350,39,93,1,2687
351,39,79,2,2687
352,39,84,1,2687
353,39,62,1,2687
354,39,59,1,2687
355,39,58,1,2687
356,39,56,1,2687
357,39,67,1,2687
358,39,50,1,2687
359,39,69,2,2687
360,39,46,1,2687
361,39,72,1,2687
362,39,41,1,2687
363,40,88,2,2687
364,40,27,1,2687
365,40,17,1,2687
366,40,29,1,2687
367,40,25,1,2687
368,40,35,2,2687
369,40,78,2,2687
370,40,74,2,2687
371,40,58,1,2687
372,40,72,1,2687
373,40,70,2,2687
374,40,89,1,2687
375,40,83,3,2687
376,40,68,2,2687
377,40,79,1,2687
378,40,81,2,2687
379,40,60,1,2687
380,40,51,1,2687
381,40,57,1,2687
382,40,71,2,2687
383,40,31,1,2687
384,40,77,1,2687
385,40,62,1,2687
386,40,64,1,2687
387,40,55,1,2687
388,40,63,1,2687
389,40,85,2,2687
390,36,86,1,2687
391,36,75,2,2687
392,36,65,1,2687
393,36,76,2,2687
394,36,36,1,2687
395,36,22,1,2687
396,36,68,2,2687
397,36,72,4,2687
398,36,37,2,2687
399,36,78,1,2687
400,36,49,1,2687
401,36,12,1,2687
402,36,69,2,2687
403,36,74,1,2687
404,36,81,1,2687
405,36,97,1,2687
406,36,80,3,2687
407,36,73,2,2687
408,36,87,1,2687
409,36,85,1,2687
410,36,83,1,2687
411,36,70,2,2687
412,36,71,1,2687
413,36,67,1,2687
414,36,84,2,2687
415,36,48,1,2687
416,36,54,1,2687
417,36,59,1,2687
418,36,56,1,2687
419,36,44,1,2687
420,36,42,1,2687
421,36,61,1,2687
422,36,66,1,2687
423,36,53,1,2687
424,36,52,1,2687
425,52,59,1,2687
426,52,92,1,2687
427,52,28,2,2687
428,52,21,1,2687
429,52,22,1,2687
430,52,43,1,2687
431,52,74,3,2687
432,52,73,2,2687
433,52,100,1,2687
434,52,72,1,2687
435,52,71,1,2687
436,52,66,1,2687
437,52,90,1,2687
438,52,67,2,2687
439,52,58,1,2687
440,52,57,1,2687
441,52,76,2,2687
442,52,65,1,2687
443,52,68,1,2687
444,52,87,2,2687
445,52,53,1,2687
446,52,63,1,2687
447,52,37,1,2687
448,52,41,1,2687
449,52,64,1,2687
450,51,90,1,2687
451,51,24,1,2687
452,51,29,1,2687
453,51,71,1,2687
454,51,12,1,2687
455,51,15,1,2687
456,51,75,1,2687
457,51,81,1,2687
458,51,62,1,2687
459,51,64,1,2687
460,51,83,1,2687
461,51,82,1,2687
462,51,59,1,2687
463,51,65,1,2687
464,51,80,1,2687
465,51,39,1,2687
466,51,49,1,2687
467,51,0,1,2687
468,25,79,1,2687
469,25,41,2,2687
470,25,63,2,2687
471,25,78,2,2687
472,25,69,2,2687
473,25,18,1,2687
474,25,49,1,2687
475,25,74,4,2687
476,25,54,2,2687
477,25,98,1,2687
478,25,85,3,2687
479,25,77,2,2687
480,25,82,2,2687
481,25,68,5,2687
482,25,60,2,2687
483,25,52,3,2687
484,25,39,1,2687
